Time,Temp,Wet Bulb Temp.,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,Crosswind,Headwind,Mag. Dir.,True Dir.,Wind Chill,PIG
yyyy-MM-dd hh:mm:ss,Deg. C,Deg. C,%,mb,m,mb,m/s,Deg. C,Deg. C,m,m/s,m/s,Degrees,Degrees,Deg. C,%
2017-12-01 15:05:04,33.1,21.2,34.9,1015.7,10,1015.7,0,34,15.5,673,0,0,19,20,33.1,50
2017-12-01 15:05:06,33.3,21.4,34.8,1016.7,0,1016.8,0,34.2,15.6,669,0,0,22,23,33.2,50
2017-12-01 15:05:08,33.5,21.5,34.8,1016,6,1016.1,0,34.5,15.8,682,0,0,18,19,33.4,50
2017-12-01 15:05:10,33.6,21.6,34.8,1015.7,9,1015.8,0,34.7,15.9,689,0,0,15,16,33.5,50
2017-12-01 15:05:12,33.6,21.7,35,1015.9,8,1015.9,0.5,34.8,16,691,0.1,0.5,13,13,33.6,50
2017-12-01 15:05:14,33.7,21.8,35.2,1016.4,4,1016.4,0.5,34.9,16.2,687,0,0.5,351,352,33.6,50
2017-12-01 15:05:16,33.7,21.8,35.4,1016.2,5,1016.3,0,35.1,16.3,690,0,0,353,354,33.7,50
2017-12-01 15:05:18,33.5,21.7,35.5,1016.2,4,1016.3,0,34.9,16.2,683,0,0,330,331,33.5,50
2017-12-01 15:05:20,33.3,21.6,35.6,1016.5,2,1016.6,0,34.5,16,674,0,0,344,345,33.3,50
2017-12-01 15:05:22,33,21.4,35.8,1016.5,3,1016.5,0,33.9,15.8,661,0,0,340,340,32.9,50
2017-12-01 15:05:24,32.8,21.3,35.9,1016.2,5,1016.2,0,33.7,15.7,658,0,0,345,345,32.7,50
2017-12-01 15:05:26,32.7,21.2,35.9,1016.2,6,1016.2,0,33.7,15.6,656,0,0,348,349,32.7,50
2017-12-01 15:05:28,32.5,21,35.7,1017.4,-4,1017.4,0,33.2,15.4,636,0,0,353,354,32.5,50
2017-12-01 15:05:30,32.3,20.8,35.5,1016.5,2,1016.6,0,32.7,15.1,633,0,0,351,352,32.2,50
2017-12-01 15:05:32,32.1,20.7,35.3,1016,6,1016.1,0,32.5,14.9,633,0,0,356,356,32.1,50
2017-12-01 15:05:34,32,20.5,35.2,1016.2,6,1016.2,0,32.4,14.7,627,0,0,355,356,32,50
2017-12-01 15:05:36,32,20.5,35.1,1016.2,6,1016.2,0,32.2,14.6,626,0,0,355,356,31.9,50
2017-12-01 15:05:38,32.1,20.5,34.9,1016.2,5,1016.2,0,32.3,14.6,630,0,0,355,356,32,50
2017-12-01 15:05:40,32.3,20.6,34.8,1016.2,5,1016.2,0,32.6,14.8,637,0,0,356,356,32.2,50
2017-12-01 15:05:42,32.3,20.6,34.6,1016.2,6,1016.2,0,32.7,14.7,639,0,0,355,356,32.3,50
2017-12-01 15:05:44,32.4,20.6,34.4,1016.2,6,1016.2,0,32.7,14.7,638,0,0,355,356,32.3,60
2017-12-01 15:05:46,32.4,20.6,34.2,1016.2,5,1016.2,0,32.8,14.6,640,0,0,357,357,32.4,60
2017-12-01 15:05:48,32.2,20.4,34.1,1016.2,6,1016.2,0,32.4,14.4,633,0,0,356,357,32.2,50
2017-12-01 15:05:50,31.8,20.1,33.9,1016.2,6,1016.2,0,31.7,14,618,0,0,355,355,31.8,50
2017-12-01 15:05:52,31.6,19.9,33.7,1016.2,6,1016.2,0,31.3,13.7,609,0,0,356,356,31.5,50
2017-12-01 15:05:54,31.3,19.7,33.5,1016.2,6,1016.2,0,30.9,13.4,598,0,0,356,357,31.3,50
2017-12-01 15:05:56,30.9,19.3,33.2,1016.2,6,1016.2,0.4,30.3,12.9,584,0,0.4,354,354,30.9,50
2017-12-01 15:05:58,30.5,19,33,1016,6,1016.1,0.4,29.8,12.4,570,0,0.4,355,355,30.5,50
2017-12-01 15:06:00,30.3,18.7,32.8,1016.2,6,1016.2,0.4,29.3,12.1,559,0,0.4,355,355,30.2,50
2017-12-01 15:06:02,30.1,18.6,32.6,1016.2,6,1016.2,0.4,29.2,11.9,553,0,0.4,353,354,30.1,50
2017-12-01 15:06:04,29.9,18.4,32.4,1016.2,6,1016.2,0.5,28.8,11.6,543,0.1,0.5,353,354,29.8,50
2017-12-01 15:06:06,29.7,18.2,32.3,1016.2,6,1016.1,0.4,28.5,11.4,537,0,0.4,355,355,29.6,50
2017-12-01 15:06:08,29.6,18.1,32.2,1016.2,5,1016.2,0.4,28.5,11.3,533,0,0.4,355,355,29.6,50
2017-12-01 15:06:10,29.8,18.3,32.1,1016.2,6,1016.1,0.4,28.6,11.4,541,0,0.4,353,354,29.7,50
2017-12-01 15:06:12,30.1,18.4,32,1016.2,6,1016.2,0.5,29,11.6,550,0.1,0.5,354,354,30,50
2017-12-01 15:06:14,30.4,18.6,32,1016.2,5,1016.2,0.5,29.3,11.8,561,0.1,0.5,353,354,30.3,50
2017-12-01 15:06:16,30.5,18.7,32,1016.2,5,1016.2,0.5,29.6,12,567,0.1,0.5,353,353,30.5,50
2017-12-01 15:06:18,30.5,18.7,32,1016.2,6,1016.2,0.5,29.6,12,566,0.1,0.5,353,353,30.5,50
2017-12-01 15:06:20,30.5,18.7,32.1,1016.2,6,1016.2,0.5,29.6,12,567,0.1,0.5,352,352,30.5,50
2017-12-01 15:06:22,30.8,18.9,32.2,1016.2,6,1016.2,0.4,29.9,12.2,575,0,0.4,353,354,30.7,50
2017-12-01 15:06:24,31.1,19.2,32.3,1016.2,6,1016.2,0,30.2,12.6,587,0,0,350,350,31,50
2017-12-01 15:06:26,31.4,19.5,32.5,1016.2,5,1016.2,0,30.8,13,600,0,0,354,354,31.3,50
2017-12-01 15:06:28,31.7,19.7,32.7,1016.2,6,1016.2,0,31.4,13.3,612,0,0,355,356,31.7,50
2017-12-01 15:06:30,32,20,32.9,1016.2,6,1016.2,0,31.8,13.7,624,0,0,354,354,32,50
2017-12-01 15:06:32,32.3,20.3,32.9,1016.2,6,1016.2,0,32.2,13.9,634,0,0,355,356,32.2,60
2017-12-01 15:06:34,32.5,20.4,33.1,1016.2,6,1016.2,0,32.7,14.2,642,0,0,351,351,32.5,60
2017-12-01 15:06:36,32.6,20.6,33.3,1016.2,5,1016.2,0.5,32.8,14.4,647,0.1,0.5,354,354,32.6,60
2017-12-01 15:06:38,32.7,20.6,33.4,1016.2,6,1016.2,0.6,32.9,14.5,649,0.1,0.6,353,354,32.6,60
2017-12-01 15:06:40,32.7,20.6,33.3,1016.2,5,1016.2,0.7,32.9,14.4,648,0,0.7,1,1,32.6,60
2017-12-01 15:06:42,32.2,20.2,33.2,1016.2,5,1016.2,1,32.1,14,629,0,1,2,2,32.1,50
2017-12-01 15:06:44,31.2,19.5,33.1,1016.2,5,1016.3,1.1,30.7,13.1,593,0,1.1,2,2,31.2,50
2017-12-01 15:06:46,30.2,18.7,32.9,1016.2,5,1016.2,1.2,29.3,12.1,556,0,1.2,2,2,30.2,50
2017-12-01 15:06:48,29.4,18,32.5,1016.2,5,1016.2,1.2,28.1,11.2,526,0,1.2,2,2,29.3,50
2017-12-01 15:06:50,28.7,17.4,32.1,1016.2,5,1016.3,1.2,27.4,10.4,499,0,1.2,2,2,28.7,50
2017-12-01 15:06:52,28.2,17,31.7,1016.2,6,1016.2,1.2,26.5,9.8,480,0,1.2,1,2,28.1,50
2017-12-01 15:06:54,27.8,16.6,31.4,1016.2,6,1016.2,1.1,26.1,9.3,466,0,1.1,2,2,27.8,50
2017-12-01 15:06:56,27.6,16.5,31.2,1016.2,5,1016.2,1.1,25.9,9.1,459,0,1.1,1,2,27.6,50
2017-12-01 15:06:58,27.5,16.4,31.1,1016.2,6,1016.2,1,25.7,8.9,454,0,1,1,1,27.4,50
2017-12-01 15:07:00,27.4,16.3,31.2,1016.2,6,1016.2,0.9,25.7,8.9,450,0,0.9,1,1,27.4,50
2017-12-01 15:07:02,27.3,16.3,31.3,1016.2,5,1016.2,0.8,25.6,8.8,448,0,0.8,1,1,27.3,50
2017-12-01 15:07:04,27.3,16.3,31.4,1016.2,5,1016.2,0.7,25.6,8.9,446,0,0.7,0,1,27.3,50
2017-12-01 15:07:06,27.3,16.3,31.4,1016.2,6,1016.2,0.6,25.6,8.9,448,0,0.6,1,1,27.3,50
2017-12-01 15:07:08,27.6,16.5,31.5,1016.2,6,1016.2,0.5,25.9,9.2,460,0,0.5,359,0,27.6,50
2017-12-01 15:07:10,28.1,16.9,31.8,1016.2,5,1016.2,0.4,26.5,9.8,478,0,0.4,1,1,28.1,50
2017-12-01 15:07:12,28.6,17.4,32.2,1016.2,6,1016.2,0,27.1,10.4,496,0,0,358,358,28.5,50
2017-12-01 15:07:14,29.1,17.8,32.6,1016.2,6,1016.2,0,27.8,11,514,0,0,359,0,29,50
2017-12-01 15:07:16,29.6,18.3,33.1,1016.2,6,1016.2,0,28.5,11.7,533,0,0,4,4,29.5,50
2017-12-01 15:07:18,30,18.7,33.6,1016.2,5,1016.2,0,29.1,12.3,551,0,0,2,3,29.9,50
2017-12-01 15:07:20,30.3,19.1,34.1,1016.2,5,1016.2,0,29.7,12.8,562,0,0,3,3,30.3,50
2017-12-01 15:07:22,30.5,19.3,34.5,1016.2,5,1016.2,0,29.8,13.1,571,0,0,4,5,30.4,50
2017-12-01 15:07:24,30.3,19.2,34.8,1016.2,5,1016.3,0,29.8,13.1,562,0,0,4,5,30.3,50
2017-12-01 15:07:26,30,19,34.9,1016.2,5,1016.2,0,29.4,12.9,553,0,0,4,5,30,50
2017-12-01 15:07:28,29.8,18.9,35,1016.2,5,1016.2,0.5,29,12.7,544,0,0.5,1,2,29.7,50
2017-12-01 15:07:30,29.4,18.5,35,1016.2,5,1016.2,0.7,28.4,12.3,529,0,0.7,352,352,29.3,50
2017-12-01 15:07:32,28.9,18.2,35,1016,6,1016.1,0.8,27.9,11.9,513,0.4,0.7,322,322,28.9,50
2017-12-01 15:07:34,28.6,18,35,1016,6,1016,0.8,27.4,11.6,501,0.5,0.6,321,321,28.5,50
2017-12-01 15:07:36,28.4,17.8,35,1016,6,1016,0.6,27.2,11.5,495,0.4,0.5,321,321,28.3,50
2017-12-01 15:07:38,28.4,17.8,35,1016,6,1016.1,0.5,27.3,11.5,495,0.3,0.4,321,321,28.4,50
2017-12-01 15:07:40,28.5,17.9,35,1016,6,1016.1,0.5,27.3,11.5,496,0.3,0.4,321,322,28.4,50
2017-12-01 15:07:42,28.4,17.8,35.1,1016,6,1016.1,0.6,27.3,11.5,494,0.4,0.5,321,321,28.4,50
2017-12-01 15:07:44,28.3,17.8,35.2,1016,6,1016.1,0.7,27.2,11.5,491,0.4,0.5,321,322,28.3,50
2017-12-01 15:07:46,28.3,17.8,35.3,1016,6,1016.1,0.6,27.2,11.5,491,0.4,0.5,320,321,28.3,50
2017-12-01 15:07:48,28.4,17.9,35.4,1016,6,1016,0.6,27.2,11.6,495,0.3,0.4,321,321,28.3,50
2017-12-01 15:07:50,28.6,18.1,35.5,1016,6,1016,0.6,27.5,11.9,504,0.5,0.3,290,290,28.5,50
2017-12-01 15:07:52,28.9,18.3,35.6,1016,6,1016.1,0.6,28,12.2,515,0.6,0,269,269,28.9,50
2017-12-01 15:07:54,29.2,18.6,35.8,1016,6,1016.1,0.7,28.3,12.5,524,0.6,-0.4,216,216,29.1,50
2017-12-01 15:07:56,29.2,18.6,35.8,1016.2,5,1016.3,0.8,28.3,12.5,523,0.1,-0.8,175,175,29.1,50
2017-12-01 15:07:58,28.7,18.2,35.8,1016.2,5,1016.3,1.6,27.7,12.1,505,0.4,-1.5,163,163,28.7,50
