date,fire_id,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
2017-07-05,1,1,800,0,75,cogongrass,standing,NA,0g litter,800g,800,42.545,46.65607867026369,NA,-Inf,NaN,105,0,105,84.66666666666667,94.83333333333334
2017-07-05,2,2,3000,2000,75,cogongrass,both,NA,2000g litter,3000g,5000,97.3808,30.383323152107515,NA,243,243,127,20,121.33333333333333,106,113.66666666666666
2017-07-05,3,2,1000,0,25,cogongrass,standing,NA,0g litter,1000g,1000,92.477,31.68948557756215,NA,85,85,90,0,83.33333333333333,83.33333333333333,83.33333333333333
2017-07-05,4,1,200,0,75,cogongrass,standing,NA,0g litter,200g,200,20.644999999999996,42.070442946254175,NA,-Inf,NaN,117,0,109,96.66666666666667,102.83333333333334
2017-07-05,5,2,200,0,25,cogongrass,standing,NA,0g litter,200g,200,47.81,23.16535734815098,NA,54,54,77,0,65.66666666666667,72.33333333333333,69
2017-07-05,6,1,600,0,75,cogongrass,standing,NA,0g litter,600g,600,32.02333333333333,45.12087480998382,NA,-Inf,NaN,106,0,102.33333333333333,97.33333333333333,99.83333333333333
2017-07-05,7,1,1000,0,75,cogongrass,standing,NA,0g litter,1000g,1000,42.164,45.45611729718515,NA,-Inf,NaN,112,0,101.33333333333333,103.33333333333333,102.33333333333333
2017-07-05,8,1,3000,2000,25,cogongrass,both,NA,2000g litter,3000g,5000,99.272,17.857142857142858,NA,245,245,185,19.333333333333332,135,102.66666666666667,118.83333333333334
2017-07-12,9,2,2000,2000,75,cogongrass,both,NA,2000g litter,2000g,4000,94.909,31.20212139068945,NA,244,230.5,144,15.333333333333334,138.66666666666666,133,135.83333333333331
2017-07-12,10,2,3000,0,75,cogongrass,standing,NA,0g litter,3000g,3000,73.87033333333333,43.020066590975766,NA,141,131.5,143,0,138.33333333333334,125,131.66666666666669
2017-07-12,11,1,2000,500,25,cogongrass,both,NA,500g litter,2000g,2500,98.228,26.50112866817155,NA,163,126.5,131,11.333333333333334,123,111,117
2017-07-12,12,2,0,2000,NA,cogongrass,piled,NA,2000g litter,0g,2000,100,NA,NA,106,79,0,20.333333333333332,0,0,0
2017-07-12,13,1,200,2000,25,cogongrass,both,NA,2000g litter,200g,2200,99.88636363636364,10.8,NA,118,87.5,112,19.333333333333332,69.66666666666667,96.33333333333333,83
2017-07-12,14,2,600,1000,25,cogongrass,both,NA,1000g litter,600g,1600,97.401875,23.59874909790714,NA,80,73,118,7,83.33333333333333,96.33333333333333,89.83333333333333
2017-07-12,15,1,600,1000,75,cogongrass,both,NA,1000g litter,600g,1600,91.98,35.87125935162094,NA,70,63.5,119,7.666666666666667,103,94,98.5
2017-07-12,16,1,2000,500,75,cogongrass,both,NA,500g litter,2000g,2500,86.7476,41.69810751260149,NA,92,85,130,5.333333333333333,127.66666666666667,106,116.83333333333334
2017-07-12,17,2,1000,500,25,cogongrass,both,NA,500g litter,1000g,1500,92.85466666666666,43.991416309012884,NA,125,119.5,130,7,121.66666666666667,112,116.83333333333334
2017-07-14,18,2,1500,0,25,wiregrass,standing,NA,0g litter,1500g,1500,100,NA,NA,155,138.5,125,0,84.33333333333333,122,103.16666666666666
2017-07-14,19,2,3000,0,75,wiregrass,standing,NA,0g litter,3000g,3000,99.11133333333333,8.927231807951983,NA,167,162.5,111,0,66,109.66666666666667,87.83333333333334
2017-07-14,20,2,1000,0,75,wiregrass,standing,NA,0g litter,1000g,1000,97.636,14.12859560067682,NA,66,41,110,0,83.33333333333333,103.66666666666667,93.5
2017-07-14,21,2,600,0,75,wiregrass,standing,NA,0g litter,600g,600,73.84166666666667,22.013380057343092,NA,94,56,105,0,67,102.33333333333333,84.66666666666666
2017-07-14,22,2,200,0,25,wiregrass,standing,NA,0g litter,200g,200,45.455,10.27591896599139,NA,15,7.5,110,0,41.333333333333336,101.66666666666667,71.5
2017-07-14,23,2,600,0,25,wiregrass,standing,NA,0g litter,600g,600,91.59166666666665,8.225966303270576,NA,56,50,120,0,54.333333333333336,110.66666666666667,82.5
2017-07-14,24,2,1000,0,25,wiregrass,standing,NA,0g litter,1000g,1000,99.43,11.578947368421055,NA,94,76,125,0,68.33333333333333,116,92.16666666666666
2017-09-07,25,2,1500,0,75,cogongrass,standing,NA,0g litter,1500g,1500,41.24933333333333,60.69377936136895,43.521388716677,96,96,141,0,127,96.33333333333333,111.66666666666666
2017-09-07,26,2,2500,0,75,cogongrass,standing,NA,0g litter,2500g,2500,67.2876,52.09278438757168,41.93738924985233,133,111,141,0,134.33333333333334,110.33333333333333,122.33333333333334
2017-09-07,27,2,600,500,75,cogongrass,both,NA,500g litter,600g,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,35.5,118,8.333333333333334,111.66666666666667,95.66666666666667,103.66666666666667
2017-09-07,28,2,600,0,25,cogongrass,standing,NA,0g litter,600g,600,57.585,28.22900703367519,24.71395881006865,61,30.5,137,0,118.33333333333333,99.66666666666667,109
2017-09-07,29,2,1200,0,75,cogongrass,standing,NA,0g litter,1200g,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,15,139,0,130.66666666666666,114.66666666666667,122.66666666666666
2017-09-07,30,2,800,0,25,cogongrass,standing,NA,0g litter,800g,800,48.0675,31.37726856977807,15.82381729200652,13,6.5,123,0,118,97.33333333333333,107.66666666666666
2017-09-07,31,2,400,0,75,cogongrass,standing,NA,0g litter,400g,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,NaN,126,0,117.33333333333333,105.33333333333333,111.33333333333333
2017-09-07,32,2,400,0,25,cogongrass,standing,NA,0g litter,400g,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,NaN,143,0,131.33333333333334,127.33333333333333,129.33333333333334
2017-09-07,33,2,800,500,25,cogongrass,both,NA,500g litter,800g,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,138,140,5.666666666666667,132.66666666666666,129.66666666666666,131.16666666666666
2017-09-07,34,2,800,500,75,cogongrass,both,NA,500g litter,800g,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,50.5,127,6,116.33333333333333,117,116.66666666666666
2017-09-07,35,2,1200,500,25,cogongrass,both,NA,500g litter,1200g,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,146.5,144,5.666666666666667,114.66666666666667,126.66666666666667,120.66666666666667
2017-09-07,36,2,3000,0,25,cogongrass,standing,NA,0g litter,3000g,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,275,137,0,120,121.66666666666667,120.83333333333334
2017-09-07,37,2,200,500,75,cogongrass,both,NA,500g litter,200g,700,91.84285714285714,31.996497373029776,26.605504587155966,33,29,107,6,102.33333333333333,92,97.16666666666666
2017-09-08,38,2,1200,0,25,cogongrass,standing,NA,0g litter,1200g,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,107.5,129,0,108.66666666666667,122.33333333333333,115.5
2017-09-08,39,2,400,500,25,cogongrass,both,NA,500g litter,400g,900,92.71111111111111,15.960365853658525,14.664586583463345,56,47.5,120,4.666666666666667,115,118.33333333333333,116.66666666666666
2017-09-08,40,2,1500,500,25,cogongrass,both,NA,500g litter,1500g,2000,98.638,20.961820851688685,13.544018058690737,180,135,130,8,116.33333333333333,123,119.66666666666666
2017-09-08,41,2,600,500,25,cogongrass,both,NA,500g litter,600g,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,84,107,8.666666666666666,88.33333333333333,104,96.16666666666666
2017-09-08,42,2,0,3500,25,cogongrass,piled,NA,NA,0g,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,128,72,39.333333333333336,50.666666666666664,61.666666666666664,56.166666666666664
2017-12-01,43,1,250,0,NA,cogongrass,piled,22.24,0g litter,250g,250,97.252,14.701601164483256,15.245478036175717,27,24,11,0,8.333333333333334,NaN,8.333333333333334
2017-12-01,44,2,250,0,NA,cogongrass,standing,0,0g litter,250g,250,34.19199999999999,18.39897884755653,19.576446280991732,17,8.5,155,0,149.66666666666666,NaN,149.66666666666666
2017-12-01,45,1,500,0,NA,cogongrass,piled,45.62,0g litter,500g,500,97.658,11.784799316823234,13.873943120676401,56,37,12,0,8.666666666666666,NaN,8.666666666666666
2017-12-01,46,2,500,0,NA,cogongrass,standing,11.95,0g litter,500g,500,84.658,13.309868335288742,9.21757770632368,72,65.5,134,0,132,NaN,132
2017-12-01,47,1,1000,0,NA,cogongrass,piled,71.48,0g litter,1000g,1000,99.275,9.793103448275861,9.613899613899608,76,62.5,24,0,19,NaN,19
2017-12-01,48,2,1000,0,NA,cogongrass,standing,10.64,0g litter,1000g,1000,96.91,17.281553398058254,15.020297699594039,90,81.5,145,0,137.66666666666666,NaN,137.66666666666666
2017-12-01,49,1,1500,0,NA,cogongrass,piled,82.29,0g litter,1500g,1500,100,NA,9.702062643239111,162,157,33,0,27.666666666666668,NaN,27.666666666666668
2017-12-01,50,2,1500,0,NA,cogongrass,standing,21.98,0g litter,1500g,1500,99.58466666666666,13.48314606741574,12.401165210153977,174,173.5,160,0,154.33333333333334,NaN,154.33333333333334
2017-12-04,51,1,2000,0,NA,cogongrass,piled,29.04,0g litter,2000g,2000,100,NA,14.587813620071685,130,100.5,21,0,17.333333333333332,NaN,17.333333333333332
2017-12-04,52,2,2000,0,NA,cogongrass,standing,3.15,0g litter,2000g,2000,99.265,10.612244897959176,13.077834847886207,146,138,177,0,164,NaN,164
2017-12-04,53,1,250,0,NA,cogongrass,piled,42.54,0g litter,250g,250,96.88,0.7692307692307643,4.6342825237297705,30,27,7,0,4.666666666666667,NaN,4.666666666666667
2017-12-04,54,2,250,0,NA,cogongrass,standing,0,0g litter,250g,250,27.936,10.268650088809947,7.991242474001099,0,0,141,0,137.66666666666666,NaN,137.66666666666666
2017-12-04,55,1,500,0,NA,cogongrass,piled,58.87,0g litter,500g,500,97.924,13.294797687861278,12.20964860035735,85,59,10,0,9.333333333333334,NaN,9.333333333333334
2017-12-04,56,2,500,0,NA,cogongrass,standing,66.07,0g litter,500g,500,82.394,11.81415426559128,12.987960598321775,19,10.5,144,0,132.33333333333334,NaN,132.33333333333334
2017-12-04,57,1,1000,0,NA,cogongrass,piled,57.52,0g litter,1000g,1000,99.355,9.457364341085276,9.821428571428575,68,58,17,0,15.333333333333334,NaN,15.333333333333334
2017-12-04,58,2,1000,0,NA,cogongrass,standing,29.14,0g litter,1000g,1000,97.485,8.628230616302181,15.200000000000003,178,146.5,146,0,144.66666666666666,NaN,144.66666666666666
2017-12-04,59,1,1000,0,NA,cogongrass,piled,95.66,0g litter,1000g,1000,99.44,0,15.182522123893794,72,69,12,0,11,NaN,11
2017-12-04,60,2,1000,0,NA,cogongrass,standing,15.58,0g litter,1000g,1000,93.424,13.838199513382008,14.289558665231421,210,182,162,0,157,NaN,157
2017-12-04,61,1,2000,0,NA,cogongrass,piled,79.69,0g litter,2000g,2000,99.8905,17.351598173515974,10.270793036750488,177,139,22,0,19.333333333333332,NaN,19.333333333333332
2017-12-04,62,2,2000,0,NA,cogongrass,standing,5.15,0g litter,2000g,2000,99.4475,14.117647058823534,15.481793410948725,255,248,163,0,156.66666666666666,NaN,156.66666666666666
2017-12-05,63,1,250,0,NA,cogongrass,piled,48.82,0g litter,250g,250,97.388,7.656967840735069,13.718070009460748,30,18,7,0,6,NaN,6
2017-12-05,64,2,250,0,NA,cogongrass,standing,0,0g litter,250g,250,22.836,9.444818827432481,10.33248081841432,0,0,143,0,141,NaN,141
2017-12-05,65,1,500,0,NA,cogongrass,piled,16.12,0g litter,500g,500,99.498,7.171314741035846,10.797060486150379,50,38.5,12,0,10.666666666666666,NaN,10.666666666666666
2017-12-05,66,2,500,0,NA,cogongrass,standing,4.98,0g litter,500g,500,74.54,7.996857816182241,9.531502423263325,75,46.5,128,0,123.66666666666667,NaN,123.66666666666667
2017-12-05,67,1,1000,0,NA,cogongrass,piled,36.2,0g litter,1000g,1000,99.765,6.382978723404252,11.10195674562307,72,59,15,0,13.333333333333334,NaN,13.333333333333334
2017-12-05,68,2,1000,0,NA,cogongrass,standing,2.79,0g litter,1000g,1000,97.696,7.769097222222219,10.711493354182954,113,92.5,150,0,142.66666666666666,NaN,142.66666666666666
2017-12-05,69,1,1500,0,NA,cogongrass,piled,19.07,0g litter,1500g,1500,99.78,4.84848484848484,9.040488075429852,60,52.5,20,0,18,NaN,18
2017-12-05,70,2,1500,0,NA,cogongrass,standing,5.65,0g litter,1500g,1500,99.14933333333333,8.777429467084634,7.364975450081821,170,134,158,0,144.33333333333334,NaN,144.33333333333334
2017-12-05,71,1,2000,0,NA,cogongrass,piled,46.04,0g litter,2000g,2000,100,NA,11.096468107538222,170,145,36,0,29,NaN,29
2017-12-05,72,2,2000,0,NA,cogongrass,standing,6.5,0g litter,2000g,2000,99.0695,6.6630843632455585,6.841611996251165,256,228,159,0,148.66666666666666,NaN,148.66666666666666
2017-12-05,73,1,1500,0,NA,cogongrass,piled,48.79,0g litter,1500g,1500,99.812,0,8.82691201840138,66,55,16,0,14.333333333333334,NaN,14.333333333333334
2017-12-05,74,2,1500,0,NA,cogongrass,standing,6.7,0g litter,1500g,1500,99.57333333333334,5.468750000000009,8.047945205479449,178,138,155,0,143.66666666666666,NaN,143.66666666666666
