location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,date,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
0cm,1,520.1,444.97,10,5,2017-07-05,1,800,0,75,cogongrass,standing,NA,0g litter,800g,800,42.545,46.65607867026369,NA,-Inf,NaN,105,0,105,84.66666666666667,94.83333333333334
0cm,2,339.5,334.116,204,10,2017-07-05,2,3000,2000,75,cogongrass,standing,NA,2000g litter,3000g,5000,97.3808,30.383323152107515,NA,243,243,127,20,121.33333333333333,106,113.66666666666666
0cm,3,848.47,809.668,23,14,2017-07-05,2,1000,0,25,cogongrass,standing,NA,0g litter,1000g,1000,92.477,31.68948557756215,NA,85,85,90,0,83.33333333333333,83.33333333333333,83.33333333333333
0cm,4,53.82,53.82,0,0,2017-07-05,1,200,0,75,cogongrass,standing,NA,0g litter,200g,200,20.644999999999996,42.070442946254175,NA,-Inf,NaN,117,0,109,96.66666666666667,102.83333333333334
0cm,5,51.2,51.134,0,0,2017-07-05,2,200,0,25,cogongrass,standing,NA,0g litter,200g,200,47.81,23.16535734815098,NA,54,54,77,0,65.66666666666667,72.33333333333333,69
0cm,6,144.33,143.184,23,0,2017-07-05,1,600,0,75,cogongrass,standing,NA,0g litter,600g,600,32.02333333333333,45.12087480998382,NA,-Inf,NaN,106,0,102.33333333333333,97.33333333333333,99.83333333333333
0cm,7,690.75,338.662,7,2,2017-07-05,1,1000,0,75,cogongrass,standing,NA,0g litter,1000g,1000,42.164,45.45611729718515,NA,-Inf,NaN,112,0,101.33333333333333,103.33333333333333,102.33333333333333
0cm,8,925.14,857.214,266,141,2017-07-05,1,3000,2000,25,cogongrass,standing,NA,2000g litter,3000g,5000,99.272,17.857142857142858,NA,245,245,185,19.333333333333332,135,102.66666666666667,118.83333333333334
0cm,9,186.6,186.6,452,0,2017-07-12,2,2000,2000,75,cogongrass,standing,NA,2000g litter,2000g,4000,94.909,31.20212139068945,NA,244,230.5,144,15.333333333333334,138.66666666666666,133,135.83333333333331
0cm,10,104.45,104.45,52,0,2017-07-12,2,3000,0,75,cogongrass,standing,NA,0g litter,3000g,3000,73.87033333333333,43.020066590975766,NA,141,131.5,143,0,138.33333333333334,125,131.66666666666669
0cm,11,330.42,301.186,223,2,2017-07-12,1,2000,500,25,cogongrass,standing,NA,500g litter,2000g,2500,98.228,26.50112866817155,NA,163,126.5,131,11.333333333333334,123,111,117
0cm,12,360.53,360.53,774,136,2017-07-12,2,0,2000,NA,cogongrass,standing,NA,2000g litter,0g,2000,100,NA,NA,106,79,0,20.333333333333332,0,0,0
0cm,13,376.34,372.536,388,21,2017-07-12,1,200,2000,25,cogongrass,standing,NA,2000g litter,200g,2200,99.88636363636364,10.8,NA,118,87.5,112,19.333333333333332,69.66666666666667,96.33333333333333,83
0cm,14,277.48,277.414,538,0,2017-07-12,2,600,1000,25,cogongrass,standing,NA,1000g litter,600g,1600,97.401875,23.59874909790714,NA,80,73,118,7,83.33333333333333,96.33333333333333,89.83333333333333
0cm,15,480.33,453.98199999999997,321,75,2017-07-12,1,600,1000,75,cogongrass,standing,NA,1000g litter,600g,1600,91.98,35.87125935162094,NA,70,63.5,119,7.666666666666667,103,94,98.5
0cm,16,486.71,463.944,169,34,2017-07-12,1,2000,500,75,cogongrass,standing,NA,500g litter,2000g,2500,86.7476,41.69810751260149,NA,92,85,130,5.333333333333333,127.66666666666667,106,116.83333333333334
0cm,17,151.39,151.39,295,0,2017-07-12,2,1000,500,25,cogongrass,standing,NA,500g litter,1000g,1500,92.85466666666666,43.991416309012884,NA,125,119.5,130,7,121.66666666666667,112,116.83333333333334
0cm,18,750.56,590.326,23,11,2017-07-14,2,1500,0,25,wiregrass,standing,NA,0g litter,1500g,1500,100,NA,NA,155,138.5,125,0,84.33333333333333,122,103.16666666666666
0cm,19,902.02,848.448,162,64,2017-07-14,2,3000,0,75,wiregrass,standing,NA,0g litter,3000g,3000,99.11133333333333,8.927231807951983,NA,167,162.5,111,0,66,109.66666666666667,87.83333333333334
0cm,20,804.54,718.75,26,12,2017-07-14,2,1000,0,75,wiregrass,standing,NA,0g litter,1000g,1000,97.636,14.12859560067682,NA,66,41,110,0,83.33333333333333,103.66666666666667,93.5
0cm,21,783.39,747.182,54,22,2017-07-14,2,600,0,75,wiregrass,standing,NA,0g litter,600g,600,73.84166666666667,22.013380057343092,NA,94,56,105,0,67,102.33333333333333,84.66666666666666
0cm,22,380.85,277.568,13,2,2017-07-14,2,200,0,25,wiregrass,standing,NA,0g litter,200g,200,45.455,10.27591896599139,NA,15,7.5,110,0,41.333333333333336,101.66666666666667,71.5
0cm,23,839.78,832.782,43,22,2017-07-14,2,600,0,25,wiregrass,standing,NA,0g litter,600g,600,91.59166666666665,8.225966303270576,NA,56,50,120,0,54.333333333333336,110.66666666666667,82.5
0cm,24,757.44,699.244,32,14,2017-07-14,2,1000,0,25,wiregrass,standing,NA,0g litter,1000g,1000,99.43,11.578947368421055,NA,94,76,125,0,68.33333333333333,116,92.16666666666666
0cm,25,769.58,641.548,19,12,2017-09-07,2,1500,0,75,cogongrass,standing,NA,0g litter,1500g,1500,41.24933333333333,60.69377936136895,43.521388716677,96,96,141,0,127,96.33333333333333,111.66666666666666
