location,structure,biomass,n_obs,avg_s_abv100,se_s_abv100,avg_heat_flux_abv100,se_heat_flux_abv100,avg_max_temp,se_max_temp,avg2_max_temp_avg,se_avg2_max_temp
0cm,piled,250,3,100.33333333333333,1.855921454276674,20221.53388888889,2868.1885979701956,327.56666666666666,62.86669011428807,324.9112222222222,61.883339064647465
0cm,piled,500,3,152.66666666666666,24.55153310442706,41090.20611111111,8492.301346752809,479.7505555555556,30.57894355921297,477.0712222222222,30.860640094615384
0cm,piled,1000,4,249.25,61.76754136815441,63057.21708333333,12217.53863723821,452.79541666666665,51.797257029902255,451.09933333333333,50.85708941129929
0cm,piled,1500,3,374.3333333333333,102.57084272724768,109340.13222222222,28381.13884600804,596.5966666666667,10.450867764785711,595.0219999999999,9.984674508317074
0cm,piled,2000,3,648.3333333333334,131.9271684596383,183627.0061111111,58904.27940855669,453.2366666666667,82.92721107716714,452.4173333333333,82.31349021429757
0cm,standing,250,3,0,0,0,0,60.57,17.68656876883741,59.64066666666667,16.920924919996192
0cm,standing,500,3,77.66666666666667,17.188497445804984,13523.199999999999,2370.4511069156815,272.0188888888889,40.012999847426144,267.49355555555553,40.64947077662578
0cm,standing,1000,4,90,8.376554582086042,20646.6675,1046.4413909181064,412.25916666666666,68.0598679183615,409.53433333333334,68.05862796937708
0cm,standing,1500,3,64,19.604421270043485,13103.17888888889,3616.8029707015157,380.76222222222225,28.82365298856026,374.6611111111111,29.200510927375113
0cm,standing,2000,3,64.33333333333333,5.607534613753574,15467.985555555555,3169.5885764310137,447.6222222222222,72.8019475048149,440.67333333333335,72.1939006841991
25cm,piled,250,3,48,7.637626158259733,6104.285555555555,1021.3406389449574,170.03333333333333,13.29040631433065,162.51088888888887,11.07218500523377
25cm,piled,500,3,83.66666666666667,20.20176009933568,15379.29,5780.351271910859,325.7711111111111,47.84243128086405,298.19755555555554,41.88921212017938
25cm,piled,1000,4,156.5,13.604533558095012,34798.58583333333,4211.641541667873,382.39250000000004,60.659336925571495,374.5265,58.62563006650288
25cm,piled,1500,3,168,32.50128202599604,39909.19111111111,9272.598707352223,490.28777777777776,46.19520707595241,458.32377777777776,29.08960116944767
25cm,piled,2000,3,208.33333333333334,29.42410198761855,51592.10055555556,7205.33316035963,578.0711111111111,26.938419234695232,567.5835555555556,31.473815064527056
25cm,standing,250,3,0,0,0,0,56.23555555555556,2.715558283322871,55.620222222222225,2.7372101864742273
25cm,standing,500,3,38,19.5021366350801,6087.18,3038.4898950191255,213.12,57.154026104903586,205.38044444444444,55.90697560973194
25cm,standing,1000,4,74.5,5.484827557301444,15663.1475,2277.354831602833,408.03666666666663,107.81344302217742,399.42716666666666,108.00624111335041
25cm,standing,1500,3,73.33333333333333,20.731082407288287,16592.393333333333,2892.751955591385,507.12222222222226,84.80997788811597,488.67266666666666,79.62009121190827
25cm,standing,2000,3,60,12.055427546683418,17740.62888888889,3594.7387952118625,668.2533333333333,68.0695277176484,649.4273333333333,64.94405945974668
50cm,piled,250,3,0,0,0,0,58.96333333333334,5.745770425084681,57.97,5.596924565562109
50cm,piled,500,3,42.333333333333336,22.047927592204925,6948.086666666666,4559.370036173776,180.25333333333333,50.49823872982913,176.06644444444444,50.353201021250094
50cm,piled,1000,4,122.5,15.633830837855022,23031.858333333334,4395.782030726117,305.11,22.319870818025198,299.20483333333334,22.62476336749591
50cm,piled,1500,3,158,34.044089061098404,30620.242222222223,8831.84951000876,329.45,7.845140982610635,322.7337777777778,10.401243232908422
50cm,piled,2000,3,128.66666666666666,16.9148192751537,36756.06222222222,5608.217977577499,555.3577777777778,19.236702702495503,547.9226666666667,16.929357814164117
50cm,standing,250,3,0,0,0,0,45.95777777777778,2.809268610057926,45.538666666666664,2.76902881758074
50cm,standing,500,3,23.333333333333332,14.88100952369981,3808.511111111111,2657.6320564675984,166.08888888888887,42.70118162704257,163.6608888888889,42.262285095944165
50cm,standing,1000,4,67.75,4.836923953643817,17126.255,1659.9199942793423,470.6325,39.519549460783765,457.49083333333334,36.40943308008192
50cm,standing,1500,3,61.333333333333336,12.862520921049825,17880.31888888889,3346.5753100724364,633.151111111111,62.57641001306687,613.8808888888889,57.82746775292906
50cm,standing,2000,3,48,4.509249752822894,15115.935555555556,2090.276688430872,659.3522222222222,57.434781123601844,637.7935555555556,56.15822520717471
