installation,plot_id,visit_year,trap_effort
avonpark,avonpark a1,2017,5
avonpark,avonpark a1,2018,4
avonpark,avonpark a2,2018,4
avonpark,avonpark b1,2017,5
avonpark,avonpark c1,2017,5
avonpark,avonpark c1,2018,4
avonpark,avonpark c2,2018,4
avonpark,avonpark d1,2017,5
avonpark,avonpark e1,2018,4
avonpark,avonpark e2,2018,4
avonpark,avonpark f1,2018,4
avonpark,avonpark g1,2018,4
avonpark,avonpark h1,2018,4
avonpark,avonpark i1,2018,4
benning,benning a1,2018,4
benning,benning b1,2018,4
benning,benning c1,2018,4
benning,benning d1,2018,4
benning,benning e1,2018,4
benning,benning extra,2018,0
benning,benning f1,2018,4
benning,benning g1,2018,4
benning,benning h1,2018,4
benning,benning i1,2018,4
benning,benning j1,2018,4
blanding,blanding a1,2017,5
blanding,blanding b1,2017,5
blanding,blanding c1,2017,5
blanding,blanding c1,2018,4
blanding,blanding d1,2017,5
blanding,blanding e1,2017,5
blanding,blanding extra,2018,0
blanding,blanding f1,2017,5
blanding,blanding g1,2017,5
blanding,blanding g1,2018,4
blanding,blanding h1,2017,8
blanding,blanding h1,2018,4
blanding,blanding i1,2018,4
blanding,blanding j1,2018,4
blanding,blanding k1,2018,4
blanding,blanding m1,2018,4
blanding,blanding n1,2018,4
eglin,eglin a1,2018,4
eglin,eglin b1,2017,5
eglin,eglin b2,2018,4
eglin,eglin c1,2018,4
eglin,eglin d1,2017,5
eglin,eglin e1,2018,4
eglin,eglin extra,2018,0
eglin,eglin f1,2018,4
eglin,eglin g1,2018,4
eglin,eglin h1,2017,5
eglin,eglin i1,2018,4
eglin,eglin j1,2018,4
eglin,eglin p1,2017,5
gordon,gordon a1,2018,4
gordon,gordon b1,2018,4
gordon,gordon c1,2018,4
gordon,gordon d1,2018,4
gordon,gordon e1,2018,4
gordon,gordon f1,2018,4
gordon,gordon g1,2018,4
gordon,gordon h1,2018,4
jackson,jackson a1,2018,4
jackson,jackson b1,2018,4
jackson,jackson c1,2018,4
jackson,jackson d1,2018,4
jackson,jackson e1,2018,4
jackson,jackson extra,2018,0
jackson,jackson f1,2018,4
jackson,jackson g1,2018,4
jackson,jackson h1,2018,4
jackson,jackson i1,2018,4
jackson,jackson j1,2018,4
jackson,jackson k1,2018,4
jackson,jackson l1,2018,4
jackson,jackson m1,2018,4
moody,moody a1,2017,5
moody,moody b1,2017,5
moody,moody extra,2017,1
moody,moody k1,2017,5
shelby,shelby a1,2018,4
shelby,shelby a2,2018,4
shelby,shelby b1,2017,5
shelby,shelby b2,2017,5
shelby,shelby b2,2018,4
shelby,shelby b3,2017,5
shelby,shelby b3,2018,4
shelby,shelby c1,2018,4
shelby,shelby d1,2017,5
shelby,shelby e1,2018,4
shelby,shelby extra,2017,0
shelby,shelby extra,2018,0
shelby,shelby f1,2017,5
shelby,shelby g1,2017,5
shelby,shelby h1,2018,4
shelby,shelby i1,2018,4
shelby,shelby j1,2018,4
shelby,shelby k1,2018,4
tyndall,tyndall b1,2017,5
tyndall,tyndall b1,2018,4
tyndall,tyndall b2,2017,5
tyndall,tyndall b2,2018,4
tyndall,tyndall b3,2018,4
tyndall,tyndall b4,2018,4
tyndall,tyndall c1,2018,4
tyndall,tyndall c2,2018,4
tyndall,tyndall d1,2017,5
tyndall,tyndall d2,2018,4
tyndall,tyndall extra,2017,0
tyndall,tyndall extra,2018,0
tyndall,tyndall h1,2017,5
