plot_id,date,visit_year,avg_woody_veg_ht,avg_herb_veg_ht,avg_litter_ht,avg_pct_green,avg_pct_litter,avg_pct_wood_litter,avg_pct_bare,avg_standing_fuel_mass_wet_m2,avg_litter_mass_wet_m2,avg_standing_fuel_mass_dry_m2,avg_litter_mass_dry_m2,avg_pct_canopy_cover
avonpark a1,2017-06-27,2017,44.2,36.333333333333336,1.5,30.75,19.5,0.625,56.25,122,75.2,90.56,62.48,14.3
avonpark a1,2018-05-30,2018,61.27272727272727,59.916666666666664,1.5,46.75,36.25,2.375,38.75,301.44,193.32,129.64,121.04,8.06
avonpark a2,2018-05-31,2018,52.625,28.333333333333332,4.25,30.75,42.5,6.5,43.75,259.68,911.32,340.76,210.52,18.46
avonpark b1,2017-06-29,2017,88.75,45,2.5833333333333335,57.5,26.25,0.125,5.75,758.72,188.76,421.08,166.76,35.1
avonpark c1,2017-06-28,2017,72.58333333333333,95.5,3.5,57.5,31,1.375,3,709.32,442.44,368.24,319.76,55.12
avonpark c1,2018-05-31,2018,88.91666666666667,63.833333333333336,4.916666666666667,23.75,48.75,4.25,2.5,1273.04,933.0400000000001,725.9599999999999,563.24,42.12
avonpark c2,2018-05-31,2018,104.83333333333333,37.5,3.875,37.5,57.5,11.75,13.75,731.6,361.52,430.44,197.51999999999998,18.98
avonpark d1,2017-06-30,2017,33.5,11.666666666666666,2.4166666666666665,38.75,71.25,2.875,6.25,200.88,600.08,111.56,467.24,80.08
avonpark e1,2018-05-29,2018,37.333333333333336,55.416666666666664,2,45.75,21.25,0.75,25,277.15999999999997,258.96,124.4,163.28,30.42
avonpark e2,2018-05-29,2018,84.33333333333333,72.66666666666667,2.25,61.25,10,2.25,17.5,1089.76,151.8,398.4,53.68,26.52
avonpark f1,2018-05-31,2018,36.4,41.25,1.0416666666666667,29.5,11.25,3.5,76.25,345.6,62.72,131,34.64,22.88
avonpark g1,2018-05-31,2018,95.11111111111111,49.833333333333336,11.166666666666666,60,33.75,4.25,0,869.2,3884.6000000000004,383.08,1608.2400000000002,43.16
avonpark h1,2018-06-01,2018,55.916666666666664,23,0.7916666666666666,51.25,23.75,3.875,60,527.6,125.47999999999999,272.24,64.6,16.9
avonpark i1,2018-06-01,2018,71.7,56.416666666666664,3.4583333333333335,36.25,45,2.25,38.75,553.48,292.28000000000003,302.52,183.76,26.52
