plot_id,date,visit_year,tag,species_name,dbh,canopy,health,distance,azimuth,height,char
avonpark a1,2017-06-27,2017,1331,Pinus elliottii,25.4,d,1,6.4,10,NA,NA
avonpark a1,2017-06-27,2017,1337,Pinus elliottii,26.4,d,1,6.5,162,NA,NA
avonpark d1,2017-06-30,2017,1369,Quercus geminata,11.3,c,1,9.8,175,NA,NA
avonpark d1,2017-06-30,2017,1358,Quercus geminata,11.5,u,1,3.95,197,NA,NA
avonpark d1,2017-06-30,2017,1373,Quercus geminata,30.6,d,1,4.4,208,NA,NA
avonpark d1,2017-06-30,2017,1366,Quercus geminata,10.2,i,2,10.4,243,NA,NA
avonpark d1,2017-06-30,2017,1363,Pinus clausa,4.5,u,1,7.1,280,4.5,NA
avonpark d1,2017-06-30,2017,1376,Quercus geminata,24,c,2,4.4,281,9.8,NA
avonpark d1,2017-06-30,2017,1361,Quercus geminata,18.7,c,1,4.1,286,6.8,NA
avonpark d1,2017-06-30,2017,1360,Quercus geminata,18,c,2,4.1,286,NA,NA
avonpark d1,2017-06-30,2017,1350,Quercus geminata,20.9,c,1,4.1,286,NA,NA
avonpark d1,2017-06-30,2017,1400,Quercus geminata,20.5,c,1,8.5,350,6.5,NA
avonpark d1,2017-06-30,2017,1343,Quercus geminata,14.4,i,1,11.7,269,NA,NA
avonpark d1,2017-06-30,2017,1374,Quercus falcata,9.3,u,2,11.6,280,NA,NA
avonpark d1,2017-06-30,2017,1359,Quercus geminata,9.1,i,1,10.9,284,6.9,NA
avonpark d1,2017-06-30,2017,1375,Quercus geminata,5.9,u,3,11,284,NA,NA
avonpark d1,2017-06-30,2017,1362,Quercus geminata,5,u,2,12.2,253,NA,NA
avonpark d1,2017-06-30,2017,1370,Quercus geminata,5.5,u,1,11.9,316,NA,NA
avonpark d1,2017-06-30,2017,1371,Quercus falcata,25.7,c,3,5.8,38,NA,NA
avonpark d1,2017-06-30,2017,1378,Quercus geminata,4.5,u,1,10.2,47,NA,NA
avonpark d1,2017-06-30,2017,1357,Quercus geminata,11,i,1,10.3,47,NA,NA
avonpark d1,2017-06-30,2017,1377,Quercus falcata,27.1,d,2,11.2,38,9,NA
avonpark d1,2017-06-30,2017,1365,Quercus nigra,4.6,i,1,6.4,50,5.8,NA
avonpark d1,2017-06-30,2017,1364,Quercus geminata,16.7,c,1,8,51,NA,NA
avonpark d1,2017-06-30,2017,1372,Quercus geminata,27.9,c,1,4.8,88,NA,NA
avonpark d1,2017-06-30,2017,1368,Quercus geminata,16,c,1,4.3,89,NA,NA
avonpark d1,2017-06-30,2017,1384,Quercus geminata,9,u,1,7.7,89,NA,NA
avonpark d1,2017-06-30,2017,1386,Quercus geminata,11,u,1,7.3,98,NA,NA
avonpark b1,2017-06-29,2017,1342,Pinus elliottii,21.3,d,1,5.5,309,NA,NA
avonpark b1,2017-06-29,2017,1328,Pinus elliottii,9.5,i,2,7.6,330,NA,NA
avonpark b1,2017-06-29,2017,1330,Pinus elliottii,12.2,c,1,6.9,1,NA,NA
avonpark b1,2017-06-29,2017,1326,Pinus elliottii,15.7,d,1,3.7,13,NA,NA
avonpark b1,2017-06-29,2017,1336,Pinus elliottii,19.6,d,1,6.3,133,NA,NA
avonpark b1,2017-06-29,2017,1351,Pinus elliottii,15.4,c,1,6.8,157,NA,NA
avonpark b1,2017-06-29,2017,1356,Pinus elliottii,37.4,d,1,11.3,165,NA,NA
avonpark b1,2017-06-29,2017,1333,Pinus elliottii,22.4,d,1,12,223,NA,NA
avonpark b1,2017-06-29,2017,1352,Pinus elliottii,20.3,d,1,9,243,NA,NA
avonpark b1,2017-06-29,2017,1344,Pinus elliottii,21.2,d,1,9.9,260,NA,NA
avonpark b1,2017-06-29,2017,1353,Pinus elliottii,15,c,1,10.6,261,NA,NA
avonpark b1,2017-06-29,2017,1348,Pinus elliottii,19,d,1,10.8,280,NA,NA
avonpark b1,2017-06-29,2017,1346,Pinus elliottii,18.3,d,1,11.6,285,NA,NA
avonpark b1,2017-06-29,2017,1347,Pinus elliottii,13,i,1,12.5,285,NA,NA
avonpark b1,2017-06-29,2017,1349,Pinus elliottii,12.9,c,1,11.6,292,NA,NA
avonpark b1,2017-06-29,2017,1355,Pinus elliottii,12.2,c,1,8.8,301,NA,NA
avonpark b1,2017-06-29,2017,1354,Pinus elliottii,13.7,c,1,11.6,312,NA,NA
avonpark c1,2017-06-28,2017,1341,Pinus elliottii,30.6,d,1,7.9,58,NA,NA
avonpark c1,2017-06-28,2017,1332,Pinus elliottii,26,d,1,6.8,97,17,NA
avonpark c1,2017-06-28,2017,1335,Pinus elliottii,27.4,d,1,8.5,148,NA,NA
avonpark c1,2017-06-28,2017,1345,Pinus elliottii,33.8,d,1,12.5,205,NA,NA
avonpark c1,2017-06-28,2017,1340,Pinus elliottii,34.4,d,1,10.2,222,17.2,NA
avonpark c1,2017-06-28,2017,1334,Pinus elliottii,39.2,d,1,7.6,277,16.9,NA
avonpark c1,2017-06-28,2017,121,Pinus elliottii,27.4,c,0,11.3,325,NA,NA
avonpark c1,2017-06-28,2017,1327,Pinus elliottii,30.9,d,1,4.4,346,16.9,NA
avonpark h1,2018-06-01,2018,1565,Pinus elliottii,22.2,c,1,2.4,232,17.8,1.9
avonpark h1,2018-06-01,2018,1571,Pinus elliottii,24.9,c,1,4,287,19.8,4
avonpark h1,2018-06-01,2018,1560,Pinus elliottii,24.7,c,1,8.7,268,17.9,2.6
avonpark h1,2018-06-01,2018,1559,Pinus elliottii,20.8,c,1,11.9,261,17.5,2.1
avonpark h1,2018-06-01,2018,1558,Pinus elliottii,23.6,c,1,10.8,5,18.8,3.2
avonpark h1,2018-06-01,2018,NA,Pinus elliottii,18.8,c,0,12.55,4,15.2,3.3
avonpark h1,2018-06-01,2018,1563,Pinus elliottii,27.1,d,1,11.7,44,21.8,2.8
avonpark h1,2018-06-01,2018,1566,Pinus elliottii,20,c,1,7.8,75,16.4,2.2
avonpark f1,2018-05-31,2018,1534,Pinus palustris,30.6,c,1,10.1,5,21.2,2.7
avonpark f1,2018-05-31,2018,1530,Pinus palustris,29.7,c,1,11.7,40,18.9,3.9
avonpark f1,2018-05-31,2018,1533,Pinus elliottii,23.6,c,1,9.2,60,19.1,3.2
avonpark f1,2018-05-31,2018,1532,Pinus elliottii,24.6,c,1,9.2,80,19.1,2.8
avonpark f1,2018-05-31,2018,1531,Pinus elliottii,22.1,c,1,4.7,54,20.5,2.5
avonpark f1,2018-05-31,2018,1529,Pinus elliottii,23.2,c,1,8.4,220,18.8,2.1
avonpark f1,2018-05-31,2018,1528,Pinus palustris,25.1,c,1,9.2,264,19.2,2.1
avonpark f1,2018-05-31,2018,1526,Pinus palustris,26.6,c,1,11.1,308,18.6,3.2
avonpark c2,2018-05-31,2018,1525,Pinus palustris,29.1,d,1,2.1,1,20,2.9
avonpark c2,2018-05-31,2018,1536,Pinus palustris,31,d,1,6.3,300,16.6,3.5
avonpark c2,2018-05-31,2018,1538,Pinus palustris,34.1,d,1,12.55,192,16.6,4
avonpark c2,2018-05-31,2018,NA,Pinus palustris,4.5,u,1,10.5,131,2.23,0.43
avonpark c2,2018-05-31,2018,NA,Pinus palustris,3.6,u,1,12.15,134,2.4,0.67
avonpark c2,2018-05-31,2018,NA,Pinus palustris,3.4,u,1,12,110,3.7,0.51
avonpark c2,2018-05-31,2018,1537,Pinus palustris,11,i,1,12.6,94,10.2,2.5
avonpark c2,2018-05-31,2018,1535,Pinus palustris,30,d,1,12.6,72,15.7,2.4
avonpark i1,2018-06-01,2018,1570,Pinus elliottii,23.7,c,1,12.1,171,18.2,NA
avonpark i1,2018-06-01,2018,1577,Pinus elliottii,23.5,c,1,6.5,173,17.4,NA
avonpark i1,2018-06-01,2018,1575,Pinus elliottii,28.9,d,1,3.2,231,18,NA
avonpark i1,2018-06-01,2018,1581,Pinus elliottii,24.4,c,1,9.1,286,16.7,NA
avonpark i1,2018-06-01,2018,1574,Pinus elliottii,21.9,c,2,3,340,17.1,NA
avonpark i1,2018-06-01,2018,1568,Pinus elliottii,26.3,c,1,9,41,19.6,NA
avonpark i1,2018-06-01,2018,1576,Pinus elliottii,23.4,c,1,8.7,97,17.6,NA
avonpark i1,2018-06-01,2018,1564,Pinus elliottii,22.2,c,2,5.8,103,19.7,NA
avonpark i1,2018-06-01,2018,1561,Pinus elliottii,9.5,i,2,10.6,130,10.9,1.6
avonpark g1,2018-05-31,2018,1546,Pinus palustris,25.3,c,1,1.6,338,18.1,1
avonpark g1,2018-05-31,2018,1551,Pinus palustris,18.8,i,1,6.6,321,NA,1.5
avonpark g1,2018-05-31,2018,NA,Pinus palustris,23.2,i,1,9.4,319,NA,1.67
avonpark g1,2018-05-31,2018,1552,Pinus palustris,9.6,u,3,7.3,338,NA,0.52
avonpark g1,2018-05-31,2018,1550,Pinus palustris,23.1,c,2,7.7,348,NA,1.16
avonpark g1,2018-05-31,2018,1542,Pinus palustris,18.5,c,1,3.7,353,19.9,1.18
avonpark g1,2018-05-31,2018,1539,Pinus palustris,35.7,d,1,11.3,351,NA,1.39
avonpark g1,2018-05-31,2018,1527,Pinus palustris,30.3,c,2,10.8,3,NA,2.28
avonpark g1,2018-05-31,2018,1545,Pinus palustris,20.5,c,1,5.4,9,18.2,1.34
avonpark g1,2018-05-31,2018,1543,Pinus palustris,16.4,i,2,9,21,20.5,1.79
avonpark g1,2018-05-31,2018,1544,Pinus palustris,11.2,u,2,7.6,22,NA,1.24
avonpark g1,2018-05-31,2018,NA,Pinus palustris,16.9,i,1,12.2,30,NA,1.07
avonpark g1,2018-05-31,2018,NA,Pinus palustris,10.7,u,1,11,60,NA,1.83
avonpark g1,2018-05-31,2018,1549,Pinus palustris,27.9,d,1,4.1,66,NA,1.71
avonpark g1,2018-05-31,2018,1556,Pinus palustris,17.9,c,2,4,74,18.2,0.72
avonpark g1,2018-05-31,2018,1553,Pinus palustris,30.4,c,1,6.9,99,20.9,1.74
avonpark g1,2018-05-31,2018,NA,Pinus palustris,12,i,1,9.9,89,NA,1.16
avonpark g1,2018-05-31,2018,1520,Pinus palustris,26.1,c,1,9.5,133,16.9,1.31
avonpark g1,2018-05-31,2018,NA,Pinus palustris,29.4,c,1,12.2,130,NA,1.15
avonpark g1,2018-05-31,2018,1519,Pinus palustris,17.5,c,1,3.1,130,16.1,1.42
avonpark g1,2018-05-31,2018,NA,Pinus palustris,23,c,1,12.3,179,NA,1.61
avonpark g1,2018-05-31,2018,1541,Pinus palustris,24.7,c,1,5.2,202,18.1,1.72
avonpark g1,2018-05-31,2018,1554,Pinus palustris,30.1,c,1,6.9,214,17.9,2.08
avonpark g1,2018-05-31,2018,1548,Pinus palustris,11.6,i,1,9.2,225,NA,1.74
avonpark g1,2018-05-31,2018,1557,Pinus palustris,32.2,c,1,10.7,222,NA,2.45
avonpark g1,2018-05-31,2018,NA,Pinus palustris,24.2,c,1,12.5,220,NA,1.94
avonpark g1,2018-05-31,2018,1540,Pinus palustris,14.6,i,1,6.4,274,13.8,2.07
avonpark g1,2018-05-31,2018,1555,Pinus palustris,11.6,i,1,8.1,285,NA,1.97
avonpark g1,2018-05-31,2018,1547,Pinus palustris,34.6,d,1,5.1,285,18.7,1.53
avonpark g1,2018-05-31,2018,NA,Pinus palustris,23.8,c,1,11,284,NA,1.67
avonpark a2,2018-05-30,2018,1706,Pinus elliottii,22.6,d,1,8.55,189,19.2,3.2
avonpark a2,2018-05-30,2018,1516,Pinus elliottii,32.5,d,1,6.65,3,25.5,3.1
avonpark a2,2018-05-30,2018,1515,Pinus elliottii,28.2,d,1,8.9,53,22.6,3.5
avonpark e2,2018-05-29,2018,1522,Pinus elliottii,24.6,d,1,2.3,44,15.1,4.3
avonpark e2,2018-05-29,2018,1524,Pinus elliottii,12,i,1,10,11,11.5,2.1
avonpark e2,2018-05-29,2018,1517,Pinus elliottii,12.9,i,1,10.3,59,11.9,2.6
avonpark e2,2018-05-29,2018,NA,Pinus spp.,6.5,u,0,9.1,41,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8.9,u,0,5,20,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.6,u,0,9,30,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,5.6,u,0,1.9,7,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.2,u,0,6.5,88,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus elliottii,29.9,d,1,4.3,122,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.7,u,0,6,132,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8,u,0,3.1,157,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,6.4,u,0,5.1,168,NA,NA
avonpark e2,2018-05-29,2018,1512,Pinus elliottii,24.9,d,1,11.9,174,20.9,3.3
avonpark e2,2018-05-29,2018,NA,Pinus spp.,29,d,0,12.2,191,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.7,u,0,2.9,194,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.5,u,0,2.9,259,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8.3,u,0,6.5,262,NA,NA
avonpark e2,2018-05-29,2018,1513,Pinus elliottii,8.8,u,1,5.6,284,8.6,1.1
avonpark e2,2018-05-29,2018,NA,Pinus spp.,6.4,u,0,8.5,285,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,6.2,u,0,9.8,289,NA,NA
avonpark e2,2018-05-29,2018,1521,Pinus taeda,30.2,d,1,12.6,270,21.3,3.8
avonpark e2,2018-05-29,2018,NA,Pinus spp.,6.5,u,0,5.5,296,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,5,u,0,5.2,297,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.7,u,0,9.1,310,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8.5,u,0,3.1,309,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,9,u,0,4,332,NA,NA
avonpark e2,2018-05-29,2018,1514,Pinus spp.,12,u,3,8.8,335,8.9,3.5
avonpark e2,2018-05-29,2018,1518,Pinus elliottii,10,u,1,10.3,346,10,2
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.5,u,0,11,351,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8.5,u,0,11.9,356,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,12,u,0,9.6,356,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,8.9,u,0,8.9,356,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,11.8,u,0,9.9,5,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,7.8,u,0,10.9,5,NA,NA
avonpark e2,2018-05-29,2018,NA,Pinus spp.,13.3,u,0,12,9,NA,NA
