plot_id,date,visit_year,species,dung1m,dung2m
blanding a1,2017-06-10,2017,cottontail,43,16
blanding a1,2017-06-10,2017,deer,1,0
blanding b1,2017-06-08,2017,armadillo,1,0
blanding b1,2017-06-08,2017,cottontail,102,65
blanding c1,2017-06-08,2017,cottontail,7,1
blanding c1,2017-06-08,2017,NA,0,0
blanding c1,2018-05-16,2018,cottontail,30,10
blanding c1,2018-05-16,2018,deer,9,5
blanding c1,2018-05-16,2018,other,1,0
blanding c1,2018-05-16,2018,turkey,9,1
blanding d1,2017-06-10,2017,cottontail,3,3
blanding d1,2017-06-10,2017,NA,0,0
blanding e1,2017-06-15,2017,cottontail,1,0
blanding e1,2017-06-15,2017,deer,2,0
blanding e1,2017-06-15,2017,NA,0,0
blanding f1,2017-06-21,2017,armadillo,0,1
blanding f1,2017-06-21,2017,cottontail,124,34
blanding g1,2017-06-15,2017,armadillo,1,0
blanding g1,2017-06-15,2017,deer,1,0
blanding g1,2017-06-15,2017,other,0,1
blanding g1,2017-06-15,2017,NA,0,0
blanding g1,2018-05-18,2018,cottontail,96,128
blanding g1,2018-05-18,2018,deer,58,26
blanding g1,2018-05-18,2018,other,3,2
blanding h1,2017-06-16,2017,cottontail,4,0
blanding h1,2017-06-16,2017,NA,0,0
blanding h1,2018-05-17,2018,cottontail,17,6
blanding h1,2018-05-17,2018,deer,35,26
blanding h1,2018-05-17,2018,other,2,0
blanding h1,2018-05-17,2018,NA,0,0
blanding i1,2018-05-25,2018,cottontail,2,0
blanding i1,2018-05-25,2018,deer,20,5
blanding j1,2018-05-25,2018,cottontail,40,0
blanding j1,2018-05-25,2018,deer,4,0
blanding k1,2018-05-22,2018,deer,10,7
blanding m1,2018-05-18,2018,cottontail,15,16
blanding m1,2018-05-18,2018,deer,21,4
blanding m1,2018-05-18,2018,turkey,5,1
blanding m1,2018-05-18,2018,NA,0,0
blanding n1,2018-05-24,2018,cottontail,492,271
blanding n1,2018-05-24,2018,deer,5,0
