plot_id,date,visit_year,species_name,stems_100m2
blanding b1,2017-06-08,2017,Asimina spp.,5
blanding b1,2017-06-08,2017,Diospyros virginiana,2
blanding b1,2017-06-08,2017,Quercus laevis,5
blanding b1,2017-06-08,2017,Smilax spp.,1
blanding a1,2017-06-09,2017,Diospyros virginiana,1
blanding a1,2017-06-09,2017,Quercus laevis,5
blanding e1,2017-06-14,2017,Asimina spp.,2
blanding e1,2017-06-14,2017,Pinus palustris,2
blanding e1,2017-06-14,2017,Quercus hemisphaerica,1
blanding e1,2017-06-14,2017,Quercus laevis,2
blanding e1,2017-06-14,2017,Quercus myrtifolia,1
blanding e1,2017-06-14,2017,Serenoa repens,1
blanding g1,2017-06-15,2017,Serenoa repens,29
blanding h1,2017-06-20,2017,Diospyros virginiana,10
blanding h1,2017-06-20,2017,Quercus nigra,4
blanding f1,2017-06-21,2017,Asimina spp.,5
blanding d1,2017-06-21,2017,Diospyros virginiana,2
blanding f1,2017-06-21,2017,Diospyros virginiana,2
blanding f1,2017-06-21,2017,Pinus clausa,1
blanding f1,2017-06-21,2017,Pinus palustris,1
blanding d1,2017-06-21,2017,Quercus geminata,4
blanding f1,2017-06-21,2017,Quercus incana,2
blanding d1,2017-06-21,2017,Quercus laevis,3
blanding f1,2017-06-21,2017,Quercus laevis,5
blanding f1,2017-06-21,2017,Quercus myrtifolia,7
blanding d1,2017-06-21,2017,Quercus nigra,1
blanding f1,2017-06-21,2017,Quercus nigra,1
blanding f1,2017-06-21,2017,Rhus copallinum,4
blanding m1,2018-05-15,2018,Asimina spp.,2
blanding m1,2018-05-15,2018,Diospyros virginiana,16
blanding m1,2018-05-15,2018,Pinus palustris,1
blanding i1,2018-05-15,2018,Quercus incana,2
blanding m1,2018-05-15,2018,Quercus nigra,2
blanding i1,2018-05-15,2018,Serenoa repens,1
blanding c1,2018-05-16,2018,Asimina triloba,2
blanding theater_cogon,2018-05-16,2018,NA NA,0
blanding k1,2018-05-22,2018,Quercus nigra,2
blanding n1,2018-05-24,2018,Asimina spp.,6
blanding n1,2018-05-24,2018,Diospyros virginiana,1
blanding n1,2018-05-24,2018,Quercus laevis,1
blanding n1,2018-05-24,2018,Quercus nigra,5
blanding n1,2018-05-24,2018,Rhus copallinum,1
blanding i1,2018-05-25,2018,Quercus geminata,1
blanding j1,2018-05-25,2018,Quercus geminata,3
blanding j1,2018-05-25,2018,Quercus myrtifolia,1
blanding i1,2018-05-25,2018,Quercus nigra,3
