plot_id,date,visit_year,species_name,canopy,health,total_dbh,avg_height,avg_char
shelby a1,2018-08-11,2018,Pinus elliottii,c,alive,233.8,23.11111111111111,1.3333333333333333
shelby a1,2018-08-11,2018,Pinus elliottii,d,alive,231.1,27.02857142857143,1.8285714285714285
shelby a1,2018-08-11,2018,Pinus elliottii,i,alive,56.5,18.5,1.9000000000000001
shelby a1,2018-08-11,2018,Pinus elliottii,u,dead,27.4,NaN,NaN
shelby a2,2018-08-12,2018,Carya spp.,u,alive,9.5,NaN,NaN
shelby a2,2018-08-12,2018,Pinus elliottii,c,alive,156.9,22.4,1.75
shelby a2,2018-08-12,2018,Pinus elliottii,d,alive,237.8,23.75,1.675
shelby a2,2018-08-12,2018,Pinus elliottii,i,alive,197.2,19.333333333333332,1.4
shelby a2,2018-08-12,2018,Pinus elliottii,u,dead,19.2,NaN,NaN
shelby a2,2018-08-12,2018,Pinus spp.,i,dead,16,NaN,NaN
shelby a2,2018-08-12,2018,Pinus spp.,u,dead,13.5,NaN,NaN
shelby a2,2018-08-12,2018,Pinus palustris,d,alive,27.1,23.2,1.2
shelby a2,2018-08-12,2018,Pinus palustris,i,alive,14.6,NaN,NaN
shelby a2,2018-08-12,2018,Pinus taeda,i,alive,27.4,NaN,NaN
shelby a2,2018-08-12,2018,Pinus taeda,u,alive,30.4,NaN,NaN
shelby b1,2017-09-21,2017,Liquidambar styraciflua,i,alive,61.5,13.2,NaN
shelby b1,2017-09-21,2017,Liquidambar styraciflua,u,alive,8.9,NaN,NaN
shelby b1,2017-09-21,2017,Pinus taeda,c,alive,42,22.4,NaN
shelby b1,2017-09-21,2017,Pinus taeda,u,alive,15.8,6.1,NaN
shelby b1,2017-09-21,2017,Quercus nigra,c,alive,31,16.9,NaN
shelby b1,2017-09-21,2017,Quercus nigra,u,dead,26.7,NaN,NaN
shelby b1,2017-09-21,2017,NA NA,i,dead,39.7,NaN,NaN
shelby b1,2017-09-21,2017,NA NA,u,dead,17.9,NaN,NaN
shelby b2,2017-09-24,2017,Pinus palustris,c,alive,427.1,29.925,NaN
shelby b2,2017-09-24,2017,Quercus NA,u,dead,3.9,NaN,NaN
shelby b2,2017-09-24,2017,NA NA,u,dead,4.7,NaN,NaN
shelby b2,2018-08-15,2018,Pinus palustris,c,alive,427.2,29.3,5.109090909090909
shelby b2,2018-08-15,2018,Quercus spp.,u,alive,4,NaN,NaN
shelby b2,2018-08-15,2018,NA NA,u,alive,0,NaN,NaN
shelby b3,2017-09-24,2017,Pinus palustris,c,dead,81.8,19.549999999999997,NaN
shelby b3,2017-09-24,2017,Pinus palustris,d,dead,45.4,19.2,NaN
shelby b3,2017-09-24,2017,Pinus palustris,u,dead,3.8,3.4,NaN
shelby b3,2018-08-15,2018,Pinus palustris,d,alive,40.1,27.3,6
shelby b3,2018-08-15,2018,Pinus palustris,u,dead,98.9,3.6666666666666665,3.4
shelby b3,2018-08-15,2018,Pinus palustris,NA,dead,0,NaN,NaN
shelby c1,2018-08-11,2018,Persea borbonia,i,dead,13.2,NaN,NaN
shelby c1,2018-08-11,2018,Pinus palustris,c,alive,62.7,23.5,5.949999999999999
shelby c1,2018-08-11,2018,Pinus palustris,d,alive,123.5,26.666666666666668,7.333333333333333
shelby c1,2018-08-11,2018,Pinus palustris,i,alive,57.2,14.25,4
shelby c1,2018-08-11,2018,Pinus palustris,u,dead,9,NaN,NaN
shelby c1,2018-08-11,2018,Pinus taeda,i,alive,31.6,17.450000000000003,1.75
shelby c1,2018-08-11,2018,Pinus taeda,u,dead,9.5,NaN,NaN
shelby c1,2018-08-11,2018,Quercus alba,u,alive,5.8,5,0.5
shelby c1,2018-08-11,2018,NA NA,i,dead,39.3,NaN,NaN
shelby c1,2018-08-11,2018,NA NA,u,dead,10.6,NaN,NaN
shelby d1,2017-09-23,2017,Pinus palustris,c,alive,616.8,19,NaN
shelby d1,2017-09-23,2017,Pinus palustris,i,alive,86.9,13.1,NaN
shelby d1,2017-09-23,2017,Pinus palustris,u,alive,60.1,6.9,NaN
shelby d1,2017-09-23,2017,Pinus taeda,c,alive,22.7,NaN,NaN
shelby d1,2017-09-23,2017,Quercus nigra,u,alive,12.8,3.95,NaN
shelby e1,2018-08-12,2018,Pinus palustris,c,alive,207.6,24.98,4.72
shelby e1,2018-08-12,2018,Pinus palustris,d,alive,145.5,27.866666666666667,5.333333333333333
shelby e1,2018-08-12,2018,Pinus palustris,i,alive,44.1,14.6,3.1333333333333333
shelby e1,2018-08-12,2018,Pinus palustris,u,alive,6.1,NaN,NaN
shelby f1,2017-09-21,2017,Diospyros virginiana,u,alive,3.6,5.2,NaN
shelby f1,2017-09-21,2017,Pinus taeda,c,alive,25.3,22.2,NaN
shelby f1,2017-09-21,2017,Pinus taeda,d,alive,61.5,36.6,NaN
shelby f1,2017-09-21,2017,Pinus taeda,u,alive,12,NaN,NaN
shelby f1,2017-09-21,2017,Quercus nigra,u,alive,4.2,3.4,NaN
shelby g1,2017-09-24,2017,Pinus palustris,c,alive,64.1,20.75,NaN
shelby g1,2017-09-24,2017,Pinus palustris,d,alive,56,26.8,NaN
shelby g1,2017-09-24,2017,Pinus palustris,i,alive,33.5,17.5,NaN
shelby g1,2017-09-24,2017,Pinus palustris,u,alive,21.2,7.5,NaN
shelby g1,2017-09-24,2017,Quercus falcata,i,alive,19.1,13.8,NaN
shelby g1,2017-09-24,2017,Quercus incana,u,alive,14.100000000000001,NaN,NaN
shelby g1,2017-09-24,2017,Quercus nigra,u,alive,3.1,3.4,NaN
shelby h1,2018-08-13,2018,Acer rubrum,i,alive,14.4,NaN,NaN
shelby h1,2018-08-13,2018,Acer rubrum,u,alive,20.7,6.5,1.7
shelby h1,2018-08-13,2018,Carya spp.,c,alive,52.6,21,0
shelby h1,2018-08-13,2018,Carya spp.,i,alive,61,20.3,0.6
shelby h1,2018-08-13,2018,Carya spp.,u,alive,39.4,NaN,NaN
shelby h1,2018-08-13,2018,Liriodendron tulipifera,c,alive,42,32.8,3
shelby h1,2018-08-13,2018,Pinus elliottii,d,alive,341.1,34.68333333333334,5.233333333333333
shelby i1,2018-08-13,2018,Ilex spp.,u,alive,3.5,NaN,NaN
shelby i1,2018-08-13,2018,Pinus palustris,c,alive,62.400000000000006,20.9,4.5
shelby i1,2018-08-13,2018,Pinus palustris,d,alive,219.9,32.66,4.5200000000000005
shelby i1,2018-08-13,2018,Pinus palustris,i,alive,130.4,16.45,2.3
shelby i1,2018-08-13,2018,Pinus palustris,u,alive,79.60000000000001,15.95,3.0999999999999996
shelby j1,2018-08-14,2018,Liquidambar styraciflua,u,alive,3.8,4.5,0
shelby j1,2018-08-14,2018,Pinus elliottii,c,alive,18,15.9,0.51
shelby j1,2018-08-14,2018,Pinus elliottii,i,alive,17.6,13.5,0.45
shelby j1,2018-08-14,2018,Pinus palustris,c,alive,33.5,30.9,2.04
shelby j1,2018-08-14,2018,Pinus palustris,d,alive,36.8,25.3,2.5
shelby j1,2018-08-14,2018,Pinus taeda,d,alive,46.4,33.7,2.54
shelby j1,2018-08-14,2018,Quercus falcata,i,alive,14,10.1,0
shelby k1,2018-08-14,2018,Pinus elliottii,c,alive,23.2,18.5,5.5
shelby k1,2018-08-14,2018,Pinus elliottii,d,alive,40.8,29.8,4.4
shelby k1,2018-08-14,2018,Pinus palustris,d,alive,40.1,24.6,7.4
shelby k1,2018-08-14,2018,Pinus taeda,c,alive,23.9,22.7,6.5
shelby k1,2018-08-14,2018,Quercus spp.,u,dead,24.5,3.9,3.9
shelby k1,2018-08-14,2018,Quercus stellata,i,alive,21.3,14.6,1.5
