plot_id,date,visit_year,tag,species_name,dbh,canopy,health,distance,azimuth,height,char
shelby b3,2017-09-24,2017,132,Pinus palustris,40.3,c,0,4.1,89,19.7,NA
shelby b3,2017-09-24,2017,134,Pinus palustris,41.5,c,0,10.1,56,19.4,NA
shelby b3,2017-09-24,2017,135,Pinus palustris,3.8,u,0,12.2,76,3.4,NA
shelby b3,2017-09-24,2017,136,Pinus palustris,45.4,d,0,6,247,19.2,NA
shelby b2,2017-09-24,2017,1761,Quercus NA,3.9,u,0,12.4,214,NA,NA
shelby b2,2017-09-24,2017,1752,Pinus palustris,29.3,c,1,1.6,293,27,NA
shelby b2,2017-09-24,2017,1741,Pinus palustris,38.6,c,1,2.5,120,28.2,NA
shelby b2,2017-09-24,2017,1740,Pinus palustris,39.6,c,1,9.3,80,31.3,NA
shelby b2,2017-09-24,2017,1739,Pinus palustris,47.7,c,1,10.9,62,NA,NA
shelby b2,2017-09-24,2017,1742,Pinus palustris,43.8,c,1,5.3,13,33.2,NA
shelby b2,2017-09-24,2017,1738,Pinus palustris,37.7,c,1,9.5,302,NA,NA
shelby b2,2017-09-24,2017,1750,Pinus palustris,37.4,c,1,4,246,NA,NA
shelby b2,2017-09-24,2017,1751,Pinus palustris,34.7,c,1,8.5,235,NA,NA
shelby b2,2017-09-24,2017,1737,Pinus palustris,40,c,1,11,247,NA,NA
shelby b2,2017-09-24,2017,1753,Pinus palustris,38.5,c,1,9.9,142,NA,NA
shelby b2,2017-09-24,2017,1755,Pinus palustris,39.8,c,1,11.5,132,NA,NA
shelby b2,2017-09-24,2017,1760,NA NA,4.7,u,0,10.8,129,NA,NA
shelby b1,2017-09-21,2017,1616,Pinus taeda,10.4,u,1,4.2,208,6.1,NA
shelby b1,2017-09-21,2017,130,NA NA,39.7,i,0,5.2,148,NA,NA
shelby b1,2017-09-21,2017,1626,Pinus taeda,42,c,1,6.4,118,22.4,NA
shelby b1,2017-09-21,2017,1619,Liquidambar styraciflua,39.4,i,3,7.1,42,NA,NA
shelby b1,2017-09-21,2017,1615,Liquidambar styraciflua,22.1,i,1,10.7,285,13.2,NA
shelby b1,2017-09-21,2017,1629,Liquidambar styraciflua,8.9,u,1,10.7,292,NA,NA
shelby b1,2017-09-21,2017,1614,Quercus nigra,31,c,1,4.8,59,16.9,NA
shelby b1,2017-09-21,2017,1627,Pinus taeda,5.4,u,1,7,256,NA,NA
shelby b1,2017-09-21,2017,125,Quercus nigra,6,u,0,7.3,35,NA,NA
shelby b1,2017-09-21,2017,126,Quercus nigra,6.2,u,0,7.3,35,NA,NA
shelby b1,2017-09-21,2017,127,Quercus nigra,8,u,0,8.2,41,NA,NA
shelby b1,2017-09-21,2017,128,Quercus nigra,6.5,u,0,8.2,41,NA,NA
shelby b1,2017-09-21,2017,129,NA NA,17.9,u,0,12,121,NA,NA
shelby f1,2017-09-21,2017,1624,Pinus taeda,61.5,d,1,9.3,106,36.6,NA
shelby f1,2017-09-21,2017,1625,Pinus taeda,25.3,c,1,12.5,118,22.2,NA
shelby f1,2017-09-21,2017,1622,Diospyros virginiana,3.6,u,1,7,15,5.2,NA
shelby f1,2017-09-21,2017,1628,Quercus nigra,4.2,u,1,10.5,32,3.4,NA
shelby f1,2017-09-21,2017,1623,Pinus taeda,4.1,u,1,12.4,23,NA,NA
shelby f1,2017-09-21,2017,1621,Pinus taeda,3.3,u,1,10.9,21,NA,NA
shelby f1,2017-09-21,2017,1620,Pinus taeda,4.6,u,1,11.6,12,NA,NA
shelby g1,2017-09-24,2017,1711,Pinus palustris,56,d,1,6.7,351,26.8,NA
shelby g1,2017-09-24,2017,1726,Quercus incana,3,u,1,11.6,230,NA,NA
shelby g1,2017-09-24,2017,1724,Quercus incana,3.7,u,1,11.5,230,NA,NA
shelby g1,2017-09-24,2017,1725,Quercus incana,3.2,u,1,11.5,230,NA,NA
shelby g1,2017-09-24,2017,1722,Quercus falcata,19.1,i,1,9.7,231,13.8,NA
shelby g1,2017-09-24,2017,1718,Pinus palustris,48.1,c,1,5.7,249,22.5,NA
shelby g1,2017-09-24,2017,1708,Quercus nigra,3.1,u,1,3.7,147,3.4,NA
shelby g1,2017-09-24,2017,1713,Pinus palustris,5.6,u,1,7.2,131,7.5,NA
shelby g1,2017-09-24,2017,1719,Pinus palustris,17,i,2,5.6,285,NA,NA
shelby g1,2017-09-24,2017,1720,Pinus palustris,16.5,i,1,5.8,284,17.5,NA
shelby g1,2017-09-24,2017,1780,Pinus palustris,9.8,u,1,4.2,119,NA,NA
shelby g1,2017-09-24,2017,1797,Pinus palustris,5.8,u,1,7.35,189,NA,NA
shelby g1,2017-09-24,2017,1704,Pinus palustris,16,c,1,11.2,190,19,NA
shelby g1,2017-09-24,2017,1796,Quercus incana,4.2,u,1,7.2,151,NA,NA
shelby d1,2017-09-23,2017,1764,Pinus palustris,21.7,c,1,10.8,201,NA,NA
shelby d1,2017-09-23,2017,1770,Pinus palustris,24.6,c,1,4,195,NA,NA
shelby d1,2017-09-23,2017,1612,Pinus palustris,21.5,c,1,11.5,202,NA,NA
shelby d1,2017-09-23,2017,1606,Pinus palustris,11,u,1,5.2,201,NA,NA
shelby d1,2017-09-23,2017,1617,Pinus palustris,15.2,i,1,12,208,NA,NA
shelby d1,2017-09-23,2017,1605,Pinus palustris,8.8,u,2,5.7,204,6.9,NA
shelby d1,2017-09-23,2017,1604,Pinus palustris,25.7,c,1,5.4,208,NA,NA
shelby d1,2017-09-23,2017,1611,Pinus palustris,25.2,c,1,12.3,216,NA,NA
shelby d1,2017-09-23,2017,1607,Pinus palustris,27.5,c,1,9.3,170,NA,NA
shelby d1,2017-09-23,2017,1768,Pinus palustris,26.9,c,1,12.3,150,NA,NA
shelby d1,2017-09-23,2017,1766,Pinus palustris,24.3,c,1,6.9,95,NA,NA
shelby d1,2017-09-23,2017,1610,Pinus palustris,28.7,c,1,5.4,100,19.8,NA
shelby d1,2017-09-23,2017,1609,Pinus palustris,22.9,c,1,6,175,NA,NA
shelby d1,2017-09-23,2017,1608,Pinus palustris,18.2,c,1,8.9,171,NA,NA
shelby d1,2017-09-23,2017,1767,Pinus palustris,12.3,c,1,9.7,135,NA,NA
shelby d1,2017-09-23,2017,1765,Pinus palustris,6.5,i,1,12.5,128,NA,NA
shelby d1,2017-09-23,2017,1779,Quercus nigra,3.6,u,1,7,125,3.5,NA
shelby d1,2017-09-23,2017,1773,Pinus palustris,10.4,i,1,7.1,122,12.7,NA
shelby d1,2017-09-23,2017,1771,Pinus palustris,9,u,1,7.8,90,NA,NA
shelby d1,2017-09-23,2017,1769,Pinus palustris,40.5,c,1,8.4,79,19.9,NA
shelby d1,2017-09-23,2017,1774,Pinus palustris,7.6,u,1,6,82,NA,NA
shelby d1,2017-09-23,2017,1772,Pinus palustris,21.9,c,1,5.9,19,NA,NA
shelby d1,2017-09-23,2017,1788,Pinus palustris,18.4,i,1,4.3,25,NA,NA
shelby d1,2017-09-23,2017,1790,Pinus palustris,6.7,u,2,3.7,16,NA,NA
shelby d1,2017-09-23,2017,1792,Pinus palustris,24.2,c,1,2.7,346,NA,NA
shelby d1,2017-09-23,2017,1789,Pinus palustris,26.4,c,1,9.6,350,NA,NA
shelby d1,2017-09-23,2017,1787,Pinus palustris,18,c,1,11.8,22,NA,NA
shelby d1,2017-09-23,2017,1791,Pinus taeda,22.7,c,1,6.4,340,NA,NA
shelby d1,2017-09-23,2017,1778,Quercus nigra,5,u,1,3,312,4.4,NA
shelby d1,2017-09-23,2017,1798,Pinus palustris,28.7,c,1,12.3,343,NA,NA
shelby d1,2017-09-23,2017,1785,Pinus palustris,12.8,i,1,12.2,334,NA,NA
shelby d1,2017-09-23,2017,1784,Pinus palustris,10.1,u,1,12,335,NA,NA
shelby d1,2017-09-23,2017,1783,Pinus palustris,6.9,u,1,12.5,334,NA,NA
shelby d1,2017-09-23,2017,1793,Quercus nigra,4.2,u,1,9.2,321,NA,NA
shelby d1,2017-09-23,2017,1781,Pinus palustris,14.8,c,1,6.7,290,NA,NA
shelby d1,2017-09-23,2017,1799,Pinus palustris,16.8,c,1,11.3,304,NA,NA
shelby d1,2017-09-23,2017,1794,Pinus palustris,18.6,c,1,11.2,293,NA,NA
shelby d1,2017-09-23,2017,1795,Pinus palustris,12.2,i,1,12.1,282,13.5,NA
shelby d1,2017-09-23,2017,1782,Pinus palustris,21.8,c,1,9,277,NA,NA
shelby d1,2017-09-23,2017,1786,Pinus palustris,16.4,c,1,6.6,256,17.3,NA
shelby d1,2017-09-23,2017,1618,Pinus palustris,27.4,c,1,7.4,222,NA,NA
shelby d1,2017-09-23,2017,1714,Pinus palustris,21.1,c,1,8.8,213,NA,NA
shelby d1,2017-09-23,2017,1613,Pinus palustris,11.4,i,1,8.3,213,NA,NA
shelby d1,2017-09-23,2017,1603,Pinus palustris,17.4,c,1,9.9,182,NA,NA
shelby d1,2017-09-23,2017,1602,Pinus palustris,23.3,c,1,11.6,191,NA,NA
shelby a1,2018-08-11,2018,3277,Pinus elliottii,32.5,d,1,6.7,267,25.6,1.1
shelby a1,2018-08-11,2018,3269,Pinus elliottii,23.4,c,1,11.7,243,NA,NA
shelby a1,2018-08-11,2018,3328,Pinus elliottii,36,d,1,7.1,150,26.7,3.1
shelby a1,2018-08-11,2018,3284,Pinus elliottii,20.5,i,2,7.3,147,18.5,3.1
shelby a1,2018-08-11,2018,4333,Pinus elliottii,30.3,d,1,12.1,137,30.6,3
shelby a1,2018-08-11,2018,3299,Pinus elliottii,24,c,1,11.7,112,22.6,2.6
shelby a1,2018-08-11,2018,3293,Pinus elliottii,26.8,c,1,10,99,24.8,1.4
shelby a1,2018-08-11,2018,7335,Pinus elliottii,16.9,i,1,11,71,17.4,0.8
shelby a1,2018-08-11,2018,3407,Pinus elliottii,33.8,d,1,2.6,24,27.2,1.4
shelby a1,2018-08-11,2018,4340,Pinus elliottii,28.9,c,1,11.1,48,26.7,1.4
shelby a1,2018-08-11,2018,4339,Pinus elliottii,27.8,c,1,12.2,36,24.3,1.2
shelby a1,2018-08-11,2018,3286,Pinus elliottii,32.5,d,1,2.6,3,25.5,1.7
shelby a1,2018-08-11,2018,3294,Pinus elliottii,33,d,1,7.4,357,29.4,1.9
shelby a1,2018-08-11,2018,3870,Pinus elliottii,19.1,i,1,10.3,25,19.6,1.8
shelby a1,2018-08-11,2018,NA,Pinus elliottii,13.2,u,0,12.3,18,NA,NA
shelby a1,2018-08-11,2018,4108,Pinus elliottii,18.7,c,1,10.3,8,24,1
shelby a1,2018-08-11,2018,3265,Pinus elliottii,18.3,c,1,10.2,356,22.9,1.5
