plot_id,date,visit_year,species_name,stems_100m2
shelby b1,2017-09-21,2017,Acer rubrum,3
shelby b1,2017-09-21,2017,Baccharis spp.,4
shelby b1,2017-09-21,2017,Callicarpa americana,26
shelby f1,2017-09-21,2017,Callicarpa americana,6
shelby b1,2017-09-21,2017,Castanea pumila,2
shelby b1,2017-09-21,2017,Ilex glabra,4
shelby f1,2017-09-21,2017,Ilex glabra,12
shelby b1,2017-09-21,2017,Ilex vomitoria,2
shelby f1,2017-09-21,2017,Ilex vomitoria,25
shelby f1,2017-09-21,2017,Ilex opaca,1
shelby b1,2017-09-21,2017,Liquidambar styraciflua,13
shelby b1,2017-09-21,2017,Magnolia virginiana,2
shelby f1,2017-09-21,2017,Magnolia virginiana,14
shelby b1,2017-09-21,2017,Morella cerifera,4
shelby f1,2017-09-21,2017,Morella cerifera,3
shelby b1,2017-09-21,2017,Nyssa sylvatica,1
shelby f1,2017-09-21,2017,Pinus taeda,22
shelby b1,2017-09-21,2017,Quercus nigra,5
shelby f1,2017-09-21,2017,Quercus nigra,11
shelby b1,2017-09-21,2017,Quercus stellata,2
shelby b1,2017-09-21,2017,Rhus copallinum,5
shelby f1,2017-09-21,2017,Rhus copallinum,9
shelby b1,2017-09-21,2017,Rubus spp.,1
shelby b1,2017-09-21,2017,Vaccinium spp.,1
shelby f1,2017-09-21,2017,Vaccinium spp.,11
shelby d1,2017-09-23,2017,Acer rubrum,3
shelby d1,2017-09-23,2017,Diospyros virginiana,1
shelby d1,2017-09-23,2017,Ilex glabra,73
shelby d1,2017-09-23,2017,Ilex vomitoria,5
shelby d1,2017-09-23,2017,Morella cerifera,2
shelby d1,2017-09-23,2017,Quercus nigra,9
shelby d1,2017-09-23,2017,Sassafras albidum,1
shelby d1,2017-09-23,2017,Vaccinium spp.,4
shelby b2,2017-09-24,2017,Callicarpa americana,11
shelby b3,2017-09-24,2017,Callicarpa americana,38
shelby g1,2017-09-24,2017,Diospyros virginiana,3
shelby b3,2017-09-24,2017,Eupatorium capillofolium,16
shelby b2,2017-09-24,2017,Ilex glabra,80
shelby b3,2017-09-24,2017,Ilex glabra,5
shelby g1,2017-09-24,2017,Ilex glabra,78
shelby b3,2017-09-24,2017,Ilex vomitoria,1
shelby g1,2017-09-24,2017,Ilex vomitoria,31
shelby b2,2017-09-24,2017,Lespedeza bicolor Turcz.,1
shelby b3,2017-09-24,2017,Lespedeza bicolor Turcz.,4
shelby g1,2017-09-24,2017,Liquidambar styraciflua,5
