plot_id,date,visit_year,tag,species_name,dbh,canopy,health,distance,azimuth,height,char
eglin h1,2017-08-16,2017,1500,Pinus palustris,9,i,1,10.05,55,NA,NA
eglin h1,2017-08-16,2017,1499,Pinus palustris,11.6,i,1,10.07,43,NA,NA
eglin h1,2017-08-16,2017,1498,Diospyros virginiana,6.3,u,1,12.5,42,NA,NA
eglin h1,2017-08-16,2017,1497,Quercus geminata,6.4,u,1,11.4,35,NA,NA
eglin h1,2017-08-16,2017,1496,Quercus geminata,7,u,1,12.15,36,NA,NA
eglin h1,2017-08-16,2017,1495,Pinus palustris,6.3,u,2,11.11,25,NA,NA
eglin h1,2017-08-16,2017,1494,Quercus geminata,11.6,i,1,12.43,24,NA,NA
eglin h1,2017-08-16,2017,1493,Quercus geminata,11.6,i,1,12.4,24,NA,NA
eglin h1,2017-08-16,2017,1492,Pinus palustris,8.2,i,1,8.33,29,NA,NA
eglin h1,2017-08-16,2017,1491,Quercus laevis,3.8,u,1,10.6,15,NA,NA
eglin h1,2017-08-16,2017,1490,Quercus laevis,3.1,u,1,9.93,12,NA,NA
eglin h1,2017-08-16,2017,1489,Pinus palustris,4.3,u,1,6.11,20,3.4,NA
eglin h1,2017-08-16,2017,1488,Pinus palustris,3.1,u,1,7.05,23,NA,NA
eglin h1,2017-08-16,2017,1487,Pinus palustris,3.3,u,1,4.6,21,NA,NA
eglin h1,2017-08-16,2017,1486,Quercus incana,7.5,i,1,3.58,10,NA,NA
eglin h1,2017-08-16,2017,1485,Pinus palustris,18.2,c,1,9.4,2,10.4,NA
eglin h1,2017-08-16,2017,1484,Crataegus spp.,3.4,u,1,7.9,7,NA,NA
eglin h1,2017-08-16,2017,1483,Quercus laevis,3.5,u,1,6.5,352,NA,NA
eglin h1,2017-08-16,2017,1482,Pinus palustris,4,u,1,8.16,345,NA,NA
eglin h1,2017-08-16,2017,1481,Pinus palustris,3.8,u,1,9.04,345,NA,NA
eglin h1,2017-08-16,2017,1480,Crataegus spp.,4.2,u,1,12.3,358,NA,NA
eglin h1,2017-08-16,2017,1479,Quercus geminata,21.5,c,1,12,336,9.8,NA
eglin h1,2017-08-16,2017,1478,Quercus geminata,24.7,c,1,11,345,NA,NA
eglin h1,2017-08-16,2017,1477,Quercus nigra,3,u,1,5.8,321,NA,NA
eglin h1,2017-08-16,2017,1476,Pinus palustris,26.5,d,1,4.95,306,14.3,NA
eglin h1,2017-08-16,2017,1475,Pinus palustris,19.9,d,1,10,312,NA,NA
eglin h1,2017-08-16,2017,1474,Pinus palustris,3.8,u,1,10.9,320,NA,NA
eglin h1,2017-08-16,2017,1473,Quercus nigra,3.4,u,1,10.1,302,4,NA
eglin h1,2017-08-16,2017,1472,Quercus nigra,3.1,u,1,10.2,302,NA,NA
eglin h1,2017-08-16,2017,1471,Quercus nigra,3,u,1,10.6,302,NA,NA
eglin h1,2017-08-16,2017,1470,Pinus palustris,13,c,1,9.9,296,NA,NA
eglin h1,2017-08-16,2017,1469,Pinus palustris,19.5,c,1,11.3,296,NA,NA
eglin h1,2017-08-16,2017,1468,Quercus laevis,4.7,u,1,10.7,284,NA,NA
eglin h1,2017-08-16,2017,1467,Pinus palustris,12,i,1,12.1,280,9.9,NA
eglin h1,2017-08-16,2017,1466,Pinus palustris,17.2,c,1,10.5,257,20.7,NA
eglin h1,2017-08-16,2017,1465,Pinus palustris,27,d,1,6.8,260,NA,NA
eglin h1,2017-08-16,2017,1464,Pinus palustris,19.5,c,1,11,257,NA,NA
eglin h1,2017-08-16,2017,1463,Pinus palustris,11.2,i,1,11.3,255,NA,NA
eglin h1,2017-08-16,2017,1462,Pinus palustris,7,i,1,10.25,229,NA,NA
eglin h1,2017-08-16,2017,1461,Quercus laevis,3.4,u,1,6.9,234,NA,NA
eglin h1,2017-08-16,2017,1460,Crataegus spp.,4,u,1,4.2,232,NA,NA
