plot_id,date,visit_year,species_name,stems_100m2
eglin h1,2017-08-16,2017,Chamaecrista fasciculata,4
eglin h1,2017-08-16,2017,Crataegus spp.,11
eglin h1,2017-08-16,2017,Pinus palustris,4
eglin h1,2017-08-16,2017,Quercus geminata,1
eglin h1,2017-08-16,2017,Quercus laevis,5
eglin h1,2017-08-16,2017,Quercus nigra,1
eglin h1,2017-08-16,2017,Quercus spp.,5
eglin h1,2017-08-16,2017,Serenoa repens,1
eglin d1,2017-08-17,2017,Diospyros virginiana,2
eglin d1,2017-08-17,2017,Quercus laevis,1
eglin d1,2017-08-17,2017,Serenoa repens,5
eglin p1,2017-08-18,2017,Chamaecrista fasciculata,3
eglin p1,2017-08-18,2017,Diospyros virginiana,4
eglin p1,2017-08-18,2017,Pinus palustris,2
eglin p1,2017-08-18,2017,Quercus incana,1
eglin p1,2017-08-18,2017,Quercus laevis,1
eglin p1,2017-08-18,2017,Quercus laevis,1
eglin p1,2017-08-18,2017,NA NA,1
eglin b1,2017-08-19,2017,Chamaecrista fasciculata,1
eglin b1,2017-08-19,2017,Crataegus spp.,2
eglin b1,2017-08-19,2017,Diospyros virginiana,1
eglin b1,2017-08-19,2017,Pinus palustris,1
eglin b1,2017-08-19,2017,Rhus copallinum,1
eglin g1,2018-06-11,2018,Callicarpa americana,4
eglin g1,2018-06-11,2018,Croton argyranthemus,22
eglin g1,2018-06-11,2018,Ilex vomitoria,1
eglin e1,2018-06-11,2018,Pinus clausa,2
eglin a1,2018-06-11,2018,Pinus palustris,1
eglin g1,2018-06-11,2018,Quercus alba,5
eglin g1,2018-06-11,2018,Quercus geminata,2
eglin a1,2018-06-11,2018,Quercus laevis,8
eglin g1,2018-06-11,2018,Quercus laevis,2
eglin a1,2018-06-11,2018,Serenoa repens,6
eglin g1,2018-06-11,2018,Serenoa repens,9
eglin i1,2018-06-12,2018,Bambusa spp.,6
eglin i1,2018-06-12,2018,Ilex glabra,7
eglin i1,2018-06-12,2018,Ilex spp.,32
eglin i1,2018-06-12,2018,Ilex vomitoria,4
eglin i1,2018-06-12,2018,Persea borbonia,1
eglin i1,2018-06-12,2018,Quercus falcata,23
eglin i1,2018-06-12,2018,Quercus nigra,19
eglin i1,2018-06-12,2018,Vaccinium spp.,7
eglin c1,2018-06-13,2018,Quercus hemisphaerica,1
eglin j1,2018-06-13,2018,Quercus hemisphaerica,8
eglin j1,2018-06-13,2018,Quercus laevis,1
eglin c1,2018-06-13,2018,Quercus nigra,2
eglin c1,2018-06-13,2018,Serenoa repens,1
eglin j1,2018-06-13,2018,Serenoa repens,3
eglin j1,2018-06-13,2018,Vaccinium spp.,3
eglin f1,2018-06-15,2018,Crataegus spp.,4
eglin f1,2018-06-15,2018,Croton argyranthemus,15
eglin b2,2018-06-15,2018,Pinus palustris,5
eglin f1,2018-06-15,2018,Pinus palustris,2
eglin f1,2018-06-15,2018,Quercus geminata,10
eglin f1,2018-06-15,2018,Quercus hemisphaerica,2
eglin f1,2018-06-15,2018,Quercus laevis,4
eglin f1,2018-06-15,2018,Quercus nigra,7
eglin b2,2018-06-15,2018,Serenoa repens,11
