plot_id,plot_visit_date,visit_year,species_name,life_stage,tick_count
benning b1,2018-07-24,2018,NA,NA,0
benning a1,2018-07-24,2018,Amblyomma americanum,adult,7
benning a1,2018-07-24,2018,Amblyomma americanum,nymph,3
benning c1,2018-07-25,2018,Amblyomma americanum,nymph,1
benning d1,2018-07-25,2018,Amblyomma americanum,nymph,1
benning e1,2018-07-26,2018,Amblyomma americanum,adult,1
benning e1,2018-07-26,2018,Amblyomma americanum,nymph,1
benning f1,2018-07-26,2018,NA,NA,0
benning i1,2018-07-27,2018,Amblyomma americanum,nymph,5
benning j1,2018-07-27,2018,NA,NA,0
benning g1,2018-07-28,2018,Amblyomma americanum,adult,1
benning g1,2018-07-28,2018,Amblyomma americanum,nymph,1
benning h1,2018-07-28,2018,NA,NA,0
