plot_id,date,visit_year,species_name,canopy,health,total_dbh,avg_height,avg_char
benning a1,2018-07-24,2018,Carya spp.,c,alive,5.7,5.7,0.17
benning a1,2018-07-24,2018,Carya spp.,u,alive,11.5,NaN,NaN
benning a1,2018-07-24,2018,Liquidambar styraciflua,i,dead,4.7,NaN,NaN
benning a1,2018-07-24,2018,Liquidambar styraciflua,u,alive,6.8,NaN,NaN
benning a1,2018-07-24,2018,Pinus palustris,e,alive,65.5,28.4,NaN
benning a1,2018-07-24,2018,Pinus taeda,c,alive,29.2,NaN,NaN
benning a1,2018-07-24,2018,Pinus taeda,d,alive,42.7,NaN,NaN
benning a1,2018-07-24,2018,Pinus taeda,i,alive,32.4,11.4,0.21
benning a1,2018-07-24,2018,Pinus taeda,u,alive,25.2,4.5,0.22
benning a1,2018-07-24,2018,Quercus alba,i,alive,6.7,NaN,NaN
benning a1,2018-07-24,2018,Quercus alba,u,alive,3.3,NaN,NaN
benning a1,2018-07-24,2018,Quercus hemisphaerica,i,alive,4.2,NaN,NaN
benning a1,2018-07-24,2018,Quercus laevis,u,alive,3.4,4.2,NaN
benning a1,2018-07-24,2018,Quercus marilandica,c,alive,16.9,4.6,0.2
benning a1,2018-07-24,2018,Quercus marilandica,d,alive,18.5,14.1,0.54
benning a1,2018-07-24,2018,Quercus marilandica,i,alive,66,6.449999999999999,NaN
benning a1,2018-07-24,2018,Quercus marilandica,u,alive,64.6,3.4,NaN
benning a1,2018-07-24,2018,NA NA,i,alive,11.3,NaN,NaN
benning b1,2018-07-24,2018,Carya spp.,i,alive,17.2,NaN,NaN
benning b1,2018-07-24,2018,Liquidambar styraciflua,i,alive,25.200000000000003,11.4,NaN
benning b1,2018-07-24,2018,Liquidambar styraciflua,u,alive,27.5,NaN,NaN
benning b1,2018-07-24,2018,Liquidambar styraciflua,u,dead,28.2,NaN,NaN
benning b1,2018-07-24,2018,Pinus elliottii,c,alive,26.9,NaN,0.77
benning b1,2018-07-24,2018,Pinus palustris,c,alive,388.3,13.866666666666667,1.1466666666666667
benning b1,2018-07-24,2018,Pinus palustris,d,alive,46.599999999999994,15.149999999999999,1.25
benning b1,2018-07-24,2018,Pinus palustris,i,alive,104.3,NaN,0.75
benning b1,2018-07-24,2018,Pinus palustris,u,alive,4.9,NaN,NaN
benning b1,2018-07-24,2018,Pinus taeda,c,alive,92,15.6,0.7233333333333333
benning b1,2018-07-24,2018,Pinus taeda,d,alive,34.5,17.8,0.7
benning b1,2018-07-24,2018,Quercus incana,i,alive,18.4,NaN,NaN
benning b1,2018-07-24,2018,Quercus incana,u,alive,9.3,NaN,NaN
benning b1,2018-07-24,2018,Quercus incana,u,dead,13.8,NaN,NaN
benning b1,2018-07-24,2018,Quercus marilandica,c,alive,16.8,NaN,NaN
benning b1,2018-07-24,2018,Sassafras albidum,u,alive,8.1,NaN,NaN
benning c1,2018-07-25,2018,Pinus elliottii,i,alive,71,13.04,0.9400000000000001
benning c1,2018-07-25,2018,Pinus elliottii,u,alive,8.8,8.4,0.5
benning c1,2018-07-25,2018,Pinus taeda,d,alive,300.6,28.557142857142857,2.428571428571429
benning c1,2018-07-25,2018,Pinus taeda,i,alive,19,21.1,1.5
benning c1,2018-07-25,2018,Pinus taeda,u,alive,9.2,10.4,1
benning d1,2018-07-25,2018,Pinus elliottii,d,alive,37.3,30.6,5.8
benning d1,2018-07-25,2018,Pinus palustris,d,alive,95.2,29.950000000000003,4.05
benning d1,2018-07-25,2018,Pinus palustris,u,dead,15.4,3.5,3.5
benning d1,2018-07-25,2018,Pinus taeda,d,alive,50.2,31.6,6.2
benning d1,2018-07-25,2018,Pinus taeda,u,alive,5,3.1,2.3
benning e1,2018-07-26,2018,Liquidambar styraciflua,c,alive,51.5,NaN,NaN
benning e1,2018-07-26,2018,Liquidambar styraciflua,d,alive,41.9,NaN,NaN
benning e1,2018-07-26,2018,Liquidambar styraciflua,i,alive,111.2,10.1,0.2
benning e1,2018-07-26,2018,Liquidambar styraciflua,u,alive,49.7,NaN,NaN
benning e1,2018-07-26,2018,Liquidambar styraciflua,u,dead,19,NaN,NaN
benning e1,2018-07-26,2018,Pinus elliottii,c,alive,78.8,19.3,0.5
benning e1,2018-07-26,2018,Pinus elliottii,c,dead,17.4,NaN,NaN
benning e1,2018-07-26,2018,Pinus elliottii,cd,alive,69.5,NaN,NaN
benning e1,2018-07-26,2018,Pinus elliottii,d,alive,81.1,25.7,2.8
benning e1,2018-07-26,2018,Pinus elliottii,i,alive,67.4,NaN,NaN
benning e1,2018-07-26,2018,Pinus elliottii,u,alive,95.1,9.9,0.43
benning e1,2018-07-26,2018,Pinus taeda,c,alive,147.3,14.3,0.585
benning e1,2018-07-26,2018,Pinus taeda,cd,alive,40.8,NaN,NaN
benning e1,2018-07-26,2018,Pinus taeda,d,alive,22.4,NaN,NaN
benning e1,2018-07-26,2018,Pinus taeda,i,alive,83.9,13.35,0.52
benning e1,2018-07-26,2018,Pinus taeda,u,alive,14,10.4,1.35
benning e1,2018-07-26,2018,Quercus stellata,u,alive,12,NaN,NaN
benning e1,2018-07-26,2018,NA NA,u,dead,29.4,NaN,NaN
benning f1,2018-07-26,2018,Liquidambar styraciflua,c,alive,23,NaN,NaN
benning f1,2018-07-26,2018,Liquidambar styraciflua,d,alive,84.1,19.450000000000003,0
benning f1,2018-07-26,2018,Liquidambar styraciflua,i,alive,12.1,NaN,NaN
benning f1,2018-07-26,2018,Liquidambar styraciflua,u,alive,7,NaN,NaN
benning f1,2018-07-26,2018,Pinus elliottii,u,alive,6.2,NaN,NaN
benning f1,2018-07-26,2018,Pinus taeda,c,alive,352.3,16.933333333333334,0.4766666666666667
benning f1,2018-07-26,2018,Pinus taeda,c,dead,14.8,NaN,NaN
benning f1,2018-07-26,2018,Pinus taeda,d,alive,328.2,17.35,1.025
benning f1,2018-07-26,2018,Pinus taeda,i,alive,318.4,NaN,NaN
benning f1,2018-07-26,2018,Pinus taeda,i,dead,79.9,19.2,1.1
benning f1,2018-07-26,2018,Pinus taeda,u,alive,106,15.9,0.8
benning f1,2018-07-26,2018,Pinus taeda,u,dead,109.5,NaN,NaN
benning f1,2018-07-26,2018,Pinus taeda,NA,alive,8.5,NaN,NaN
