plot_id,date,visit_year,species_name,stems_100m2
benning a1,2018-07-24,2018,Callicarpa americana,1
benning a1,2018-07-24,2018,Carya spp.,20
benning a1,2018-07-24,2018,Crataegus spp.,3
benning a1,2018-07-24,2018,Liquidambar styraciflua,28
benning b1,2018-07-24,2018,Liquidambar styraciflua,1
benning a1,2018-07-24,2018,Morella cerifera,25
benning a1,2018-07-24,2018,Prunus spp.,4
benning a1,2018-07-24,2018,Quercus alba,4
benning a1,2018-07-24,2018,Quercus hemisphaerica,8
benning a1,2018-07-24,2018,Quercus marilandica,16
benning a1,2018-07-24,2018,Rhus copallinum,38
benning a1,2018-07-24,2018,Sassafras albidum,2
benning a1,2018-07-24,2018,Vaccinium arboreum,1
benning a1,2018-07-24,2018,Vaccinium spp.,22
benning a1,2018-07-24,2018,Vaccinium spp.,15
benning c1,2018-07-25,2018,Callicarpa americana,24
benning d1,2018-07-25,2018,Carya spp.,4
benning d1,2018-07-25,2018,Diospyros virginiana,1
benning c1,2018-07-25,2018,Liquidambar styraciflua,31
benning d1,2018-07-25,2018,Liquidambar styraciflua,24
benning d1,2018-07-25,2018,Pinus taeda,3
benning d1,2018-07-25,2018,Quercus laevis,13
benning d1,2018-07-25,2018,Quercus marilandica,17
benning c1,2018-07-25,2018,Rhus copallinum,2
benning c1,2018-07-25,2018,Rubus spp.,4
benning d1,2018-07-25,2018,Vaccinium arboreum,10
benning d1,2018-07-25,2018,Vaccinium spp.,7
benning f1,2018-07-26,2018,Diospyros virginiana,2
benning e1,2018-07-26,2018,Liquidambar styraciflua,11
benning f1,2018-07-26,2018,Liquidambar styraciflua,14
benning f1,2018-07-26,2018,Morella cerifera,3
benning i1,2018-07-27,2018,Callicarpa americana,3
benning i1,2018-07-27,2018,Carya spp.,1
benning j1,2018-07-27,2018,Diospyros virginiana,3
benning j1,2018-07-27,2018,Lespedeza bicolor Turcz.,8
benning i1,2018-07-27,2018,Liquidambar styraciflua,1
benning i1,2018-07-27,2018,Quercus marilandica,3
benning j1,2018-07-27,2018,Quercus marilandica,11
benning j1,2018-07-27,2018,Rhus copallinum,49
benning j1,2018-07-27,2018,Rubus spp.,2
benning j1,2018-07-27,2018,Vaccinium arboreum,1
benning j1,2018-07-27,2018,NA NA,3
benning h1,2018-07-28,2018,Diospyros virginiana,9
benning h1,2018-07-28,2018,Eupatorium capillofolium,12
benning g1,2018-07-28,2018,Lespedeza bicolor Turcz.,1
benning g1,2018-07-28,2018,Quercus falcata,2
benning h1,2018-07-28,2018,Vaccinium spp.,12
benning h1,2018-07-28,2018,NA NA,2
