plot_id,date,visit_year,species_name,canopy,health,total_dbh,avg_height,avg_char
gordon a1,2018-08-20,2018,Pinus palustris,u,alive,17.7,7.65,1.5
gordon a1,2018-08-20,2018,Pinus taeda,c,alive,191.9,13.925,2.625
gordon a1,2018-08-20,2018,Pinus taeda,d,alive,198,17.325,2.975
gordon b1,2018-08-20,2018,Pinus palustris,c,alive,16.3,10.7,2.1
gordon b1,2018-08-20,2018,Pinus palustris,d,alive,229.9,12.925,2.65
gordon b1,2018-08-20,2018,Pinus palustris,u,dead,7.3,2.9,1.4
gordon c1,2018-08-20,2018,Pinus palustris,c,alive,112.2,18.325,1.75
gordon c1,2018-08-20,2018,Pinus palustris,d,alive,234.8,21.67142857142857,1.7857142857142856
gordon d1,2018-08-21,2018,Carya spp.,c,alive,48.5,17.7,NaN
gordon d1,2018-08-21,2018,Carya spp.,u,alive,13.9,NaN,NaN
gordon d1,2018-08-21,2018,Cornus floridana,u,alive,32.8,8.1,NaN
gordon d1,2018-08-21,2018,Ilex opaca,i,alive,10.2,7.6,NaN
gordon d1,2018-08-21,2018,Liquidambar styraciflua,c,alive,19.6,17,NaN
gordon d1,2018-08-21,2018,Pinus palustris,i,alive,10.8,12.3,NaN
gordon d1,2018-08-21,2018,Pinus palustris,u,alive,18.9,8.1,NaN
gordon d1,2018-08-21,2018,Quercus alba,c,alive,352.7,16.22,NaN
gordon d1,2018-08-21,2018,Quercus alba,i,alive,214.8,NaN,NaN
gordon d1,2018-08-21,2018,Quercus alba,u,alive,80.1,NaN,NaN
gordon d1,2018-08-21,2018,Quercus alba,u,dead,41.300000000000004,NaN,NaN
gordon d1,2018-08-21,2018,Quercus spp.,u,dead,15.9,NaN,NaN
gordon d1,2018-08-21,2018,Quercus laevis,c,alive,16.6,14.6,NaN
gordon d1,2018-08-21,2018,Quercus laevis,i,alive,10.8,NaN,NaN
gordon d1,2018-08-21,2018,Quercus laevis,u,alive,28.7,NaN,NaN
gordon d1,2018-08-21,2018,Quercus marilandica,u,alive,6.2,6.4,NaN
gordon e1,2018-08-21,2018,Carya spp.,i,alive,6.1,NaN,NaN
gordon e1,2018-08-21,2018,Carya spp.,u,alive,31.4,5.3,NaN
gordon e1,2018-08-21,2018,Cornus floridana,i,alive,82.1,NaN,NaN
gordon e1,2018-08-21,2018,Cornus floridana,u,alive,126.8,NaN,NaN
gordon e1,2018-08-21,2018,Cornus floridana,u,dead,11,NaN,NaN
gordon e1,2018-08-21,2018,Pinus palustris,c,alive,21,19,NaN
gordon e1,2018-08-21,2018,Pinus palustris,d,alive,24.2,NaN,NaN
gordon e1,2018-08-21,2018,Pinus taeda,c,alive,82.6,NaN,NaN
gordon e1,2018-08-21,2018,Pinus taeda,d,alive,124.80000000000001,19.15,NaN
gordon e1,2018-08-21,2018,Pinus taeda,i,dead,30.200000000000003,NaN,NaN
gordon e1,2018-08-21,2018,Pinus taeda,u,dead,36.9,NaN,NaN
gordon e1,2018-08-21,2018,Quercus alba,c,alive,23.2,NaN,NaN
gordon e1,2018-08-21,2018,Quercus alba,d,alive,32.6,13.5,NaN
gordon e1,2018-08-21,2018,Quercus alba,i,alive,103.1,11.5,NaN
gordon e1,2018-08-21,2018,Quercus alba,u,alive,121.9,NaN,NaN
gordon e1,2018-08-21,2018,Quercus spp.,u,dead,8.3,NaN,NaN
gordon e1,2018-08-21,2018,Quercus hemisphaerica,c,alive,15.7,NaN,NaN
gordon e1,2018-08-21,2018,Quercus laevis,i,alive,16.2,NaN,NaN
gordon e1,2018-08-21,2018,Quercus laevis,u,alive,83.1,4.7,NaN
gordon e1,2018-08-21,2018,Quercus nigra,c,alive,13.5,14,NaN
gordon e1,2018-08-21,2018,Quercus nigra,i,alive,13.6,NaN,NaN
gordon e1,2018-08-21,2018,Quercus nigra,u,alive,5.8,NaN,NaN
gordon f1,2018-08-21,2018,Pinus palustris,d,alive,219.3,15.933333333333334,3.2777777777777777
gordon f1,2018-08-21,2018,Pinus palustris,u,dead,5.1,2.6,1.4
gordon f1,2018-08-21,2018,Quercus laevis,u,alive,3.5,2.3,0
gordon g1,2018-08-22,2018,Pinus spp.,u,dead,60.9,NaN,NaN
gordon g1,2018-08-22,2018,Pinus taeda,c,alive,91,26.4,2.8
gordon g1,2018-08-22,2018,Pinus taeda,d,alive,341.2,26.52857142857143,2.2714285714285714
gordon g1,2018-08-22,2018,Pinus taeda,i,alive,10.6,NaN,NaN
gordon g1,2018-08-22,2018,Pinus taeda,i,dead,18,NaN,NaN
gordon g1,2018-08-22,2018,Prunus spp.,i,alive,29.8,NaN,NaN
gordon g1,2018-08-22,2018,Prunus spp.,u,alive,9.7,NaN,NaN
gordon g1,2018-08-22,2018,Quercus marilandica,i,alive,61.5,13.8,1.2
gordon g1,2018-08-22,2018,Quercus marilandica,u,alive,45,9,1.2
gordon g1,2018-08-22,2018,Quercus nigra,i,alive,19.1,NaN,NaN
gordon h1,2018-08-22,2018,Pinus spp.,c,dead,37.099999999999994,NaN,NaN
gordon h1,2018-08-22,2018,Pinus spp.,i,dead,22.1,NaN,NaN
gordon h1,2018-08-22,2018,Pinus spp.,u,dead,16.4,NaN,NaN
gordon h1,2018-08-22,2018,Pinus palustris,c,alive,67.7,21.25,2.55
gordon h1,2018-08-22,2018,Pinus taeda,c,alive,296.4,18.933333333333334,2.6333333333333333
gordon h1,2018-08-22,2018,Pinus taeda,d,alive,90,23.766666666666666,2.8666666666666667
gordon h1,2018-08-22,2018,Pinus taeda,i,alive,56,NaN,NaN
gordon h1,2018-08-22,2018,Pinus taeda,u,dead,20.2,NaN,NaN
gordon h1,2018-08-22,2018,Prunus spp.,i,alive,19.9,12.6,1.2
gordon h1,2018-08-22,2018,Quercus falcata,c,alive,52.3,NaN,NaN
gordon h1,2018-08-22,2018,Quercus falcata,i,alive,31.799999999999997,14,2
gordon h1,2018-08-22,2018,Quercus incana,u,alive,8,NaN,NaN
gordon h1,2018-08-22,2018,NA NA,u,dead,9.3,NaN,NaN
