plot_id,date,species,dung1m,dung2m
jackson a1,20180709,NA,0,0
jackson b1,20180709,deer,1,0
jackson b1,20180709,NA,0,0
jackson c1,20180709,NA,0,0
jackson d1,20180709,deer,1,2
jackson d1,20180709,NA,0,0
jackson e1,20180710,NA,0,0
jackson f1,20180710,cottontail,8,0
jackson f1,20180710,deer,2,0
jackson f1,20180710,NA,0,0
jackson g1,20180710,deer,3,2
jackson g1,20180710,NA,0,0
jackson h1,20180712,deer,4,2
jackson h1,20180712,NA,0,0
jackson i1,20180711,NA,0,0
jackson j1,20180711,cottontail,8,0
jackson j1,20180711,NA,0,0
jackson k1,20180711,cottontail,12,0
jackson k1,20180711,NA,0,0
jackson l1,20180712,deer,0,1
jackson l1,20180712,NA,0,0
jackson m1,20180712,NA,0,0
