plot_id,date,visit_year,avg_woody_veg_ht,avg_herb_veg_ht,avg_litter_ht,avg_pct_green,avg_pct_litter,avg_pct_wood_litter,avg_pct_bare,avg_standing_fuel_mass_wet_m2,avg_litter_mass_wet_m2,avg_standing_fuel_mass_dry_m2,avg_litter_mass_dry_m2,avg_pct_canopy_cover
jackson a1,2018-07-09,2018,35.166666666666664,23.2,8.5,24.5,85,15.5,0,59.88,1586.3999999999999,55.4,1429.32,42.64
jackson b1,2018-07-09,2018,27,55.875,6.333333333333333,9.25,93.75,19,6.25,11.28,834.48,10.24,776.4,30.16
jackson c1,2018-07-09,2018,27.875,0,4.333333333333333,5.5,82.5,12.5,17.5,36.2,993.7199999999999,33.08,931,27.82
jackson d1,2018-07-09,2018,15.714285714285714,20.5,5.916666666666667,8.75,98.75,1.25,0,15.559999999999999,593.28,14.08,544.84,95.68
jackson e1,2018-07-10,2018,23.375,28.363636363636363,5.25,5.25,89.5,4,10.5,36.24,503.72,26.44,469.92,22.88
jackson f1,2018-07-10,2018,45.77777777777778,8.666666666666666,3.75,10.25,85,4.25,15,88.92,1025.44,74.84,947.88,47.839999999999996
jackson g1,2018-07-10,2018,25,12.75,4.416666666666667,25,87.5,3.5,1.25,190.76000000000002,809,171,740.68,97.76
jackson h1,2018-07-12,2018,84.58333333333333,23.181818181818183,5.5,62.5,93.75,2.5,1.25,361.44,1264,234.56,1121.64,66.3
jackson i1,2018-07-11,2018,25.571428571428573,40.75,3.9166666666666665,18.75,71.25,11.75,13.75,40.72,622,35.64,580.72,55.64
jackson j1,2018-07-11,2018,41.416666666666664,16.1,2.8333333333333335,28.75,93.75,4.75,5,158.84,571.52,140.76,530.24,43.42
jackson k1,2018-07-11,2018,29.6,17.833333333333332,2.5833333333333335,6.25,68.75,4.25,31.25,24.76,308.48,17.080000000000002,280.36,92.82000000000001
jackson l1,2018-07-13,2018,23.285714285714285,27.583333333333332,5.25,33.75,100,4,0,231,1890.12,92.36,1167.68,40.300000000000004
jackson m1,2018-07-13,2018,24.5,34.6,5.958333333333333,15.5,82.5,14.75,17.5,106.92,2071.64,42.64,1242.0800000000002,69.16
