plot_id,date,species,life_stage,tick_count
jackson a1,20180711,Am. mac,A,1
jackson a1,20180711,NA,NA,0
jackson b1,20180711,Am. am,N,1
jackson b1,20180711,NA,NA,0
jackson c1,20180711,NA,NA,0
jackson d1,20180711,Am. am,A,1
jackson d1,20180711,Am. am,N,2
jackson d1,20180711,NA,NA,0
jackson e1,20180712,NA,NA,0
jackson extra,20180714,Am. am,N,1
jackson f1,20180712,NA,NA,0
jackson g1,20180712,Am. am,N,1
jackson g1,20180712,NA,L,4
jackson g1,20180712,NA,NA,0
jackson h1,20180712,Am. mac,A,1
jackson h1,20180712,NA,NA,0
jackson i1,20180712,NA,NA,0
jackson j1,20180712,NA,NA,0
jackson k1,20180712,NA,NA,0
jackson l1,20180713,Am. am,A,1
jackson l1,20180713,NA,NA,0
jackson m1,20180713,Am. am,A,1
jackson m1,20180713,NA,NA,0
