plot_id,date,visit_year,species_name,canopy,health,total_dbh,avg_height,avg_char
jackson a1,2018-07-09,2018,Pinus taeda,c,alive,109.8,25.4,NaN
jackson a1,2018-07-09,2018,Pinus taeda,d,alive,98.9,34.75,NaN
jackson a1,2018-07-09,2018,Pinus taeda,u,alive,24.4,6.8,NaN
jackson a1,2018-07-09,2018,Quercus falcata,u,alive,24.1,17.9,NaN
jackson b1,2018-07-09,2018,Pinus palustris,u,alive,24.6,21.4,1.58
jackson b1,2018-07-09,2018,Pinus taeda,d,alive,93.6,30.8,1.98
jackson b1,2018-07-09,2018,Pinus taeda,i,alive,80.30000000000001,25.05,1.625
jackson c1,2018-07-09,2018,Pinus taeda,c,alive,282,17.727272727272727,4.172727272727273
jackson c1,2018-07-09,2018,Pinus taeda,i,alive,46.9,15.5,1.7
jackson d1,2018-07-09,2018,Carya spp.,d,alive,93,18.9,NaN
jackson d1,2018-07-09,2018,Carya spp.,i,alive,39.3,NaN,NaN
jackson d1,2018-07-09,2018,Carya spp.,u,alive,14,NaN,NaN
jackson d1,2018-07-09,2018,Diospyros virginiana,u,alive,5.6,NaN,NaN
jackson d1,2018-07-09,2018,Pinus palustris,c,alive,22.5,NaN,NaN
jackson d1,2018-07-09,2018,Pinus palustris,i,alive,18.1,NaN,NaN
jackson d1,2018-07-09,2018,Pinus palustris,u,alive,23.1,5.5,NaN
jackson d1,2018-07-09,2018,Pinus taeda,c,alive,44.7,15.5,NaN
jackson d1,2018-07-09,2018,Pinus taeda,d,alive,46.099999999999994,NaN,NaN
jackson d1,2018-07-09,2018,Pinus taeda,i,alive,37.2,NaN,NaN
jackson d1,2018-07-09,2018,Pinus taeda,u,alive,47.7,5.9,NaN
jackson d1,2018-07-09,2018,Quercus alba,c,alive,135,14.100000000000001,NaN
jackson d1,2018-07-09,2018,Quercus alba,d,alive,24.6,NaN,NaN
jackson d1,2018-07-09,2018,Quercus alba,i,alive,205.29999999999998,13.8,NaN
jackson d1,2018-07-09,2018,Quercus alba,u,alive,78.3,NaN,NaN
jackson d1,2018-07-09,2018,Quercus alba,u,dead,8,NaN,NaN
jackson d1,2018-07-09,2018,Quercus laevis,d,alive,26.2,17.7,NaN
jackson d1,2018-07-09,2018,Quercus laevis,u,alive,7.1,NaN,NaN
jackson d1,2018-07-09,2018,Quercus nigra,i,alive,11.6,NaN,NaN
jackson d1,2018-07-09,2018,Quercus nigra,u,alive,3,NaN,NaN
jackson d1,2018-07-09,2018,Quercus rubra,e,alive,78.9,41.3,NaN
jackson d1,2018-07-09,2018,Quercus rubra,u,dead,24.9,NaN,NaN
jackson e1,2018-07-10,2018,Pinus palustris,c,alive,91,11.2,1.2149999999999999
jackson e1,2018-07-10,2018,Pinus palustris,d,alive,97.1,14,1.495
jackson e1,2018-07-10,2018,Pinus palustris,i,alive,102.4,8.55,0.97
jackson e1,2018-07-10,2018,Pinus palustris,u,alive,70.8,2.8,0.68
jackson e1,2018-07-10,2018,Quercus laevis,i,alive,27.2,5.7,0.77
jackson e1,2018-07-10,2018,Quercus laevis,u,alive,22.8,4.2,0.48
jackson e1,2018-07-10,2018,Sassafras albidum,i,alive,8.4,6.9,0.33
jackson e1,2018-07-10,2018,Vaccinium spp.,u,alive,31,NaN,NaN
jackson f1,2018-07-10,2018,Pinus palustris,c,alive,222.10000000000002,21.17142857142857,0.9371428571428572
jackson f1,2018-07-10,2018,Pinus palustris,d,alive,36.9,24.2,1.08
jackson f1,2018-07-10,2018,Pinus palustris,u,alive,20.2,6.300000000000001,0.29
jackson f1,2018-07-10,2018,Pinus taeda,c,alive,26.2,18.3,1.12
jackson g1,2018-07-10,2018,Carya spp.,i,alive,5.7,NaN,NaN
jackson g1,2018-07-10,2018,Carya spp.,u,alive,15.7,NaN,NaN
jackson g1,2018-07-10,2018,Pinus taeda,c,alive,136.6,15.733333333333334,0.6433333333333333
jackson g1,2018-07-10,2018,Pinus taeda,c,dead,16,NaN,NaN
jackson g1,2018-07-10,2018,Pinus taeda,d,alive,94.4,20.9,NaN
jackson g1,2018-07-10,2018,Pinus taeda,i,alive,8.3,NaN,NaN
jackson g1,2018-07-10,2018,Pinus taeda,u,alive,56.6,5.85,NaN
jackson g1,2018-07-10,2018,Pinus taeda,u,dead,10.8,NaN,NaN
jackson g1,2018-07-10,2018,Quercus alba,c,alive,126.9,NaN,NaN
jackson g1,2018-07-10,2018,Quercus alba,d,alive,25.8,NaN,NaN
jackson g1,2018-07-10,2018,Quercus alba,i,alive,79.2,NaN,NaN
jackson g1,2018-07-10,2018,Quercus alba,u,alive,118.5,7.1,0.36
jackson g1,2018-07-10,2018,Quercus spp.,u,dead,8.6,NaN,NaN
jackson g1,2018-07-10,2018,Quercus incana,c,alive,42.3,NaN,NaN
jackson g1,2018-07-10,2018,Quercus marilandica,c,alive,51.4,13.9,0.33
jackson g1,2018-07-10,2018,Quercus marilandica,i,alive,25,NaN,NaN
jackson g1,2018-07-10,2018,Quercus marilandica,u,alive,41.1,NaN,NaN
jackson g1,2018-07-10,2018,Quercus rubra,c,alive,36.9,11.95,NaN
jackson g1,2018-07-10,2018,NA NA,i,dead,14.5,NaN,NaN
jackson g1,2018-07-10,2018,NA NA,u,dead,15.7,NaN,NaN
jackson h1,2018-07-12,2018,Carya spp.,i,alive,29.5,9.399999999999999,0
jackson h1,2018-07-12,2018,Carya spp.,u,alive,9.6,NaN,NaN
jackson h1,2018-07-12,2018,Diospyros virginiana,u,alive,13.4,3.8,0.1
jackson h1,2018-07-12,2018,Ilex spp.,u,alive,3.1,NaN,NaN
jackson h1,2018-07-12,2018,Pinus palustris,c,alive,150.5,27.55,2.41
jackson h1,2018-07-12,2018,Pinus palustris,i,alive,41.4,14,2.3
jackson h1,2018-07-12,2018,Pinus taeda,c,alive,171.1,25.233333333333334,2.466666666666667
jackson h1,2018-07-12,2018,Pinus taeda,i,alive,20.1,NaN,NaN
jackson h1,2018-07-12,2018,Quercus hemisphaerica,i,alive,5.4,7,0.25
jackson h1,2018-07-12,2018,Quercus hemisphaerica,u,alive,6.2,NaN,NaN
jackson i1,2018-07-11,2018,Pinus palustris,d,alive,301.1,24.325,3.125
jackson j1,2018-07-11,2018,Pinus palustris,b,alive,71.9,18.9,3.9
jackson j1,2018-07-11,2018,Pinus palustris,c,alive,293.3,15.154545454545454,4.345454545454546
jackson j1,2018-07-11,2018,Pinus palustris,d,alive,30.9,17.9,5.6
jackson j1,2018-07-11,2018,Quercus laevis,u,alive,7.9,2.75,1.25
jackson k1,2018-07-11,2018,Pinus palustris,c,alive,384.1,10.866666666666667,1.7566666666666666
jackson k1,2018-07-11,2018,Pinus palustris,d,alive,46.900000000000006,9.7,1.27
jackson k1,2018-07-11,2018,Pinus palustris,i,alive,106.2,7.4,1.71
jackson k1,2018-07-11,2018,Pinus palustris,u,alive,72.6,NaN,NaN
jackson k1,2018-07-11,2018,Pinus palustris,u,dead,10.1,NaN,NaN
jackson k1,2018-07-11,2018,Quercus spp.,c,alive,14.9,NaN,NaN
jackson k1,2018-07-11,2018,Quercus spp.,d,alive,29.2,15,2.6
jackson k1,2018-07-11,2018,Quercus spp.,i,alive,15,5.05,0.29000000000000004
jackson k1,2018-07-11,2018,Quercus spp.,u,alive,90.7,12,1.26
jackson k1,2018-07-11,2018,Quercus spp.,u,dead,9.8,NaN,NaN
jackson k1,2018-07-11,2018,Quercus laevis,u,alive,47.7,4.5,0.61
jackson k1,2018-07-11,2018,Quercus laevis,u,dead,4.8,NaN,NaN
jackson l1,2018-07-13,2018,Carya spp.,u,alive,8.8,6.1,NaN
jackson l1,2018-07-13,2018,Carya spp.,u,dead,13.8,7.4,NaN
jackson l1,2018-07-13,2018,Pinus palustris,d,alive,251.10000000000002,26,1.2571428571428571
jackson l1,2018-07-13,2018,Pinus palustris,u,alive,11.9,7.3999999999999995,0.37
jackson l1,2018-07-13,2018,Quercus marilandica,u,alive,3.1,2.4,NaN
jackson m1,2018-07-13,2018,Pinus palustris,d,alive,189.8,23.5,0.8066666666666666
jackson m1,2018-07-13,2018,Pinus palustris,i,alive,101.5,3.9,0.46499999999999997
jackson m1,2018-07-13,2018,Pinus palustris,s,alive,29.2,NaN,NaN
jackson m1,2018-07-13,2018,Pinus palustris,u,alive,118.8,3.8,0.71
jackson m1,2018-07-13,2018,Quercus laevis,i,alive,34.5,4.95,0.21
jackson m1,2018-07-13,2018,Quercus laevis,u,alive,9.5,NaN,NaN
jackson m1,2018-07-13,2018,Quercus laevis,u,dead,6.9,NaN,NaN
jackson m1,2018-07-13,2018,Quercus marilandica,u,alive,3.9,3.6,0
