plot_id,date,visit_year,tag,species_name,dbh,canopy,health,distance,azimuth,height,char
jackson d1,2018-07-09,2018,3535,Quercus alba,4.1,i,1,4,11,NA,NA
jackson d1,2018-07-09,2018,3136,Quercus alba,16.7,c,1,5.3,6,NA,NA
jackson d1,2018-07-09,2018,3517,Quercus alba,15.1,i,1,7.3,5,NA,NA
jackson d1,2018-07-09,2018,3519,Quercus alba,17.3,i,1,8.4,1,NA,NA
jackson d1,2018-07-09,2018,3133,Quercus alba,24.6,d,1,9.4,3,NA,NA
jackson d1,2018-07-09,2018,3520,Pinus taeda,7.8,i,1,9.2,7,NA,NA
jackson d1,2018-07-09,2018,3536,Quercus alba,13.4,i,2,5.1,15,NA,NA
jackson d1,2018-07-09,2018,3537,Quercus alba,5.9,u,3,5.8,12,NA,NA
jackson d1,2018-07-09,2018,3538,Quercus alba,5.6,u,3,7.6,19,NA,NA
jackson d1,2018-07-09,2018,3521,Quercus alba,15.7,i,1,9.1,17,NA,NA
jackson d1,2018-07-09,2018,3533,Quercus alba,8.6,i,3,10,18,NA,NA
jackson d1,2018-07-09,2018,3516,Pinus palustris,4.5,u,1,3,41,NA,NA
jackson d1,2018-07-09,2018,3953,Quercus alba,8.6,i,1,4.6,46,13.8,NA
jackson d1,2018-07-09,2018,3954,Quercus alba,9.7,i,1,5.1,45,NA,NA
jackson d1,2018-07-09,2018,3553,Quercus alba,16.5,c,1,8.1,41,NA,NA
jackson d1,2018-07-09,2018,3540,Pinus taeda,6.7,i,1,10.2,28,NA,NA
jackson d1,2018-07-09,2018,3518,Quercus alba,15.9,c,1,10.7,31,NA,NA
jackson d1,2018-07-09,2018,3514,Quercus alba,15.4,c,1,12.3,41,NA,NA
jackson d1,2018-07-09,2018,3539,Quercus alba,7.4,i,1,11.8,45,NA,NA
jackson d1,2018-07-09,2018,3548,Quercus alba,6.8,i,2,11.5,54,NA,NA
jackson d1,2018-07-09,2018,3952,Quercus alba,5,u,3,5,47,NA,NA
jackson d1,2018-07-09,2018,3949,Quercus laevis,26.2,d,1,4.8,60,17.7,NA
jackson d1,2018-07-09,2018,3951,Quercus alba,13.7,i,1,7,60,NA,NA
jackson d1,2018-07-09,2018,3547,Pinus palustris,5.5,u,2,7.4,60,NA,NA
jackson d1,2018-07-09,2018,3550,Quercus alba,9.4,i,1,11.6,60,NA,NA
jackson d1,2018-07-09,2018,3948,Quercus alba,10.1,i,2,4.3,61,NA,NA
jackson d1,2018-07-09,2018,3947,Pinus taeda,3.9,u,1,2.9,64,NA,NA
jackson d1,2018-07-09,2018,3946,Pinus taeda,13.9,c,1,2.6,89,NA,NA
jackson d1,2018-07-09,2018,3945,Pinus taeda,5,u,1,3.1,88,NA,NA
jackson d1,2018-07-09,2018,3944,Pinus palustris,7.3,u,1,6.8,73,5.5,NA
jackson d1,2018-07-09,2018,3955,Pinus taeda,10.1,i,1,10.2,68,NA,NA
jackson d1,2018-07-09,2018,3956,Quercus alba,16.3,c,1,11.1,67,12.8,NA
jackson d1,2018-07-09,2018,3950,Quercus laevis,7.1,u,1,9.6,68,NA,NA
jackson d1,2018-07-09,2018,3943,Quercus alba,11.1,i,1,8.5,82,NA,NA
jackson d1,2018-07-09,2018,3957,Pinus palustris,6.6,i,1,12.1,80,NA,NA
jackson d1,2018-07-09,2018,3940,Quercus alba,9.8,u,1,6.2,103,NA,NA
