plot_id,date,visit_year,species_name,over_100cm
moody a1,2017-08-29,2017,Callicarpa americana,10
moody a1,2017-08-29,2017,Crotalaria spectabilis,2
moody b1,2017-08-29,2017,Ilex glabra,18
moody a1,2017-08-29,2017,Liquidambar styraciflua,2
moody a1,2017-08-29,2017,Magnolia spp.,1
moody a1,2017-08-29,2017,Morella cerifera,2
moody b1,2017-08-29,2017,Morella cerifera,1
moody b1,2017-08-29,2017,Quercus nigra,23
moody a1,2017-08-29,2017,Quercus stellata,1
moody a1,2017-08-29,2017,Quercus stellata,1
moody a1,2017-08-29,2017,Rhus aromatica,1
moody a1,2017-08-29,2017,NA NA,1
moody k1,2017-08-31,2017,Mentha spp.,1
moody k1,2017-08-31,2017,Quercus nigra,1
