plot_id,date,visit_year,species,dung1m,dung2m
tyndall b2,2017-07-20,2017,NA,0,0
tyndall b1,2017-07-20,2017,NA,0,0
tyndall d1,2017-07-20,2017,NA,0,0
tyndall h1,2017-07-20,2017,NA,0,0
tyndall d2,2018-06-25,2018,other,1,0
tyndall b4,2018-06-27,2018,deer,3,0
tyndall b1,2018-06-25,2018,deer,3,0
tyndall b1,2018-06-25,2018,other,2,0
tyndall b2,2018-06-25,2018,deer,8,3
tyndall c1,2018-06-26,2018,cottontail,3,2
tyndall c1,2018-06-26,2018,deer,2,0
tyndall c2,2018-06-26,2018,cottontail,44,0
tyndall c2,2018-06-26,2018,deer,3,1
tyndall b3,2018-06-27,2018,cottontail,8,0
