plot_id,visit_year,imcy_inv,avg_tiller_density_m2,xcoord_lon,ycoord_lat,years_since_fire
tyndall b2,2017,uninvaded,NA,-85.476082,30.000315,0
tyndall b1,2017,invaded,229.33333333333334,-85.47658,29.998418,0
tyndall d1,2017,uninvaded,NA,-85.550225,30.042322,3
tyndall h1,2017,uninvaded,NA,-85.54086117406607,30.046909899289403,6
tyndall d2,2018,uninvaded,NA,-85.51935,30.023204,4
tyndall b4,2018,uninvaded,NA,-85.452983,30.01769,1
tyndall b1,2018,invaded,NA,-85.47658,29.998418,1
tyndall b2,2018,uninvaded,NA,-85.476082,30.000315,1
tyndall c1,2018,uninvaded,NA,-85.517982,30.022271,2
tyndall c2,2018,uninvaded,NA,-85.519121,30.025209,2
tyndall b3,2018,uninvaded,NA,-85.458016,30.015622,1
