installation,plot_id,status,camera_number,sd_card,camera_out,camera_in,position_from_center,notes,ctime,mtime,file_name,path,relpath,size,type,empty,cow,deer,pig,turkey,armadillo,bobcat,raccoon,squirrel,fox,other,unknown
riversedge,i2,invaded,T4,T4-1,20190501,20190606,W,taylor's camera,8/21/2019 15:01,8/21/2019 18:43,T4-1-200CUDDY-L__00235.JPG,D:\maybe_critters2_batch6\maybe_critters2_batch6\05_02_19-T4-1-200CUDDY-L__00235.JPG,05_02_19-T4-1-200CUDDY-L__00235.JPG,1932920,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:36,4/12/2019 4:30,10-1-100EK113-04120086.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120086.JPG,10-1-100EK113-04120086.JPG,1416667,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:36,4/12/2019 4:30,10-1-100EK113-04120087.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120087.JPG,10-1-100EK113-04120087.JPG,1418357,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:57,4/12/2019 4:30,10-1-100EK113-04120089.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120089.JPG,10-1-100EK113-04120089.JPG,1398618,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:35,4/12/2019 4:30,10-1-100EK113-04120090.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120090.JPG,10-1-100EK113-04120090.JPG,1398470,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:36,4/12/2019 4:31,10-1-100EK113-04120092.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04120092.JPG,10-1-100EK113-04120092.JPG,1401669,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:36,4/13/2019 1:20,10-1-100EK113-04130097.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130097.JPG,10-1-100EK113-04130097.JPG,1415938,image,FALSE,0,0,1,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:57,4/13/2019 1:20,10-1-100EK113-04130098.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130098.JPG,10-1-100EK113-04130098.JPG,1396153,image,FALSE,0,0,1,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:57,4/13/2019 1:20,10-1-100EK113-04130099.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130099.JPG,10-1-100EK113-04130099.JPG,1417971,image,FALSE,0,0,1,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:53,4/13/2019 6:34,10-1-100EK113-04130101.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130101.JPG,10-1-100EK113-04130101.JPG,1398499,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:56,4/13/2019 6:34,10-1-100EK113-04130107.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130107.JPG,10-1-100EK113-04130107.JPG,1412437,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
peaceriver,i3,invaded,10,10-1,20190411,20190508,S,NA,6/10/2019 15:35,4/13/2019 6:34,10-1-100EK113-04130108.JPG,/Users/julesnesmith/Desktop/maybe_critters/10-1-100EK113-04130108.JPG,10-1-100EK113-04130108.JPG,1408624,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:56,4/6/2019 21:31,101-1-100EK113-04060030.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04060030.JPG,101-1-100EK113-04060030.JPG,4272347,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:53,4/6/2019 22:02,101-1-100EK113-04060034.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04060034.JPG,101-1-100EK113-04060034.JPG,4244185,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:35,4/7/2019 0:10,101-1-100EK113-04070038.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070038.JPG,101-1-100EK113-04070038.JPG,4263151,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
