installation,plot_id,status,deer_plot_days,cow_plot_days,turkey_plot_days,pig_plot_days,raccoon_plot_days,fox_plot_days,wildlife_plot_days,wildlife_no_cow_plot_days
avonpark,i1,invaded,0.5192307692307693,0.07692307692307693,0,0,0,0,0.5961538461538461,0.5192307692307693
avonpark,n1,native,0,0.2692307692307692,0,0,0,0,0.2692307692307692,0
brown,i1,invaded,2.5,9.916666666666666,0,0,0,0,12.416666666666666,2.5
brown,i2,invaded,0.8269230769230769,0.019230769230769232,0,0,0,0,0.8461538461538461,0.8269230769230769
brown,i3,invaded,0,0,0,0,0,0,0,0
brown,n1,native,12.083333333333334,4.416666666666667,0,0,0,0,16.5,12.083333333333334
brown,n2,native,2.019230769230769,0.15384615384615385,0,0,0,0,2.173076923076923,2.019230769230769
brown,n3,native,5,0,0,0,0,0,5,5
hancock,i1,invaded,0,2.6666666666666665,0,0,0,0,2.6666666666666665,0
hancock,i2,invaded,0,0,0,0,0,0,0,0
hancock,n1,native,0.05,278.85,0.05,0,0,0,278.95,0.1
munson,i1,invaded,3.638888888888889,0,0,0,0,0,3.638888888888889,3.638888888888889
munson,n1,native,1.1944444444444444,0,0,0.05555555555555555,0,0,1.25,1.25
peaceriver,i1,invaded,2.135135135135135,0,0,0,0,0,2.135135135135135,2.135135135135135
peaceriver,i2,invaded,0.3333333333333333,0,0,0,0,0.05555555555555555,0.3888888888888889,0.3888888888888889
peaceriver,i3,invaded,4.275862068965517,0,0.10344827586206896,2.7241379310344827,0.1724137931034483,0,7.275862068965517,7.275862068965517
riversedge,i1,invaded,0,0,0,0,0,0,0,0
riversedge,n1,native,0,0,0,0,0,3.5,3.5,3.5
seay,i1,invaded,0.15942028985507245,0,0.10144927536231885,0,0,0,0.2608695652173913,0.2608695652173913
seay,i2,invaded,0,0,0,0,0,0,0,0
seay,n1,native,1.1304347826086956,0,0,0,0,0,1.1304347826086956,1.1304347826086956
seay,n2,native,0.4444444444444444,0,0,0,0,0,0.4444444444444444,0.4444444444444444
silversprings,i1,invaded,0,0,0,0,0,0,0,0
silversprings,n1,native,0.5,0,0.025,0,0,0,0.525,0.525
wes,i1,invaded,1.05,0,0,0,0,0,1.05,1.05
wes,i3,invaded,0.2361111111111111,0,0,0,0,0,0.2361111111111111,0.2361111111111111
wes,n1,native,0.49074074074074076,0,1.3935185185185186,0,0.35648148148148145,0.1388888888888889,2.3796296296296298,2.3796296296296298
