installation,plot_id,status,date,total_adults_visit,total_nymphs_visit,deer_plot_days,cow_plot_days,turkey_plot_days,pig_plot_days,raccoon_plot_days,fox_plot_days,wildlife_plot_days,wildlife_no_cow_plot_days
brown,i1,invaded,4/5/2019,1,2,2.5,9.916666667,0,0,0,0,12.41666667,2.5
brown,i2,invaded,4/26/2019,3,30,0.826923077,0.019230769,0,0,0,0,0.846153846,0.826923077
brown,i2,invaded,5/17/2019,2,8,0.826923077,0.019230769,0,0,0,0,0.846153846,0.826923077
brown,i3,invaded,5/17/2019,5,10,0,0,0,0,0,0,0,0
brown,n1,native,4/5/2019,9,58,12.08333333,4.416666667,0,0,0,0,16.5,12.08333333
brown,n2,native,4/26/2019,2,1,2.019230769,0.153846154,0,0,0,0,2.173076923,2.019230769
brown,n2,native,5/17/2019,3,5,2.019230769,0.153846154,0,0,0,0,2.173076923,2.019230769
brown,n3,native,5/17/2019,5,3,5,0,0,0,0,0,5,5
hancock,i2,invaded,4/18/2019,0,0,0,0,0,0,0,0,0,0
hancock,n1,native,4/18/2019,0,0,0.05,278.85,0.05,0,0,0,278.95,0.1
munson,i1,invaded,5/1/2019,7,1,3.638888889,0,0,0,0,0,3.638888889,3.638888889
munson,i1,invaded,6/7/2019,3,0,3.638888889,0,0,0,0,0,3.638888889,3.638888889
munson,n1,native,5/1/2019,14,17,1.194444444,0,0,0.055555556,0,0,1.25,1.25
munson,n1,native,6/7/2019,0,0,1.194444444,0,0,0.055555556,0,0,1.25,1.25
riversedge,i1,invaded,5/1/2019,5,0,0,0,0,0,0,0,0,0
riversedge,i1,invaded,6/7/2019,0,0,0,0,0,0,0,0,0,0
riversedge,n1,native,5/1/2019,0,1,0,0,0,0,0,3.5,3.5,3.5
riversedge,n1,native,6/7/2019,0,0,0,0,0,0,0,3.5,3.5,3.5
seay,i1,invaded,4/24/2019,0,1,0.15942029,0,0.101449275,0,0,0,0.260869565,0.260869565
seay,i2,invaded,5/15/2019,0,0,0,0,0,0,0,0,0,0
seay,n1,native,4/24/2019,0,0,1.130434783,0,0,0,0,0,1.130434783,1.130434783
seay,n2,native,5/15/2019,2,5,0.444444444,0,0,0,0,0,0.444444444,0.444444444
silversprings,i1,invaded,4/26/2019,0,3,0,0,0,0,0,0,0,0
silversprings,i1,invaded,4/5/2019,3,2,0,0,0,0,0,0,0,0
silversprings,i1,invaded,5/17/2019,9,0,0,0,0,0,0,0,0,0
silversprings,n1,native,4/26/2019,0,1,0.5,0,0.025,0,0,0,0.525,0.525
silversprings,n1,native,4/5/2019,4,0,0.5,0,0.025,0,0,0,0.525,0.525
silversprings,n1,native,5/17/2019,3,1,0.5,0,0.025,0,0,0,0.525,0.525
wes,i3,invaded,5/15/2019,1,2,0.236111111,0,0,0,0,0,0.236111111,0.236111111
wes,n1,native,5/15/2019,2,12,0.490740741,0,1.393518519,0,0.356481481,0.138888889,2.37962963,2.37962963
