installation,plot_id,status,total_ticks_plot,total_adults_plot,total_nymphs_plot,ticks_per_n_traps,adults_per_n_traps,nymphs_per_n_traps,traps_per_plot,cutoff_deer_plot
brown,i1,invaded,3,1,2,0.75,0.25,0.5,4,60
brown,i2,invaded,43,5,38,5.375,0.625,4.75,8,43
brown,i3,invaded,15,5,10,3.75,1.25,2.5,4,0
brown,n1,native,67,9,58,16.75,2.25,14.5,4,290
brown,n2,native,11,5,6,1.375,0.625,0.75,8,105
brown,n3,native,8,5,3,2,1.25,0.75,4,40
hancock,i1,invaded,0,0,0,0,0,0,4,0
hancock,i2,invaded,0,0,0,0,0,0,4,0
hancock,i3,invaded,0,0,0,0,0,0,4,NA
hancock,i4,invaded,1,1,0,0.25,0.25,0,4,NA
hancock,n1,native,0,0,0,0,0,0,8,1
hancock,n2,native,0,0,0,0,0,0,4,NA
munson,i1,invaded,11,10,1,1.375,1.25,0.125,8,131
munson,n1,native,31,14,17,3.875,1.75,2.125,8,43
peaceriver,i1,invaded,0,0,0,0,0,0,8,79
peaceriver,i2,invaded,3,3,0,0.375,0.375,0,8,18
peaceriver,i3,invaded,0,0,0,0,0,0,8,124
peaceriver,i4,invaded,0,0,0,0,0,0,4,NA
peaceriver,i5,invaded,0,0,0,0,0,0,4,NA
peaceriver,n1,native,0,0,0,0,0,0,4,NA
riversedge,i1,invaded,5,5,0,0.625,0.625,0,8,0
riversedge,i2,invaded,3,3,0,0.375,0.375,0,8,0
riversedge,i3,invaded,0,0,0,0,0,0,8,NA
riversedge,n1,native,1,0,1,0.125,0,0.125,8,0
seay,i1,invaded,1,0,1,0.25,0,0.25,4,11
seay,i2,invaded,0,0,0,0,0,0,4,0
seay,n1,native,0,0,0,0,0,0,4,78
seay,n2,native,7,2,5,1.75,0.5,1.25,4,8
silversprings,i1,invaded,17,3,14,1.416666667,0.25,1.166666667,12,0
silversprings,n1,native,9,7,2,0.75,0.583333333,0.166666667,12,20
wes,i1,invaded,28,4,24,3.5,0.5,3,8,42
wes,i2,invaded,1,1,0,0.25,0.25,0,4,45
wes,i3,invaded,3,1,2,0.75,0.25,0.5,4,6
wes,n1,native,14,2,12,1.75,0.25,1.5,8,106
