installation,plot_id,status,location,date,ticks_on_trap,adult_on_trap,nymph_on_trap,cutoff_deer_plot
brown,i1,invaded,NW,20190405,0,0,0,60
brown,i1,invaded,NE,20190405,1,0,1,60
brown,i1,invaded,SW,20190405,2,1,1,60
brown,i1,invaded,SE,20190405,0,0,0,60
brown,i2,invaded,NW,20190426,2,1,1,43
brown,i2,invaded,NE,20190426,1,0,1,43
brown,i2,invaded,SW,20190426,27,2,25,43
brown,i2,invaded,SE,20190426,2,0,2,43
brown,i2,invaded,NW,20190517,1,1,0,43
brown,i2,invaded,NE,20190517,0,0,0,43
brown,i2,invaded,SW,20190517,2,0,2,43
brown,i2,invaded,SE,20190517,7,1,6,43
brown,i3,invaded,NW,20190517,2,1,1,0
brown,i3,invaded,NE,20190517,0,0,0,0
brown,i3,invaded,SW,20190517,12,3,9,0
brown,i3,invaded,SE,20190517,1,1,0,0
brown,n1,native,NW,20190405,6,5,1,290
brown,n1,native,NW,20190405,5,5,0,290
brown,n1,native,NE,20190405,13,1,12,290
brown,n1,native,SW,20190405,47,3,44,290
brown,n1,native,SE,20190405,0,0,0,290
brown,n2,native,NW,20190426,0,0,0,105
brown,n2,native,NE,20190426,0,0,0,105
brown,n2,native,SW,20190426,0,0,0,105
brown,n2,native,SE,20190426,3,2,1,105
brown,n2,native,N,20190517,3,0,3,105
brown,n2,native,S,20190517,2,1,1,105
brown,n2,native,E,20190517,0,0,0,105
brown,n2,native,W,20190517,3,2,1,105
brown,n3,native,NW,20190517,4,2,2,40
brown,n3,native,NE,20190517,4,3,1,40
brown,n3,native,SW,20190517,0,0,0,40
brown,n3,native,SE,20190517,0,0,0,40
hancock,i1,invaded,NW,20190418,0,0,0,0
hancock,i1,invaded,NE,20190418,0,0,0,0
hancock,i1,invaded,SW,20190418,0,0,0,0
hancock,i1,invaded,SE,20190418,0,0,0,0
hancock,i2,invaded,NW,20190418,0,0,0,0
hancock,i2,invaded,NE,20190418,0,0,0,0
hancock,i2,invaded,SW,20190418,0,0,0,0
hancock,i2,invaded,SE,20190418,0,0,0,0
hancock,i3,invaded,NW,20190508,0,0,0,NA
hancock,i3,invaded,NE,20190508,0,0,0,NA
hancock,i3,invaded,SW,20190508,0,0,0,NA
hancock,i3,invaded,SE,20190508,0,0,0,NA
hancock,i4,invaded,NW,20190508,0,0,0,NA
hancock,i4,invaded,NE,20190508,1,1,0,NA
hancock,i4,invaded,SW,20190508,0,0,0,NA
hancock,i4,invaded,SE,20190508,0,0,0,NA
hancock,n1,native,NW,20190418,0,0,0,1
hancock,n1,native,NE,20190418,0,0,0,1
hancock,n1,native,SW,20190418,0,0,0,1
hancock,n1,native,SE,20190418,0,0,0,1
hancock,n1,native,NW,20190508,0,0,0,1
hancock,n1,native,NE,20190508,0,0,0,1
hancock,n1,native,SW,20190508,0,0,0,1
hancock,n1,native,SE,20190508,0,0,0,1
hancock,n2,native,NW,20190508,0,0,0,NA
hancock,n2,native,NE,20190508,0,0,0,NA
hancock,n2,native,SW,20190508,0,0,0,NA
hancock,n2,native,SE,20190508,0,0,0,NA
munson,i1,invaded,NW,20190501,0,0,0,131
munson,i1,invaded,NE,20190501,3,3,0,131
munson,i1,invaded,S,20190501,3,2,1,131
munson,i1,invaded,SE,20190501,2,2,0,131
munson,i1,invaded,NE,20190607,2,2,0,131
munson,i1,invaded,C,20190607,0,0,0,131
munson,i1,invaded,S,20190607,1,1,0,131
munson,i1,invaded,SE,20190607,0,0,0,131
munson,n1,native,NW,20190501,4,1,3,43
munson,n1,native,NE,20190501,10,6,4,43
munson,n1,native,SW,20190501,8,3,5,43
munson,n1,native,SE,20190501,9,4,5,43
munson,n1,native,NW,20190607,0,0,0,43
munson,n1,native,NE,20190607,0,0,0,43
munson,n1,native,SW,20190607,0,0,0,43
munson,n1,native,SE,20190607,0,0,0,43
peaceriver,i1,invaded,NW,20190411,0,0,0,79
peaceriver,i1,invaded,NE,20190411,0,0,0,79
peaceriver,i1,invaded,SW,20190411,0,0,0,79
peaceriver,i1,invaded,SE,20190411,0,0,0,79
peaceriver,i1,invaded,NW,20190418,0,0,0,79
peaceriver,i1,invaded,NE,20190418,0,0,0,79
peaceriver,i1,invaded,SW,20190418,0,0,0,79
peaceriver,i1,invaded,SE,20190418,0,0,0,79
peaceriver,i2,invaded,NW,20190411,1,1,0,18
peaceriver,i2,invaded,NE,20190411,0,0,0,18
peaceriver,i2,invaded,SW,20190411,0,0,0,18
peaceriver,i2,invaded,SE,20190411,0,0,0,18
peaceriver,i2,invaded,NW,20190418,2,2,0,18
