date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-06-13,brown,invaded,i2,11,23.916666666666668,0,1,100
2019-06-13,brown,native,n2,04,23.916666666666668,0,1,99.912
2019-06-14,brown,invaded,i2,11,24,0,2,100
2019-06-14,brown,native,n2,04,20.666666666666668,3.3333333333333335,2,71.432
2019-06-15,brown,invaded,i2,11,24,0,3,100
2019-06-15,brown,native,n2,04,21.416666666666668,2.5833333333333335,3,68.255
2019-06-16,brown,invaded,i2,11,24,0,4,100
2019-06-16,brown,native,n2,04,23.333333333333332,0.6666666666666666,4,76.337
2019-06-17,brown,invaded,i2,11,24,0,5,100
2019-06-17,brown,native,n2,04,24,0,5,90.941
2019-06-18,brown,invaded,i2,11,24,0,6,100
2019-06-18,brown,native,n2,04,24,0,6,90.157
2019-06-19,brown,invaded,i2,11,24,0,7,100
2019-06-19,brown,native,n2,04,24,0,7,89.985
2019-06-20,brown,invaded,i2,11,24,0,8,99.642
2019-06-20,brown,native,n2,04,24,0,8,85.1
2019-06-21,brown,invaded,i2,11,24,0,9,98.077
2019-06-21,brown,native,n2,04,18.083333333333332,5.916666666666667,9,73.672
2019-06-22,brown,invaded,i2,11,24,0,10,96.939
2019-06-22,brown,native,n2,04,19.25,4.75,10,65.851
2019-06-23,brown,invaded,i2,11,24,0,11,93.404
2019-06-23,brown,native,n2,04,17.333333333333332,6.666666666666667,11,62.396
2019-06-24,brown,invaded,i2,11,24,0,12,90.032
2019-06-24,brown,native,n2,04,16.416666666666668,7.583333333333333,12,56.128
2019-06-25,brown,invaded,i2,11,24,0,13,84.665
2019-06-25,brown,native,n2,04,16,8,13,58.295
2019-06-26,brown,invaded,i2,11,23.916666666666668,0.08333333333333333,14,78.367
2019-06-26,brown,native,n2,04,14.666666666666666,9.333333333333334,14,53.281
2019-06-27,brown,invaded,i2,11,22.583333333333332,1.4166666666666667,15,74.966
2019-06-27,brown,native,n2,04,13.916666666666666,10.083333333333334,15,43.945
2019-06-28,brown,invaded,i2,11,23.5,0.5,16,78.804
2019-06-28,brown,native,n2,04,15.25,8.75,16,50.093
2019-06-29,brown,invaded,i2,11,24,0,17,100
2019-06-29,brown,native,n2,04,23.416666666666668,0.5833333333333334,17,76.233
2019-06-30,brown,invaded,i2,11,24,0,18,98.089
2019-06-30,brown,native,n2,04,19.083333333333332,4.916666666666667,18,65.883
2019-07-01,brown,invaded,i2,11,24,0,19,99.218
2019-07-01,brown,native,n2,04,22.5,1.5,19,71.871
2019-07-02,brown,invaded,i2,11,24,0,20,89.008
2019-07-02,brown,native,n2,04,19.25,4.75,20,60.528
2019-07-03,brown,invaded,i2,11,24,0,21,87.108
2019-07-03,brown,native,n2,04,18.416666666666668,5.583333333333333,21,64.758
2019-07-04,brown,invaded,i2,11,24,0,22,84.066
2019-07-04,brown,native,n2,04,19.666666666666668,4.333333333333333,22,65.878
2019-07-05,brown,invaded,i2,11,24,0,23,100
2019-07-05,brown,native,n2,04,24,0,23,87.951
2019-07-06,brown,invaded,i2,11,24,0,24,100
2019-07-06,brown,native,n2,04,24,0,24,92.284
2019-07-07,brown,invaded,i2,11,24,0,25,100
2019-07-07,brown,native,n2,04,24,0,25,91.934
2019-07-08,brown,invaded,i2,11,24,0,26,99.655
2019-07-08,brown,native,n2,04,23.583333333333332,0.4166666666666667,26,79.686
2019-07-09,brown,invaded,i2,11,24,0,27,98.948
2019-07-09,brown,native,n2,04,23.583333333333332,0.4166666666666667,27,78.324
2019-07-10,brown,invaded,i2,11,24,0,28,98.791
2019-07-10,brown,native,n2,04,20.916666666666668,3.0833333333333335,28,71.599
2019-07-11,brown,invaded,i2,11,24,0,29,94.833
2019-07-11,brown,native,n2,04,20.333333333333332,3.6666666666666665,29,68.457
2019-07-12,brown,invaded,i2,11,24,0,30,100
2019-07-12,brown,native,n2,04,24,0,30,83.535
2019-07-13,brown,invaded,i2,11,24,0,31,100
2019-07-13,brown,native,n2,04,23.75,0.25,31,77.719
2019-07-14,brown,invaded,i2,11,24,0,32,98.852
2019-07-14,brown,native,n2,04,18.666666666666668,5.333333333333333,32,68.645
2019-07-15,brown,invaded,i2,11,24,0,33,95.409
2019-07-15,brown,native,n2,04,16.583333333333332,7.416666666666667,33,59.81
2019-07-16,brown,invaded,i2,11,24,0,34,92.018
2019-07-16,brown,native,n2,04,17.083333333333332,6.916666666666667,34,61.493
2019-07-17,brown,invaded,i2,11,24,0,35,85.775
2019-07-17,brown,native,n2,04,19.416666666666668,4.583333333333333,35,61.26
2019-07-18,brown,invaded,i2,11,24,0,36,99.695
2019-07-18,brown,native,n2,04,22.333333333333332,1.6666666666666667,36,73.581
2019-07-19,brown,invaded,i2,11,24,0,37,98.832
2019-07-19,brown,native,n2,04,22.75,1.25,37,71.436
2019-07-20,brown,invaded,i2,11,24,0,38,95.785
2019-07-20,brown,native,n2,04,19.75,4.25,38,69.295
2019-07-21,brown,invaded,i2,11,24,0,39,99.98
2019-07-21,brown,native,n2,04,23.583333333333332,0.4166666666666667,39,76.024
2019-07-22,brown,invaded,i2,11,24,0,40,98.855
2019-07-22,brown,native,n2,04,24,0,40,90.969
2019-07-23,brown,invaded,i2,11,24,0,41,99.107
2019-07-23,brown,native,n2,04,24,0,41,88.528
2019-07-24,brown,invaded,i2,11,24,0,42,99.681
2019-07-24,brown,native,n2,04,24,0,42,100
2019-07-25,brown,invaded,i2,11,24,0,43,97.622
2019-07-25,brown,native,n2,04,24,0,43,100
2019-07-26,brown,invaded,i2,11,24,0,44,90.311
2019-07-26,brown,native,n2,04,24,0,44,100
2019-07-27,brown,invaded,i2,11,24,0,45,87.901
2019-07-27,brown,native,n2,04,24,0,45,83.007
2019-07-28,brown,invaded,i2,11,24,0,46,87.387
2019-07-28,brown,native,n2,04,24,0,46,84.996
2019-07-29,brown,invaded,i2,11,24,0,47,87.051
2019-07-29,brown,native,n2,04,22.916666666666668,1.0833333333333333,47,75.903
2019-07-30,brown,invaded,i2,11,24,0,48,87.119
2019-07-30,brown,native,n2,04,20.916666666666668,3.0833333333333335,48,65.284
2019-07-31,brown,invaded,i2,11,24,0,49,87.3
2019-07-31,brown,native,n2,04,22,2,49,73.346
2019-08-01,brown,invaded,i2,11,24,0,50,87.649
2019-08-01,brown,native,n2,04,19.833333333333332,4.166666666666667,50,66.967
