date,installation,status,plot_id,logger_id,hours_above_85,hours_below_75,daily_min_rh
2019-06-13,munson,invaded,i1,06,23.916666666666668,NA,100
2019-06-13,munson,native,n1,12,21.166666666666668,NA,77.542
2019-06-14,munson,invaded,i1,06,24,NA,93.569
2019-06-14,munson,native,n1,12,12.083333333333334,9.083333333333334,53.139
2019-06-15,munson,invaded,i1,06,21.5,NA,81.538
2019-06-15,munson,native,n1,12,12.916666666666666,7.583333333333333,59.607
2019-06-16,munson,invaded,i1,06,19.75,NA,76.734
2019-06-16,munson,native,n1,12,13,5.25,59.933
2019-06-17,munson,invaded,i1,06,24,NA,94.717
2019-06-17,munson,native,n1,12,24,NA,86.621
2019-06-18,munson,invaded,i1,06,24,NA,92.229
2019-06-18,munson,native,n1,12,20.583333333333332,0.25,74.343
2019-06-19,munson,invaded,i1,06,24,NA,100
2019-06-19,munson,native,n1,12,24,NA,100
2019-06-20,munson,invaded,i1,06,24,NA,95.827
2019-06-20,munson,native,n1,12,19.75,NA,79.775
2019-06-21,munson,invaded,i1,06,24,NA,85.152
2019-06-21,munson,native,n1,12,21.666666666666668,1.0833333333333333,73.11
2019-06-22,munson,invaded,i1,06,24,NA,93.928
2019-06-22,munson,native,n1,12,20.75,0.08333333333333333,74.76
2019-06-23,munson,invaded,i1,06,21.916666666666668,NA,80.917
2019-06-23,munson,native,n1,12,15.75,4.083333333333333,63.527
2019-06-24,munson,invaded,i1,06,19.5,NA,75.683
2019-06-24,munson,native,n1,12,14.166666666666666,6.083333333333333,59.638
2019-06-25,munson,invaded,i1,06,21.083333333333332,NA,78.513
2019-06-25,munson,native,n1,12,14.166666666666666,3.25,66.327
2019-06-26,munson,invaded,i1,06,17.75,3.4166666666666665,71.263
2019-06-26,munson,native,n1,12,11.416666666666666,8.166666666666666,55.103
2019-06-27,munson,invaded,i1,06,24,NA,98.284
2019-06-27,munson,native,n1,12,22.5,NA,77.306
2019-06-28,munson,invaded,i1,06,24,NA,92.075
2019-06-28,munson,native,n1,12,17.083333333333332,1.5,68.439
2019-06-29,munson,invaded,i1,06,24,NA,100
2019-06-29,munson,native,n1,12,23.666666666666668,NA,83.723
2019-06-30,munson,invaded,i1,06,24,NA,93.238
2019-06-30,munson,native,n1,12,17.833333333333332,NA,75.228
2019-07-01,munson,invaded,i1,06,20.75,NA,79.052
2019-07-01,munson,native,n1,12,15.75,5.166666666666667,61.342
2019-07-02,munson,invaded,i1,06,20.583333333333332,1.5,69.919
2019-07-02,munson,native,n1,12,15,4.833333333333333,53.433
2019-07-03,munson,invaded,i1,06,19.833333333333332,0.6666666666666666,70.486
2019-07-03,munson,native,n1,12,14.166666666666666,5.25,55.346
2019-07-04,munson,invaded,i1,06,18,1.3333333333333333,67.609
2019-07-04,munson,native,n1,12,14.583333333333334,7.416666666666667,54.162
2019-07-05,munson,invaded,i1,06,24,NA,100
2019-07-05,munson,native,n1,12,24,NA,86.192
2019-07-06,munson,invaded,i1,06,24,NA,100
2019-07-06,munson,native,n1,12,24,NA,95.676
2019-07-07,munson,invaded,i1,06,24,NA,100
2019-07-07,munson,native,n1,12,24,NA,94.738
2019-07-08,munson,invaded,i1,06,24,NA,100
2019-07-08,munson,native,n1,12,23.666666666666668,NA,82.027
2019-07-09,munson,invaded,i1,06,24,NA,100
2019-07-09,munson,native,n1,12,23.833333333333332,NA,84.944
2019-07-10,munson,invaded,i1,06,24,NA,100
2019-07-10,munson,native,n1,12,24,NA,86.876
2019-07-11,munson,invaded,i1,06,24,NA,100
2019-07-11,munson,native,n1,12,24,NA,87.278
2019-07-12,munson,invaded,i1,06,24,NA,100
2019-07-12,munson,native,n1,12,23.916666666666668,NA,84.18
2019-07-13,munson,invaded,i1,06,24,NA,100
2019-07-13,munson,native,n1,12,24,NA,88.591
2019-07-14,munson,invaded,i1,06,24,NA,97.477
2019-07-14,munson,native,n1,12,20.25,0.16666666666666666,74.037
2019-07-15,munson,invaded,i1,06,24,NA,89.42
2019-07-15,munson,native,n1,12,17,2.3333333333333335,69.393
2019-07-16,munson,invaded,i1,06,23.666666666666668,NA,83.469
2019-07-16,munson,native,n1,12,16.666666666666668,4.25,65.438
2019-07-17,munson,invaded,i1,06,24,NA,94.847
2019-07-17,munson,native,n1,12,21.416666666666668,NA,80.063
2019-07-18,munson,invaded,i1,06,24,NA,100
2019-07-18,munson,native,n1,12,22.666666666666668,NA,78.535
2019-07-19,munson,invaded,i1,06,24,NA,94.435
2019-07-19,munson,native,n1,12,22.333333333333332,NA,75.286
2019-07-20,munson,invaded,i1,06,24,NA,100
2019-07-20,munson,native,n1,12,24,NA,87.107
2019-07-21,munson,invaded,i1,06,24,NA,100
2019-07-21,munson,native,n1,12,20.416666666666668,NA,75.325
2019-07-22,munson,invaded,i1,06,24,NA,98.885
2019-07-22,munson,native,n1,12,22.75,NA,80.718
2019-07-23,munson,invaded,i1,06,24,NA,100
2019-07-23,munson,native,n1,12,24,NA,88.258
2019-07-24,munson,invaded,i1,06,24,NA,100
2019-07-24,munson,native,n1,12,24,NA,87.744
2019-07-25,munson,invaded,i1,06,24,NA,88.328
2019-07-25,munson,native,n1,12,23.916666666666668,NA,84.786
2019-07-26,munson,invaded,i1,06,23.666666666666668,NA,84.437
2019-07-26,munson,native,n1,12,24,NA,89.135
2019-07-27,munson,invaded,i1,06,22.5,NA,80.622
2019-07-27,munson,native,n1,12,24,NA,87.301
2019-07-28,munson,invaded,i1,06,20.083333333333332,0.8333333333333334,73.729
2019-07-28,munson,native,n1,12,22.916666666666668,NA,81.506
2019-07-29,munson,invaded,i1,06,18.583333333333332,2.3333333333333335,68.362
2019-07-29,munson,native,n1,12,18.583333333333332,0.8333333333333334,67.94
2019-07-30,munson,invaded,i1,06,20.083333333333332,1.25,70.795
2019-07-30,munson,native,n1,12,19.5,0.5,70.796
2019-07-31,munson,invaded,i1,06,21.583333333333332,NA,76.768
2019-07-31,munson,native,n1,12,21,0.08333333333333333,74.945
2019-08-01,munson,invaded,i1,06,21.916666666666668,NA,80.007
2019-08-01,munson,native,n1,12,20.416666666666668,0.08333333333333333,74.64
