date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-06-13,peace,invaded,i1,20,23.916666666666668,0,1,100
2019-06-13,peace,invaded,i2,16,23.916666666666668,0,1,100
2019-06-13,peace,native,n1,21,23.916666666666668,0,1,88.161
2019-06-14,peace,invaded,i1,20,24,0,2,100
2019-06-14,peace,invaded,i2,16,24,0,2,100
2019-06-14,peace,native,n1,21,24,0,2,96.212
2019-06-15,peace,invaded,i1,20,24,0,3,100
2019-06-15,peace,invaded,i2,16,24,0,3,98.35
2019-06-15,peace,native,n1,21,24,0,3,89.735
2019-06-16,peace,invaded,i1,20,24,0,4,100
2019-06-16,peace,invaded,i2,16,24,0,4,92.986
2019-06-16,peace,native,n1,21,24,0,4,88.298
2019-06-17,peace,invaded,i1,20,24,0,5,100
2019-06-17,peace,invaded,i2,16,24,0,5,96.776
2019-06-17,peace,native,n1,21,24,0,5,96.837
2019-06-18,peace,invaded,i1,20,24,0,6,100
2019-06-18,peace,invaded,i2,16,24,0,6,100
2019-06-18,peace,native,n1,21,24,0,6,96.629
2019-06-19,peace,invaded,i1,20,24,0,7,100
2019-06-19,peace,invaded,i2,16,24,0,7,100
2019-06-19,peace,native,n1,21,24,0,7,92.38
2019-06-20,peace,invaded,i1,20,24,0,8,100
2019-06-20,peace,invaded,i2,16,24,0,8,100
2019-06-20,peace,native,n1,21,19.833333333333332,4.166666666666667,8,73.28
2019-06-21,peace,invaded,i1,20,24,0,9,98.448
2019-06-21,peace,invaded,i2,16,24,0,9,91.966
2019-06-21,peace,native,n1,21,15.833333333333334,8.166666666666666,9,59.994
2019-06-22,peace,invaded,i1,20,24,0,10,97.107
2019-06-22,peace,invaded,i2,16,24,0,10,90.997
2019-06-22,peace,native,n1,21,18.416666666666668,5.583333333333333,10,63.778
2019-06-23,peace,invaded,i1,20,24,0,11,93.548
2019-06-23,peace,invaded,i2,16,24,0,11,84.414
2019-06-23,peace,native,n1,21,13.416666666666666,10.583333333333334,11,54.151
2019-06-24,peace,invaded,i1,20,24,0,12,89.024
2019-06-24,peace,invaded,i2,16,24,0,12,82.9
2019-06-24,peace,native,n1,21,12.916666666666666,11.083333333333334,12,54.172
2019-06-25,peace,invaded,i1,20,24,0,13,91.087
2019-06-25,peace,invaded,i2,16,22.75,1.25,13,77.527
2019-06-25,peace,native,n1,21,13.5,10.5,13,53.868
2019-06-26,peace,invaded,i1,20,24,0,14,87.986
2019-06-26,peace,invaded,i2,16,20.083333333333332,3.9166666666666665,14,70.288
2019-06-26,peace,native,n1,21,13.833333333333334,10.166666666666666,14,53.093
2019-06-27,peace,invaded,i1,20,24,0,15,88.988
2019-06-27,peace,invaded,i2,16,17.166666666666668,6.833333333333333,15,66.909
2019-06-27,peace,native,n1,21,13,11,15,50.776
2019-06-28,peace,invaded,i1,20,24,0,16,92.745
2019-06-28,peace,invaded,i2,16,20.5,3.5,16,65.624
2019-06-28,peace,native,n1,21,19.75,4.25,16,61.452
2019-06-29,peace,invaded,i1,20,24,0,17,100
2019-06-29,peace,invaded,i2,16,24,0,17,100
2019-06-29,peace,native,n1,21,24,0,17,100
2019-06-30,peace,invaded,i1,20,24,0,18,100
2019-06-30,peace,invaded,i2,16,24,0,18,100
2019-06-30,peace,native,n1,21,24,0,18,85.416
2019-07-01,peace,invaded,i1,20,24,0,19,99.651
2019-07-01,peace,invaded,i2,16,24,0,19,94.169
2019-07-01,peace,native,n1,21,16.666666666666668,7.333333333333333,19,67.239
2019-07-02,peace,invaded,i1,20,24,0,20,99.408
2019-07-02,peace,invaded,i2,16,24,0,20,87.111
2019-07-02,peace,native,n1,21,19.416666666666668,4.583333333333333,20,69.245
2019-07-03,peace,invaded,i1,20,24,0,21,95.215
2019-07-03,peace,invaded,i2,16,23.75,0.25,21,75.684
2019-07-03,peace,native,n1,21,16.583333333333332,7.416666666666667,21,58.384
2019-07-04,peace,invaded,i1,20,24,0,22,100
2019-07-04,peace,invaded,i2,16,24,0,22,99.352
2019-07-04,peace,native,n1,21,24,0,22,86.965
2019-07-05,peace,invaded,i1,20,24,0,23,99.517
2019-07-05,peace,invaded,i2,16,23.666666666666668,0.3333333333333333,23,75.325
2019-07-05,peace,native,n1,21,19.833333333333332,4.166666666666667,23,67.387
2019-07-06,peace,invaded,i1,20,24,0,24,100
2019-07-06,peace,invaded,i2,16,24,0,24,84.882
2019-07-06,peace,native,n1,21,24,0,24,85.048
2019-07-07,peace,invaded,i1,20,24,0,25,100
2019-07-07,peace,invaded,i2,16,24,0,25,100
2019-07-07,peace,native,n1,21,24,0,25,95.165
2019-07-08,peace,invaded,i1,20,24,0,26,100
2019-07-08,peace,invaded,i2,16,24,0,26,100
2019-07-08,peace,native,n1,21,24,0,26,93.192
2019-07-09,peace,invaded,i1,20,24,0,27,100
2019-07-09,peace,invaded,i2,16,24,0,27,99.484
2019-07-09,peace,native,n1,21,24,0,27,92.484
2019-07-10,peace,invaded,i1,20,24,0,28,100
2019-07-10,peace,invaded,i2,16,24,0,28,96.357
2019-07-10,peace,native,n1,21,24,0,28,82.381
2019-07-11,peace,invaded,i1,20,24,0,29,100
2019-07-11,peace,invaded,i2,16,24,0,29,92.082
2019-07-11,peace,native,n1,21,24,0,29,89.693
2019-07-12,peace,invaded,i1,20,24,0,30,100
2019-07-12,peace,invaded,i2,16,24,0,30,92.944
2019-07-12,peace,native,n1,21,24,0,30,82.809
2019-07-13,peace,invaded,i1,20,24,0,31,100
2019-07-13,peace,invaded,i2,16,24,0,31,82.845
2019-07-13,peace,native,n1,21,23.75,0.25,31,78.953
2019-07-14,peace,invaded,i1,20,24,0,32,100
2019-07-14,peace,invaded,i2,16,22.583333333333332,1.4166666666666667,32,74.456
2019-07-14,peace,native,n1,21,17.166666666666668,6.833333333333333,32,65.74
2019-07-15,peace,invaded,i1,20,24,0,33,100
2019-07-15,peace,invaded,i2,16,23.916666666666668,0.08333333333333333,33,79.064
2019-07-15,peace,native,n1,21,19.416666666666668,4.583333333333333,33,68.736
2019-07-16,peace,invaded,i1,20,24,0,34,97.976
2019-07-16,peace,invaded,i2,16,21.083333333333332,2.9166666666666665,34,69.321
2019-07-16,peace,native,n1,21,18.75,5.25,34,63.076
2019-07-17,peace,invaded,i1,20,24,0,35,100
2019-07-17,peace,invaded,i2,16,24,0,35,82.338
2019-07-17,peace,native,n1,21,22.083333333333332,1.9166666666666667,35,70.31
2019-07-18,peace,invaded,i1,20,24,0,36,100
2019-07-18,peace,invaded,i2,16,24,0,36,100
2019-07-18,peace,native,n1,21,24,0,36,90.462
2019-07-19,peace,invaded,i1,20,24,0,37,100
2019-07-19,peace,invaded,i2,16,24,0,37,100
2019-07-19,peace,native,n1,21,24,0,37,85.006
2019-07-20,peace,invaded,i1,20,24,0,38,100
2019-07-20,peace,invaded,i2,16,24,0,38,100
2019-07-20,peace,native,n1,21,24,0,38,85.643
2019-07-21,peace,invaded,i1,20,24,0,39,100
2019-07-21,peace,invaded,i2,16,24,0,39,100
2019-07-21,peace,native,n1,21,24,0,39,94.232
2019-07-22,peace,invaded,i1,20,24,0,40,100
2019-07-22,peace,invaded,i2,16,24,0,40,100
2019-07-22,peace,native,n1,21,24,0,40,90.425
2019-07-23,peace,invaded,i1,20,24,0,41,100
2019-07-23,peace,invaded,i2,16,24,0,41,100
2019-07-23,peace,native,n1,21,24,0,41,94.383
2019-07-24,peace,invaded,i1,20,24,0,42,100
2019-07-24,peace,invaded,i2,16,24,0,42,100
2019-07-24,peace,native,n1,21,24,0,42,100
2019-07-25,peace,invaded,i1,20,24,0,43,100
2019-07-25,peace,invaded,i2,16,24,0,43,100
2019-07-25,peace,native,n1,21,24,0,43,100
2019-07-26,peace,invaded,i1,20,24,0,44,100
2019-07-26,peace,invaded,i2,16,24,0,44,100
2019-07-26,peace,native,n1,21,22.75,0,44,95.276
2019-07-27,peace,invaded,i1,20,24,0,45,99.091
2019-07-27,peace,invaded,i2,16,24,0,45,100
2019-07-27,peace,native,n1,21,23.833333333333332,0,45,85.601
2019-07-28,peace,invaded,i1,20,24,0,46,100
2019-07-28,peace,invaded,i2,16,24,0,46,100
2019-07-28,peace,native,n1,21,24,0,46,80.033
2019-07-29,peace,invaded,i1,20,24,0,47,100
2019-07-29,peace,invaded,i2,16,24,0,47,98.236
2019-07-29,peace,native,n1,21,24,0,47,81.859
2019-07-30,peace,invaded,i1,20,24,0,48,100
2019-07-30,peace,invaded,i2,16,24,0,48,91.606
2019-07-30,peace,native,n1,21,22.333333333333332,1.6666666666666667,48,75.12
2019-07-31,peace,invaded,i1,20,24,0,49,100
2019-07-31,peace,invaded,i2,16,24,0,49,84.323
2019-07-31,peace,native,n1,21,24,0,49,88.104
2019-08-01,peace,invaded,i1,20,24,0,50,100
2019-08-01,peace,invaded,i2,16,24,0,50,100
2019-08-01,peace,native,n1,21,24,0,50,100
