date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-06-13,silversprings,invaded,i1,07,23.916666666666668,0,1,100
2019-06-14,silversprings,invaded,i1,07,24,0,2,100
2019-06-14,silversprings,native,n1,05,3.75,20.25,2,64.283
2019-06-15,silversprings,invaded,i1,07,24,0,3,93.84
2019-06-15,silversprings,native,n1,05,7.75,16.25,3,66.257
2019-06-16,silversprings,invaded,i1,07,24,0,4,85.004
2019-06-16,silversprings,native,n1,05,4.833333333333333,19.166666666666668,4,68.389
2019-06-17,silversprings,invaded,i1,07,24,0,5,94.025
2019-06-17,silversprings,native,n1,05,3,21,5,68.036
2019-06-18,silversprings,invaded,i1,07,24,0,6,100
2019-06-19,silversprings,invaded,i1,07,24,0,7,100
2019-06-20,silversprings,invaded,i1,07,24,0,8,99.62
2019-06-20,silversprings,native,n1,05,6.5,17.5,8,67.382
2019-06-21,silversprings,invaded,i1,07,24,0,9,90.637
2019-06-21,silversprings,native,n1,05,10.75,13.25,9,69.325
2019-06-22,silversprings,invaded,i1,07,24,0,10,87.507
2019-06-22,silversprings,native,n1,05,10.416666666666666,13.583333333333334,10,69.569
2019-06-23,silversprings,invaded,i1,07,24,0,11,83.797
2019-06-23,silversprings,native,n1,05,8.583333333333334,15.416666666666666,11,69.845
2019-06-24,silversprings,invaded,i1,07,22.166666666666668,1.8333333333333333,12,76.871
2019-06-24,silversprings,native,n1,05,6.833333333333333,17.166666666666668,12,68.323
2019-06-25,silversprings,invaded,i1,07,22.833333333333332,1.1666666666666667,13,78.414
2019-06-25,silversprings,native,n1,05,8.666666666666666,15.333333333333334,13,69.916
2019-06-26,silversprings,invaded,i1,07,20,4,14,71.993
2019-06-26,silversprings,native,n1,05,4.75,19.25,14,61.441
2019-06-27,silversprings,invaded,i1,07,24,0,15,86.517
2019-06-27,silversprings,native,n1,05,6.833333333333333,17.166666666666668,15,68.998
2019-06-28,silversprings,invaded,i1,07,23.416666666666668,0.5833333333333334,16,78.411
2019-06-28,silversprings,native,n1,05,2.6666666666666665,21.333333333333332,16,68.992
2019-06-29,silversprings,invaded,i1,07,24,0,17,100
2019-06-30,silversprings,invaded,i1,07,24,0,18,100
2019-06-30,silversprings,native,n1,05,3.0833333333333335,20.916666666666668,18,67.997
2019-07-01,silversprings,invaded,i1,07,24,0,19,100
2019-07-02,silversprings,invaded,i1,07,24,0,20,91.519
2019-07-03,silversprings,invaded,i1,07,24,0,21,82.885
2019-07-03,silversprings,native,n1,05,6.666666666666667,17.333333333333332,21,68.06
2019-07-04,silversprings,invaded,i1,07,24,0,22,86.857
2019-07-04,silversprings,native,n1,05,7.333333333333333,16.666666666666668,22,70.554
2019-07-05,silversprings,invaded,i1,07,24,0,23,93.535
2019-07-05,silversprings,native,n1,05,2.8333333333333335,21.166666666666668,23,70.102
2019-07-06,silversprings,invaded,i1,07,24,0,24,100
2019-07-07,silversprings,invaded,i1,07,24,0,25,100
2019-07-07,silversprings,native,n1,05,5.583333333333333,18.416666666666668,25,70.618
2019-07-08,silversprings,invaded,i1,07,24,0,26,90.575
2019-07-08,silversprings,native,n1,05,10.666666666666666,13.333333333333334,26,70.684
2019-07-09,silversprings,invaded,i1,07,24,0,27,89.622
2019-07-09,silversprings,native,n1,05,9.333333333333334,14.666666666666666,27,70.552
2019-07-10,silversprings,invaded,i1,07,24,0,28,90.78
2019-07-10,silversprings,native,n1,05,10.916666666666666,13.083333333333334,28,72.261
2019-07-11,silversprings,invaded,i1,07,24,0,29,86.648
2019-07-11,silversprings,native,n1,05,4.25,19.75,29,71.065
2019-07-12,silversprings,invaded,i1,07,24,0,30,100
2019-07-13,silversprings,invaded,i1,07,24,0,31,100
2019-07-14,silversprings,invaded,i1,07,24,0,32,89.424
2019-07-14,silversprings,native,n1,05,3.6666666666666665,20.333333333333332,32,69.05
2019-07-15,silversprings,invaded,i1,07,24,0,33,97.058
2019-07-15,silversprings,native,n1,05,3.5,20.5,33,69.39
2019-07-16,silversprings,invaded,i1,07,24,0,34,95.673
2019-07-16,silversprings,native,n1,05,5.916666666666667,18.083333333333332,34,69.283
2019-07-17,silversprings,invaded,i1,07,24,0,35,100
2019-07-17,silversprings,native,n1,05,0.08333333333333333,23.916666666666668,35,68.395
2019-07-18,silversprings,invaded,i1,07,24,0,36,93.774
2019-07-18,silversprings,native,n1,05,8.833333333333334,15.166666666666666,36,69.292
2019-07-19,silversprings,invaded,i1,07,24,0,37,80.532
2019-07-19,silversprings,native,n1,05,3.25,20.75,37,69.551
2019-07-20,silversprings,invaded,i1,07,24,0,38,94.774
2019-07-20,silversprings,native,n1,05,4.583333333333333,19.416666666666668,38,68.198
2019-07-21,silversprings,invaded,i1,07,24,0,39,100
2019-07-21,silversprings,native,n1,05,2.9166666666666665,21.083333333333332,39,68.171
2019-07-22,silversprings,invaded,i1,07,24,0,40,100
2019-07-22,silversprings,native,n1,05,4.583333333333333,19.416666666666668,40,68.114
2019-07-23,silversprings,invaded,i1,07,24,0,41,100
2019-07-24,silversprings,invaded,i1,07,24,0,42,100
2019-07-25,silversprings,invaded,i1,07,24,0,43,100
2019-07-25,silversprings,native,n1,05,0.08333333333333333,23.916666666666668,43,76.469
2019-07-26,silversprings,invaded,i1,07,24,0,44,100
2019-07-27,silversprings,invaded,i1,07,12.666666666666666,0,45,100
2019-07-28,silversprings,invaded,i1,07,20.583333333333332,0,46,100
2019-07-29,silversprings,invaded,i1,07,24,0,47,98.065
2019-07-30,silversprings,invaded,i1,07,24,0,48,85.77
2019-07-30,silversprings,native,n1,05,1.6666666666666667,1.75,48,23.668
2019-07-31,silversprings,invaded,i1,07,24,0,49,91.779
2019-07-31,silversprings,native,n1,05,6.333333333333333,3.25,49,20.117
2019-08-01,silversprings,invaded,i1,07,24,0,50,93.55
2019-08-01,silversprings,native,n1,05,5.083333333333333,6.333333333333333,50,20.06
