date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-06-13,wes,invaded,i3,23,23.916666666666668,0,1,99.924
2019-06-13,wes,native,n1,17,23.916666666666668,0,1,100
2019-06-13,wes,native,n1,24,23.916666666666668,0,1,100
2019-06-14,wes,invaded,i3,23,24,0,2,99.383
2019-06-14,wes,native,n1,17,20,4,2,73.317
2019-06-14,wes,native,n1,24,24,0,2,82.191
2019-06-15,wes,invaded,i3,23,24,0,3,99.163
2019-06-15,wes,native,n1,17,24,0,3,81.287
2019-06-15,wes,native,n1,24,24,0,3,81.489
2019-06-16,wes,invaded,i3,23,24,0,4,97.051
2019-06-16,wes,native,n1,17,21.083333333333332,2.9166666666666665,4,72.161
2019-06-16,wes,native,n1,24,22.5,1.5,4,60.282
2019-06-17,wes,invaded,i3,23,24,0,5,98.932
2019-06-17,wes,native,n1,17,24,0,5,96.812
2019-06-17,wes,native,n1,24,24,0,5,99.986
2019-06-18,wes,invaded,i3,23,24,0,6,98.884
2019-06-18,wes,native,n1,17,24,0,6,100
2019-06-18,wes,native,n1,24,24,0,6,98.777
2019-06-19,wes,invaded,i3,23,24,0,7,98.773
2019-06-19,wes,native,n1,17,24,0,7,100
2019-06-19,wes,native,n1,24,24,0,7,86.994
2019-06-20,wes,invaded,i3,23,24,0,8,97.849
2019-06-20,wes,native,n1,17,24,0,8,90.935
2019-06-20,wes,native,n1,24,24,0,8,85.842
2019-06-21,wes,invaded,i3,23,24,0,9,96.805
2019-06-21,wes,native,n1,17,24,0,9,81.468
2019-06-21,wes,native,n1,24,22.916666666666668,1.0833333333333333,9,68.416
2019-06-22,wes,invaded,i3,23,24,0,10,96.845
2019-06-22,wes,native,n1,17,23.666666666666668,0.3333333333333333,10,79.733
2019-06-22,wes,native,n1,24,22.416666666666668,1.5833333333333333,10,64.819
2019-06-23,wes,invaded,i3,19,4.166666666666667,19.833333333333332,11,50.667
2019-06-23,wes,invaded,i3,23,24,0,11,96.487
2019-06-23,wes,native,n1,17,21.416666666666668,2.5833333333333335,11,74.083
2019-06-23,wes,native,n1,24,21.333333333333332,2.6666666666666665,11,60.07
2019-06-24,wes,invaded,i3,19,6.416666666666667,17.583333333333332,12,54.533
2019-06-24,wes,invaded,i3,23,24,0,12,96.49
2019-06-24,wes,native,n1,17,18.5,5.5,12,65.297
2019-06-24,wes,native,n1,24,19.833333333333332,4.166666666666667,12,50.482
2019-06-25,wes,invaded,i3,19,7.333333333333333,16.666666666666668,13,56.115
2019-06-25,wes,invaded,i3,23,24,0,13,95.214
2019-06-25,wes,native,n1,17,21,3,13,73.057
2019-06-25,wes,native,n1,24,21.083333333333332,2.9166666666666665,13,53.237
2019-06-26,wes,invaded,i3,19,8.666666666666666,15.333333333333334,14,57.582
2019-06-26,wes,invaded,i3,23,24,0,14,94.523
2019-06-26,wes,native,n1,17,17.333333333333332,6.666666666666667,14,66.42
2019-06-26,wes,native,n1,24,17.916666666666668,6.083333333333333,14,50.702
2019-06-27,wes,invaded,i3,19,9.916666666666666,14.083333333333334,15,58.806
2019-06-27,wes,invaded,i3,23,24,0,15,94.065
2019-06-27,wes,native,n1,17,13.5,10.5,15,59.075
2019-06-27,wes,native,n1,24,14.666666666666666,9.333333333333334,15,39.772
2019-06-28,wes,invaded,i3,19,10.416666666666666,13.583333333333334,16,59.466
2019-06-28,wes,invaded,i3,23,24,0,16,92.782
2019-06-28,wes,native,n1,17,16.25,7.75,16,65.289
2019-06-28,wes,native,n1,24,16.166666666666668,7.833333333333333,16,45.02
2019-06-29,wes,invaded,i3,19,10.583333333333334,13.416666666666666,17,60.91
2019-06-29,wes,invaded,i3,23,24,0,17,91.666
2019-06-29,wes,native,n1,17,18.833333333333332,5.166666666666667,17,61.257
2019-06-29,wes,native,n1,24,17.666666666666668,6.333333333333333,17,47.546
2019-06-30,wes,invaded,i3,19,11.416666666666666,12.583333333333334,18,61.642
2019-06-30,wes,invaded,i3,23,24,0,18,90.971
2019-06-30,wes,native,n1,17,19.583333333333332,4.416666666666667,18,70.848
2019-06-30,wes,native,n1,24,17.5,6.5,18,45.394
2019-07-01,wes,invaded,i3,19,12.333333333333334,11.666666666666666,19,64.214
2019-07-01,wes,invaded,i3,23,24,0,19,88.348
2019-07-01,wes,native,n1,17,17.583333333333332,6.416666666666667,19,63.762
2019-07-01,wes,native,n1,24,16.166666666666668,7.833333333333333,19,40.23
2019-07-02,wes,invaded,i3,19,14.916666666666666,9.083333333333334,20,67.475
2019-07-02,wes,invaded,i3,23,24,0,20,86.632
2019-07-02,wes,native,n1,17,17.333333333333332,6.666666666666667,20,63.355
2019-07-02,wes,native,n1,24,16.416666666666668,7.583333333333333,20,41.101
2019-07-03,wes,invaded,i3,19,14.25,9.75,21,71.403
2019-07-03,wes,invaded,i3,23,24,0,21,84.224
2019-07-03,wes,native,n1,17,17,7,21,56.085
2019-07-03,wes,native,n1,24,16.25,7.75,21,39.522
2019-07-04,wes,invaded,i3,19,13.833333333333334,10.166666666666666,22,72.091
2019-07-04,wes,invaded,i3,23,24,0,22,84.884
2019-07-04,wes,native,n1,17,18.666666666666668,5.333333333333333,22,62.032
2019-07-04,wes,native,n1,24,18.5,5.5,22,48.021
2019-07-05,wes,invaded,i3,19,17.333333333333332,6.666666666666667,23,74.283
2019-07-05,wes,invaded,i3,23,24,0,23,99.401
2019-07-05,wes,native,n1,17,24,0,23,100
2019-07-05,wes,native,n1,24,24,0,23,96.527
2019-07-06,wes,invaded,i3,19,23.666666666666668,0.3333333333333333,24,78.909
2019-07-06,wes,invaded,i3,23,24,0,24,100
2019-07-06,wes,native,n1,17,24,0,24,100
2019-07-06,wes,native,n1,24,24,0,24,91.392
2019-07-07,wes,invaded,i3,19,21.583333333333332,2.4166666666666665,25,77.691
2019-07-07,wes,invaded,i3,23,24,0,25,99.841
2019-07-07,wes,native,n1,17,24,0,25,93.164
2019-07-07,wes,native,n1,24,17.166666666666668,6.833333333333333,25,62.843
2019-07-08,wes,invaded,i3,19,9.333333333333334,14.666666666666666,26,62.684
2019-07-08,wes,invaded,i3,23,24,0,26,99.301
2019-07-08,wes,native,n1,17,23.166666666666668,0.8333333333333334,26,76.183
2019-07-08,wes,native,n1,24,22.416666666666668,1.5833333333333333,26,65.339
