plot_id,imcy_inv,visit_date,last_fire_year,lon,lat,inst_name,n_fires,fri15yr,d_since_fire,w_since_fire,y_since_fire,frindex,visit_year,total_ticks,avg_dry_standing_gm2,se_dry_standing_gm2,avg_wet_standing_gm2,avg_dry_litter_gm2,se_litter,avg_pct_litter_moisture,avg_woody_ht1,avg_woody_ht_all,avg_herb_ht1,avg_herb_ht_all,avg_litter_depth1,avg_litter_depth_all,avg_pct_green,avg_pct_litter,avg_pct_wood,avg_pct_bare,plot_avg_veg_cover,max_veg_cover,sd_veg_cover,se_veg_cover,avg_canopy_cover,sd_canopy_cover,se_canopy_cover,total_clusters1m,total_clusters2m,total_dbh,tree_richness,avg_tree_ht,avg_char_ht,pct_pinus_dbh,shrub_sap_rich,total_stems_100m2
blanding c1,Uninvaded,2017-06-07,2015,-81.997211,29.826576,Camp Blanding,5,3,743,106.14285714285714,2.041208791208791,0.1633019291161956,2017,0,161.64000000000001,71.05373365746988,264,352.48,70.36426365705819,30.80719447125697,65,65,28,25.5,5.75,5.916666666666667,21.5,61.25,1.5,16.25,27,51,21.965882636488796,10.982941318244398,33.67,10.568714838301455,5.284357419150727,7,8,202.2,1,14.06,NaN,100,0,0
blanding g1,Uninvaded,2017-06-15,2011,-81.950797,29.869148,Camp Blanding,3,5,2227,318.14285714285717,6.118131868131869,0.03268971710821733,2017,7,105.24000000000001,26.437902085200836,158.64,644.12,73.18906657873609,10.245442769005779,29.5,31.833333333333332,25,27,8.25,8,27.5,68.5,1.5,0,38.625,56,14.360681274461413,7.180340637230707,49.92,10.807997039229795,5.403998519614897,2,3,769.2,1,14.942857142857143,NaN,100,0,0
blanding d1,Uninvaded,2017-06-20,2014,-81.998625,29.869196,Camp Blanding,2,7.5,1058,151.14285714285714,2.9065934065934065,0.04587271581600504,2017,3,226.92000000000002,50.1185953514262,335.32,664.16,125.72907168458163,16.101945943964623,53,44.25,20,19,3,3.0833333333333335,26.25,87.5,5.125,0.25,27.875,45,15.531553903800697,7.765776951900349,42.900000000000006,4.105476017873364,2.052738008936682,3,6,487,2,6.675,NaN,0,10,10
blanding a1,Uninvaded,2017-06-09,2017,-82.001082,29.86202,Camp Blanding,4,3.75,183,26.142857142857142,0.5027472527472527,0.5304189435336977,2017,1,38.44,26.8616107732454,66.4,114.96,35.57967959383558,11.278666417493781,14.5,16.3,23.75,22.727272727272727,4.5,4.25,12,28.75,3.875,53.75,13.375,27,11.834800378544625,5.917400189272312,66.3,12.050095435306725,6.025047717653362,44,60,454,3,6.8500000000000005,NaN,0.8370044052863436,6,6
blanding b1,Uninvaded,2017-06-08,2016,-81.990587,29.832857,Camp Blanding,2,7.5,379,54.142857142857146,1.0412087912087913,0.12805628847845205,2017,0,5.92,3.453307593211664,7.8,415,69.13828076157714,15.644365051721131,18,18,19.75,18.666666666666668,3,3.8333333333333335,2.125,79.25,2,15,3.125,6.5,3.092329219213245,1.5461646096066226,37.7,14.643332953941872,7.321666476970936,103,168,469.5,2,9.416666666666666,NaN,73.84451544195953,13,13
eglin b1,Uninvaded,2017-08-19,2016,-86.253158,30.73214,Eglin AFB,3,5,560,80,1.5384615384615385,0.13,2017,0,321.24,227.8773319134661,748.64,192.64,50.534043970377034,11.738182351383317,48.75,45.09090909090909,41.5,34.75,1.75,1.9583333333333333,42.5,65,2,25,45,82,27.303845882952093,13.651922941476046,31.46,13.082935450425492,6.541467725212746,8,9,590.6,6,6.990909090909091,NaN,73.72163901117507,6,6
eglin p1,Uninvaded,2017-08-19,2010,-86.275308,30.734897,Eglin AFB,1,15,2731,390.14285714285717,7.502747252747254,0.008885634077871352,2017,1,367.2,137.63560779585103,621.6800000000001,438.88,145.92248535895123,7.017488758227858,60,53.25,13,13,4.25,4.083333333333333,36.25,57.5,9.5,19,41.125,51,10.75774914499621,5.378874572498105,31.46,25.36655015303947,12.683275076519735,2,2,399.4,5,7.22,NaN,72.25838758137205,13,13
eglin d1,Uninvaded,2017-08-17,2014,-86.510521,30.596483,Eglin AFB,3,5,1118,159.71428571428572,3.0714285714285716,0.06511627906976744,2017,6,50.4,11.717383098058484,94.16,384.36,53.26603921199072,11.68170603194678,27.75,25,29.75,27.583333333333332,3.25,3.4166666666666665,17.5,86.25,4,7.5,18.875,35,10.850307215312693,5.4251536076563465,56.160000000000004,26.839254833172994,13.419627416586497,6,6,486.6,5,8.89,NaN,27.72297575010275,8,8
eglin h1,Uninvaded,2017-08-16,2008,-86.480089,30.571814,Eglin AFB,2,7.5,3487,498.14285714285717,9.57967032967033,0.013918363445177323,2017,65,238.44,93.37569419643778,534.56,581.96,76.96890800836401,24.63326216604597,53.25,52.791666666666664,27.75,23,4.25,4.333333333333333,17.5,93.75,2.25,6.75,19.875,38,12.25,6.125,62.14,18.918759649265237,9.459379824632618,0,0,726.2,8,10.125,NaN,54.06224180666484,32,32
tyndall b2,Uninvaded,2017-07-20,2017,-85.476082,30.000315,Tyndall AFB,6,2.5,54,7.714285714285714,0.14835164835164835,2.6962962962962966,2017,4,392.08,72.18567170844918,818.4,66.36,16.506693591792796,20.72668273907612,38.5,39.166666666666664,43.25,41.166666666666664,6,3,60,3.75,5.25,33.75,61.875,77,17.162823194334898,8.581411597167449,56.68,6.604887079529317,3.3024435397646585,3,3,404.7,1,18.925,NaN,100,1,1
