status,installation,plot_id,sd_card,start_date,end_date,camera_days
invaded,avonpark,i1,108-1,4/15/2019,5/3/2019,18
invaded,avonpark,i1,9-1,4/11/2019,5/4/2019,23
invaded,brown,i1,102-1,4/7/2019,4/25/2019,18
invaded,brown,i1,34-1,4/5/2019,4/25/2019,20
invaded,brown,i2,102-2,4/27/2019,5/18/2019,21
invaded,brown,i2,34-2,4/25/2019,5/17/2019,22
invaded,brown,i3,112-2,5/17/2019,5/17/2019,1
invaded,hancock,i1,12-1,4/17/2019,5/8/2019,21
invaded,hancock,i1,7-1,4/17/2019,5/8/2019,21
invaded,hancock,i2,2-1,4/17/2019,4/27/2019,10
invaded,hancock,i2,5-1,4/17/2019,4/27/2019,10
invaded,munson,i1,20-1,5/1/2019,6/6/2019,36
invaded,peaceriver,i1,109-1,4/11/2019,4/15/2019,4
invaded,peaceriver,i1,22-1,4/11/2019,5/7/2019,26
invaded,peaceriver,i2,110-1,4/11/2019,5/8/2019,27
invaded,peaceriver,i2,27-1,4/15/2019,4/29/2019,14
invaded,peaceriver,i3,10-1,4/12/2019,4/13/2019,2
invaded,peaceriver,i3,111-1,4/12/2019,5/7/2019,25
invaded,riversedge,i1,38-1,5/1/2019,5/1/2019,1
invaded,riversedge,i2,113-1,5/1/2019,5/4/2019,3
invaded,seay,i1,103-1,4/8/2019,4/17/2019,9
invaded,seay,i1,103-2,4/23/2019,5/12/2019,19
invaded,seay,i1,33-1,4/8/2019,4/23/2019,15
invaded,seay,i1,33-2,4/26/2019,5/4/2019,8
invaded,seay,i2,103-3,5/14/2019,5/23/2019,9
invaded,seay,i2,33-3,5/22/2019,5/22/2019,1
invaded,silversprings,i1,105-1,4/26/2019,4/26/2019,1
invaded,silversprings,i1,15-1,5/8/2019,5/21/2019,13
invaded,wes,i1,28-1,4/3/2019,4/15/2019,12
invaded,wes,i1,6-1,4/4/2019,4/9/2019,5
invaded,wes,i2,28-2,4/23/2019,5/14/2019,21
invaded,wes,i2,6-2,5/3/2019,5/3/2019,1
native,avonpark,n1,37-1,4/11/2019,5/5/2019,24
native,brown,n1,101-1,4/6/2019,4/24/2019,18
native,brown,n1,21-1,4/5/2019,4/7/2019,2
native,brown,n2,101-2,4/25/2019,5/21/2019,26
native,brown,n2,21-2,4/25/2019,5/21/2019,26
native,brown,n3,108-2,5/17/2019,5/21/2019,4
native,brown,n3,9-2,5/20/2019,5/21/2019,1
native,hancock,n1,112-1,1/1/2017,1/21/2017,21
native,hancock,n1,14-1,1/1/2019,1/21/2019,21
native,munson,n1,35-1,5/1/2019,6/5/2019,35
native,riversedge,n1,114-1,5/1/2019,5/19/2019,18
native,riversedge,n1,42-1,5/7/2019,6/4/2019,28
native,seay,n1,104-1,4/9/2019,4/22/2019,13
native,seay,n1,25-1,4/12/2019,4/23/2019,11
native,seay,n1,25-2,4/23/2019,5/3/2019,10
native,seay,n2,104-3,5/15/2019,5/22/2019,7
native,seay,n2,25-3,5/15/2019,5/23/2019,8
native,silversprings,n1,106-1,4/25/2019,5/22/2019,27
native,silversprings,n1,23-1,4/25/2019,5/2/2019,7
native,wes,n1,4-1,1/1/2019,1/22/2019,21
native,wes,n1,8-1,1/2/2019,1/21/2019,19
native,wes,n1,4-2,1/21/2015,2/1/2015,11
native,wes,n1,8-2,1/21/2015,2/1/2015,11
invaded,wes,i3,6-3,5/14/2019,5/23/2019,9
invaded,wes,i3,28-3,5/14/2019,5/23/2019,9
