plot_id,inst_nm,visit_date,n_fires,fri15yr,d_since_fire,w_since_fire,y_since_fire,frindex,geometry
avonpark a1,Avon Park AFR,2017-06-27,4,3.75,210,30,0.5769230769230769,0.46222222222222226,"c(469464.293733202, 3061323.81432559)"
avonpark b1,Avon Park AFR,2017-06-29,5,3,431,61.57142857142857,1.184065934065934,0.2815158546017015,"c(472040.880202001, 3061509.25391492)"
avonpark c1,Avon Park AFR,2017-06-28,3,5,793,113.28571428571429,2.178571428571429,0.09180327868852459,"c(467913.545015472, 3061398.69967858)"
avonpark d1,Avon Park AFR,2017-06-30,3,5,1123,160.42857142857142,3.085164835164835,0.06482635796972397,"c(461750.389704827, 3065313.06007254)"
avonpark a1,Avon Park AFR,2018-05-30,4,3.75,547,78.14285714285714,1.5027472527472527,0.17745277269957344,"c(469464.293733202, 3061323.81432559)"
avonpark a2,Avon Park AFR,2018-05-30,4,3.75,547,78.14285714285714,1.5027472527472527,0.17745277269957344,"c(469308.366235193, 3061200.8072209)"
avonpark c1,Avon Park AFR,2018-05-31,3,5,1130,161.42857142857142,3.104395604395604,0.06442477876106195,"c(467913.545015472, 3061398.69967858)"
avonpark c2,Avon Park AFR,2018-05-31,3,5,1130,161.42857142857142,3.104395604395604,0.06442477876106195,"c(467666.366577655, 3061232.97502474)"
avonpark e1,Avon Park AFR,2018-05-29,5,3,377,53.857142857142854,1.0357142857142856,0.3218390804597701,"c(472040.744241784, 3051559.28622147)"
avonpark e2,Avon Park AFR,2018-05-29,4,3.75,377,53.857142857142854,1.0357142857142856,0.25747126436781614,"c(475793.501831956, 3056267.96171006)"
avonpark f1,Avon Park AFR,2018-05-31,5,3,134,19.142857142857142,0.3681318681318681,0.9054726368159204,"c(471138.082906482, 3054691.86265254)"
avonpark g1,Avon Park AFR,2018-05-31,3,5,1809,258.42857142857144,4.96978021978022,0.0402432283029298,"c(473024.722360851, 3046811.71028093)"
avonpark h1,Avon Park AFR,2018-06-01,3,5,519,74.14285714285714,1.4258241758241756,0.14026974951830445,"c(461480.631646141, 3067572.24659205)"
avonpark i1,Avon Park AFR,2018-06-01,3,5,2340,334.2857142857143,6.428571428571429,0.03111111111111111,"c(463378.258225123, 3067904.34086687)"
blanding a1,Camp Blanding,2017-06-09,4,3.75,183,26.142857142857142,0.5027472527472527,0.5304189435336977,"c(403312.170405204, 3303916.81190125)"
blanding b1,Camp Blanding,2017-06-08,2,7.5,379,54.142857142857146,1.0412087912087913,0.12805628847845205,"c(404298.053968666, 3300676.37111557)"
blanding c1,Camp Blanding,2017-06-07,5,3,743,106.14285714285714,2.041208791208791,0.1633019291161956,"c(403652.041223062, 3299985.87311869)"
blanding d1,Camp Blanding,2017-06-20,2,7.5,1058,151.14285714285714,2.9065934065934065,0.04587271581600504,"c(403556.390315696, 3304709.95369872)"
blanding e1,Camp Blanding,2017-06-14,3,5,1477,211,4.0576923076923075,0.04928909952606635,"c(406721.959470494, 3302533.76215001)"
blanding f1,Camp Blanding,2017-06-22,1,15,3753,536.1428571428571,10.31043956043956,0.006465938360422773,"c(405097.783472962, 3300753.19120798)"
blanding g1,Camp Blanding,2017-06-15,3,5,2227,318.14285714285717,6.118131868131869,0.03268971710821733,"c(408175.623210391, 3304665.494914)"
blanding h1,Camp Blanding,2017-06-16,2,7.5,2852,407.42857142857144,7.835164835164836,0.017017297802711547,"c(408295.563150754, 3304417.15141069)"
blanding c1,Camp Blanding,2018-05-16,5,3,314,44.857142857142854,0.8626373626373626,0.386411889596603,"c(403652.041223062, 3299985.87311869)"
blanding g1,Camp Blanding,2018-05-18,4,3.75,51,7.285714285714286,0.1401098901098901,1.903267973856209,"c(408175.623210391, 3304665.494914)"
blanding h1,Camp Blanding,2018-05-17,3,5,50,7.142857142857143,0.13736263736263737,1.456,"c(408295.563150754, 3304417.15141069)"
blanding i1,Camp Blanding,2018-05-25,1,15,1464,209.14285714285714,4.021978021978022,0.016575591985428052,"c(400257.223011892, 3304111.04471124)"
blanding j1,Camp Blanding,2018-05-25,3,5,759,108.42857142857143,2.0851648351648353,0.09591567852437417,"c(400891.203315972, 3302879.10957933)"
blanding k1,Camp Blanding,2018-05-22,2,7.5,1174,167.71428571428572,3.2252747252747254,0.04134014764338444,"c(401127.881873571, 3301205.12267582)"
blanding m1,Camp Blanding,2018-05-15,1,15,4067,581,11.173076923076923,0.005966724039013195,"c(406443.74123434, 3302086.94047105)"
blanding n1,Camp Blanding,2018-05-24,2,7.5,1822,260.2857142857143,5.0054945054945055,0.02663739480424442,"c(405596.960100238, 3301223.03887104)"
shelby b1,Camp Shelby,2017-09-22,3,5,326,46.57142857142857,0.8956043956043955,0.22331288343558287,"c(566243.833598578, 1147615.41320129)"
shelby b2,Camp Shelby,2017-09-24,4,3.75,328,46.857142857142854,0.901098901098901,0.2959349593495935,"c(566932.326474693, 1146666.00961166)"
shelby b3,Camp Shelby,2017-09-24,4,3.75,328,46.857142857142854,0.901098901098901,0.2959349593495935,"c(566885.959218699, 1146607.62489042)"
shelby d1,Camp Shelby,2017-09-23,4,3.75,1058,151.14285714285714,2.9065934065934065,0.09174543163201009,"c(560847.749169627, 1152989.52789683)"
