date,status,logger_id,days,minutes_above_85,minutes_bw_78_85,minutes_below_78
2018-06-22,invaded,01,1,1440,0,0
2018-06-22,invaded,02,1,1440,0,0
2018-06-22,invaded,03,1,945,115,380
2018-06-22,invaded,04,1,1205,175,60
2018-06-22,invaded,05,1,1415,25,0
2018-06-22,invaded,06,1,1440,0,0
2018-06-22,invaded,07,1,1440,0,0
2018-06-22,invaded,08,1,1420,20,0
2018-06-22,invaded,09,1,1050,225,165
2018-06-22,invaded,10,1,925,140,375
2018-06-22,invaded,11,1,750,155,535
2018-06-22,invaded,12,1,825,215,400
2018-06-22,native,13,1,885,85,470
2018-06-22,native,14,1,990,110,340
2018-06-22,native,15,1,860,80,500
2018-06-22,native,16,1,815,55,570
2018-06-22,native,17,1,735,110,595
2018-06-22,native,18,1,950,130,360
2018-06-22,native,19,1,845,105,490
2018-06-22,native,20,1,1065,215,160
2018-06-22,native,21,1,915,115,410
2018-06-22,native,22,1,1200,115,125
2018-06-22,native,23,1,865,50,525
2018-06-22,native,24,1,880,120,440
2018-06-23,invaded,01,2,1440,0,0
2018-06-23,invaded,02,2,1440,0,0
2018-06-23,invaded,03,2,835,130,475
2018-06-23,invaded,04,2,1015,260,165
2018-06-23,invaded,05,2,1085,335,20
2018-06-23,invaded,06,2,1080,355,5
2018-06-23,invaded,07,2,1340,100,0
2018-06-23,invaded,08,2,1170,270,0
2018-06-23,invaded,09,2,885,170,385
2018-06-23,invaded,10,2,840,100,500
2018-06-23,invaded,11,2,695,160,585
2018-06-23,invaded,12,2,760,120,560
2018-06-23,native,13,2,860,125,455
2018-06-23,native,14,2,955,90,395
2018-06-23,native,15,2,845,110,485
2018-06-23,native,16,2,800,70,570
2018-06-23,native,17,2,745,130,565
2018-06-23,native,18,2,940,125,375
2018-06-23,native,19,2,835,85,520
2018-06-23,native,20,2,970,230,240
2018-06-23,native,21,2,880,80,480
2018-06-23,native,22,2,1110,185,145
2018-06-23,native,23,2,855,70,515
2018-06-23,native,24,2,875,100,465
2018-06-24,invaded,01,3,1390,50,0
2018-06-24,invaded,02,3,1215,225,0
2018-06-24,invaded,03,3,835,105,500
2018-06-24,invaded,04,3,1005,160,275
2018-06-24,invaded,05,3,985,180,275
2018-06-24,invaded,06,3,960,125,355
2018-06-24,invaded,07,3,1220,195,25
2018-06-24,invaded,08,3,1095,295,50
2018-06-24,invaded,09,3,895,155,390
2018-06-24,invaded,10,3,850,100,490
2018-06-24,invaded,11,3,680,135,625
2018-06-24,invaded,12,3,755,65,620
2018-06-24,native,13,3,865,230,345
2018-06-24,native,14,3,920,120,400
2018-06-24,native,15,3,850,155,435
2018-06-24,native,16,3,775,155,510
2018-06-24,native,17,3,800,85,555
2018-06-24,native,18,3,990,100,350
2018-06-24,native,19,3,840,95,505
2018-06-24,native,20,3,1065,130,245
2018-06-24,native,21,3,870,100,470
2018-06-24,native,22,3,1115,165,160
2018-06-24,native,23,3,850,115,475
2018-06-24,native,24,3,935,100,405
2018-06-25,invaded,01,4,1395,45,0
2018-06-25,invaded,02,4,1110,260,70
2018-06-25,invaded,03,4,925,100,415
2018-06-25,invaded,04,4,975,100,365
2018-06-25,invaded,05,4,930,85,425
2018-06-25,invaded,06,4,950,150,340
2018-06-25,invaded,07,4,1185,140,115
2018-06-25,invaded,08,4,970,150,320
2018-06-25,invaded,09,4,880,80,480
2018-06-25,invaded,10,4,925,20,495
2018-06-25,invaded,11,4,740,90,610
2018-06-25,invaded,12,4,795,35,610
2018-06-25,native,13,4,935,35,470
2018-06-25,native,14,4,955,65,420
2018-06-25,native,15,4,885,50,505
2018-06-25,native,16,4,840,95,505
2018-06-25,native,17,4,820,75,545
2018-06-25,native,18,4,945,115,380
2018-06-25,native,19,4,925,35,480
2018-06-25,native,20,4,990,205,245
2018-06-25,native,21,4,925,25,490
2018-06-25,native,22,4,1045,230,165
2018-06-25,native,23,4,925,20,495
2018-06-25,native,24,4,945,105,390
2018-06-26,invaded,01,5,1440,0,0
2018-06-26,invaded,02,5,1215,150,75
2018-06-26,invaded,03,5,1115,25,300
2018-06-26,invaded,04,5,1095,80,265
2018-06-26,invaded,05,5,1095,15,330
2018-06-26,invaded,06,5,1145,60,235
2018-06-26,invaded,07,5,1150,100,190
2018-06-26,invaded,08,5,1105,25,310
2018-06-26,invaded,09,5,1035,60,345
2018-06-26,invaded,10,5,1065,25,350
2018-06-26,invaded,11,5,935,110,395
2018-06-26,invaded,12,5,980,50,410
2018-06-26,native,13,5,1085,65,290
2018-06-26,native,14,5,1100,50,290
2018-06-26,native,15,5,1060,30,350
2018-06-26,native,16,5,1020,80,340
2018-06-26,native,17,5,1035,15,390
2018-06-26,native,18,5,1090,65,285
2018-06-26,native,19,5,1070,25,345
2018-06-26,native,20,5,1105,135,200
2018-06-26,native,21,5,1080,25,335
2018-06-26,native,22,5,1120,150,170
2018-06-26,native,23,5,1065,25,350
2018-06-26,native,24,5,1090,40,310
2018-06-27,invaded,01,6,1440,0,0
2018-06-27,invaded,02,6,1440,0,0
2018-06-27,invaded,03,6,1440,0,0
2018-06-27,invaded,04,6,1440,0,0
2018-06-27,invaded,05,6,1440,0,0
2018-06-27,invaded,06,6,1440,0,0
2018-06-27,invaded,07,6,1440,0,0
2018-06-27,invaded,08,6,1440,0,0
2018-06-27,invaded,09,6,1440,0,0
2018-06-27,invaded,10,6,1440,0,0
2018-06-27,invaded,11,6,1010,220,210
2018-06-27,invaded,12,6,1100,195,145
2018-06-27,native,13,6,1200,130,110
2018-06-27,native,14,6,1220,125,95
2018-06-27,native,15,6,1200,185,55
2018-06-27,native,16,6,1070,65,305
2018-06-27,native,17,6,1065,100,275
2018-06-27,native,18,6,1305,90,45
2018-06-27,native,19,6,1350,75,15
2018-06-27,native,20,6,1440,0,0
2018-06-27,native,21,6,1290,145,5
2018-06-27,native,22,6,1440,0,0
2018-06-27,native,23,6,1110,70,260
2018-06-27,native,24,6,1370,70,0
2018-06-28,invaded,01,7,1440,0,0
2018-06-28,invaded,02,7,1440,0,0
