plot_id,inst_name,drought_index,geometry
blanding c1,Camp Blanding,12,"c(-81.997211, 29.826576)"
blanding g1,Camp Blanding,65,"c(-81.950797, 29.869148)"
blanding d1,Camp Blanding,17,"c(-81.998625, 29.869196)"
blanding a1,Camp Blanding,17,"c(-82.001082, 29.86202)"
blanding b1,Camp Blanding,12,"c(-81.990587, 29.832857)"
eglin b1,Eglin AFB,12,"c(-86.253158, 30.73214)"
eglin p1,Eglin AFB,12,"c(-86.275308, 30.734897)"
eglin d1,Eglin AFB,12,"c(-86.510521, 30.596483)"
eglin h1,Eglin AFB,12,"c(-86.480089, 30.571814)"
tyndall b2,Tyndall AFB,57,"c(-85.476082, 30.000315)"
tyndall b1,Tyndall AFB,57,"c(-85.47658, 29.998418)"
tyndall d1,Tyndall AFB,65,"c(-85.550225, 30.042322)"
tyndall h1,Tyndall AFB,80,"c(-85.5408611740661, 30.0469098992894)"
avonpark a1,Avon Park AFR,80,"c(-81.309644, 27.67576)"
avonpark c1,Avon Park AFR,80,"c(-81.325371, 27.6764)"
avonpark b1,Avon Park AFR,80,"c(-81.283521, 27.67749)"
avonpark d1,Avon Park AFR,65,"c(-81.387992, 27.711576)"
blanding f1,Camp Blanding,17,"c(-81.982317, 29.833612)"
blanding e1,Camp Blanding,12,"c(-81.965662, 29.849803)"
blanding h1,Camp Blanding,65,"c(-81.949534, 29.866916)"
shelby f1,Camp Shelby,45,"c(-89.014919, 31.099479)"
shelby b1,Camp Shelby,45,"c(-89.055373, 31.123623)"
shelby d1,Camp Shelby,48,"c(-89.111628, 31.172392)"
shelby b2,Camp Shelby,45,"c(-89.048217, 31.11502)"
shelby b3,Camp Shelby,45,"c(-89.048707, 31.114496)"
shelby g1,Camp Shelby,45,"c(-89.065989, 31.148769)"
moody b1,Moody AFB,49,"c(-83.1753, 30.984401)"
moody a1,Moody AFB,41,"c(-83.179208, 30.98314)"
moody k1,Moody AFB,83,"c(-83.183563, 30.950761)"
avonpark h1,Avon Park AFR,80,"c(-81.390801, 27.731963)"
avonpark i1,Avon Park AFR,80,"c(-81.371559, 27.735014)"
jackson a1,Fort Jackson,42,"c(-80.749623, 34.077337)"
jackson b1,Fort Jackson,42,"c(-80.75528, 34.073796)"
jackson c1,Fort Jackson,39,"c(-80.759342, 34.078634)"
jackson d1,Fort Jackson,42,"c(-80.75314, 34.075136)"
jackson e1,Fort Jackson,12,"c(-80.760441, 34.081586)"
jackson f1,Fort Jackson,39,"c(-80.765852, 34.079753)"
jackson g1,Fort Jackson,37,"c(-80.783554, 34.076397)"
shelby a1,Camp Shelby,45,"c(-88.937473, 30.968064)"
shelby a2,Camp Shelby,45,"c(-88.931824, 30.967114)"
shelby e1,Camp Shelby,45,"c(-88.912687, 30.985987)"
shelby h1,Camp Shelby,45,"c(-88.958222, 31.073167)"
shelby i1,Camp Shelby,45,"c(-88.954874, 31.071573)"
jackson i1,Fort Jackson,12,"c(-80.774299, 34.011561)"
jackson h1,Fort Jackson,39,"c(-80.771614, 34.007664)"
eglin a1,Eglin AFB,12,"c(-86.507376, 30.590218)"
eglin g1,Eglin AFB,12,"c(-86.48356, 30.562187)"
eglin e1,Eglin AFB,12,"c(-86.281877, 30.68349)"
eglin i1,Eglin AFB,41,"c(-86.243462, 30.699865)"
eglin c1,Eglin AFB,12,"c(-86.425476, 30.597517)"
eglin j1,Eglin AFB,12,"c(-86.448132, 30.616449)"
shelby j1,Camp Shelby,45,"c(-89.231414, 31.208952)"
shelby k1,Camp Shelby,45,"c(-89.209579, 31.213312)"
eglin f1,Eglin AFB,12,"c(-86.532676, 30.605483)"
eglin b2,Eglin AFB,37,"c(-86.496065, 30.607785)"
gordon a1,Fort Gordon,27,"c(-82.185351, 33.355677)"
gordon b1,Fort Gordon,12,"c(-82.176099, 33.357005)"
gordon c1,Fort Gordon,27,"c(-82.212831, 33.35564)"
gordon d1,Fort Gordon,12,"c(-82.187065, 33.343386)"
gordon e1,Fort Gordon,43,"c(-82.187841, 33.342135)"
gordon f1,Fort Gordon,12,"c(-82.195633, 33.34406)"
gordon g1,Fort Gordon,43,"c(-82.284032, 33.364516)"
gordon h1,Fort Gordon,43,"c(-82.2853, 33.364136)"
benning b1,Fort Benning,39,"c(-84.900369, 32.390499)"
blanding n1,Camp Blanding,17,"c(-81.977192, 29.83789)"
benning a1,Fort Benning,27,"c(-84.894867, 32.389017)"
benning c1,Fort Benning,42,"c(-84.815476, 32.345412)"
benning d1,Fort Benning,82,"c(-84.774863, 32.361567)"
tyndall d2,Tyndall AFB,74,"c(-85.51935, 30.023204)"
blanding j1,Camp Blanding,42,"c(-82.026049, 29.852464)"
blanding i1,Camp Blanding,57,"c(-82.032726, 29.863529)"
benning e1,Fort Benning,43,"c(-84.818986, 32.327739)"
benning f1,Fort Benning,43,"c(-84.821965, 32.333689)"
tyndall c1,Tyndall AFB,74,"c(-85.517982, 30.022271)"
tyndall c2,Tyndall AFB,74,"c(-85.519121, 30.025209)"
benning g1,Fort Benning,27,"c(-84.700343, 32.377208)"
benning h1,Fort Benning,12,"c(-84.672603, 32.366872)"
benning i1,Fort Benning,43,"c(-84.67736, 32.399427)"
benning j1,Fort Benning,39,"c(-84.679634, 32.392144)"
tyndall b3,Tyndall AFB,80,"c(-85.458016, 30.015622)"
tyndall b4,Tyndall AFB,80,"c(-85.452983, 30.01769)"
avonpark e1,Avon Park AFR,80,"c(-81.283291, 27.587665)"
avonpark a2,Avon Park AFR,80,"c(-81.311222, 27.674646)"
avonpark e2,Avon Park AFR,74,"c(-81.245362, 27.630246)"
avonpark c2,Avon Park AFR,74,"c(-81.327873, 27.674898)"
avonpark f1,Avon Park AFR,80,"c(-81.292512, 27.615926)"
avonpark g1,Avon Park AFR,80,"c(-81.273215, 27.544825)"
blanding k1,Camp Blanding,17,"c(-82.023445, 29.837378)"
blanding m1,Camp Blanding,17,"c(-81.968503, 29.84575)"
jackson j1,Fort Jackson,52,"c(-80.764428, 34.009336)"
jackson k1,Fort Jackson,42,"c(-80.763432, 34.014072)"
jackson l1,Fort Jackson,42,"c(-80.781399, 34.090976)"
jackson m1,Fort Jackson,12,"c(-80.778834, 34.091439)"
shelby c1,Camp Shelby,45,"c(-88.865599, 30.948842)"
