name,installation,lon,lat,xcrd_ln,ycrd_lt,pid,plot_id,pid2,inst_f_,xcord_ln,ycord_lt,inst_fl_,xcoord_ln,ycoord_lt,inst_fll_,xcoord_lon,ycoord_lat,installation_full_name
BlandingC1,blanding,-81.997211,29.826576,-81.997211,29.826576,c1,blanding c1,C-1,Camp Blanding,-81.997211,29.826576,Camp Blanding,-81.997211,29.826576,Camp Blanding,-81.997211,29.826576,Camp Blanding
BlandingG1,blanding,-81.950797,29.869148,-81.950797,29.869148,g1,blanding g1,G-1,Camp Blanding,-81.950797,29.869148,Camp Blanding,-81.950797,29.869148,Camp Blanding,-81.950797,29.869148,Camp Blanding
BlandingD1,blanding,-81.998625,29.869196,-81.998625,29.869196,d1,blanding d1,D-1,Camp Blanding,-81.998625,29.869196,Camp Blanding,-81.998625,29.869196,Camp Blanding,-81.998625,29.869196,Camp Blanding
BlandingA1,blanding,-82.001082,29.86202,-82.001082,29.86202,a1,blanding a1,A-1,Camp Blanding,-82.001082,29.86202,Camp Blanding,-82.001082,29.86202,Camp Blanding,-82.001082,29.86202,Camp Blanding
BlandingB1,blanding,-81.990587,29.832857,-81.990587,29.832857,b1,blanding b1,B-1,Camp Blanding,-81.990587,29.832857,Camp Blanding,-81.990587,29.832857,Camp Blanding,-81.990587,29.832857,Camp Blanding
EglinB1,eglin,-86.253158,30.73214,-86.253158,30.73214,b1,eglin b1,B-1,Eglin AFB,-86.253158,30.73214,Eglin AFB,-86.253158,30.73214,Eglin AFB,-86.253158,30.73214,Eglin AFB
EglinP1,eglin,-86.275308,30.734897,-86.275308,30.734897,p1,eglin p1,P-1,Eglin AFB,-86.275308,30.734897,Eglin AFB,-86.275308,30.734897,Eglin AFB,-86.275308,30.734897,Eglin AFB
EglinD1,eglin,-86.510521,30.596483,-86.510521,30.596483,d1,eglin d1,D-1,Eglin AFB,-86.510521,30.596483,Eglin AFB,-86.510521,30.596483,Eglin AFB,-86.510521,30.596483,Eglin AFB
EglinH1,eglin,-86.480089,30.571814,-86.480089,30.571814,h1,eglin h1,H-1,Eglin AFB,-86.480089,30.571814,Eglin AFB,-86.480089,30.571814,Eglin AFB,-86.480089,30.571814,Eglin AFB
TyndallB2,tyndall,-85.476082,30.000315,-85.476082,30.000315,b2,tyndall b2,B-2,Tyndall AFB,-85.476082,30.000315,Tyndall AFB,-85.476082,30.000315,Tyndall AFB,-85.476082,30.000315,Tyndall AFB
TyndallB1,tyndall,-85.47658,29.998418,-85.47658,29.998418,b1,tyndall b1,B-1,Tyndall AFB,-85.47658,29.998418,Tyndall AFB,-85.47658,29.998418,Tyndall AFB,-85.47658,29.998418,Tyndall AFB
TyndallD1,tyndall,-85.550225,30.042322,-85.550225,30.042322,d1,tyndall d1,D-1,Tyndall AFB,-85.550225,30.042322,Tyndall AFB,-85.550225,30.042322,Tyndall AFB,-85.550225,30.042322,Tyndall AFB
TyndallH1,tyndall,-85.54086117406607,30.046909899289403,-85.54086117406607,30.046909899289403,h1,tyndall h1,H-1,Tyndall AFB,-85.54086117406607,30.046909899289403,Tyndall AFB,-85.54086117406607,30.046909899289403,Tyndall AFB,-85.54086117406607,30.046909899289403,Tyndall AFB
AvonParkA1,avonpark,-81.309644,27.67576,-81.309644,27.67576,a1,avonpark a1,A-1,Avon Park AFR,-81.309644,27.67576,Avon Park AFR,-81.309644,27.67576,Avon Park AFR,-81.309644,27.67576,Avon Park AFR
AvonParkC1,avonpark,-81.325371,27.6764,-81.325371,27.6764,c1,avonpark c1,C-1,Avon Park AFR,-81.325371,27.6764,Avon Park AFR,-81.325371,27.6764,Avon Park AFR,-81.325371,27.6764,Avon Park AFR
AvonParkB1,avonpark,-81.283521,27.67749,-81.283521,27.67749,b1,avonpark b1,B-1,Avon Park AFR,-81.283521,27.67749,Avon Park AFR,-81.283521,27.67749,Avon Park AFR,-81.283521,27.67749,Avon Park AFR
AvonParkD1,avonpark,-81.387992,27.711576,-81.387992,27.711576,d1,avonpark d1,D-1,Avon Park AFR,-81.387992,27.711576,Avon Park AFR,-81.387992,27.711576,Avon Park AFR,-81.387992,27.711576,Avon Park AFR
BlandingF1,blanding,-81.982317,29.833612,-81.982317,29.833612,f1,blanding f1,F-1,Camp Blanding,-81.982317,29.833612,Camp Blanding,-81.982317,29.833612,Camp Blanding,-81.982317,29.833612,Camp Blanding
BlandingE1,blanding,-81.965662,29.849803,-81.965662,29.849803,e1,blanding e1,E-1,Camp Blanding,-81.965662,29.849803,Camp Blanding,-81.965662,29.849803,Camp Blanding,-81.965662,29.849803,Camp Blanding
BlandingH1,blanding,-81.949534,29.866916,-81.949534,29.866916,h1,blanding h1,H-1,Camp Blanding,-81.949534,29.866916,Camp Blanding,-81.949534,29.866916,Camp Blanding,-81.949534,29.866916,Camp Blanding
ShelbyF1,shelby,-89.014919,31.099479,-89.014919,31.099479,f1,shelby f1,F-1,Camp Shelby,-89.014919,31.099479,Camp Shelby,-89.014919,31.099479,Camp Shelby,-89.014919,31.099479,Camp Shelby
ShelbyB1,shelby,-89.055373,31.123623,-89.055373,31.123623,b1,shelby b1,B-1,Camp Shelby,-89.055373,31.123623,Camp Shelby,-89.055373,31.123623,Camp Shelby,-89.055373,31.123623,Camp Shelby
ShelbyD1,shelby,-89.111628,31.172392,-89.111628,31.172392,d1,shelby d1,D-1,Camp Shelby,-89.111628,31.172392,Camp Shelby,-89.111628,31.172392,Camp Shelby,-89.111628,31.172392,Camp Shelby
ShelbyB2,shelby,-89.048217,31.11502,-89.048217,31.11502,b2,shelby b2,B-2,Camp Shelby,-89.048217,31.11502,Camp Shelby,-89.048217,31.11502,Camp Shelby,-89.048217,31.11502,Camp Shelby
ShelbyB3,shelby,-89.048707,31.114496,-89.048707,31.114496,b3,shelby b3,B-3,Camp Shelby,-89.048707,31.114496,Camp Shelby,-89.048707,31.114496,Camp Shelby,-89.048707,31.114496,Camp Shelby
ShelbyG1,shelby,-89.065989,31.148769,-89.065989,31.148769,g1,shelby g1,G-1,Camp Shelby,-89.065989,31.148769,Camp Shelby,-89.065989,31.148769,Camp Shelby,-89.065989,31.148769,Camp Shelby
MoodyB1,moody,-83.1753,30.984401,-83.1753,30.984401,b1,moody b1,B-1,Moody AFB,-83.1753,30.984401,Moody AFB,-83.1753,30.984401,Moody AFB,-83.1753,30.984401,Moody AFB
MoodyA1,moody,-83.179208,30.98314,-83.179208,30.98314,a1,moody a1,A-1,Moody AFB,-83.179208,30.98314,Moody AFB,-83.179208,30.98314,Moody AFB,-83.179208,30.98314,Moody AFB
MoodyK1,moody,-83.183563,30.950761,-83.183563,30.950761,k1,moody k1,K-1,Moody AFB,-83.183563,30.950761,Moody AFB,-83.183563,30.950761,Moody AFB,-83.183563,30.950761,Moody AFB
AvonparkH1,avonpark,-81.390801,27.731963,-81.390801,27.731963,h1,avonpark h1,H-1,Avon Park AFR,-81.390801,27.731963,Avon Park AFR,-81.390801,27.731963,Avon Park AFR,-81.390801,27.731963,Avon Park AFR
AvonparkI1,avonpark,-81.371559,27.735014,-81.371559,27.735014,i1,avonpark i1,I-1,Avon Park AFR,-81.371559,27.735014,Avon Park AFR,-81.371559,27.735014,Avon Park AFR,-81.371559,27.735014,Avon Park AFR
JacksonA1,jackson,-80.749623,34.077337,-80.749623,34.077337,a1,jackson a1,A-1,Fort Jackson,-80.749623,34.077337,Fort Jackson,-80.749623,34.077337,Fort Jackson,-80.749623,34.077337,Fort Jackson
JacksonB1,jackson,-80.75528,34.073796,-80.75528,34.073796,b1,jackson b1,B-1,Fort Jackson,-80.75528,34.073796,Fort Jackson,-80.75528,34.073796,Fort Jackson,-80.75528,34.073796,Fort Jackson
JacksonC1,jackson,-80.759342,34.078634,-80.759342,34.078634,c1,jackson c1,C-1,Fort Jackson,-80.759342,34.078634,Fort Jackson,-80.759342,34.078634,Fort Jackson,-80.759342,34.078634,Fort Jackson
JacksonD1,jackson,-80.75314,34.075136,-80.75314,34.075136,d1,jackson d1,D-1,Fort Jackson,-80.75314,34.075136,Fort Jackson,-80.75314,34.075136,Fort Jackson,-80.75314,34.075136,Fort Jackson
JacksonE1,jackson,-80.760441,34.081586,-80.760441,34.081586,e1,jackson e1,E-1,Fort Jackson,-80.760441,34.081586,Fort Jackson,-80.760441,34.081586,Fort Jackson,-80.760441,34.081586,Fort Jackson
JacksonF1,jackson,-80.765852,34.079753,-80.765852,34.079753,f1,jackson f1,F-1,Fort Jackson,-80.765852,34.079753,Fort Jackson,-80.765852,34.079753,Fort Jackson,-80.765852,34.079753,Fort Jackson
JacksonG1,jackson,-80.783554,34.076397,-80.783554,34.076397,g1,jackson g1,G-1,Fort Jackson,-80.783554,34.076397,Fort Jackson,-80.783554,34.076397,Fort Jackson,-80.783554,34.076397,Fort Jackson
ShelbyA1,shelby,-88.937473,30.968064,-88.937473,30.968064,a1,shelby a1,A-1,Camp Shelby,-88.937473,30.968064,Camp Shelby,-88.937473,30.968064,Camp Shelby,-88.937473,30.968064,Camp Shelby
ShelbyA2,shelby,-88.931824,30.967114,-88.931824,30.967114,a2,shelby a2,A-2,Camp Shelby,-88.931824,30.967114,Camp Shelby,-88.931824,30.967114,Camp Shelby,-88.931824,30.967114,Camp Shelby
ShelbyE1,shelby,-88.912687,30.985987,-88.912687,30.985987,e1,shelby e1,E-1,Camp Shelby,-88.912687,30.985987,Camp Shelby,-88.912687,30.985987,Camp Shelby,-88.912687,30.985987,Camp Shelby
ShelbyH1,shelby,-88.958222,31.073167,-88.958222,31.073167,h1,shelby h1,H-1,Camp Shelby,-88.958222,31.073167,Camp Shelby,-88.958222,31.073167,Camp Shelby,-88.958222,31.073167,Camp Shelby
ShelbyI1,shelby,-88.954874,31.071573,-88.954874,31.071573,i1,shelby i1,I-1,Camp Shelby,-88.954874,31.071573,Camp Shelby,-88.954874,31.071573,Camp Shelby,-88.954874,31.071573,Camp Shelby
JacksonI1,jackson,-80.774299,34.011561,-80.774299,34.011561,i1,jackson i1,I-1,Fort Jackson,-80.774299,34.011561,Fort Jackson,-80.774299,34.011561,Fort Jackson,-80.774299,34.011561,Fort Jackson
JacksonH1,jackson,-80.771614,34.007664,-80.771614,34.007664,h1,jackson h1,H-1,Fort Jackson,-80.771614,34.007664,Fort Jackson,-80.771614,34.007664,Fort Jackson,-80.771614,34.007664,Fort Jackson
EglinA1,eglin,-86.507376,30.590218,-86.507376,30.590218,a1,eglin a1,A-1,Eglin AFB,-86.507376,30.590218,Eglin AFB,-86.507376,30.590218,Eglin AFB,-86.507376,30.590218,Eglin AFB
EglinG1,eglin,-86.48356,30.562187,-86.48356,30.562187,g1,eglin g1,G-1,Eglin AFB,-86.48356,30.562187,Eglin AFB,-86.48356,30.562187,Eglin AFB,-86.48356,30.562187,Eglin AFB
EglinE1,eglin,-86.281877,30.68349,-86.281877,30.68349,e1,eglin e1,E-1,Eglin AFB,-86.281877,30.68349,Eglin AFB,-86.281877,30.68349,Eglin AFB,-86.281877,30.68349,Eglin AFB
EglinI1,eglin,-86.243462,30.699865,-86.243462,30.699865,i1,eglin i1,I-1,Eglin AFB,-86.243462,30.699865,Eglin AFB,-86.243462,30.699865,Eglin AFB,-86.243462,30.699865,Eglin AFB
EglinC1,eglin,-86.425476,30.597517,-86.425476,30.597517,c1,eglin c1,C-1,Eglin AFB,-86.425476,30.597517,Eglin AFB,-86.425476,30.597517,Eglin AFB,-86.425476,30.597517,Eglin AFB
EglinJ1,eglin,-86.448132,30.616449,-86.448132,30.616449,j1,eglin j1,J-1,Eglin AFB,-86.448132,30.616449,Eglin AFB,-86.448132,30.616449,Eglin AFB,-86.448132,30.616449,Eglin AFB
ShelbyJ1,shelby,-89.231414,31.208952,-89.231414,31.208952,j1,shelby j1,J-1,Camp Shelby,-89.231414,31.208952,Camp Shelby,-89.231414,31.208952,Camp Shelby,-89.231414,31.208952,Camp Shelby
ShelbyK1,shelby,-89.209579,31.213312,-89.209579,31.213312,k1,shelby k1,K-1,Camp Shelby,-89.209579,31.213312,Camp Shelby,-89.209579,31.213312,Camp Shelby,-89.209579,31.213312,Camp Shelby
EglinF1,eglin,-86.532676,30.605483,-86.532676,30.605483,f1,eglin f1,F-1,Eglin AFB,-86.532676,30.605483,Eglin AFB,-86.532676,30.605483,Eglin AFB,-86.532676,30.605483,Eglin AFB
EglinB2,eglin,-86.496065,30.607785,-86.496065,30.607785,b2,eglin b2,B-2,Eglin AFB,-86.496065,30.607785,Eglin AFB,-86.496065,30.607785,Eglin AFB,-86.496065,30.607785,Eglin AFB
GordonZ1,gordon,-82.185351,33.355677,-82.185351,33.355677,a1,gordon a1,A-1,Fort Gordon,-82.185351,33.355677,Fort Gordon,-82.185351,33.355677,Fort Gordon,-82.185351,33.355677,Fort Gordon
GordonY1,gordon,-82.176099,33.357005,-82.176099,33.357005,b1,gordon b1,B-1,Fort Gordon,-82.176099,33.357005,Fort Gordon,-82.176099,33.357005,Fort Gordon,-82.176099,33.357005,Fort Gordon
GordonX1,gordon,-82.212831,33.35564,-82.212831,33.35564,c1,gordon c1,C-1,Fort Gordon,-82.212831,33.35564,Fort Gordon,-82.212831,33.35564,Fort Gordon,-82.212831,33.35564,Fort Gordon
Cogon10x10,cogon10x,-81.327256,27.675531,-81.327256,27.675531,10,cogon10x 10,1-0,Avon Park AFR,-81.327256,27.675531,Avon Park AFR,-81.327256,27.675531,Avon Park AFR,-81.327256,27.675531,Avon Park AFR
GordonW1,gordon,-82.187065,33.343386,-82.187065,33.343386,d1,gordon d1,D-1,Fort Gordon,-82.187065,33.343386,Fort Gordon,-82.187065,33.343386,Fort Gordon,-82.187065,33.343386,Fort Gordon
GordonV1,gordon,-82.187841,33.342135,-82.187841,33.342135,e1,gordon e1,E-1,Fort Gordon,-82.187841,33.342135,Fort Gordon,-82.187841,33.342135,Fort Gordon,-82.187841,33.342135,Fort Gordon
GordonT1,gordon,-82.195633,33.34406,-82.195633,33.34406,f1,gordon f1,F-1,Fort Gordon,-82.195633,33.34406,Fort Gordon,-82.195633,33.34406,Fort Gordon,-82.195633,33.34406,Fort Gordon
GordonS1,gordon,-82.284032,33.364516,-82.284032,33.364516,g1,gordon g1,G-1,Fort Gordon,-82.284032,33.364516,Fort Gordon,-82.284032,33.364516,Fort Gordon,-82.284032,33.364516,Fort Gordon
GordonR1,gordon,-82.2853,33.364136,-82.2853,33.364136,h1,gordon h1,H-1,Fort Gordon,-82.2853,33.364136,Fort Gordon,-82.2853,33.364136,Fort Gordon,-82.2853,33.364136,Fort Gordon
MovieTheaterCogon,movietheatercog,-81.98388,29.943511,-81.98388,29.943511,on,blanding theater_cogon,O-N,Camp Blanding,-81.98388,29.943511,Camp Blanding,-81.98388,29.943511,Camp Blanding,-81.98388,29.943511,Camp Blanding
BenningB1,benning,-84.900369,32.390499,-84.900369,32.390499,b1,benning b1,B-1,Fort Benning,-84.900369,32.390499,Fort Benning,-84.900369,32.390499,Fort Benning,-84.900369,32.390499,Fort Benning
BlandingN1,blanding,-81.977192,29.83789,-81.977192,29.83789,n1,blanding n1,N-1,Camp Blanding,-81.977192,29.83789,Camp Blanding,-81.977192,29.83789,Camp Blanding,-81.977192,29.83789,Camp Blanding
BenningA1,benning,-84.894867,32.389017,-84.894867,32.389017,a1,benning a1,A-1,Fort Benning,-84.894867,32.389017,Fort Benning,-84.894867,32.389017,Fort Benning,-84.894867,32.389017,Fort Benning
BenningC1,benning,-84.815476,32.345412,-84.815476,32.345412,c1,benning c1,C-1,Fort Benning,-84.815476,32.345412,Fort Benning,-84.815476,32.345412,Fort Benning,-84.815476,32.345412,Fort Benning
BenningD1,benning,-84.774863,32.361567,-84.774863,32.361567,d1,benning d1,D-1,Fort Benning,-84.774863,32.361567,Fort Benning,-84.774863,32.361567,Fort Benning,-84.774863,32.361567,Fort Benning
TyndallD2,tyndall,-85.51935,30.023204,-85.51935,30.023204,d2,tyndall d2,D-2,Tyndall AFB,-85.51935,30.023204,Tyndall AFB,-85.51935,30.023204,Tyndall AFB,-85.51935,30.023204,Tyndall AFB
BlandingJ1,blanding,-82.026049,29.852464,-82.026049,29.852464,j1,blanding j1,J-1,Camp Blanding,-82.026049,29.852464,Camp Blanding,-82.026049,29.852464,Camp Blanding,-82.026049,29.852464,Camp Blanding
Blandingi1,blanding,-82.032726,29.863529,-82.032726,29.863529,i1,blanding i1,I-1,Camp Blanding,-82.032726,29.863529,Camp Blanding,-82.032726,29.863529,Camp Blanding,-82.032726,29.863529,Camp Blanding
BenningE1,benning,-84.818986,32.327739,-84.818986,32.327739,e1,benning e1,E-1,Fort Benning,-84.818986,32.327739,Fort Benning,-84.818986,32.327739,Fort Benning,-84.818986,32.327739,Fort Benning
