installation,date,plot_id,transect_id,standing_fuel_ht,litter_ht,duff_ht,pct_fuel,pct_litter,pct_bare,pct_green,standing_fuel_mass_wet,litter_mass_wet,standing_fuel_mass_dry,litter_mass_dry,standing_biomass_type,Notes,visit_year
blanding,2017-06-09,blanding c1,east,31,5,0,85,10,5,35,16,14,13.62,9.74,NA,NA,2017
blanding,2017-06-09,blanding c1,west,15,3,0,5,85,10,5,2,45,0.47,30.65,NA,NA,2017
blanding,2017-06-09,blanding c1,north,15,4,0,15,85,15,10,14,32,5.65,23.89,NA,NA,2017
blanding,2017-06-09,blanding c1,south,45,3,0,60,30,10,50,34,37,20.67,23.84,NA,NA,2017
blanding,2017-06-09,blanding a1,north,22,7,0,2,30,68,2,1,10.6,0.48,9.29,NA,NA,2017
blanding,2017-06-09,blanding a1,south,18,3,0,15,20,65,10,2.2,2.9,1.46,2.6,NA,NA,2017
blanding,2017-06-09,blanding a1,east,26,3,0,4,30,66,2,0.4,14.1,0.29,12.35,NA,NA,2017
blanding,2017-06-09,blanding a1,west,17,2,0,30,25,45,30,13,5,7.38,4.5,NA,NA,2017
blanding,2017-06-08,blanding b1,north,5,2,0,5,95,0,1,0.06,33.27,0.03,30.4,NA,NA,2017
blanding,2017-06-08,blanding b1,south,0,2,0,0,90,10,0,0,28.77,0,23.52,NA,NA,2017
blanding,2017-06-08,blanding b1,east,13,3,0,15,75,10,10,1,47.45,0.89,34.82,NA,NA,2017
blanding,2017-06-08,blanding b1,west,13,2,0,3,87,10,3,0.89,16.51,0.56,15.01,NA,NA,2017
blanding,2017-06-20,blanding d1,north,30,3,0,15,85,0,15,15.47,43.81,10.08,39.18,NA,NA,2017
blanding,2017-06-20,blanding d1,south,42,2,0,60,40,0,60,33.71,44.23,23.52,38.84,NA,NA,2017
blanding,2017-06-20,blanding d1,east,42,4,0,35,65,0,35,18.87,91,11.67,62.93,NA,NA,2017
blanding,2017-06-20,blanding d1,west,38,3,0,25,75,0,25,15.78,28.13,11.46,25.09,NA,NA,2017
blanding,2017-06-14,blanding e1,north,15,4,0,8,92,0,5,0.48,28.49,0.48,25.63,NA,NA,2017
blanding,2017-06-14,blanding e1,south,0,6,3,0,100,0,0,0,73.65,0,66.04,NA,NA,2017
blanding,2017-06-14,blanding e1,east,2,2,2,5,95,0,5,1.38,34.15,1.36,30.66,NA,NA,2017
blanding,2017-06-14,blanding e1,west,6,3,0,3,92,5,3,0.86,23.01,0.77,20.45,NA,NA,2017
blanding,2017-06-22,blanding f1,north,16,1,0,15,85,0,10,4.49,17.43,3.66,14.21,NA,NA,2017
blanding,2017-06-22,blanding f1,south,15,2,0.5,15,85,0,15,3.67,61.78,2.48,34.95,NA,NA,2017
blanding,2017-06-22,blanding f1,east,21,2,1,10,90,0,10,2,70.5,1.13,40.84,NA,NA,2017
blanding,2017-06-22,blanding f1,west,5,3,0.5,10,90,0,10,2.25,121.7,1.01,68.82,NA,NA,2017
blanding,2017-06-15,blanding g1,north,24,7,1,25,75,0,20,15.09,59.1,8.43,51.76,NA,NA,2017
blanding,2017-06-15,blanding g1,south,10,3,0,10,85,5,10,2.65,49.01,1.75,43.44,NA,NA,2017
blanding,2017-06-15,blanding g1,east,20,6,0,25,75,0,25,10.88,37.03,7.17,33.56,NA,NA,2017
blanding,2017-06-15,blanding g1,west,31,5,0,40,60,0,40,11.04,35.01,8.96,32.27,NA,NA,2017
blanding,2017-06-16,blanding h1,north,35,6,0,70,30,0,70,27.25,41.38,16.14,28.08,NA,NA,2017
blanding,2017-06-16,blanding h1,south,25,3,0,25,75,0,25,7.83,57.34,3.64,41.77,NA,NA,2017
blanding,2017-06-16,blanding h1,east,47,4,0,20,80,0,20,19.04,69.17,10.01,50.34,NA,NA,2017
blanding,2017-06-16,blanding h1,west,20,6,0,20,80,0,20,8.68,68.88,5.2,46.51,NA,NA,2017
avonpark,2017-06-27,avonpark a1,north,26,1,0,40,2,60,10,3.4,2.85,2.47,2.26,NA,NA,2017
avonpark,2017-06-27,avonpark a1,south,14,2,0,60,40,0,60,7.8,9.1,4.28,7.96,NA,NA,2017
avonpark,2017-06-27,avonpark a1,east,50,1,0,20,2,80,20,4.9,1.55,4.16,1.09,NA,NA,2017
avonpark,2017-06-27,avonpark a1,west,25,1,0,45,20,0,45,14.4,5.3,11.73,4.31,NA,NA,2017
avonpark,2017-06-29,avonpark b1,north,62,2,0,80,10,10,60,33.13,6.4,27.34,5.59,NA,NA,2017
avonpark,2017-06-29,avonpark b1,south,35,5,0,90,10,0,70,34.48,13.41,16.01,11.85,NA,NA,2017
avonpark,2017-06-29,avonpark b1,east,40,4,0,80,20,0,70,61.21,13.77,28.12,12.1,NA,NA,2017
avonpark,2017-06-29,avonpark b1,west,36,2,0,90,5,5,80,60.86,13.61,33.8,12.15,NA,NA,2017
avonpark,2017-06-28,avonpark c1,north,80,1,0,40,50,10,40,14.45,19.86,6.3,15.19,cogongrass,NA,2017
avonpark,2017-06-28,avonpark c1,south,30,2,0,35,45,10,35,31.77,17.67,15.15,13.73,NA,NA,2017
avonpark,2017-06-28,avonpark c1,east,110,3,0,65,30,5,50,54.1,23.51,28.68,19.61,cogongrass,NA,2017
avonpark,2017-06-28,avonpark c1,west,101,3,0,80,20,0,70,77.01,49.57,41.93,31.41,NA,NA,2017
avonpark,2017-06-30,avonpark d1,north,21,3,0,20,10,70,20,9.2,2.16,5.92,2.01,NA,NA,2017
avonpark,2017-06-30,avonpark d1,south,35,2,0,40,100,0,40,26.16,38.69,11.72,33.7,NA,NA,2017
avonpark,2017-06-30,avonpark d1,east,10,3,1.5,20,80,0,20,1.8,63.09,1.43,41.33,NA,NA,2017
avonpark,2017-06-30,avonpark d1,west,32,8,0,30,80,0,30,13.06,46.08,8.82,39.77,NA,NA,2017
tyndall,2017-07-20,tyndall h1,north,129,7,0,80,75,15,80,217.11,51.66,126.52,34.03,NA,NA,2017
tyndall,2017-07-20,tyndall h1,south,23,4,0,40,60,10,40,37.32,54.91,19.39,28.52,NA,NA,2017
tyndall,2017-07-20,tyndall h1,east,140,3,0,50,70,20,20,255.17,17.4,142.08,13.17,NA,NA,2017
tyndall,2017-07-20,tyndall h1,west,155,5,0,60,90,5,60,232.4,24.26,128.6,17.82,NA,NA,2017
tyndall,2017-07-20,tyndall d1,north,70,2,0,60,50,0,60,101.27,51.91,51.89,37.75,NA,NA,2017
tyndall,2017-07-20,tyndall d1,south,19,3,0.1,90,10,0,10,111.11,31.52,97.72,26.82,NA,NA,2017
tyndall,2017-07-20,tyndall d1,east,66,3,0,30,50,20,25,41.67,34.15,24.57,28.57,NA,NA,2017
tyndall,2017-07-20,tyndall d1,west,75,6,0,70,40,0,65,86.66,47.9,48.84,39.47,NA,NA,2017
tyndall,2017-07-20,tyndall b1,north,34,2,0,30,5,65,30,28,4.76,7.57,3.48,NA,NA,2017
tyndall,2017-07-20,tyndall b1,south,29,2,0,50,25,25,50,36.63,4.6,15.41,3.42,NA,NA,2017
