date,status,logger_id,days,rh_above_82_mins,rh_80_82_mins,rh_below_75_mins,rh_below_80_mins
2018-06-22,invaded,01,1,1440,0,0,0
2018-06-22,invaded,02,1,1440,0,0,0
2018-06-22,invaded,03,1,1005,25,320,410
2018-06-22,invaded,04,1,1330,20,0,90
2018-06-22,invaded,05,1,1440,0,0,0
2018-06-22,invaded,06,1,1440,0,0,0
2018-06-22,invaded,07,1,1440,0,0,0
2018-06-22,invaded,08,1,1440,0,0,0
2018-06-22,invaded,09,1,1140,70,45,230
2018-06-22,invaded,10,1,975,35,300,430
2018-06-22,invaded,11,1,800,70,500,570
2018-06-22,invaded,12,1,890,40,370,510
2018-06-22,native,13,1,910,20,410,510
2018-06-22,native,14,1,1020,20,290,400
2018-06-22,native,15,1,875,45,430,520
2018-06-22,native,16,1,840,15,515,585
2018-06-22,native,17,1,780,55,565,605
2018-06-22,native,18,1,1015,45,325,380
2018-06-22,native,19,1,885,30,470,525
2018-06-22,native,20,1,1170,30,115,240
2018-06-22,native,21,1,945,20,350,475
2018-06-22,native,22,1,1270,35,115,135
2018-06-22,native,23,1,885,20,485,535
2018-06-22,native,24,1,925,35,360,480
2018-06-23,invaded,01,2,1440,0,0,0
2018-06-23,invaded,02,2,1440,0,0,0
2018-06-23,invaded,03,2,880,45,440,515
2018-06-23,invaded,04,2,1110,45,80,285
2018-06-23,invaded,05,2,1235,110,0,95
2018-06-23,invaded,06,2,1140,185,0,115
2018-06-23,invaded,07,2,1430,10,0,0
2018-06-23,invaded,08,2,1400,40,0,0
2018-06-23,invaded,09,2,970,45,255,425
2018-06-23,invaded,10,2,910,10,440,520
2018-06-23,invaded,11,2,750,30,540,660
2018-06-23,invaded,12,2,800,35,525,605
2018-06-23,native,13,2,915,25,380,500
2018-06-23,native,14,2,1000,30,345,410
2018-06-23,native,15,2,905,35,460,500
2018-06-23,native,16,2,830,25,540,585
2018-06-23,native,17,2,765,10,545,665
2018-06-23,native,18,2,1005,35,360,400
2018-06-23,native,19,2,865,20,470,555
2018-06-23,native,20,2,1065,80,150,295
2018-06-23,native,21,2,915,15,440,510
2018-06-23,native,22,2,1230,40,120,170
2018-06-23,native,23,2,890,25,500,525
2018-06-23,native,24,2,900,40,390,500
2018-06-24,invaded,01,3,1440,0,0,0
2018-06-24,invaded,02,3,1345,65,0,30
2018-06-24,invaded,03,3,875,15,460,550
2018-06-24,invaded,04,3,1055,60,180,325
2018-06-24,invaded,05,3,1040,40,135,360
2018-06-24,invaded,06,3,1035,25,280,380
2018-06-24,invaded,07,3,1275,75,5,90
2018-06-24,invaded,08,3,1230,80,5,130
2018-06-24,invaded,09,3,995,30,345,415
2018-06-24,invaded,10,3,885,50,415,505
2018-06-24,invaded,11,3,755,45,545,640
2018-06-24,invaded,12,3,790,10,540,640
2018-06-24,native,13,3,940,80,325,420
2018-06-24,native,14,3,980,50,350,410
2018-06-24,native,15,3,920,40,410,480
2018-06-24,native,16,3,815,55,460,570
2018-06-24,native,17,3,820,30,490,590
2018-06-24,native,18,3,1055,10,325,375
2018-06-24,native,19,3,865,30,470,545
2018-06-24,native,20,3,1125,55,150,260
2018-06-24,native,21,3,925,25,400,490
2018-06-24,native,22,3,1250,20,130,170
2018-06-24,native,23,3,915,30,465,495
2018-06-24,native,24,3,985,25,345,430
2018-06-25,invaded,01,4,1440,0,0,0
2018-06-25,invaded,02,4,1255,70,10,115
2018-06-25,invaded,03,4,950,35,400,455
2018-06-25,invaded,04,4,1010,25,325,405
2018-06-25,invaded,05,4,960,20,355,460
2018-06-25,invaded,06,4,1010,50,285,380
2018-06-25,invaded,07,4,1240,20,30,180
2018-06-25,invaded,08,4,1010,35,200,395
2018-06-25,invaded,09,4,935,15,440,490
2018-06-25,invaded,10,4,935,5,485,500
2018-06-25,invaded,11,4,790,10,545,640
2018-06-25,invaded,12,4,805,5,570,630
2018-06-25,native,13,4,940,15,380,485
2018-06-25,native,14,4,970,35,380,435
2018-06-25,native,15,4,900,10,460,530
2018-06-25,native,16,4,845,45,465,550
2018-06-25,native,17,4,845,45,540,550
2018-06-25,native,18,4,1010,35,330,395
2018-06-25,native,19,4,940,15,475,485
2018-06-25,native,20,4,1080,40,180,320
2018-06-25,native,21,4,940,5,455,495
2018-06-25,native,22,4,1150,45,135,245
2018-06-25,native,23,4,940,5,480,495
2018-06-25,native,24,4,970,35,345,435
2018-06-26,invaded,01,5,1440,0,0,0
2018-06-26,invaded,02,5,1275,30,15,135
2018-06-26,invaded,03,5,1125,5,290,310
2018-06-26,invaded,04,5,1110,25,240,305
2018-06-26,invaded,05,5,1105,5,310,330
2018-06-26,invaded,06,5,1180,5,180,255
2018-06-26,invaded,07,5,1170,25,95,245
2018-06-26,invaded,08,5,1115,10,225,315
2018-06-26,invaded,09,5,1045,5,335,390
2018-06-26,invaded,10,5,1075,5,345,360
2018-06-26,invaded,11,5,960,50,390,430
2018-06-26,invaded,12,5,985,35,390,420
2018-06-26,native,13,5,1100,15,250,325
2018-06-26,native,14,5,1120,15,270,305
2018-06-26,native,15,5,1080,10,335,350
2018-06-26,native,16,5,1055,25,320,360
2018-06-26,native,17,5,1045,5,385,390
2018-06-26,native,18,5,1110,35,265,295
2018-06-26,native,19,5,1090,5,335,345
2018-06-26,native,20,5,1110,55,115,275
2018-06-26,native,21,5,1090,10,330,340
2018-06-26,native,22,5,1180,75,140,185
2018-06-26,native,23,5,1080,5,345,355
2018-06-26,native,24,5,1105,15,280,320
2018-06-27,invaded,01,6,1440,0,0,0
2018-06-27,invaded,02,6,1440,0,0,0
2018-06-27,invaded,03,6,1440,0,0,0
2018-06-27,invaded,04,6,1440,0,0,0
2018-06-27,invaded,05,6,1440,0,0,0
2018-06-27,invaded,06,6,1440,0,0,0
2018-06-27,invaded,07,6,1440,0,0,0
2018-06-27,invaded,08,6,1440,0,0,0
2018-06-27,invaded,09,6,1440,0,0,0
2018-06-27,invaded,10,6,1440,0,0,0
2018-06-27,invaded,11,6,1095,50,105,295
2018-06-27,invaded,12,6,1150,65,85,225
2018-06-27,native,13,6,1255,30,75,155
2018-06-27,native,14,6,1315,20,80,105
2018-06-27,native,15,6,1275,35,15,130
2018-06-27,native,16,6,1110,10,270,320
2018-06-27,native,17,6,1115,20,245,305
2018-06-27,native,18,6,1350,20,0,70
2018-06-27,native,19,6,1405,20,5,15
2018-06-27,native,20,6,1440,0,0,0
2018-06-27,native,21,6,1405,20,0,15
2018-06-27,native,22,6,1440,0,0,0
2018-06-27,native,23,6,1135,25,215,280
2018-06-27,native,24,6,1430,10,0,0
2018-06-28,invaded,01,7,1440,0,0,0
2018-06-28,invaded,02,7,1440,0,0,0
2018-06-28,invaded,03,7,1440,0,0,0
2018-06-28,invaded,04,7,1440,0,0,0
2018-06-28,invaded,05,7,1440,0,0,0
2018-06-28,invaded,06,7,1440,0,0,0
2018-06-28,invaded,07,7,1440,0,0,0
2018-06-28,invaded,08,7,1440,0,0,0
2018-06-28,invaded,09,7,1440,0,0,0
2018-06-28,invaded,10,7,1440,0,0,0
2018-06-28,invaded,11,7,1120,105,110,215
2018-06-28,invaded,12,7,1200,25,110,215
2018-06-28,native,13,7,1315,5,50,120
2018-06-28,native,14,7,1320,15,60,105
2018-06-28,native,15,7,1270,35,45,135
2018-06-28,native,16,7,1160,15,235,265
2018-06-28,native,17,7,1160,10,220,270
2018-06-28,native,18,7,1370,20,0,50
2018-06-28,native,19,7,1375,30,0,35
2018-06-28,native,20,7,1440,0,0,0
2018-06-28,native,21,7,1435,5,0,0
2018-06-28,native,22,7,1440,0,0,0
2018-06-28,native,23,7,1210,10,190,220
2018-06-28,native,24,7,1255,15,35,170
2018-06-29,invaded,01,8,1440,0,0,0
2018-06-29,invaded,02,8,1440,0,0,0
2018-06-29,invaded,03,8,1440,0,0,0
2018-06-29,invaded,04,8,1440,0,0,0
2018-06-29,invaded,05,8,1440,0,0,0
2018-06-29,invaded,06,8,1440,0,0,0
2018-06-29,invaded,07,8,1440,0,0,0
2018-06-29,invaded,08,8,1440,0,0,0
2018-06-29,invaded,09,8,1440,0,0,0
2018-06-29,invaded,10,8,1440,0,0,0
2018-06-29,invaded,11,8,1195,40,25,205
2018-06-29,invaded,12,8,1175,25,190,240
2018-06-29,native,13,8,1350,20,30,70
2018-06-29,native,14,8,1330,30,55,80
2018-06-29,native,15,8,1295,15,35,130
2018-06-29,native,16,8,1150,15,245,275
2018-06-29,native,17,8,1185,20,210,235
2018-06-29,native,18,8,1340,15,30,85
2018-06-29,native,19,8,1415,10,0,15
2018-06-29,native,20,8,1440,0,0,0
2018-06-29,native,21,8,1440,0,0,0
2018-06-29,native,22,8,1440,0,0,0
2018-06-29,native,23,8,1185,5,195,250
2018-06-29,native,24,8,1335,60,0,45
2018-06-30,invaded,01,9,1440,0,0,0
2018-06-30,invaded,02,9,1440,0,0,0
2018-06-30,invaded,03,9,1440,0,0,0
2018-06-30,invaded,04,9,1440,0,0,0
2018-06-30,invaded,05,9,1440,0,0,0
2018-06-30,invaded,06,9,1440,0,0,0
2018-06-30,invaded,07,9,1440,0,0,0
2018-06-30,invaded,08,9,1440,0,0,0
2018-06-30,invaded,09,9,1440,0,0,0
2018-06-30,invaded,10,9,1440,0,0,0
2018-06-30,invaded,11,9,1285,90,5,65
2018-06-30,invaded,12,9,1325,20,40,95
2018-06-30,native,13,9,1440,0,0,0
2018-06-30,native,14,9,1430,10,0,0
2018-06-30,native,15,9,1405,15,0,20
2018-06-30,native,16,9,1295,10,65,135
2018-06-30,native,17,9,1290,0,85,150
2018-06-30,native,18,9,1440,0,0,0
2018-06-30,native,19,9,1440,0,0,0
2018-06-30,native,20,9,1440,0,0,0
2018-06-30,native,21,9,1440,0,0,0
2018-06-30,native,22,9,1440,0,0,0
2018-06-30,native,23,9,1355,25,20,60
2018-06-30,native,24,9,1440,0,0,0
2018-07-01,invaded,01,10,1440,0,0,0
2018-07-01,invaded,02,10,1440,0,0,0
2018-07-01,invaded,03,10,1440,0,0,0
2018-07-01,invaded,04,10,1440,0,0,0
2018-07-01,invaded,05,10,1440,0,0,0
2018-07-01,invaded,06,10,1440,0,0,0
2018-07-01,invaded,07,10,1440,0,0,0
2018-07-01,invaded,08,10,1440,0,0,0
2018-07-01,invaded,09,10,1435,5,0,0
2018-07-01,invaded,10,10,1440,0,0,0
2018-07-01,invaded,11,10,1120,70,70,250
2018-07-01,invaded,12,10,1230,60,75,150
2018-07-01,native,13,10,1435,5,0,0
2018-07-01,native,14,10,1415,10,0,15
2018-07-01,native,15,10,1395,15,5,30
2018-07-01,native,16,10,1205,25,130,210
2018-07-01,native,17,10,1125,45,145,270
2018-07-01,native,18,10,1440,0,0,0
2018-07-01,native,19,10,1430,5,0,5
2018-07-01,native,20,10,1280,160,0,0
2018-07-01,native,21,10,1420,20,0,0
2018-07-01,native,22,10,1440,0,0,0
2018-07-01,native,23,10,1190,45,130,205
2018-07-01,native,24,10,1390,30,0,20
2018-07-02,invaded,01,11,1440,0,0,0
2018-07-02,invaded,02,11,1440,0,0,0
2018-07-02,invaded,03,11,1225,45,55,170
2018-07-02,invaded,04,11,1325,70,0,45
2018-07-02,invaded,05,11,1390,50,0,0
2018-07-02,invaded,06,11,1170,80,65,190
2018-07-02,invaded,07,11,1440,0,0,0
2018-07-02,invaded,08,11,1440,0,0,0
2018-07-02,invaded,09,11,1440,0,0,0
