LocationID,Tag,Invaded,Date,JulianDay,days,life_stage,sex,alive,dead,survival,logger_id,visit_number
C-1,3161,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,1,1
C-2,3147,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,2,1
C-3,3144,invaded,2018-06-21,172,0,nymph,nymph,9,0,1,3,1
C-4,3156,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,4,1
C-5,3154,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,5,1
C-6,3143,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,6,1
C-7,3146,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,7,1
C-8,3151,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,8,1
C-9,3153,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,9,1
C-10,3145,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,10,1
C-11,3152,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,11,1
C-12,3148,invaded,2018-06-21,172,0,nymph,nymph,10,0,1,12,1
N-1,3165,native,2018-06-21,172,0,nymph,nymph,10,0,1,13,1
N-2,3159,native,2018-06-21,172,0,nymph,nymph,10,0,1,14,1
N-3,3166,native,2018-06-21,172,0,nymph,nymph,10,0,1,15,1
N-4,3149,native,2018-06-21,172,0,nymph,nymph,10,0,1,16,1
N-5,3162,native,2018-06-21,172,0,nymph,nymph,10,0,1,17,1
N-6,3155,native,2018-06-21,172,0,nymph,nymph,10,0,1,18,1
N-7,3157,native,2018-06-21,172,0,nymph,nymph,10,0,1,19,1
N-8,3160,native,2018-06-21,172,0,nymph,nymph,10,0,1,20,1
N-9,3163,native,2018-06-21,172,0,nymph,nymph,10,0,1,21,1
N-10,3164,native,2018-06-21,172,0,nymph,nymph,13,0,1,22,1
N-11,3150,native,2018-06-21,172,0,nymph,nymph,10,0,1,23,1
N-12,3158,native,2018-06-21,172,0,nymph,nymph,10,0,1,24,1
C-1,3161,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,1,2
C-2,3147,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,2,2
C-3,3144,invaded,2018-07-02,183,11,nymph,nymph,5,0,1,3,2
C-4,3156,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,4,2
C-5,3154,invaded,2018-07-02,183,11,nymph,nymph,9,1,0.9,5,2
C-6,3143,invaded,2018-07-02,183,11,nymph,nymph,8,2,0.8,6,2
C-7,3146,invaded,2018-07-02,183,11,nymph,nymph,8,2,0.8,7,2
C-8,3151,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,8,2
C-9,3153,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,9,2
C-10,3145,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,10,2
C-11,3152,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,11,2
C-12,3148,invaded,2018-07-02,183,11,nymph,nymph,10,0,1,12,2
N-1,3165,native,2018-07-02,183,11,nymph,nymph,4,6,0.4,13,2
N-2,3159,native,2018-07-02,183,11,nymph,nymph,10,0,1,14,2
N-3,3166,native,2018-07-02,183,11,nymph,nymph,5,5,0.5,15,2
N-4,3149,native,2018-07-02,183,11,nymph,nymph,9,1,0.9,16,2
N-5,3162,native,2018-07-02,183,11,nymph,nymph,2,8,0.2,17,2
N-6,3155,native,2018-07-02,183,11,nymph,nymph,6,4,0.6,18,2
N-7,3157,native,2018-07-02,183,11,nymph,nymph,10,0,1,19,2
N-8,3160,native,2018-07-02,183,11,nymph,nymph,6,4,0.6,20,2
N-9,3163,native,2018-07-02,183,11,nymph,nymph,6,4,0.6,21,2
N-10,3164,native,2018-07-02,183,11,nymph,nymph,8,4,0.666666667,22,2
N-11,3150,native,2018-07-02,183,11,nymph,nymph,9,1,0.9,23,2
N-12,3158,native,2018-07-02,183,11,nymph,nymph,10,0,1,24,2
C-1,3161,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,1,3
C-2,3147,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,2,3
C-3,3144,invaded,2018-07-06,187,15,nymph,nymph,4,0,1,3,3
C-4,3156,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,4,3
C-5,3154,invaded,2018-07-06,187,15,nymph,nymph,9,1,0.9,5,3
C-6,3143,invaded,2018-07-06,187,15,nymph,nymph,8,2,0.8,6,3
C-7,3146,invaded,2018-07-06,187,15,nymph,nymph,8,2,0.8,7,3
C-8,3151,invaded,2018-07-06,187,15,nymph,nymph,10,0,1,8,3
