"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-28,14:00:00,38.449,47.580,Logged,,,,
2019-05-28,14:05:00,38.784,46.920,,,,,
2019-05-28,14:10:00,39.065,46.652,,,,,
2019-05-28,14:15:00,39.573,45.907,,,,,
2019-05-28,14:20:00,39.772,46.065,,,,,
2019-05-28,14:25:00,39.772,43.637,,,,,
2019-05-28,14:30:00,39.971,45.886,,,,,
2019-05-28,14:35:00,39.971,45.550,,,,,
2019-05-28,14:40:00,39.943,46.991,,,,,
2019-05-28,14:45:00,39.886,47.453,,,,,
2019-05-28,14:50:00,39.772,48.142,,,,,
2019-05-28,14:55:00,39.403,49.096,,,,,
2019-05-28,15:00:00,38.868,49.926,,,,,
2019-05-28,15:05:00,38.170,50.267,,,,,
2019-05-28,15:10:00,37.261,50.612,,,,,
2019-05-28,15:15:00,36.389,53.412,,,,,
2019-05-28,15:20:00,35.662,54.482,,,,,
2019-05-28,15:25:00,35.262,54.911,,,,,
2019-05-28,15:30:00,34.942,55.995,,,,,
2019-05-28,15:35:00,34.572,58.281,,,,,
2019-05-28,15:40:00,34.202,59.245,,,,,
2019-05-28,15:45:00,34.019,59.186,,,,,
2019-05-28,15:50:00,33.835,60.521,,,,,
2019-05-28,15:55:00,33.678,61.318,,,,,
2019-05-28,16:00:00,33.495,61.572,,,,,
2019-05-28,16:05:00,33.391,61.839,,,,,
2019-05-28,16:10:00,33.391,61.745,,,,,
2019-05-28,16:15:00,33.313,62.361,,,,,
2019-05-28,16:20:00,33.157,62.618,,,,,
2019-05-28,16:25:00,33.079,62.731,,,,,
2019-05-28,16:30:00,33.001,63.532,,,,,
2019-05-28,16:35:00,32.872,63.449,,,,,
2019-05-28,16:40:00,32.742,62.802,,,,,
2019-05-28,16:45:00,32.613,64.155,,,,,
2019-05-28,16:50:00,32.484,63.698,,,,,
2019-05-28,16:55:00,32.330,65.072,,,,,
2019-05-28,17:00:00,32.227,65.395,,,,,
2019-05-28,17:05:00,32.124,64.634,,,,,
2019-05-28,17:10:00,32.021,64.555,,,,,
2019-05-28,17:15:00,31.996,65.109,,,,,
2019-05-28,17:20:00,32.021,65.454,,,,,
2019-05-28,17:25:00,32.124,64.385,,,,,
2019-05-28,17:30:00,32.253,64.904,,,,,
2019-05-28,17:35:00,32.381,64.459,,,,,
2019-05-28,17:40:00,32.536,64.671,,,,,
2019-05-28,17:45:00,32.613,65.739,,,,,
2019-05-28,17:50:00,32.639,66.146,,,,,
2019-05-28,17:55:00,32.587,65.146,,,,,
2019-05-28,18:00:00,32.433,65.554,,,,,
2019-05-28,18:05:00,32.278,66.579,,,,,
2019-05-28,18:10:00,32.098,67.319,,,,,
2019-05-28,18:15:00,31.944,67.446,,,,,
2019-05-28,18:20:00,31.740,67.687,,,,,
2019-05-28,18:25:00,31.561,68.788,,,,,
2019-05-28,18:30:00,31.382,68.604,,,,,
2019-05-28,18:35:00,31.204,69.335,,,,,
2019-05-28,18:40:00,31.026,69.790,,,,,
2019-05-28,18:45:00,30.925,70.773,,,,,
2019-05-28,18:50:00,30.798,71.144,,,,,
2019-05-28,18:55:00,30.697,71.306,,,,,
2019-05-28,19:00:00,30.571,71.856,,,,,
2019-05-28,19:05:00,30.419,72.310,,,,,
2019-05-28,19:10:00,30.293,72.377,,,,,
2019-05-28,19:15:00,30.142,72.679,,,,,
2019-05-28,19:20:00,29.890,72.931,,,,,
2019-05-28,19:25:00,29.690,74.506,,,,,
2019-05-28,19:30:00,29.515,74.829,,,,,
2019-05-28,19:35:00,29.290,74.488,,,,,
2019-05-28,19:40:00,28.965,74.811,,,,,
2019-05-28,19:45:00,28.617,75.395,,,,,
2019-05-28,19:50:00,28.345,75.931,,,,,
2019-05-28,19:55:00,28.072,77.200,,,,,
2019-05-28,20:00:00,27.850,77.594,,,,,
2019-05-28,20:05:00,27.653,78.634,,,,,
2019-05-28,20:10:00,27.456,79.175,,,,,
2019-05-28,20:15:00,27.210,78.892,,,,,
2019-05-28,20:20:00,26.940,79.300,,,,,
2019-05-28,20:25:00,26.671,80.140,,,,,
2019-05-28,20:30:00,26.402,80.228,,,,,
2019-05-28,20:35:00,26.134,80.947,,,,,
2019-05-28,20:40:00,25.890,81.039,,,,,
2019-05-28,20:45:00,25.647,82.130,,,,,
2019-05-28,20:50:00,25.404,82.249,,,,,
2019-05-28,20:55:00,25.186,82.941,,,,,
2019-05-28,21:00:00,25.016,83.725,,,,,
2019-05-28,21:05:00,24.847,84.026,,,,,
2019-05-28,21:10:00,24.677,84.580,,,,,
2019-05-28,21:15:00,24.557,85.508,,,,,
2019-05-28,21:20:00,24.460,86.158,,,,,
2019-05-28,21:25:00,24.388,86.337,,,,,
2019-05-28,21:30:00,24.315,86.097,,,,,
2019-05-28,21:35:00,24.219,86.883,,,,,
2019-05-28,21:40:00,24.146,87.228,,,,,
2019-05-28,21:45:00,24.050,87.233,,,,,
2019-05-28,21:50:00,23.954,87.489,,,,,
2019-05-28,21:55:00,23.881,87.749,,,,,
2019-05-28,22:00:00,23.833,88.374,,,,,
2019-05-28,22:05:00,23.809,88.617,,,,,
2019-05-28,22:10:00,23.761,88.605,,,,,
2019-05-28,22:15:00,23.689,88.809,,,,,
2019-05-28,22:20:00,23.641,89.128,,,,,
2019-05-28,22:25:00,23.641,89.403,,,,,
2019-05-28,22:30:00,23.617,89.534,,,,,
2019-05-28,22:35:00,23.593,89.556,,,,,
2019-05-28,22:40:00,23.593,89.940,,,,,
2019-05-28,22:45:00,23.569,90.044,,,,,
2019-05-28,22:50:00,23.569,90.236,,,,,
2019-05-28,22:55:00,23.521,90.251,,,,,
2019-05-28,23:00:00,23.472,90.377,,,,,
2019-05-28,23:05:00,23.424,90.447,,,,,
2019-05-28,23:10:00,23.352,90.266,,,,,
2019-05-28,23:15:00,23.232,90.182,,,,,
2019-05-28,23:20:00,23.112,90.126,,,,,
2019-05-28,23:25:00,22.992,90.752,,,,,
2019-05-28,23:30:00,22.896,91.191,,,,,
2019-05-28,23:35:00,22.800,91.467,,,,,
2019-05-28,23:40:00,22.753,91.889,,,,,
2019-05-28,23:45:00,22.776,92.193,,,,,
2019-05-28,23:50:00,22.848,92.210,,,,,
2019-05-28,23:55:00,22.896,92.276,,,,,
2019-05-29,00:00:00,22.968,92.240,,,,,
2019-05-29,00:05:00,23.040,92.339,,,,,
2019-05-29,00:10:00,23.040,92.366,,,,,
2019-05-29,00:15:00,22.992,92.408,,,,,
2019-05-29,00:20:00,22.968,92.619,,,,,
2019-05-29,00:25:00,22.944,92.721,,,,,
2019-05-29,00:30:00,22.920,92.877,,,,,
2019-05-29,00:35:00,22.896,92.898,,,,,
2019-05-29,00:40:00,22.896,92.871,,,,,
2019-05-29,00:45:00,22.896,93.006,,,,,
2019-05-29,00:50:00,22.896,93.141,,,,,
2019-05-29,00:55:00,22.920,93.147,,,,,
2019-05-29,01:00:00,22.920,93.201,,,,,
2019-05-29,01:05:00,22.872,93.216,,,,,
2019-05-29,01:10:00,22.848,93.156,,,,,
2019-05-29,01:15:00,22.800,93.198,,,,,
2019-05-29,01:20:00,22.705,93.416,,,,,
2019-05-29,01:25:00,22.633,92.940,,,,,
2019-05-29,01:30:00,22.465,92.359,,,,,
2019-05-29,01:35:00,22.321,93.374,,,,,
2019-05-29,01:40:00,22.202,93.666,,,,,
2019-05-29,01:45:00,22.058,93.227,,,,,
2019-05-29,01:50:00,21.915,93.593,,,,,
2019-05-29,01:55:00,21.795,93.590,,,,,
2019-05-29,02:00:00,21.652,93.474,,,,,
2019-05-29,02:05:00,21.557,93.690,,,,,
2019-05-29,02:10:00,21.413,93.628,,,,,
2019-05-29,02:15:00,21.294,94.558,,,,,
2019-05-29,02:20:00,21.223,94.380,,,,,
2019-05-29,02:25:00,21.151,94.707,,,,,
2019-05-29,02:30:00,21.151,95.397,,,,,
2019-05-29,02:35:00,21.199,95.860,,,,,
2019-05-29,02:40:00,21.246,95.978,,,,,
2019-05-29,02:45:00,21.294,95.990,,,,,
2019-05-29,02:50:00,21.318,96.049,,,,,
2019-05-29,02:55:00,21.318,94.644,,,,,
2019-05-29,03:00:00,21.103,94.003,,,,,
2019-05-29,03:05:00,20.913,94.221,,,,,
2019-05-29,03:10:00,20.722,94.252,,,,,
2019-05-29,03:15:00,20.555,94.820,,,,,
2019-05-29,03:20:00,20.507,95.733,,,,,
2019-05-29,03:25:00,20.603,96.391,,,,,
