"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-28,12:00:00,36.173,40.339,Logged,,,,
2019-05-28,12:05:00,38.476,36.753,,,,,
2019-05-28,12:10:00,39.886,34.259,,,,,
2019-05-28,12:15:00,40.891,35.946,,,,,
2019-05-28,12:20:00,41.678,33.162,,,,,
2019-05-28,12:25:00,42.208,33.208,,,,,
2019-05-28,12:30:00,42.803,33.050,,,,,
2019-05-28,12:35:00,43.374,29.854,,,,,
2019-05-28,12:40:00,43.921,28.476,,,,,
2019-05-28,12:45:00,44.196,29.990,,,,,
2019-05-28,12:50:00,44.503,29.481,,,,,
2019-05-28,12:55:00,44.936,28.767,,,,,
2019-05-28,13:00:00,45.092,27.421,,,,,
2019-05-28,13:05:00,45.311,28.653,,,,,
2019-05-28,13:10:00,45.687,26.101,,,,,
2019-05-28,13:15:00,45.972,26.840,,,,,
2019-05-28,13:20:00,46.577,25.442,,,,,
2019-05-28,13:25:00,47.028,24.315,,,,,
2019-05-28,13:30:00,46.545,25.115,,,,,
2019-05-28,13:35:00,46.545,24.102,,,,,
2019-05-28,13:40:00,46.609,25.083,,,,,
2019-05-28,13:45:00,46.802,23.648,,,,,
2019-05-28,13:50:00,47.255,23.822,,,,,
2019-05-28,13:55:00,47.060,24.535,,,,,
2019-05-28,14:00:00,47.092,23.957,,,,,
2019-05-28,14:05:00,47.028,24.243,,,,,
2019-05-28,14:10:00,47.092,22.649,,,,,
2019-05-28,14:15:00,47.092,23.231,,,,,
2019-05-28,14:20:00,47.417,23.760,,,,,
2019-05-28,14:25:00,47.744,22.581,,,,,
2019-05-28,14:30:00,47.908,23.283,,,,,
2019-05-28,14:35:00,47.908,22.263,,,,,
2019-05-28,14:40:00,47.974,22.558,,,,,
2019-05-28,14:45:00,48.073,22.054,,,,,
2019-05-28,14:50:00,48.304,22.579,,,,,
2019-05-28,14:55:00,48.139,22.788,,,,,
2019-05-28,15:00:00,47.777,22.911,,,,,
2019-05-28,15:05:00,47.287,22.953,,,,,
2019-05-28,15:10:00,47.157,22.944,,,,,
2019-05-28,15:15:00,47.157,23.053,,,,,
2019-05-28,15:20:00,46.834,23.578,,,,,
2019-05-28,15:25:00,45.373,24.711,,,,,
2019-05-28,15:30:00,43.647,26.458,,,,,
2019-05-28,15:35:00,42.445,27.441,,,,,
2019-05-28,15:40:00,41.736,28.947,,,,,
2019-05-28,15:45:00,41.268,29.335,,,,,
2019-05-28,15:50:00,40.978,30.052,,,,,
2019-05-28,15:55:00,40.458,30.327,,,,,
2019-05-28,16:00:00,39.630,31.310,,,,,
2019-05-28,16:05:00,39.545,30.953,,,,,
2019-05-28,16:10:00,39.573,32.004,,,,,
2019-05-28,16:15:00,39.375,31.009,,,,,
2019-05-28,16:20:00,39.516,32.557,,,,,
2019-05-28,16:25:00,39.403,32.617,,,,,
2019-05-28,16:30:00,39.205,32.635,,,,,
2019-05-28,16:35:00,39.234,32.115,,,,,
2019-05-28,16:40:00,39.658,31.138,,,,,
2019-05-28,16:45:00,40.057,30.925,,,,,
2019-05-28,16:50:00,40.343,30.668,,,,,
2019-05-28,16:55:00,40.257,30.100,,,,,
2019-05-28,17:00:00,40.286,30.032,,,,,
2019-05-28,17:05:00,40.085,31.348,,,,,
2019-05-28,17:10:00,39.573,32.388,,,,,
2019-05-28,17:15:00,38.896,32.643,,,,,
2019-05-28,17:20:00,38.198,35.074,,,,,
2019-05-28,17:25:00,37.563,35.222,,,,,
2019-05-28,17:30:00,37.042,35.209,,,,,
2019-05-28,17:35:00,36.769,35.904,,,,,
2019-05-28,17:40:00,36.552,36.089,,,,,
2019-05-28,17:45:00,36.200,37.933,,,,,
2019-05-28,17:50:00,35.904,38.074,,,,,
2019-05-28,17:55:00,35.716,38.599,,,,,
2019-05-28,18:00:00,35.636,38.692,,,,,
2019-05-28,18:05:00,35.582,38.992,,,,,
2019-05-28,18:10:00,35.475,39.793,,,,,
2019-05-28,18:15:00,35.342,40.556,,,,,
2019-05-28,18:20:00,35.208,40.845,,,,,
2019-05-28,18:25:00,35.155,40.705,,,,,
2019-05-28,18:30:00,35.128,40.870,,,,,
2019-05-28,18:35:00,35.049,41.501,,,,,
2019-05-28,18:40:00,34.836,42.417,,,,,
2019-05-28,18:45:00,34.466,43.579,,,,,
2019-05-28,18:50:00,33.992,44.192,,,,,
2019-05-28,18:55:00,33.469,44.795,,,,,
2019-05-28,19:00:00,33.001,45.634,,,,,
2019-05-28,19:05:00,32.587,47.526,,,,,
2019-05-28,19:10:00,32.201,48.264,,,,,
2019-05-28,19:15:00,31.868,48.418,,,,,
2019-05-28,19:20:00,31.637,49.757,,,,,
2019-05-28,19:25:00,31.408,49.727,,,,,
2019-05-28,19:30:00,31.153,50.796,,,,,
2019-05-28,19:35:00,30.925,50.572,,,,,
2019-05-28,19:40:00,30.672,51.443,,,,,
2019-05-28,19:45:00,30.419,52.406,,,,,
2019-05-28,19:50:00,30.117,52.558,,,,,
2019-05-28,19:55:00,29.815,52.997,,,,,
2019-05-28,20:00:00,29.490,53.974,,,,,
2019-05-28,20:05:00,29.190,55.172,,,,,
2019-05-28,20:10:00,28.841,55.914,,,,,
2019-05-28,20:15:00,28.493,56.652,,,,,
