"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-28,14:00:00,47.417,26.042,Logged,,,,
2019-05-28,14:05:00,47.580,24.061,,,,,
2019-05-28,14:10:00,47.482,24.200,,,,,
2019-05-28,14:15:00,47.287,24.115,,,,,
2019-05-28,14:20:00,47.125,26.346,,,,,
2019-05-28,14:25:00,47.222,24.763,,,,,
2019-05-28,14:30:00,47.092,24.320,,,,,
2019-05-28,14:35:00,46.673,25.882,,,,,
2019-05-28,14:40:00,46.385,25.681,,,,,
2019-05-28,14:45:00,46.130,25.483,,,,,
2019-05-28,14:50:00,46.130,25.988,,,,,
2019-05-28,14:55:00,46.130,25.267,,,,,
2019-05-28,15:00:00,45.940,26.658,,,,,
2019-05-28,15:05:00,45.593,27.601,,,,,
2019-05-28,15:10:00,45.311,28.081,,,,,
2019-05-28,15:15:00,44.812,26.398,,,,,
2019-05-28,15:20:00,44.380,28.653,,,,,
2019-05-28,15:25:00,44.104,28.703,,,,,
2019-05-28,15:30:00,43.768,29.282,,,,,
2019-05-28,15:35:00,42.624,30.501,,,,,
2019-05-28,15:40:00,41.766,33.345,,,,,
2019-05-28,15:45:00,41.298,32.010,,,,,
2019-05-28,15:50:00,40.257,33.596,,,,,
2019-05-28,15:55:00,39.545,34.644,,,,,
2019-05-28,16:00:00,39.093,35.502,,,,,
2019-05-28,16:05:00,39.375,35.597,,,,,
2019-05-28,16:10:00,39.601,34.372,,,,,
2019-05-28,16:15:00,39.403,35.496,,,,,
2019-05-28,16:20:00,39.488,36.091,,,,,
2019-05-28,16:25:00,39.829,34.496,,,,,
2019-05-28,16:30:00,39.886,35.299,,,,,
2019-05-28,16:35:00,39.346,36.078,,,,,
2019-05-28,16:40:00,38.868,36.480,,,,,
2019-05-28,16:45:00,38.756,36.779,,,,,
2019-05-28,16:50:00,38.672,36.152,,,,,
2019-05-28,16:55:00,38.756,36.642,,,,,
2019-05-28,17:00:00,38.840,36.030,,,,,
2019-05-28,17:05:00,38.924,37.551,,,,,
2019-05-28,17:10:00,38.784,36.954,,,,,
2019-05-28,17:15:00,38.616,37.933,,,,,
2019-05-28,17:20:00,38.476,37.850,,,,,
2019-05-28,17:25:00,38.282,38.037,,,,,
2019-05-28,17:30:00,38.004,37.975,,,,,
2019-05-28,17:35:00,37.893,37.930,,,,,
2019-05-28,17:40:00,37.700,38.730,,,,,
2019-05-28,17:45:00,37.480,39.049,,,,,
2019-05-28,17:50:00,37.042,38.051,,,,,
2019-05-28,17:55:00,36.606,38.688,,,,,
2019-05-28,18:00:00,36.173,40.441,,,,,
2019-05-28,18:05:00,35.529,42.359,,,,,
2019-05-28,18:10:00,34.810,42.213,,,,,
2019-05-28,18:15:00,34.308,44.294,,,,,
2019-05-28,18:20:00,33.861,43.544,,,,,
2019-05-28,18:25:00,33.521,45.728,,,,,
2019-05-28,18:30:00,33.209,46.648,,,,,
2019-05-28,18:35:00,32.949,46.617,,,,,
2019-05-28,18:40:00,32.717,47.344,,,,,
2019-05-28,18:45:00,32.510,49.413,,,,,
2019-05-28,18:50:00,32.253,50.096,,,,,
2019-05-28,18:55:00,32.073,49.845,,,,,
2019-05-28,19:00:00,31.944,51.515,,,,,
2019-05-28,19:05:00,31.816,52.918,,,,,
