"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-28,14:00:00,37.453,32.484,Logged,,,,
2019-05-28,14:05:00,36.606,33.551,,,,,
2019-05-28,14:10:00,36.606,33.447,,,,,
2019-05-28,14:15:00,36.444,34.432,,,,,
2019-05-28,14:20:00,36.471,36.184,,,,,
2019-05-28,14:25:00,37.124,34.907,,,,,
2019-05-28,14:30:00,37.343,33.236,,,,,
2019-05-28,14:35:00,37.480,33.663,,,,,
2019-05-28,14:40:00,37.645,33.470,,,,,
2019-05-28,14:45:00,38.115,33.477,,,,,
2019-05-28,14:50:00,38.980,31.849,,,,,
2019-05-28,14:55:00,38.924,31.670,,,,,
2019-05-28,15:00:00,38.504,31.844,,,,,
2019-05-28,15:05:00,38.449,32.813,,,,,
2019-05-28,15:10:00,38.254,32.796,,,,,
2019-05-28,15:15:00,38.282,32.764,,,,,
2019-05-28,15:20:00,39.093,32.521,,,,,
2019-05-28,15:25:00,39.545,30.393,,,,,
2019-05-28,15:30:00,39.800,29.642,,,,,
2019-05-28,15:35:00,38.952,30.555,,,,,
2019-05-28,15:40:00,39.488,31.822,,,,,
2019-05-28,15:45:00,39.772,29.640,,,,,
2019-05-28,15:50:00,39.177,31.412,,,,,
2019-05-28,15:55:00,39.065,30.914,,,,,
2019-05-28,16:00:00,38.644,32.134,,,,,
2019-05-28,16:05:00,39.460,31.960,,,,,
2019-05-28,16:10:00,40.458,30.046,,,,,
2019-05-28,16:15:00,40.200,29.603,,,,,
2019-05-28,16:20:00,41.094,28.863,,,,,
2019-05-28,16:25:00,41.531,28.896,,,,,
2019-05-28,16:30:00,41.473,27.014,,,,,
2019-05-28,16:35:00,41.181,28.763,,,,,
2019-05-28,16:40:00,41.181,28.233,,,,,
2019-05-28,16:45:00,40.717,28.516,,,,,
2019-05-28,16:50:00,40.228,29.816,,,,,
2019-05-28,16:55:00,39.715,30.197,,,,,
2019-05-28,17:00:00,39.205,30.786,,,,,
2019-05-28,17:05:00,38.840,31.000,,,,,
2019-05-28,17:10:00,38.449,31.909,,,,,
2019-05-28,17:15:00,38.060,33.264,,,,,
2019-05-28,17:20:00,37.755,33.929,,,,,
2019-05-28,17:25:00,37.535,33.979,,,,,
2019-05-28,17:30:00,37.535,33.564,,,,,
2019-05-28,17:35:00,37.508,33.907,,,,,
2019-05-28,17:40:00,37.315,33.545,,,,,
2019-05-28,17:45:00,36.878,34.402,,,,,
2019-05-28,17:50:00,36.471,34.159,,,,,
2019-05-28,17:55:00,36.119,33.232,,,,,
2019-05-28,18:00:00,35.609,34.150,,,,,
2019-05-28,18:05:00,35.342,35.428,,,,,
2019-05-28,18:10:00,35.182,36.096,,,,,
2019-05-28,18:15:00,35.022,36.013,,,,,
2019-05-28,18:20:00,34.863,36.032,,,,,
2019-05-28,18:25:00,34.598,36.790,,,,,
2019-05-28,18:30:00,34.387,38.025,,,,,
2019-05-28,18:35:00,34.229,37.738,,,,,
2019-05-28,18:40:00,34.045,38.633,,,,,
2019-05-28,18:45:00,33.861,39.154,,,,,
2019-05-28,18:50:00,33.652,39.672,,,,,
2019-05-28,18:55:00,33.521,40.465,,,,,
2019-05-28,19:00:00,33.678,40.884,,,,,
2019-05-28,19:05:00,33.652,42.053,,,,,
2019-05-28,19:10:00,33.417,41.927,,,,,
2019-05-28,19:15:00,33.131,41.829,,,,,
2019-05-28,19:20:00,32.924,43.239,,,,,
2019-05-28,19:25:00,32.742,43.052,,,,,
2019-05-28,19:30:00,32.562,44.260,,,,,
2019-05-28,19:35:00,32.150,43.782,,,,,
2019-05-28,19:40:00,31.791,43.344,,,,,
2019-05-28,19:45:00,31.484,44.070,,,,,
2019-05-28,19:50:00,31.153,44.427,,,,,
2019-05-28,19:55:00,30.722,45.791,,,,,
2019-05-28,20:00:00,30.243,47.041,,,,,
2019-05-28,20:05:00,29.890,47.552,,,,,
2019-05-28,20:10:00,29.515,49.386,,,,,
2019-05-28,20:15:00,29.065,50.972,,,,,
2019-05-28,20:20:00,28.593,52.510,,,,,
2019-05-28,20:25:00,28.245,53.005,,,,,
2019-05-28,20:30:00,27.949,53.600,,,,,
2019-05-28,20:35:00,27.653,54.541,,,,,
2019-05-28,20:40:00,27.382,55.954,,,,,
2019-05-28,20:45:00,27.210,56.306,,,,,
2019-05-28,20:50:00,27.014,57.406,,,,,
2019-05-28,20:55:00,26.818,57.846,,,,,
2019-05-28,21:00:00,26.573,58.651,,,,,
2019-05-28,21:05:00,26.329,60.196,,,,,
2019-05-28,21:10:00,26.158,61.465,,,,,
2019-05-28,21:15:00,25.987,61.991,,,,,
2019-05-28,21:20:00,25.817,61.626,,,,,
2019-05-28,21:25:00,25.695,62.005,,,,,
2019-05-28,21:30:00,25.647,62.396,,,,,
2019-05-28,21:35:00,25.647,62.794,,,,,
2019-05-28,21:40:00,25.574,63.058,,,,,
2019-05-28,21:45:00,25.477,64.809,,,,,
2019-05-28,21:50:00,25.380,64.702,,,,,
2019-05-28,21:55:00,25.307,65.296,,,,,
2019-05-28,22:00:00,25.355,65.123,,,,,
2019-05-28,22:05:00,25.404,65.374,,,,,
2019-05-28,22:10:00,25.380,65.945,,,,,
2019-05-28,22:15:00,25.355,66.364,,,,,
2019-05-28,22:20:00,25.283,67.196,,,,,
2019-05-28,22:25:00,25.234,67.638,,,,,
2019-05-28,22:30:00,25.113,68.367,,,,,
2019-05-28,22:35:00,24.919,69.438,,,,,
2019-05-28,22:40:00,24.823,70.285,,,,,
2019-05-28,22:45:00,24.823,70.493,,,,,
2019-05-28,22:50:00,24.750,70.895,,,,,
2019-05-28,22:55:00,24.581,71.751,,,,,
2019-05-28,23:00:00,24.363,72.301,,,,,
2019-05-28,23:05:00,24.098,73.719,,,,,
2019-05-28,23:10:00,23.857,74.198,,,,,
2019-05-28,23:15:00,23.617,75.549,,,,,
2019-05-28,23:20:00,23.472,76.419,,,,,
2019-05-28,23:25:00,23.424,77.967,,,,,
2019-05-28,23:30:00,23.352,78.096,,,,,
2019-05-28,23:35:00,23.328,78.951,,,,,
2019-05-28,23:40:00,23.400,79.595,,,,,
2019-05-28,23:45:00,23.545,79.740,,,,,
2019-05-28,23:50:00,23.689,79.685,,,,,
2019-05-28,23:55:00,23.737,79.666,,,,,
2019-05-29,00:00:00,23.641,80.132,,,,,
2019-05-29,00:05:00,23.497,80.927,,,,,
2019-05-29,00:10:00,23.376,81.327,,,,,
2019-05-29,00:15:00,23.232,82.033,,,,,
2019-05-29,00:20:00,23.136,82.266,,,,,
2019-05-29,00:25:00,23.016,82.973,,,,,
2019-05-29,00:30:00,22.944,83.576,,,,,
2019-05-29,00:35:00,23.040,83.569,,,,,
2019-05-29,00:40:00,23.040,83.344,,,,,
2019-05-29,00:45:00,22.992,83.586,,,,,
2019-05-29,00:50:00,22.992,84.007,,,,,
2019-05-29,00:55:00,22.992,83.923,,,,,
2019-05-29,01:00:00,22.896,83.958,,,,,
2019-05-29,01:05:00,22.776,84.491,,,,,
2019-05-29,01:10:00,22.585,85.061,,,,,
2019-05-29,01:15:00,22.441,85.530,,,,,
2019-05-29,01:20:00,22.298,86.135,,,,,
2019-05-29,01:25:00,22.106,86.479,,,,,
2019-05-29,01:30:00,21.891,86.788,,,,,
2019-05-29,01:35:00,21.581,87.102,,,,,
2019-05-29,01:40:00,21.318,88.138,,,,,
2019-05-29,01:45:00,20.984,88.087,,,,,
2019-05-29,01:50:00,20.674,88.859,,,,,
2019-05-29,01:55:00,20.436,89.671,,,,,
2019-05-29,02:00:00,20.222,90.592,,,,,
2019-05-29,02:05:00,20.079,91.069,,,,,
2019-05-29,02:10:00,19.936,91.276,,,,,
2019-05-29,02:15:00,19.746,91.658,,,,,
2019-05-29,02:20:00,19.627,92.430,,,,,
2019-05-29,02:25:00,19.532,93.099,,,,,
2019-05-29,02:30:00,19.436,93.474,,,,,
2019-05-29,02:35:00,19.508,94.419,,,,,
2019-05-29,02:40:00,19.627,95.083,,,,,
2019-05-29,02:45:00,19.627,95.031,,,,,
2019-05-29,02:50:00,19.532,94.742,,,,,
2019-05-29,02:55:00,19.460,94.829,,,,,
2019-05-29,03:00:00,19.270,94.675,,,,,
2019-05-29,03:05:00,19.127,95.033,,,,,
2019-05-29,03:10:00,18.937,94.984,,,,,
2019-05-29,03:15:00,18.842,95.301,,,,,
2019-05-29,03:20:00,18.723,95.585,,,,,
2019-05-29,03:25:00,18.699,95.788,,,,,
2019-05-29,03:30:00,18.818,96.369,,,,,
2019-05-29,03:35:00,18.937,96.426,,,,,
2019-05-29,03:40:00,18.842,96.140,,,,,
2019-05-29,03:45:00,18.652,95.959,,,,,
2019-05-29,03:50:00,18.723,96.865,,,,,
2019-05-29,03:55:00,18.842,96.949,,,,,
2019-05-29,04:00:00,18.889,96.935,,,,,
2019-05-29,04:05:00,18.913,97.098,,,,,
2019-05-29,04:10:00,18.889,97.013,,,,,
2019-05-29,04:15:00,18.889,97.248,,,,,
2019-05-29,04:20:00,18.723,96.787,,,,,
2019-05-29,04:25:00,18.438,96.399,,,,,
2019-05-29,04:30:00,18.200,96.597,,,,,
2019-05-29,04:35:00,18.010,96.755,,,,,
2019-05-29,04:40:00,17.891,97.138,,,,,
2019-05-29,04:45:00,17.819,97.430,,,,,
2019-05-29,04:50:00,17.796,97.682,,,,,
2019-05-29,04:55:00,17.701,97.450,,,,,
2019-05-29,05:00:00,17.653,97.567,,,,,
2019-05-29,05:05:00,17.701,97.812,,,,,
2019-05-29,05:10:00,17.724,97.818,,,,,
2019-05-29,05:15:00,17.677,97.857,,,,,
2019-05-29,05:20:00,17.677,97.960,,,,,
2019-05-29,05:25:00,17.677,97.935,,,,,
2019-05-29,05:30:00,17.629,97.948,,,,,
2019-05-29,05:35:00,17.558,98.032,,,,,
