"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-28,14:00:00,31.663,61.472,Logged,,,,
2019-05-28,14:05:00,32.047,59.077,,,,,
2019-05-28,14:10:00,32.253,58.063,,,,,
2019-05-28,14:15:00,32.381,59.854,,,,,
2019-05-28,14:20:00,32.587,58.811,,,,,
2019-05-28,14:25:00,32.820,57.670,,,,,
2019-05-28,14:30:00,33.001,55.365,,,,,
2019-05-28,14:35:00,33.287,56.431,,,,,
2019-05-28,14:40:00,33.652,54.975,,,,,
2019-05-28,14:45:00,34.045,55.320,,,,,
2019-05-28,14:50:00,34.413,53.337,,,,,
2019-05-28,14:55:00,34.757,53.092,,,,,
2019-05-28,15:00:00,35.102,52.554,,,,,
2019-05-28,15:05:00,35.448,51.949,,,,,
2019-05-28,15:10:00,35.797,51.537,,,,,
2019-05-28,15:15:00,36.173,49.419,,,,,
2019-05-28,15:20:00,36.525,47.612,,,,,
2019-05-28,15:25:00,36.851,48.050,,,,,
2019-05-28,15:30:00,37.178,46.960,,,,,
2019-05-28,15:35:00,37.124,48.481,,,,,
2019-05-28,15:40:00,36.905,47.990,,,,,
2019-05-28,15:45:00,36.769,48.172,,,,,
2019-05-28,15:50:00,36.335,48.615,,,,,
2019-05-28,15:55:00,36.039,48.578,,,,,
2019-05-28,16:00:00,35.797,47.887,,,,,
2019-05-28,16:05:00,36.039,47.784,,,,,
2019-05-28,16:10:00,36.417,47.864,,,,,
2019-05-28,16:15:00,36.579,47.420,,,,,
2019-05-28,16:20:00,36.960,45.701,,,,,
2019-05-28,16:25:00,37.618,44.439,,,,,
2019-05-28,16:30:00,38.170,45.810,,,,,
2019-05-28,16:35:00,38.254,45.920,,,,,
2019-05-28,16:40:00,38.421,45.034,,,,,
2019-05-28,16:45:00,38.672,44.761,,,,,
2019-05-28,16:50:00,38.812,43.800,,,,,
2019-05-28,16:55:00,38.924,43.880,,,,,
2019-05-28,17:00:00,39.036,43.825,,,,,
2019-05-28,17:05:00,39.036,42.541,,,,,
2019-05-28,17:10:00,39.065,42.374,,,,,
2019-05-28,17:15:00,38.952,43.309,,,,,
2019-05-28,17:20:00,38.421,43.621,,,,,
2019-05-28,17:25:00,37.563,44.801,,,,,
2019-05-28,17:30:00,36.688,47.234,,,,,
2019-05-28,17:35:00,35.904,48.726,,,,,
2019-05-28,17:40:00,35.155,51.159,,,,,
2019-05-28,17:45:00,34.624,53.139,,,,,
2019-05-28,17:50:00,34.202,52.855,,,,,
2019-05-28,17:55:00,33.966,53.891,,,,,
2019-05-28,18:00:00,33.704,55.400,,,,,
2019-05-28,18:05:00,33.365,55.737,,,,,
2019-05-28,18:10:00,33.079,56.305,,,,,
2019-05-28,18:15:00,32.794,58.683,,,,,
2019-05-28,18:20:00,32.458,59.329,,,,,
2019-05-28,18:25:00,32.150,61.015,,,,,
2019-05-28,18:30:00,31.816,62.028,,,,,
2019-05-28,18:35:00,31.535,61.702,,,,,
2019-05-28,18:40:00,31.306,64.250,,,,,
2019-05-28,18:45:00,31.077,65.202,,,,,
2019-05-28,18:50:00,30.900,65.080,,,,,
2019-05-28,18:55:00,30.748,66.041,,,,,
2019-05-28,19:00:00,30.571,66.594,,,,,
2019-05-28,19:05:00,30.419,67.976,,,,,
2019-05-28,19:10:00,30.293,68.868,,,,,
2019-05-28,19:15:00,30.142,68.933,,,,,
2019-05-28,19:20:00,30.016,68.697,,,,,
2019-05-28,19:25:00,29.941,68.714,,,,,
2019-05-28,19:30:00,29.840,68.909,,,,,
2019-05-28,19:35:00,29.690,69.489,,,,,
2019-05-28,19:40:00,29.464,70.054,,,,,
2019-05-28,19:45:00,29.215,70.310,,,,,
2019-05-28,19:50:00,29.015,71.297,,,,,
2019-05-28,19:55:00,28.816,72.190,,,,,
2019-05-28,20:00:00,28.642,72.695,,,,,
2019-05-28,20:05:00,28.444,73.075,,,,,
2019-05-28,20:10:00,28.245,74.167,,,,,
2019-05-28,20:15:00,28.048,74.070,,,,,
2019-05-28,20:20:00,27.875,74.806,,,,,
2019-05-28,20:25:00,27.702,75.451,,,,,
2019-05-28,20:30:00,27.530,75.888,,,,,
2019-05-28,20:35:00,27.382,76.064,,,,,
2019-05-28,20:40:00,27.210,76.558,,,,,
2019-05-28,20:45:00,27.087,77.498,,,,,
2019-05-28,20:50:00,26.965,77.794,,,,,
2019-05-28,20:55:00,26.818,78.288,,,,,
2019-05-28,21:00:00,26.720,78.849,,,,,
2019-05-28,21:05:00,26.622,79.263,,,,,
2019-05-28,21:10:00,26.500,79.700,,,,,
2019-05-28,21:15:00,26.402,80.083,,,,,
2019-05-28,21:20:00,26.304,80.725,,,,,
2019-05-28,21:25:00,26.231,80.796,,,,,
2019-05-28,21:30:00,26.158,81.354,,,,,
2019-05-28,21:35:00,26.085,81.882,,,,,
2019-05-28,21:40:00,25.963,81.885,,,,,
2019-05-28,21:45:00,25.841,82.172,,,,,
2019-05-28,21:50:00,25.744,82.494,,,,,
2019-05-28,21:55:00,25.647,83.070,,,,,
2019-05-28,22:00:00,25.574,83.338,,,,,
2019-05-28,22:05:00,25.501,83.860,,,,,
2019-05-28,22:10:00,25.428,83.957,,,,,
2019-05-28,22:15:00,25.380,84.229,,,,,
2019-05-28,22:20:00,25.331,84.557,,,,,
2019-05-28,22:25:00,25.283,84.688,,,,,
2019-05-28,22:30:00,25.210,85.206,,,,,
2019-05-28,22:35:00,25.162,85.420,,,,,
2019-05-28,22:40:00,25.113,85.746,,,,,
2019-05-28,22:45:00,25.089,85.629,,,,,
2019-05-28,22:50:00,25.065,86.352,,,,,
2019-05-28,22:55:00,25.016,86.620,,,,,
2019-05-28,23:00:00,24.992,86.838,,,,,
2019-05-28,23:05:00,24.968,87.140,,,,,
2019-05-28,23:10:00,24.919,87.156,,,,,
2019-05-28,23:15:00,24.895,87.513,,,,,
2019-05-28,23:20:00,24.847,87.752,,,,,
2019-05-28,23:25:00,24.823,87.969,,,,,
2019-05-28,23:30:00,24.774,88.263,,,,,
2019-05-28,23:35:00,24.726,88.390,,,,,
2019-05-28,23:40:00,24.702,88.633,,,,,
2019-05-28,23:45:00,24.653,88.484,,,,,
2019-05-28,23:50:00,24.629,88.948,,,,,
2019-05-28,23:55:00,24.605,89.081,,,,,
2019-05-29,00:00:00,24.581,89.020,,,,,
2019-05-29,00:05:00,24.557,89.345,,,,,
2019-05-29,00:10:00,24.532,89.395,,,,,
2019-05-29,00:15:00,24.508,89.857,,,,,
2019-05-29,00:20:00,24.484,90.099,,,,,
2019-05-29,00:25:00,24.436,90.033,,,,,
2019-05-29,00:30:00,24.388,90.268,,,,,
2019-05-29,00:35:00,24.339,90.559,,,,,
2019-05-29,00:40:00,24.291,90.629,,,,,
2019-05-29,00:45:00,24.243,90.891,,,,,
2019-05-29,00:50:00,24.195,91.126,,,,,
2019-05-29,00:55:00,24.146,91.114,,,,,
2019-05-29,01:00:00,24.074,91.506,,,,,
2019-05-29,01:05:00,24.026,91.194,,,,,
2019-05-29,01:10:00,24.026,91.631,,,,,
2019-05-29,01:15:00,24.002,91.952,,,,,
2019-05-29,01:20:00,24.002,92.061,,,,,
2019-05-29,01:25:00,23.978,92.000,,,,,
2019-05-29,01:30:00,23.954,92.538,,,,,
2019-05-29,01:35:00,23.905,92.635,,,,,
2019-05-29,01:40:00,23.833,92.888,,,,,
2019-05-29,01:45:00,23.737,93.189,,,,,
2019-05-29,01:50:00,23.665,93.441,,,,,
2019-05-29,01:55:00,23.569,93.525,,,,,
2019-05-29,02:00:00,23.521,93.432,,,,,
2019-05-29,02:05:00,23.521,93.783,,,,,
2019-05-29,02:10:00,23.545,94.219,,,,,
2019-05-29,02:15:00,23.521,94.160,,,,,
2019-05-29,02:20:00,23.472,93.447,,,,,
2019-05-29,02:25:00,23.472,93.878,,,,,
2019-05-29,02:30:00,23.472,93.123,,,,,
2019-05-29,02:35:00,23.472,93.770,,,,,
2019-05-29,02:40:00,23.472,94.255,,,,,
2019-05-29,02:45:00,23.424,94.619,,,,,
2019-05-29,02:50:00,23.328,94.756,,,,,
2019-05-29,02:55:00,23.232,95.026,,,,,
2019-05-29,03:00:00,23.136,95.376,,,,,
2019-05-29,03:05:00,23.040,95.538,,,,,
2019-05-29,03:10:00,22.944,95.700,,,,,
2019-05-29,03:15:00,22.872,95.921,,,,,
2019-05-29,03:20:00,22.776,96.056,,,,,
2019-05-29,03:25:00,22.729,96.336,,,,,
2019-05-29,03:30:00,22.705,96.622,,,,,
2019-05-29,03:35:00,22.657,96.716,,,,,
2019-05-29,03:40:00,22.633,96.895,,,,,
2019-05-29,03:45:00,22.585,96.909,,,,,
2019-05-29,03:50:00,22.609,96.809,,,,,
2019-05-29,03:55:00,22.633,97.133,,,,,
2019-05-29,04:00:00,22.657,97.245,,,,,
2019-05-29,04:05:00,22.633,97.318,,,,,
2019-05-29,04:10:00,22.609,97.365,,,,,
2019-05-29,04:15:00,22.537,97.425,,,,,
2019-05-29,04:20:00,22.465,97.565,,,,,
2019-05-29,04:25:00,22.417,97.737,,,,,
2019-05-29,04:30:00,22.369,97.908,,,,,
2019-05-29,04:35:00,22.321,98.054,,,,,
2019-05-29,04:40:00,22.298,97.995,,,,,
2019-05-29,04:45:00,22.250,98.113,,,,,
2019-05-29,04:50:00,22.202,98.180,,,,,
2019-05-29,04:55:00,22.154,98.219,,,,,
2019-05-29,05:00:00,22.106,98.391,,,,,
2019-05-29,05:05:00,22.082,98.620,,,,,
2019-05-29,05:10:00,22.082,98.777,,,,,
2019-05-29,05:15:00,22.058,98.745,,,,,
2019-05-29,05:20:00,21.987,98.909,,,,,
2019-05-29,05:25:00,21.915,98.994,,,,,
2019-05-29,05:30:00,21.867,99.060,,,,,
2019-05-29,05:35:00,21.843,99.184,,,,,
2019-05-29,05:40:00,21.819,99.282,,,,,
2019-05-29,05:45:00,21.795,99.432,,,,,
2019-05-29,05:50:00,21.795,99.537,,,,,
2019-05-29,05:55:00,21.795,99.589,,,,,
2019-05-29,06:00:00,21.795,99.667,,,,,
2019-05-29,06:05:00,21.795,99.745,,,,,
2019-05-29,06:10:00,21.843,99.810,,,,,
2019-05-29,06:15:00,21.843,99.810,,,,,
2019-05-29,06:20:00,21.867,99.869,,,,,
2019-05-29,06:25:00,21.867,99.921,,,,,
2019-05-29,06:30:00,21.891,100.000,,,,,
2019-05-29,06:35:00,21.915,100.000,,,,,
2019-05-29,06:40:00,21.939,100.000,,,,,
2019-05-29,06:45:00,21.939,100.000,,,,,
2019-05-29,06:50:00,21.963,100.000,,,,,
2019-05-29,06:55:00,21.987,100.000,,,,,
2019-05-29,07:00:00,22.011,100.000,,,,,
2019-05-29,07:05:00,22.058,100.000,,,,,
2019-05-29,07:10:00,22.106,100.000,,,,,
2019-05-29,07:15:00,22.154,100.000,,,,,
2019-05-29,07:20:00,22.226,100.000,,,,,
2019-05-29,07:25:00,22.298,100.000,,,,,
2019-05-29,07:30:00,22.369,100.000,,,,,
2019-05-29,07:35:00,22.441,100.000,,,,,
2019-05-29,07:40:00,22.513,100.000,,,,,
2019-05-29,07:45:00,22.609,100.000,,,,,
2019-05-29,07:50:00,22.705,100.000,,,,,
2019-05-29,07:55:00,22.776,100.000,,,,,
2019-05-29,08:00:00,22.848,100.000,,,,,
2019-05-29,08:05:00,22.920,100.000,,,,,
2019-05-29,08:10:00,22.992,100.000,,,,,
2019-05-29,08:15:00,23.040,100.000,,,,,
2019-05-29,08:20:00,23.112,100.000,,,,,
2019-05-29,08:25:00,23.184,100.000,,,,,
2019-05-29,08:30:00,23.280,99.833,,,,,
