"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-17,16:00:00,28.916,79.710,Logged,,,,
2019-05-17,16:05:00,29.490,78.543,,,,,
2019-05-17,16:10:00,30.268,77.819,,,,,
2019-05-17,16:15:00,31.052,76.704,,,,,
2019-05-17,16:20:00,30.925,76.055,,,,,
2019-05-17,16:25:00,29.941,77.104,,,,,
2019-05-17,16:30:00,29.040,79.269,,,,,
2019-05-17,16:35:00,28.419,80.739,,,,,
2019-05-17,16:40:00,27.924,82.163,,,,,
2019-05-17,16:45:00,27.604,83.098,,,,,
2019-05-17,16:50:00,27.358,83.730,,,,,
2019-05-17,16:55:00,27.186,84.290,,,,,
2019-05-17,17:00:00,27.063,84.774,,,,,
2019-05-17,17:05:00,27.014,85.103,,,,,
2019-05-17,17:10:00,26.989,85.381,,,,,
2019-05-17,17:15:00,26.916,85.506,,,,,
2019-05-17,17:20:00,26.818,85.851,,,,,
2019-05-17,17:25:00,26.720,86.224,,,,,
2019-05-17,17:30:00,26.695,86.331,,,,,
2019-05-17,17:35:00,26.769,86.488,,,,,
2019-05-17,17:40:00,26.769,86.629,,,,,
2019-05-17,17:45:00,26.769,86.854,,,,,
2019-05-17,17:50:00,26.720,87.011,,,,,
2019-05-17,17:55:00,26.598,87.208,,,,,
2019-05-17,18:00:00,26.451,87.538,,,,,
2019-05-17,18:05:00,26.329,87.874,,,,,
2019-05-17,18:10:00,26.231,88.130,,,,,
2019-05-17,18:15:00,26.158,88.392,,,,,
2019-05-17,18:20:00,26.085,88.653,,,,,
2019-05-17,18:25:00,26.012,88.803,,,,,
2019-05-17,18:30:00,25.914,89.002,,,,,
2019-05-17,18:35:00,25.793,89.251,,,,,
2019-05-17,18:40:00,25.671,89.499,,,,,
2019-05-17,18:45:00,25.550,89.747,,,,,
2019-05-17,18:50:00,25.453,90.000,,,,,
2019-05-17,18:55:00,25.380,90.148,,,,,
2019-05-17,19:00:00,25.307,90.352,,,,,
2019-05-17,19:05:00,25.210,90.521,,,,,
2019-05-17,19:10:00,25.137,90.641,,,,,
2019-05-17,19:15:00,25.040,90.810,,,,,
2019-05-17,19:20:00,24.968,90.985,,,,,
2019-05-17,19:25:00,24.895,91.132,,,,,
2019-05-17,19:30:00,24.798,91.218,,,,,
2019-05-17,19:35:00,24.677,91.353,,,,,
2019-05-17,19:40:00,24.532,91.481,,,,,
2019-05-17,19:45:00,24.388,91.610,,,,,
2019-05-17,19:50:00,24.243,91.684,,,,,
2019-05-17,19:55:00,24.122,91.763,,,,,
2019-05-17,20:00:00,24.002,91.788,,,,,
2019-05-17,20:05:00,23.857,91.807,,,,,
2019-05-17,20:10:00,23.713,91.772,,,,,
2019-05-17,20:15:00,23.569,91.737,,,,,
2019-05-17,20:20:00,23.424,91.647,,,,,
2019-05-17,20:25:00,23.280,91.530,,,,,
2019-05-17,20:30:00,23.136,91.331,,,,,
2019-05-17,20:35:00,22.992,91.106,,,,,
2019-05-17,20:40:00,22.848,90.799,,,,,
2019-05-17,20:45:00,22.729,90.443,,,,,
2019-05-17,20:50:00,22.633,90.038,,,,,
2019-05-17,20:55:00,22.513,89.626,,,,,
2019-05-17,21:00:00,22.369,89.209,,,,,
2019-05-17,21:05:00,22.250,88.715,,,,,
2019-05-17,21:10:00,22.106,88.297,,,,,
2019-05-17,21:15:00,21.987,87.692,,,,,
2019-05-17,21:20:00,21.891,87.009,,,,,
2019-05-17,21:25:00,21.843,86.169,,,,,
2019-05-17,21:30:00,21.795,85.327,,,,,
2019-05-17,21:35:00,21.724,84.811,,,,,
2019-05-17,21:40:00,21.652,84.238,,,,,
2019-05-17,21:45:00,21.604,83.530,,,,,
2019-05-17,21:50:00,21.581,82.741,,,,,
2019-05-17,21:55:00,21.581,82.180,,,,,
2019-05-17,22:00:00,21.557,81.696,,,,,
2019-05-17,22:05:00,21.509,81.263,,,,,
2019-05-17,22:10:00,21.485,80.666,,,,,
2019-05-17,22:15:00,21.413,80.368,,,,,
2019-05-17,22:20:00,21.318,79.951,,,,,
2019-05-17,22:25:00,21.270,79.346,,,,,
2019-05-17,22:30:00,21.199,78.848,,,,,
2019-05-17,22:35:00,21.151,78.126,,,,,
2019-05-17,22:40:00,21.079,77.626,,,,,
2019-05-17,22:45:00,21.032,77.045,,,,,
2019-05-17,22:50:00,20.960,76.601,,,,,
2019-05-17,22:55:00,20.889,76.099,,,,,
2019-05-17,23:00:00,20.889,75.467,,,,,
2019-05-17,23:05:00,20.865,75.116,,,,,
2019-05-17,23:10:00,20.793,74.871,,,,,
2019-05-17,23:15:00,20.698,74.593,,,,,
2019-05-17,23:20:00,20.627,74.175,,,,,
2019-05-17,23:25:00,20.507,73.747,,,,,
2019-05-17,23:30:00,20.436,73.385,,,,,
2019-05-17,23:35:00,20.365,73.169,,,,,
2019-05-17,23:40:00,20.269,73.092,,,,,
2019-05-17,23:45:00,20.198,73.020,,,,,
2019-05-17,23:50:00,20.103,72.944,,,,,
2019-05-17,23:55:00,20.055,72.964,,,,,
2019-05-18,00:00:00,20.007,72.983,,,,,
2019-05-18,00:05:00,19.888,72.960,,,,,
2019-05-18,00:10:00,19.817,73.004,,,,,
2019-05-18,00:15:00,19.698,73.039,,,,,
2019-05-18,00:20:00,19.651,73.117,,,,,
2019-05-18,00:25:00,19.555,73.185,,,,,
2019-05-18,00:30:00,19.484,73.286,,,,,
2019-05-18,00:35:00,19.389,73.354,,,,,
2019-05-18,00:40:00,19.341,73.518,,,,,
2019-05-18,00:45:00,19.294,73.624,,,,,
2019-05-18,00:50:00,19.246,73.788,,,,,
2019-05-18,00:55:00,19.222,73.956,,,,,
2019-05-18,01:00:00,19.127,74.052,,,,,
2019-05-18,01:05:00,19.056,74.210,,,,,
2019-05-18,01:10:00,19.032,74.435,,,,,
2019-05-18,01:15:00,18.937,74.531,,,,,
2019-05-18,01:20:00,18.842,74.713,,,,,
2019-05-18,01:25:00,18.818,74.937,,,,,
2019-05-18,01:30:00,18.794,75.104,,,,,
2019-05-18,01:35:00,18.723,75.290,,,,,
2019-05-18,01:40:00,18.699,75.513,,,,,
2019-05-18,01:45:00,18.604,75.751,,,,,
2019-05-18,01:50:00,18.557,75.969,,,,,
2019-05-18,01:55:00,18.509,76.244,,,,,
2019-05-18,02:00:00,18.461,76.519,,,,,
2019-05-18,02:05:00,18.414,76.906,,,,,
2019-05-18,02:10:00,18.390,77.241,,,,,
2019-05-18,02:15:00,18.343,77.656,,,,,
2019-05-18,02:20:00,18.366,77.971,,,,,
2019-05-18,02:25:00,18.390,78.315,,,,,
2019-05-18,02:30:00,18.366,78.592,,,,,
2019-05-18,02:35:00,18.414,78.883,,,,,
2019-05-18,02:40:00,18.271,79.022,,,,,
2019-05-18,02:45:00,18.176,79.451,,,,,
2019-05-18,02:50:00,18.129,79.945,,,,,
2019-05-18,02:55:00,18.152,80.230,,,,,
2019-05-18,03:00:00,18.081,80.438,,,,,
2019-05-18,03:05:00,18.010,80.869,,,,,
