"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-17,14:00:00,33.757,65.870,Logged,,,,
2019-05-17,14:05:00,32.691,67.667,,,,,
2019-05-17,14:10:00,31.714,69.701,,,,,
2019-05-17,14:15:00,30.950,71.927,,,,,
2019-05-17,14:20:00,30.621,71.896,,,,,
2019-05-17,14:25:00,30.469,72.109,,,,,
2019-05-17,14:30:00,30.722,71.251,,,,,
2019-05-17,14:35:00,30.976,70.722,,,,,
2019-05-17,14:40:00,31.382,69.885,,,,,
2019-05-17,14:45:00,31.970,68.585,,,,,
2019-05-17,14:50:00,32.047,68.691,,,,,
2019-05-17,14:55:00,31.893,69.458,,,,,
2019-05-17,15:00:00,31.868,68.965,,,,,
2019-05-17,15:05:00,32.021,68.165,,,,,
2019-05-17,15:10:00,31.996,67.393,,,,,
2019-05-17,15:15:00,32.047,67.279,,,,,
2019-05-17,15:20:00,32.433,65.399,,,,,
2019-05-17,15:25:00,32.924,65.171,,,,,
2019-05-17,15:30:00,33.183,64.685,,,,,
2019-05-17,15:35:00,33.417,64.662,,,,,
2019-05-17,15:40:00,33.339,64.586,,,,,
2019-05-17,15:45:00,33.574,64.001,,,,,
2019-05-17,15:50:00,33.704,64.803,,,,,
2019-05-17,15:55:00,33.495,64.768,,,,,
2019-05-17,16:00:00,33.287,65.014,,,,,
2019-05-17,16:05:00,33.183,65.432,,,,,
2019-05-17,16:10:00,33.053,66.154,,,,,
2019-05-17,16:15:00,32.924,66.628,,,,,
2019-05-17,16:20:00,32.691,66.835,,,,,
2019-05-17,16:25:00,32.484,67.632,,,,,
2019-05-17,16:30:00,32.304,68.797,,,,,
2019-05-17,16:35:00,31.970,68.402,,,,,
2019-05-17,16:40:00,31.663,70.605,,,,,
2019-05-17,16:45:00,31.103,71.593,,,,,
2019-05-17,16:50:00,30.596,73.154,,,,,
2019-05-17,16:55:00,30.192,74.453,,,,,
2019-05-17,17:00:00,29.941,74.852,,,,,
2019-05-17,17:05:00,29.765,74.639,,,,,
2019-05-17,17:10:00,29.540,75.694,,,,,
2019-05-17,17:15:00,29.340,76.925,,,,,
2019-05-17,17:20:00,29.140,77.297,,,,,
2019-05-17,17:25:00,28.990,77.532,,,,,
2019-05-17,17:30:00,28.841,78.176,,,,,
2019-05-17,17:35:00,28.791,78.400,,,,,
2019-05-17,17:40:00,28.766,78.395,,,,,
2019-05-17,17:45:00,28.717,78.560,,,,,
2019-05-17,17:50:00,28.692,79.023,,,,,
2019-05-17,17:55:00,28.667,79.192,,,,,
2019-05-17,18:00:00,28.593,79.381,,,,,
2019-05-17,18:05:00,28.444,79.641,,,,,
2019-05-17,18:10:00,28.270,79.954,,,,,
2019-05-17,18:15:00,28.023,80.685,,,,,
2019-05-17,18:20:00,27.776,81.297,,,,,
2019-05-17,18:25:00,27.579,81.830,,,,,
2019-05-17,18:30:00,27.407,82.339,,,,,
2019-05-17,18:35:00,27.210,82.841,,,,,
2019-05-17,18:40:00,27.038,83.375,,,,,
2019-05-17,18:45:00,26.916,83.718,,,,,
2019-05-17,18:50:00,26.769,84.141,,,,,
2019-05-17,18:55:00,26.646,84.483,,,,,
2019-05-17,19:00:00,26.549,84.886,,,,,
2019-05-17,19:05:00,26.451,85.204,,,,,
2019-05-17,19:10:00,26.378,85.582,,,,,
2019-05-17,19:15:00,26.231,85.831,,,,,
2019-05-17,19:20:00,26.109,86.197,,,,,
2019-05-17,19:25:00,25.963,86.445,,,,,
2019-05-17,19:30:00,25.817,86.804,,,,,
2019-05-17,19:35:00,25.647,87.045,,,,,
2019-05-17,19:40:00,25.477,87.453,,,,,
2019-05-17,19:45:00,25.307,87.859,,,,,
2019-05-17,19:50:00,25.137,88.153,,,,,
2019-05-17,19:55:00,24.968,88.447,,,,,
2019-05-17,20:00:00,24.774,88.761,,,,,
2019-05-17,20:05:00,24.605,89.164,,,,,
2019-05-17,20:10:00,24.460,89.488,,,,,
2019-05-17,20:15:00,24.339,89.679,,,,,
2019-05-17,20:20:00,24.195,89.975,,,,,
2019-05-17,20:25:00,24.050,90.215,,,,,
2019-05-17,20:30:00,23.905,90.454,,,,,
2019-05-17,20:35:00,23.761,90.775,,,,,
2019-05-17,20:40:00,23.617,90.985,,,,,
2019-05-17,20:45:00,23.497,91.283,,,,,
2019-05-17,20:50:00,23.400,91.505,,,,,
2019-05-17,20:55:00,23.304,91.835,,,,,
2019-05-17,21:00:00,23.256,92.203,,,,,
2019-05-17,21:05:00,23.208,92.435,,,,,
2019-05-17,21:10:00,23.184,92.591,,,,,
2019-05-17,21:15:00,23.160,92.721,,,,,
2019-05-17,21:20:00,23.136,92.877,,,,,
2019-05-17,21:25:00,23.112,92.979,,,,,
2019-05-17,21:30:00,23.064,93.075,,,,,
2019-05-17,21:35:00,22.992,93.138,,,,,
2019-05-17,21:40:00,22.920,93.282,,,,,
2019-05-17,21:45:00,22.824,93.365,,,,,
2019-05-17,21:50:00,22.729,93.530,,,,,
2019-05-17,21:55:00,22.657,93.754,,,,,
2019-05-17,22:00:00,22.561,93.837,,,,,
2019-05-17,22:05:00,22.465,93.974,,,,,
2019-05-17,22:10:00,22.369,94.190,,,,,
2019-05-17,22:15:00,22.274,94.380,,,,,
2019-05-17,22:20:00,22.202,94.522,,,,,
2019-05-17,22:25:00,22.130,94.745,,,,,
2019-05-17,22:30:00,22.058,94.833,,,,,
2019-05-17,22:35:00,21.987,94.948,,,,,
2019-05-17,22:40:00,21.891,95.083,,,,,
2019-05-17,22:45:00,21.819,95.278,,,,,
2019-05-17,22:50:00,21.748,95.365,,,,,
2019-05-17,22:55:00,21.676,95.533,,,,,
2019-05-17,23:00:00,21.628,95.706,,,,,
2019-05-17,23:05:00,21.557,95.847,,,,,
2019-05-17,23:10:00,21.509,95.940,,,,,
2019-05-17,23:15:00,21.437,96.028,,,,,
2019-05-17,23:20:00,21.366,96.168,,,,,
2019-05-17,23:25:00,21.318,96.314,,,,,
2019-05-17,23:30:00,21.270,96.407,,,,,
2019-05-17,23:35:00,21.199,96.494,,,,,
2019-05-17,23:40:00,21.127,96.580,,,,,
2019-05-17,23:45:00,21.056,96.772,,,,,
2019-05-17,23:50:00,21.008,96.839,,,,,
2019-05-17,23:55:00,20.936,96.952,,,,,
2019-05-18,00:00:00,20.865,97.090,,,,,
2019-05-18,00:05:00,20.770,97.170,,,,,
