"Date","Time, GMT-04:00","Temp, °C","RH, %","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2019-05-17,16:00:00,31.408,66.615,Logged,,,,
2019-05-17,16:05:00,31.001,70.211,,,,,
2019-05-17,16:10:00,30.798,73.553,,,,,
2019-05-17,16:15:00,30.369,74.308,,,,,
2019-05-17,16:20:00,29.865,77.089,,,,,
2019-05-17,16:25:00,29.414,75.877,,,,,
2019-05-17,16:30:00,29.165,76.477,,,,,
2019-05-17,16:35:00,29.065,77.694,,,,,
2019-05-17,16:40:00,29.040,73.993,,,,,
2019-05-17,16:45:00,28.990,79.463,,,,,
2019-05-17,16:50:00,29.040,78.129,,,,,
2019-05-17,16:55:00,29.090,78.227,,,,,
2019-05-17,17:00:00,29.040,76.453,,,,,
2019-05-17,17:05:00,28.891,79.880,,,,,
2019-05-17,17:10:00,28.841,80.335,,,,,
2019-05-17,17:15:00,28.791,80.034,,,,,
2019-05-17,17:20:00,28.816,81.113,,,,,
2019-05-17,17:25:00,29.240,80.069,,,,,
2019-05-17,17:30:00,29.290,79.263,,,,,
2019-05-17,17:35:00,28.990,79.026,,,,,
2019-05-17,17:40:00,28.717,81.121,,,,,
2019-05-17,17:45:00,28.394,81.370,,,,,
2019-05-17,17:50:00,28.147,83.646,,,,,
2019-05-17,17:55:00,27.924,84.539,,,,,
2019-05-17,18:00:00,27.776,84.335,,,,,
2019-05-17,18:05:00,27.677,83.486,,,,,
2019-05-17,18:10:00,27.505,84.702,,,,,
2019-05-17,18:15:00,27.407,85.673,,,,,
2019-05-17,18:20:00,27.284,85.107,,,,,
2019-05-17,18:25:00,27.210,86.927,,,,,
2019-05-17,18:30:00,27.112,87.579,,,,,
2019-05-17,18:35:00,27.014,87.416,,,,,
2019-05-17,18:40:00,26.916,88.010,,,,,
2019-05-17,18:45:00,26.818,88.769,,,,,
2019-05-17,18:50:00,26.720,89.248,,,,,
2019-05-17,18:55:00,26.622,89.697,,,,,
2019-05-17,19:00:00,26.475,89.162,,,,,
2019-05-17,19:05:00,26.304,89.871,,,,,
2019-05-17,19:10:00,26.182,90.341,,,,,
2019-05-17,19:15:00,25.987,89.242,,,,,
2019-05-17,19:20:00,25.793,89.694,,,,,
2019-05-17,19:25:00,25.598,89.593,,,,,
2019-05-17,19:30:00,25.428,90.436,,,,,
2019-05-17,19:35:00,25.210,90.604,,,,,
2019-05-17,19:40:00,25.040,91.496,,,,,
2019-05-17,19:45:00,24.847,91.886,,,,,
2019-05-17,19:50:00,24.653,92.139,,,,,
2019-05-17,19:55:00,24.484,92.696,,,,,
2019-05-17,20:00:00,24.339,92.959,,,,,
2019-05-17,20:05:00,24.122,92.580,,,,,
2019-05-17,20:10:00,23.978,93.059,,,,,
2019-05-17,20:15:00,23.809,93.044,,,,,
2019-05-17,20:20:00,23.641,93.435,,,,,
2019-05-17,20:25:00,23.424,93.327,,,,,
2019-05-17,20:30:00,23.280,93.507,,,,,
2019-05-17,20:35:00,23.088,93.835,,,,,
2019-05-17,20:40:00,22.944,94.041,,,,,
2019-05-17,20:45:00,22.848,94.687,,,,,
2019-05-17,20:50:00,22.657,94.102,,,,,
2019-05-17,20:55:00,22.513,94.307,,,,,
2019-05-17,21:00:00,22.369,94.405,,,,,
2019-05-17,21:05:00,22.226,94.395,,,,,
2019-05-17,21:10:00,22.130,95.091,,,,,
2019-05-17,21:15:00,22.034,95.173,,,,,
2019-05-17,21:20:00,21.987,95.533,,,,,
2019-05-17,21:25:00,21.939,95.707,,,,,
2019-05-17,21:30:00,21.795,95.484,,,,,
2019-05-17,21:35:00,21.700,95.406,,,,,
2019-05-17,21:40:00,21.604,95.674,,,,,
2019-05-17,21:45:00,21.581,96.012,,,,,
2019-05-17,21:50:00,21.557,96.138,,,,,
2019-05-17,21:55:00,21.485,95.934,,,,,
2019-05-17,22:00:00,21.437,96.133,,,,,
2019-05-17,22:05:00,21.413,96.233,,,,,
2019-05-17,22:10:00,21.270,95.825,,,,,
2019-05-17,22:15:00,21.223,96.078,,,,,
2019-05-17,22:20:00,21.199,96.230,,,,,
2019-05-17,22:25:00,21.175,96.382,,,,,
2019-05-17,22:30:00,21.103,96.416,,,,,
2019-05-17,22:35:00,21.032,96.397,,,,,
2019-05-17,22:40:00,20.960,96.405,,,,,
2019-05-17,22:45:00,20.913,96.551,,,,,
2019-05-17,22:50:00,20.841,96.558,,,,,
2019-05-17,22:55:00,20.793,96.704,,,,,
2019-05-17,23:00:00,20.722,96.685,,,,,
2019-05-17,23:05:00,20.579,96.569,,,,,
2019-05-17,23:10:00,20.531,96.740,,,,,
2019-05-17,23:15:00,20.412,96.551,,,,,
2019-05-17,23:20:00,20.317,96.657,,,,,
2019-05-17,23:25:00,20.198,96.416,,,,,
2019-05-17,23:30:00,20.150,96.797,,,,,
2019-05-17,23:35:00,20.055,96.825,,,,,
2019-05-17,23:40:00,20.031,97.080,,,,,
2019-05-17,23:45:00,19.936,97.029,,,,,
2019-05-17,23:50:00,19.817,96.971,,,,,
2019-05-17,23:55:00,19.722,97.155,,,,,
2019-05-18,00:00:00,19.603,97.098,,,,,
2019-05-18,00:05:00,19.508,97.151,,,,,
2019-05-18,00:10:00,19.460,97.295,,,,,
2019-05-18,00:15:00,19.460,97.399,,,,,
2019-05-18,00:20:00,19.413,97.491,,,,,
2019-05-18,00:25:00,19.270,97.505,,,,,
2019-05-18,00:30:00,19.175,97.558,,,,,
2019-05-18,00:35:00,19.127,97.675,,,,,
2019-05-18,00:40:00,19.127,97.779,,,,,
2019-05-18,00:45:00,19.008,97.851,,,,,
2019-05-18,00:50:00,18.889,97.820,,,,,
2019-05-18,00:55:00,18.794,97.950,,,,,
2019-05-18,01:00:00,18.675,97.970,,,,,
2019-05-18,01:05:00,18.580,97.996,,,,,
2019-05-18,01:10:00,18.557,98.041,,,,,
2019-05-18,01:15:00,18.533,98.164,,,,,
2019-05-18,01:20:00,18.533,98.139,,,,,
2019-05-18,01:25:00,18.485,98.229,,,,,
2019-05-18,01:30:00,18.461,98.300,,,,,
2019-05-18,01:35:00,18.366,98.301,,,,,
2019-05-18,01:40:00,18.366,98.456,,,,,
2019-05-18,01:45:00,18.343,98.501,,,,,
2019-05-18,01:50:00,18.295,98.540,,,,,
2019-05-18,01:55:00,18.224,98.572,,,,,
