"Plot Title:  20381842"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381842, SEN S/N: 20381842, LBL: temp_C)","RH, % (LGR S/N: 20381842, SEN S/N: 20381842, LBL: RH_pct)","Coupler Detached (LGR S/N: 20381842)","Coupler Attached (LGR S/N: 20381842)","Host Connected (LGR S/N: 20381842)","Stopped (LGR S/N: 20381842)","End Of File (LGR S/N: 20381842)"
1,06/11/19 03:00:00 PM,31.153,71.481,Logged,,,,
2,06/11/19 03:05:00 PM,31.153,80.877,,,,,
3,06/11/19 03:10:00 PM,30.748,81.783,,,,,
4,06/11/19 03:15:00 PM,30.571,81.397,,,,,
5,06/11/19 03:20:00 PM,30.520,83.098,,,,,
6,06/11/19 03:25:00 PM,30.646,82.836,,,,,
7,06/11/19 03:30:00 PM,31.001,81.924,,,,,
8,06/11/19 03:35:00 PM,31.357,81.271,,,,,
9,06/11/19 03:40:00 PM,31.561,80.670,,,,,
10,06/11/19 03:45:00 PM,31.970,81.575,,,,,
11,06/11/19 03:50:00 PM,32.253,79.136,,,,,
12,06/11/19 03:55:00 PM,32.021,78.735,,,,,
13,06/11/19 04:00:00 PM,31.842,79.965,,,,,
14,06/11/19 04:05:00 PM,31.714,80.321,,,,,
15,06/11/19 04:10:00 PM,31.408,79.288,,,,,
16,06/11/19 04:15:00 PM,31.459,79.534,,,,,
17,06/11/19 04:20:00 PM,31.868,81.437,,,,,
18,06/11/19 04:25:00 PM,32.381,80.606,,,,,
19,06/11/19 04:30:00 PM,32.536,78.810,,,,,
20,06/11/19 04:35:00 PM,32.587,76.382,,,,,
21,06/11/19 04:40:00 PM,32.433,77.840,,,,,
22,06/11/19 04:45:00 PM,32.227,78.392,,,,,
23,06/11/19 04:50:00 PM,31.970,80.256,,,,,
24,06/11/19 04:55:00 PM,31.637,80.334,,,,,
25,06/11/19 05:00:00 PM,31.179,80.151,,,,,
26,06/11/19 05:05:00 PM,30.824,82.061,,,,,
27,06/11/19 05:10:00 PM,30.545,82.988,,,,,
28,06/11/19 05:15:00 PM,30.369,83.873,,,,,
29,06/11/19 05:20:00 PM,30.243,84.508,,,,,
30,06/11/19 05:25:00 PM,30.041,84.061,,,,,
31,06/11/19 05:30:00 PM,29.890,84.430,,,,,
32,06/11/19 05:35:00 PM,29.715,83.932,,,,,
33,06/11/19 05:40:00 PM,29.439,84.073,,,,,
34,06/11/19 05:45:00 PM,28.990,84.975,,,,,
35,06/11/19 05:50:00 PM,28.543,85.303,,,,,
36,06/11/19 05:55:00 PM,28.196,84.571,,,,,
37,06/11/19 06:00:00 PM,27.998,84.983,,,,,
38,06/11/19 06:05:00 PM,27.998,86.231,,,,,
39,06/11/19 06:10:00 PM,27.998,85.863,,,,,
40,06/11/19 06:15:00 PM,27.751,85.694,,,,,
41,06/11/19 06:20:00 PM,27.554,86.018,,,,,
42,06/11/19 06:25:00 PM,27.456,88.387,,,,,
43,06/11/19 06:30:00 PM,27.161,87.309,,,,,
44,06/11/19 06:35:00 PM,26.867,88.166,,,,,
45,06/11/19 06:40:00 PM,26.720,88.774,,,,,
46,06/11/19 06:45:00 PM,26.549,90.539,,,,,
47,06/11/19 06:50:00 PM,26.378,92.206,,,,,
48,06/11/19 06:55:00 PM,26.549,92.522,,,,,
49,06/11/19 07:00:00 PM,27.063,92.594,,,,,
50,06/11/19 07:05:00 PM,27.505,91.267,,,,,
51,06/11/19 07:10:00 PM,27.751,90.799,,,,,
52,06/11/19 07:15:00 PM,27.801,89.559,,,,,
53,06/11/19 07:20:00 PM,27.727,89.094,,,,,
54,06/11/19 07:25:00 PM,27.481,90.707,,,,,
55,06/11/19 07:30:00 PM,27.284,91.269,,,,,
56,06/11/19 07:35:00 PM,27.063,92.923,,,,,
57,06/11/19 07:40:00 PM,26.867,92.765,,,,,
58,06/11/19 07:45:00 PM,26.646,94.133,,,,,
59,06/11/19 07:50:00 PM,26.426,93.669,,,,,
60,06/11/19 07:55:00 PM,26.207,93.805,,,,,
61,06/11/19 08:00:00 PM,26.036,95.417,,,,,
62,06/11/19 08:05:00 PM,25.866,96.318,,,,,
63,06/11/19 08:10:00 PM,25.695,96.489,,,,,
64,06/11/19 08:15:00 PM,25.550,97.122,,,,,
65,06/11/19 08:20:00 PM,25.404,97.379,,,,,
66,06/11/19 08:25:00 PM,25.234,97.682,,,,,
67,06/11/19 08:30:00 PM,25.089,97.777,,,,,
68,06/11/19 08:35:00 PM,24.968,97.798,,,,,
69,06/11/19 08:40:00 PM,24.871,98.092,,,,,
70,06/11/19 08:45:00 PM,24.798,98.286,,,,,
71,06/11/19 08:50:00 PM,24.750,98.300,,,,,
72,06/11/19 08:55:00 PM,24.677,98.572,,,,,
73,06/11/19 09:00:00 PM,24.629,98.824,,,,,
74,06/11/19 09:05:00 PM,24.532,98.931,,,,,
75,06/11/19 09:10:00 PM,24.436,99.037,,,,,
76,06/11/19 09:15:00 PM,24.388,99.236,,,,,
77,06/11/19 09:20:00 PM,24.339,99.328,,,,,
78,06/11/19 09:25:00 PM,24.339,99.539,,,,,
79,06/11/19 09:30:00 PM,24.339,99.513,,,,,
80,06/11/19 09:35:00 PM,24.267,99.731,,,,,
81,06/11/19 09:40:00 PM,24.291,99.685,,,,,
82,06/11/19 09:45:00 PM,24.267,99.836,,,,,
83,06/11/19 09:50:00 PM,24.243,99.777,,,,,
84,06/11/19 09:55:00 PM,24.195,99.869,,,,,
85,06/11/19 10:00:00 PM,24.219,100.000,,,,,
86,06/11/19 10:05:00 PM,24.291,100.000,,,,,
87,06/11/19 10:10:00 PM,24.315,100.000,,,,,
88,06/11/19 10:15:00 PM,24.339,100.000,,,,,
89,06/11/19 10:20:00 PM,24.315,100.000,,,,,
90,06/11/19 10:25:00 PM,24.315,100.000,,,,,
91,06/11/19 10:30:00 PM,24.267,100.000,,,,,
92,06/11/19 10:35:00 PM,24.146,100.000,,,,,
93,06/11/19 10:40:00 PM,24.002,100.000,,,,,
94,06/11/19 10:45:00 PM,23.905,100.000,,,,,
95,06/11/19 10:50:00 PM,23.930,100.000,,,,,
96,06/11/19 10:55:00 PM,23.930,100.000,,,,,
97,06/11/19 11:00:00 PM,23.930,100.000,,,,,
98,06/11/19 11:05:00 PM,23.905,100.000,,,,,
99,06/11/19 11:10:00 PM,23.954,100.000,,,,,
100,06/11/19 11:15:00 PM,23.978,100.000,,,,,
101,06/11/19 11:20:00 PM,23.930,100.000,,,,,
102,06/11/19 11:25:00 PM,23.954,100.000,,,,,
103,06/11/19 11:30:00 PM,23.954,100.000,,,,,
104,06/11/19 11:35:00 PM,23.930,100.000,,,,,
105,06/11/19 11:40:00 PM,23.881,100.000,,,,,
106,06/11/19 11:45:00 PM,23.857,100.000,,,,,
107,06/11/19 11:50:00 PM,23.857,100.000,,,,,
108,06/11/19 11:55:00 PM,23.785,100.000,,,,,
109,06/12/19 12:00:00 AM,23.713,100.000,,,,,
110,06/12/19 12:05:00 AM,23.713,100.000,,,,,
111,06/12/19 12:10:00 AM,23.713,100.000,,,,,
112,06/12/19 12:15:00 AM,23.689,100.000,,,,,
113,06/12/19 12:20:00 AM,23.665,100.000,,,,,
114,06/12/19 12:25:00 AM,23.617,100.000,,,,,
115,06/12/19 12:30:00 AM,23.593,100.000,,,,,
116,06/12/19 12:35:00 AM,23.521,100.000,,,,,
117,06/12/19 12:40:00 AM,23.448,100.000,,,,,
118,06/12/19 12:45:00 AM,23.328,100.000,,,,,
119,06/12/19 12:50:00 AM,23.208,100.000,,,,,
120,06/12/19 12:55:00 AM,23.208,100.000,,,,,
121,06/12/19 01:00:00 AM,23.208,100.000,,,,,
122,06/12/19 01:05:00 AM,23.184,100.000,,,,,
123,06/12/19 01:10:00 AM,23.160,100.000,,,,,
124,06/12/19 01:15:00 AM,23.088,100.000,,,,,
125,06/12/19 01:20:00 AM,23.088,100.000,,,,,
126,06/12/19 01:25:00 AM,23.016,100.000,,,,,
127,06/12/19 01:30:00 AM,22.944,100.000,,,,,
128,06/12/19 01:35:00 AM,22.992,100.000,,,,,
129,06/12/19 01:40:00 AM,23.016,100.000,,,,,
130,06/12/19 01:45:00 AM,23.016,100.000,,,,,
131,06/12/19 01:50:00 AM,22.944,100.000,,,,,
132,06/12/19 01:55:00 AM,22.992,100.000,,,,,
133,06/12/19 02:00:00 AM,23.016,100.000,,,,,
134,06/12/19 02:05:00 AM,22.968,100.000,,,,,
135,06/12/19 02:10:00 AM,22.920,100.000,,,,,
136,06/12/19 02:15:00 AM,22.896,100.000,,,,,
137,06/12/19 02:20:00 AM,22.896,100.000,,,,,
138,06/12/19 02:25:00 AM,22.872,100.000,,,,,
139,06/12/19 02:30:00 AM,22.992,100.000,,,,,
140,06/12/19 02:35:00 AM,22.896,100.000,,,,,
141,06/12/19 02:40:00 AM,22.896,100.000,,,,,
142,06/12/19 02:45:00 AM,22.896,100.000,,,,,
143,06/12/19 02:50:00 AM,22.848,100.000,,,,,
144,06/12/19 02:55:00 AM,22.848,100.000,,,,,
145,06/12/19 03:00:00 AM,22.776,100.000,,,,,
146,06/12/19 03:05:00 AM,22.705,100.000,,,,,
147,06/12/19 03:10:00 AM,22.753,100.000,,,,,
148,06/12/19 03:15:00 AM,22.800,100.000,,,,,
149,06/12/19 03:20:00 AM,22.896,100.000,,,,,
150,06/12/19 03:25:00 AM,22.944,100.000,,,,,
151,06/12/19 03:30:00 AM,22.992,100.000,,,,,
152,06/12/19 03:35:00 AM,23.064,100.000,,,,,
153,06/12/19 03:40:00 AM,23.088,100.000,,,,,
154,06/12/19 03:45:00 AM,23.088,100.000,,,,,
155,06/12/19 03:50:00 AM,23.016,100.000,,,,,
156,06/12/19 03:55:00 AM,22.968,100.000,,,,,
157,06/12/19 04:00:00 AM,22.944,100.000,,,,,
158,06/12/19 04:05:00 AM,22.944,100.000,,,,,
159,06/12/19 04:10:00 AM,22.944,100.000,,,,,
160,06/12/19 04:15:00 AM,22.944,100.000,,,,,
161,06/12/19 04:20:00 AM,22.896,100.000,,,,,
162,06/12/19 04:25:00 AM,22.896,100.000,,,,,
163,06/12/19 04:30:00 AM,22.872,100.000,,,,,
164,06/12/19 04:35:00 AM,22.872,100.000,,,,,
165,06/12/19 04:40:00 AM,22.824,100.000,,,,,
166,06/12/19 04:45:00 AM,22.824,100.000,,,,,
167,06/12/19 04:50:00 AM,22.848,100.000,,,,,
168,06/12/19 04:55:00 AM,22.872,100.000,,,,,
169,06/12/19 05:00:00 AM,22.753,100.000,,,,,
170,06/12/19 05:05:00 AM,22.705,100.000,,,,,
171,06/12/19 05:10:00 AM,22.753,100.000,,,,,
172,06/12/19 05:15:00 AM,22.776,100.000,,,,,
173,06/12/19 05:20:00 AM,22.633,100.000,,,,,
174,06/12/19 05:25:00 AM,22.609,100.000,,,,,
175,06/12/19 05:30:00 AM,22.633,100.000,,,,,
176,06/12/19 05:35:00 AM,22.705,100.000,,,,,
177,06/12/19 05:40:00 AM,22.848,100.000,,,,,
178,06/12/19 05:45:00 AM,22.944,100.000,,,,,
179,06/12/19 05:50:00 AM,22.944,100.000,,,,,
180,06/12/19 05:55:00 AM,22.896,100.000,,,,,
181,06/12/19 06:00:00 AM,22.872,100.000,,,,,
182,06/12/19 06:05:00 AM,22.776,100.000,,,,,
183,06/12/19 06:10:00 AM,22.681,100.000,,,,,
184,06/12/19 06:15:00 AM,22.776,100.000,,,,,
185,06/12/19 06:20:00 AM,22.944,100.000,,,,,
186,06/12/19 06:25:00 AM,22.992,100.000,,,,,
187,06/12/19 06:30:00 AM,23.064,100.000,,,,,
188,06/12/19 06:35:00 AM,23.040,100.000,,,,,
189,06/12/19 06:40:00 AM,22.944,100.000,,,,,
190,06/12/19 06:45:00 AM,22.896,100.000,,,,,
191,06/12/19 06:50:00 AM,22.848,100.000,,,,,
192,06/12/19 06:55:00 AM,22.872,100.000,,,,,
193,06/12/19 07:00:00 AM,22.968,100.000,,,,,
194,06/12/19 07:05:00 AM,23.040,100.000,,,,,
195,06/12/19 07:10:00 AM,23.112,100.000,,,,,
196,06/12/19 07:15:00 AM,23.184,100.000,,,,,
197,06/12/19 07:20:00 AM,23.232,100.000,,,,,
198,06/12/19 07:25:00 AM,23.304,100.000,,,,,
199,06/12/19 07:30:00 AM,23.400,100.000,,,,,
200,06/12/19 07:35:00 AM,23.497,100.000,,,,,
201,06/12/19 07:40:00 AM,23.617,100.000,,,,,
202,06/12/19 07:45:00 AM,23.713,100.000,,,,,
203,06/12/19 07:50:00 AM,23.833,100.000,,,,,
204,06/12/19 07:55:00 AM,23.954,100.000,,,,,
205,06/12/19 08:00:00 AM,24.002,100.000,,,,,
206,06/12/19 08:05:00 AM,24.098,100.000,,,,,
207,06/12/19 08:10:00 AM,24.219,100.000,,,,,
208,06/12/19 08:15:00 AM,24.388,100.000,,,,,
209,06/12/19 08:20:00 AM,24.557,100.000,,,,,
210,06/12/19 08:25:00 AM,24.726,100.000,,,,,
211,06/12/19 08:30:00 AM,25.210,100.000,,,,,
212,06/12/19 08:35:00 AM,25.453,100.000,,,,,
213,06/12/19 08:40:00 AM,25.574,100.000,,,,,
214,06/12/19 08:45:00 AM,25.623,100.000,,,,,
215,06/12/19 08:50:00 AM,25.744,100.000,,,,,
216,06/12/19 08:55:00 AM,25.914,100.000,,,,,
217,06/12/19 09:00:00 AM,26.012,100.000,,,,,
218,06/12/19 09:05:00 AM,26.158,100.000,,,,,
219,06/12/19 09:10:00 AM,26.329,100.000,,,,,
220,06/12/19 09:15:00 AM,26.524,99.381,,,,,
221,06/12/19 09:20:00 AM,26.671,99.207,,,,,
222,06/12/19 09:25:00 AM,26.940,99.011,,,,,
223,06/12/19 09:30:00 AM,27.210,98.172,,,,,
224,06/12/19 09:35:00 AM,27.505,98.088,,,,,
225,06/12/19 09:40:00 AM,27.899,97.003,,,,,
226,06/12/19 09:45:00 AM,28.444,96.628,,,,,
227,06/12/19 09:50:00 AM,28.891,95.515,,,,,
228,06/12/19 09:55:00 AM,29.490,93.825,,,,,
229,06/12/19 10:00:00 AM,30.142,92.070,,,,,
230,06/12/19 10:05:00 AM,30.016,93.041,,,,,
231,06/12/19 10:10:00 AM,29.991,91.140,,,,,
232,06/12/19 10:15:00 AM,29.740,91.220,,,,,
233,06/12/19 10:20:00 AM,30.091,90.632,,,,,
234,06/12/19 10:25:00 AM,30.697,89.114,,,,,
235,06/12/19 10:30:00 AM,31.103,88.216,,,,,
236,06/12/19 10:35:00 AM,31.408,87.089,,,,,
237,06/12/19 10:40:00 AM,31.382,84.557,,,,,
238,06/12/19 10:45:00 AM,31.179,84.800,,,,,
239,06/12/19 10:50:00 AM,31.179,85.002,,,,,
240,06/12/19 10:55:00 AM,31.663,82.851,,,,,
241,06/12/19 11:00:00 AM,32.330,81.827,,,,,
242,06/12/19 11:05:00 AM,32.407,80.759,,,,,
243,06/12/19 11:10:00 AM,32.587,78.731,,,,,
244,06/12/19 11:15:00 AM,32.820,80.403,,,,,
245,06/12/19 11:20:00 AM,33.678,78.120,,,,,
246,06/12/19 11:25:00 AM,34.519,74.441,,,,,
247,06/12/19 11:30:00 AM,35.636,70.743,,,,,
248,06/12/19 11:35:00 AM,36.715,68.428,,,,,
249,06/12/19 11:40:00 AM,37.288,66.308,,,,,
250,06/12/19 11:45:00 AM,37.618,63.556,,,,,
251,06/12/19 11:50:00 AM,37.755,62.657,,,,,
252,06/12/19 11:55:00 AM,37.949,61.477,,,,,
253,06/12/19 12:00:00 PM,38.393,62.025,,,,,
254,06/12/19 12:05:00 PM,37.618,60.723,,,,,
255,06/12/19 12:10:00 PM,36.661,63.497,,,,,
256,06/12/19 12:15:00 PM,32.098,68.639,,,,,
257,06/12/19 12:20:00 PM,26.426,84.859,,,,,
258,06/12/19 12:25:00 PM,24.605,92.672,,,,,
259,06/12/19 12:30:00 PM,24.460,95.259,,,,,
260,06/12/19 12:35:00 PM,24.774,96.546,,,,,
261,06/12/19 12:40:00 PM,25.283,97.401,,,,,
262,06/12/19 12:45:00 PM,25.550,97.684,,,,,
263,06/12/19 12:50:00 PM,25.841,98.081,,,,,
264,06/12/19 12:55:00 PM,26.231,98.877,,,,,
