"Plot Title:  20381838"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381838, SEN S/N: 20381838, LBL: temp_C)","RH, % (LGR S/N: 20381838, SEN S/N: 20381838, LBL: RH_pct)","Coupler Detached (LGR S/N: 20381838)","Coupler Attached (LGR S/N: 20381838)","Host Connected (LGR S/N: 20381838)","Stopped (LGR S/N: 20381838)","End Of File (LGR S/N: 20381838)"
1,06/07/19 10:00:00 AM,27.210,94.246,Logged,,,,
2,06/07/19 10:05:00 AM,26.818,95.914,,,,,
3,06/07/19 10:10:00 AM,26.109,95.436,,,,,
4,06/07/19 10:15:00 AM,25.355,95.676,,,,,
5,06/07/19 10:20:00 AM,24.871,96.384,,,,,
6,06/07/19 10:25:00 AM,24.677,97.056,,,,,
7,06/07/19 10:30:00 AM,24.677,97.562,,,,,
8,06/07/19 10:35:00 AM,24.726,97.815,,,,,
9,06/07/19 10:40:00 AM,24.871,98.092,,,,,
10,06/07/19 10:45:00 AM,25.040,98.190,,,,,
11,06/07/19 10:50:00 AM,25.113,98.262,,,,,
12,06/07/19 10:55:00 AM,25.307,98.473,,,,,
13,06/07/19 11:00:00 AM,25.453,98.512,,,,,
14,06/07/19 11:05:00 AM,25.671,98.622,,,,,
15,06/07/19 11:10:00 AM,25.866,98.701,,,,,
16,06/07/19 11:15:00 AM,25.939,98.480,,,,,
17,06/07/19 11:20:00 AM,25.793,98.548,,,,,
18,06/07/19 11:25:00 AM,25.695,98.549,,,,,
19,06/07/19 11:30:00 AM,25.695,98.629,,,,,
20,06/07/19 11:35:00 AM,25.866,98.887,,,,,
21,06/07/19 11:40:00 AM,25.720,98.476,,,,,
22,06/07/19 11:45:00 AM,25.768,98.808,,,,,
23,06/07/19 11:50:00 AM,25.550,98.590,,,,,
24,06/07/19 11:55:00 AM,25.331,98.639,,,,,
25,06/07/19 12:00:00 PM,25.210,98.660,,,,,
26,06/07/19 12:05:00 PM,24.992,98.655,,,,,
27,06/07/19 12:10:00 PM,24.919,98.928,,,,,
28,06/07/19 12:15:00 PM,24.895,99.054,,,,,
29,06/07/19 12:20:00 PM,24.774,99.022,,,,,
30,06/07/19 12:25:00 PM,24.532,98.799,,,,,
31,06/07/19 12:30:00 PM,23.978,98.546,,,,,
32,06/07/19 12:35:00 PM,23.400,98.445,,,,,
33,06/07/19 12:40:00 PM,22.944,98.745,,,,,
34,06/07/19 12:45:00 PM,22.609,98.866,,,,,
35,06/07/19 12:50:00 PM,22.321,99.103,,,,,
36,06/07/19 12:55:00 PM,22.202,99.359,,,,,
37,06/07/19 01:00:00 PM,22.178,99.588,,,,,
38,06/07/19 01:05:00 PM,22.393,99.750,,,,,
39,06/07/19 01:10:00 PM,22.537,99.841,,,,,
40,06/07/19 01:15:00 PM,22.800,99.965,,,,,
41,06/07/19 01:20:00 PM,23.160,100.000,,,,,
42,06/07/19 01:25:00 PM,23.545,100.000,,,,,
43,06/07/19 01:30:00 PM,23.833,100.000,,,,,
44,06/07/19 01:35:00 PM,24.074,100.000,,,,,
45,06/07/19 01:40:00 PM,24.195,99.974,,,,,
46,06/07/19 01:45:00 PM,24.291,99.974,,,,,
47,06/07/19 01:50:00 PM,24.436,99.934,,,,,
48,06/07/19 01:55:00 PM,24.412,99.822,,,,,
49,06/07/19 02:00:00 PM,24.484,99.789,,,,,
50,06/07/19 02:05:00 PM,24.653,99.782,,,,,
51,06/07/19 02:10:00 PM,24.968,99.919,,,,,
52,06/07/19 02:15:00 PM,25.283,99.845,,,,,
53,06/07/19 02:20:00 PM,25.574,99.659,,,,,
54,06/07/19 02:25:00 PM,25.817,99.644,,,,,
55,06/07/19 02:30:00 PM,26.109,99.164,,,,,
56,06/07/19 02:35:00 PM,26.353,98.643,,,,,
57,06/07/19 02:40:00 PM,26.524,98.768,,,,,
58,06/07/19 02:45:00 PM,26.573,98.701,,,,,
59,06/07/19 02:50:00 PM,26.573,98.701,,,,,
60,06/07/19 02:55:00 PM,26.524,98.501,,,,,
61,06/07/19 03:00:00 PM,26.500,98.681,,,,,
62,06/07/19 03:05:00 PM,26.598,98.547,,,,,
63,06/07/19 03:10:00 PM,26.695,98.653,,,,,
64,06/07/19 03:15:00 PM,26.842,98.451,,,,,
65,06/07/19 03:20:00 PM,26.965,97.947,,,,,
66,06/07/19 03:25:00 PM,27.579,98.376,,,,,
67,06/07/19 03:30:00 PM,28.023,97.143,,,,,
68,06/07/19 03:35:00 PM,28.270,97.153,,,,,
69,06/07/19 03:40:00 PM,28.419,96.622,,,,,
70,06/07/19 03:45:00 PM,28.518,96.402,,,,,
71,06/07/19 03:50:00 PM,28.642,95.889,,,,,
72,06/07/19 03:55:00 PM,28.717,94.650,,,,,
73,06/07/19 04:00:00 PM,28.717,94.815,,,,,
74,06/07/19 04:05:00 PM,28.642,94.741,,,,,
75,06/07/19 04:10:00 PM,28.593,94.975,,,,,
76,06/07/19 04:15:00 PM,28.568,94.284,,,,,
77,06/07/19 04:20:00 PM,28.444,94.006,,,,,
78,06/07/19 04:25:00 PM,28.221,93.813,,,,,
79,06/07/19 04:30:00 PM,27.974,93.257,,,,,
80,06/07/19 04:35:00 PM,27.924,94.589,,,,,
81,06/07/19 04:40:00 PM,27.998,93.703,,,,,
82,06/07/19 04:45:00 PM,28.097,92.930,,,,,
83,06/07/19 04:50:00 PM,28.196,91.988,,,,,
84,06/07/19 04:55:00 PM,28.369,92.279,,,,,
85,06/07/19 05:00:00 PM,28.444,90.436,,,,,
86,06/07/19 05:05:00 PM,28.245,88.908,,,,,
87,06/07/19 05:10:00 PM,27.998,88.598,,,,,
88,06/07/19 05:15:00 PM,27.801,89.838,,,,,
89,06/07/19 05:20:00 PM,27.604,91.429,,,,,
90,06/07/19 05:25:00 PM,27.505,91.627,,,,,
91,06/07/19 05:30:00 PM,27.456,92.965,,,,,
92,06/07/19 05:35:00 PM,27.407,92.650,,,,,
93,06/07/19 05:40:00 PM,27.358,92.748,,,,,
94,06/07/19 05:45:00 PM,27.308,93.011,,,,,
95,06/07/19 05:50:00 PM,27.259,93.246,,,,,
