"Plot Title:  20381823"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381823, SEN S/N: 20381823, LBL: temp_C)","RH, % (LGR S/N: 20381823, SEN S/N: 20381823, LBL: RH_pct)","Coupler Detached (LGR S/N: 20381823)","Coupler Attached (LGR S/N: 20381823)","Host Connected (LGR S/N: 20381823)","Stopped (LGR S/N: 20381823)","End Of File (LGR S/N: 20381823)"
1,06/11/19 02:00:00 PM,25.939,92.646,Logged,,,,
2,06/11/19 02:05:00 PM,25.720,93.520,,,,,
3,06/11/19 02:10:00 PM,25.695,94.275,,,,,
4,06/11/19 02:15:00 PM,25.841,95.070,,,,,
5,06/11/19 02:20:00 PM,26.085,95.889,,,,,
6,06/11/19 02:25:00 PM,26.426,96.408,,,,,
7,06/11/19 02:30:00 PM,26.622,96.566,,,,,
8,06/11/19 02:35:00 PM,26.622,96.566,,,,,
9,06/11/19 02:40:00 PM,26.573,96.635,,,,,
10,06/11/19 02:45:00 PM,26.524,96.784,,,,,
11,06/11/19 02:50:00 PM,26.475,96.906,,,,,
12,06/11/19 02:55:00 PM,26.426,97.108,,,,,
13,06/11/19 03:00:00 PM,26.426,97.243,,,,,
14,06/11/19 03:05:00 PM,26.378,97.418,,,,,
15,06/11/19 03:10:00 PM,26.378,97.606,,,,,
16,06/11/19 03:15:00 PM,26.475,97.846,,,,,
17,06/11/19 03:20:00 PM,26.524,97.939,,,,,
18,06/11/19 03:25:00 PM,26.549,97.999,,,,,
19,06/11/19 03:30:00 PM,26.573,98.032,,,,,
20,06/11/19 03:35:00 PM,26.573,98.139,,,,,
21,06/11/19 03:40:00 PM,26.646,98.346,,,,,
22,06/11/19 03:45:00 PM,26.622,98.098,,,,,
23,06/11/19 03:50:00 PM,26.475,98.006,,,,,
24,06/11/19 03:55:00 PM,26.280,98.142,,,,,
25,06/11/19 04:00:00 PM,26.182,98.384,,,,,
26,06/11/19 04:05:00 PM,26.182,98.491,,,,,
27,06/11/19 04:10:00 PM,26.182,98.864,,,,,
28,06/11/19 04:15:00 PM,26.158,98.911,,,,,
29,06/11/19 04:20:00 PM,26.134,98.905,,,,,
30,06/11/19 04:25:00 PM,26.109,98.951,,,,,
31,06/11/19 04:30:00 PM,26.109,99.005,,,,,
32,06/11/19 04:35:00 PM,26.158,99.097,,,,,
33,06/11/19 04:40:00 PM,26.036,98.772,,,,,
34,06/11/19 04:45:00 PM,25.841,98.534,,,,,
35,06/11/19 04:50:00 PM,25.623,98.556,,,,,
36,06/11/19 04:55:00 PM,25.477,98.571,,,,,
37,06/11/19 05:00:00 PM,25.331,98.666,,,,,
38,06/11/19 05:05:00 PM,25.234,98.932,,,,,
39,06/11/19 05:10:00 PM,25.113,98.847,,,,,
40,06/11/19 05:15:00 PM,25.016,98.980,,,,,
41,06/11/19 05:20:00 PM,24.944,99.040,,,,,
42,06/11/19 05:25:00 PM,24.871,99.047,,,,,
43,06/11/19 05:30:00 PM,24.774,99.048,,,,,
44,06/11/19 05:35:00 PM,24.702,99.108,,,,,
45,06/11/19 05:40:00 PM,24.653,99.201,,,,,
46,06/11/19 05:45:00 PM,24.581,99.235,,,,,
47,06/11/19 05:50:00 PM,24.557,99.439,,,,,
48,06/11/19 05:55:00 PM,24.605,99.611,,,,,
49,06/11/19 06:00:00 PM,24.629,99.617,,,,,
50,06/11/19 06:05:00 PM,24.629,99.617,,,,,
51,06/11/19 06:10:00 PM,24.629,99.670,,,,,
52,06/11/19 06:15:00 PM,24.605,99.769,,,,,
53,06/11/19 06:20:00 PM,24.629,99.828,,,,,
54,06/11/19 06:25:00 PM,24.653,99.887,,,,,
55,06/11/19 06:30:00 PM,24.677,99.973,,,,,
56,06/11/19 06:35:00 PM,24.677,99.973,,,,,
57,06/11/19 06:40:00 PM,24.702,100.000,,,,,
58,06/11/19 06:45:00 PM,24.726,100.000,,,,,
59,06/11/19 06:50:00 PM,24.774,100.000,,,,,
60,06/11/19 06:55:00 PM,24.871,100.000,,,,,
61,06/11/19 07:00:00 PM,24.968,100.000,,,,,
62,06/11/19 07:05:00 PM,25.089,100.000,,,,,
63,06/11/19 07:10:00 PM,25.137,100.000,,,,,
64,06/11/19 07:15:00 PM,25.113,100.000,,,,,
65,06/11/19 07:20:00 PM,25.016,100.000,,,,,
66,06/11/19 07:25:00 PM,24.944,100.000,,,,,
67,06/11/19 07:30:00 PM,24.944,100.000,,,,,
68,06/11/19 07:35:00 PM,24.992,100.000,,,,,
69,06/11/19 07:40:00 PM,25.040,100.000,,,,,
70,06/11/19 07:45:00 PM,25.089,100.000,,,,,
71,06/11/19 07:50:00 PM,25.089,100.000,,,,,
72,06/11/19 07:55:00 PM,25.113,100.000,,,,,
73,06/11/19 08:00:00 PM,25.162,100.000,,,,,
74,06/11/19 08:05:00 PM,25.137,100.000,,,,,
75,06/11/19 08:10:00 PM,25.113,100.000,,,,,
76,06/11/19 08:15:00 PM,25.065,100.000,,,,,
77,06/11/19 08:20:00 PM,25.016,100.000,,,,,
78,06/11/19 08:25:00 PM,25.016,100.000,,,,,
79,06/11/19 08:30:00 PM,24.992,100.000,,,,,
80,06/11/19 08:35:00 PM,24.968,100.000,,,,,
81,06/11/19 08:40:00 PM,24.919,100.000,,,,,
82,06/11/19 08:45:00 PM,24.895,100.000,,,,,
83,06/11/19 08:50:00 PM,24.895,100.000,,,,,
84,06/11/19 08:55:00 PM,24.871,100.000,,,,,
85,06/11/19 09:00:00 PM,24.847,100.000,,,,,
86,06/11/19 09:05:00 PM,24.871,100.000,,,,,
87,06/11/19 09:10:00 PM,24.823,100.000,,,,,
88,06/11/19 09:15:00 PM,24.823,100.000,,,,,
89,06/11/19 09:20:00 PM,24.726,100.000,,,,,
90,06/11/19 09:25:00 PM,24.629,100.000,,,,,
91,06/11/19 09:30:00 PM,24.532,100.000,,,,,
92,06/11/19 09:35:00 PM,24.436,100.000,,,,,
93,06/11/19 09:40:00 PM,24.339,100.000,,,,,
94,06/11/19 09:45:00 PM,24.291,100.000,,,,,
95,06/11/19 09:50:00 PM,24.243,100.000,,,,,
96,06/11/19 09:55:00 PM,24.219,100.000,,,,,
97,06/11/19 10:00:00 PM,24.219,100.000,,,,,
98,06/11/19 10:05:00 PM,24.219,100.000,,,,,
99,06/11/19 10:10:00 PM,24.195,100.000,,,,,
100,06/11/19 10:15:00 PM,24.195,100.000,,,,,
101,06/11/19 10:20:00 PM,24.195,100.000,,,,,
102,06/11/19 10:25:00 PM,24.171,100.000,,,,,
103,06/11/19 10:30:00 PM,24.171,100.000,,,,,
104,06/11/19 10:35:00 PM,24.171,100.000,,,,,
105,06/11/19 10:40:00 PM,24.195,100.000,,,,,
106,06/11/19 10:45:00 PM,24.219,100.000,,,,,
107,06/11/19 10:50:00 PM,24.243,100.000,,,,,
108,06/11/19 10:55:00 PM,24.243,100.000,,,,,
109,06/11/19 11:00:00 PM,24.219,100.000,,,,,
110,06/11/19 11:05:00 PM,24.122,100.000,,,,,
111,06/11/19 11:10:00 PM,24.002,100.000,,,,,
112,06/11/19 11:15:00 PM,23.881,100.000,,,,,
113,06/11/19 11:20:00 PM,23.809,100.000,,,,,
114,06/11/19 11:25:00 PM,23.761,100.000,,,,,
115,06/11/19 11:30:00 PM,23.737,100.000,,,,,
116,06/11/19 11:35:00 PM,23.713,100.000,,,,,
117,06/11/19 11:40:00 PM,23.689,100.000,,,,,
118,06/11/19 11:45:00 PM,23.665,100.000,,,,,
119,06/11/19 11:50:00 PM,23.641,100.000,,,,,
