"Plot Title: 20381837"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381837, SEN S/N: 20381837)","RH, % (LGR S/N: 20381837, SEN S/N: 20381837)","Coupler Detached (LGR S/N: 20381837)","Coupler Attached (LGR S/N: 20381837)","Host Connected (LGR S/N: 20381837)","Stopped (LGR S/N: 20381837)","End Of File (LGR S/N: 20381837)"
1,05/23/19 10:00:00 AM,24.871,88.646,Logged,,,,
2,05/23/19 10:05:00 AM,25.089,88.835,,,,,
3,05/23/19 10:10:00 AM,25.404,89.048,,,,,
4,05/23/19 10:15:00 AM,25.695,88.673,,,,,
5,05/23/19 10:20:00 AM,26.061,87.979,,,,,
6,05/23/19 10:25:00 AM,26.426,87.280,,,,,
7,05/23/19 10:30:00 AM,26.744,86.764,,,,,
8,05/23/19 10:35:00 AM,27.038,86.183,,,,,
9,05/23/19 10:40:00 AM,27.505,85.950,,,,,
10,05/23/19 10:45:00 AM,27.850,85.234,,,,,
11,05/23/19 10:50:00 AM,28.072,84.401,,,,,
12,05/23/19 10:55:00 AM,28.196,83.943,,,,,
13,05/23/19 11:00:00 AM,28.394,83.757,,,,,
14,05/23/19 11:05:00 AM,28.692,82.847,,,,,
15,05/23/19 11:10:00 AM,28.990,82.191,,,,,
16,05/23/19 11:15:00 AM,29.115,82.246,,,,,
17,05/23/19 11:20:00 AM,29.015,82.138,,,,,
18,05/23/19 11:25:00 AM,28.841,82.159,,,,,
19,05/23/19 11:30:00 AM,28.791,81.888,,,,,
20,05/23/19 11:35:00 AM,28.841,81.610,,,,,
21,05/23/19 11:40:00 AM,28.941,80.530,,,,,
22,05/23/19 11:45:00 AM,29.140,80.019,,,,,
23,05/23/19 11:50:00 AM,29.315,79.939,,,,,
24,05/23/19 11:55:00 AM,29.464,79.328,,,,,
25,05/23/19 12:00:00 PM,29.740,77.830,,,,,
26,05/23/19 12:05:00 PM,30.041,77.154,,,,,
27,05/23/19 12:10:00 PM,30.142,78.088,,,,,
28,05/23/19 12:15:00 PM,30.142,78.088,,,,,
29,05/23/19 12:20:00 PM,30.091,78.783,,,,,
30,05/23/19 12:25:00 PM,30.066,78.807,,,,,
31,05/23/19 12:30:00 PM,30.167,77.769,,,,,
32,05/23/19 12:35:00 PM,30.268,77.258,,,,,
33,05/23/19 12:40:00 PM,30.444,77.294,,,,,
34,05/23/19 12:45:00 PM,30.621,74.685,,,,,
35,05/23/19 12:50:00 PM,30.976,74.425,,,,,
36,05/23/19 12:55:00 PM,31.281,73.584,,,,,
37,05/23/19 01:00:00 PM,31.459,74.937,,,,,
38,05/23/19 01:05:00 PM,31.612,74.098,,,,,
39,05/23/19 01:10:00 PM,31.612,75.236,,,,,
40,05/23/19 01:15:00 PM,31.408,75.286,,,,,
41,05/23/19 01:20:00 PM,31.153,76.100,,,,,
42,05/23/19 01:25:00 PM,30.773,76.886,,,,,
43,05/23/19 01:30:00 PM,30.444,77.205,,,,,
44,05/23/19 01:35:00 PM,30.318,76.529,,,,,
45,05/23/19 01:40:00 PM,30.343,75.495,,,,,
46,05/23/19 01:45:00 PM,30.495,76.000,,,,,
47,05/23/19 01:50:00 PM,30.520,76.035,,,,,
48,05/23/19 01:55:00 PM,30.545,75.713,,,,,
49,05/23/19 02:00:00 PM,30.495,75.614,,,,,
50,05/23/19 02:05:00 PM,30.495,75.733,,,,,
51,05/23/19 02:10:00 PM,30.520,76.065,,,,,
52,05/23/19 02:15:00 PM,30.520,74.636,,,,,
53,05/23/19 02:20:00 PM,30.646,71.961,,,,,
54,05/23/19 02:25:00 PM,30.748,73.543,,,,,
55,05/23/19 02:30:00 PM,30.824,73.377,,,,,
56,05/23/19 02:35:00 PM,30.849,74.759,,,,,
57,05/23/19 02:40:00 PM,30.824,75.083,,,,,
58,05/23/19 02:45:00 PM,30.798,75.614,,,,,
59,05/23/19 02:50:00 PM,30.697,75.802,,,,,
60,05/23/19 02:55:00 PM,30.596,75.574,,,,,
61,05/23/19 03:00:00 PM,30.571,75.599,,,,,
62,05/23/19 03:05:00 PM,30.545,75.773,,,,,
63,05/23/19 03:10:00 PM,30.495,75.614,,,,,
64,05/23/19 03:15:00 PM,30.419,75.540,,,,,
65,05/23/19 03:20:00 PM,30.394,75.475,,,,,
66,05/23/19 03:25:00 PM,30.394,75.356,,,,,
67,05/23/19 03:30:00 PM,30.444,72.886,,,,,
68,05/23/19 03:35:00 PM,30.646,70.692,,,,,
69,05/23/19 03:40:00 PM,30.900,71.041,,,,,
70,05/23/19 03:45:00 PM,31.052,72.398,,,,,
71,05/23/19 03:50:00 PM,31.153,71.814,,,,,
72,05/23/19 03:55:00 PM,31.255,71.500,,,,,
73,05/23/19 04:00:00 PM,31.331,71.575,,,,,
74,05/23/19 04:05:00 PM,31.382,71.886,,,,,
75,05/23/19 04:10:00 PM,31.382,72.460,,,,,
76,05/23/19 04:15:00 PM,31.408,72.102,,,,,
77,05/23/19 04:20:00 PM,31.408,71.951,,,,,
78,05/23/19 04:25:00 PM,31.433,71.835,,,,,
79,05/23/19 04:30:00 PM,31.433,72.137,,,,,
80,05/23/19 04:35:00 PM,31.433,71.472,,,,,
81,05/23/19 04:40:00 PM,31.484,70.572,,,,,
82,05/23/19 04:45:00 PM,31.561,70.981,,,,,
83,05/23/19 04:50:00 PM,31.612,70.443,,,,,
84,05/23/19 04:55:00 PM,31.663,71.484,,,,,
85,05/23/19 05:00:00 PM,31.663,71.968,,,,,
86,05/23/19 05:05:00 PM,31.612,71.687,,,,,
87,05/23/19 05:10:00 PM,31.586,71.743,,,,,
88,05/23/19 05:15:00 PM,31.510,72.574,,,,,
89,05/23/19 05:20:00 PM,31.408,72.615,,,,,
90,05/23/19 05:25:00 PM,31.306,72.566,,,,,
91,05/23/19 05:30:00 PM,31.204,72.668,,,,,
92,05/23/19 05:35:00 PM,31.077,73.396,,,,,
93,05/23/19 05:40:00 PM,30.900,74.231,,,,,
94,05/23/19 05:45:00 PM,30.697,74.371,,,,,
95,05/23/19 05:50:00 PM,30.495,74.810,,,,,
