"Plot Title: 20381826"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20381826, SEN S/N: 20381826, LBL: temp_C)","RH, % (LGR S/N: 20381826, SEN S/N: 20381826, LBL: RH_pct)","Coupler Detached (LGR S/N: 20381826)","Coupler Attached (LGR S/N: 20381826)","Host Connected (LGR S/N: 20381826)","Stopped (LGR S/N: 20381826)","End Of File (LGR S/N: 20381826)"
1,05/23/19 10:00:00 AM,27.382,77.207,Logged,,,,
2,05/23/19 10:05:00 AM,27.333,77.723,,,,,
3,05/23/19 10:10:00 AM,27.653,78.022,,,,,
4,05/23/19 10:15:00 AM,27.998,75.657,,,,,
5,05/23/19 10:20:00 AM,28.072,75.288,,,,,
6,05/23/19 10:25:00 AM,28.122,74.943,,,,,
7,05/23/19 10:30:00 AM,28.295,73.732,,,,,
8,05/23/19 10:35:00 AM,28.518,73.060,,,,,
9,05/23/19 10:40:00 AM,28.742,73.847,,,,,
10,05/23/19 10:45:00 AM,28.717,72.620,,,,,
11,05/23/19 10:50:00 AM,28.642,72.785,,,,,
12,05/23/19 10:55:00 AM,28.468,72.603,,,,,
13,05/23/19 11:00:00 AM,28.593,71.579,,,,,
14,05/23/19 11:05:00 AM,28.766,71.191,,,,,
15,05/23/19 11:10:00 AM,28.916,70.918,,,,,
16,05/23/19 11:15:00 AM,28.742,70.013,,,,,
17,05/23/19 11:20:00 AM,28.617,70.833,,,,,
18,05/23/19 11:25:00 AM,28.493,71.591,,,,,
19,05/23/19 11:30:00 AM,28.642,72.128,,,,,
20,05/23/19 11:35:00 AM,28.866,69.069,,,,,
21,05/23/19 11:40:00 AM,29.215,68.859,,,,,
22,05/23/19 11:45:00 AM,29.765,66.946,,,,,
23,05/23/19 11:50:00 AM,29.865,65.706,,,,,
24,05/23/19 11:55:00 AM,29.941,65.350,,,,,
25,05/23/19 12:00:00 PM,30.192,63.849,,,,,
26,05/23/19 12:05:00 PM,30.444,64.293,,,,,
27,05/23/19 12:10:00 PM,30.748,64.220,,,,,
28,05/23/19 12:15:00 PM,31.153,59.980,,,,,
29,05/23/19 12:20:00 PM,31.153,59.571,,,,,
30,05/23/19 12:25:00 PM,30.824,60.368,,,,,
31,05/23/19 12:30:00 PM,30.925,60.447,,,,,
32,05/23/19 12:35:00 PM,30.874,60.690,,,,,
33,05/23/19 12:40:00 PM,31.052,61.563,,,,,
34,05/23/19 12:45:00 PM,31.230,59.173,,,,,
35,05/23/19 12:50:00 PM,31.433,58.162,,,,,
36,05/23/19 12:55:00 PM,31.663,57.245,,,,,
37,05/23/19 01:00:00 PM,31.842,57.430,,,,,
38,05/23/19 01:05:00 PM,32.073,56.191,,,,,
39,05/23/19 01:10:00 PM,32.175,56.270,,,,,
40,05/23/19 01:15:00 PM,32.278,56.221,,,,,
41,05/23/19 01:20:00 PM,31.970,55.154,,,,,
42,05/23/19 01:25:00 PM,31.459,58.134,,,,,
43,05/23/19 01:30:00 PM,31.944,56.491,,,,,
44,05/23/19 01:35:00 PM,32.846,54.958,,,,,
45,05/23/19 01:40:00 PM,33.053,53.055,,,,,
46,05/23/19 01:45:00 PM,33.001,53.596,,,,,
47,05/23/19 01:50:00 PM,33.313,53.575,,,,,
48,05/23/19 01:55:00 PM,33.391,50.765,,,,,
49,05/23/19 02:00:00 PM,33.313,51.372,,,,,
50,05/23/19 02:05:00 PM,33.365,50.794,,,,,
51,05/23/19 02:10:00 PM,33.053,51.500,,,,,
52,05/23/19 02:15:00 PM,33.079,50.789,,,,,
53,05/23/19 02:20:00 PM,33.157,51.904,,,,,
54,05/23/19 02:25:00 PM,33.105,51.670,,,,,
55,05/23/19 02:30:00 PM,33.391,49.493,,,,,
56,05/23/19 02:35:00 PM,33.548,52.507,,,,,
57,05/23/19 02:40:00 PM,35.235,48.280,,,,,
58,05/23/19 02:45:00 PM,37.015,45.474,,,,,
59,05/23/19 02:50:00 PM,39.093,41.767,,,,,
60,05/23/19 02:55:00 PM,40.343,37.965,,,,,
61,05/23/19 03:00:00 PM,40.487,37.841,,,,,
62,05/23/19 03:05:00 PM,40.717,34.333,,,,,
63,05/23/19 03:10:00 PM,39.205,38.847,,,,,
64,05/23/19 03:15:00 PM,40.057,36.835,,,,,
65,05/23/19 03:20:00 PM,38.588,37.998,,,,,
66,05/23/19 03:25:00 PM,39.093,37.430,,,,,
67,05/23/19 03:30:00 PM,40.286,36.166,,,,,
68,05/23/19 03:35:00 PM,40.717,35.236,,,,,
69,05/23/19 03:40:00 PM,41.473,34.122,,,,,
70,05/23/19 03:45:00 PM,41.239,33.822,,,,,
71,05/23/19 03:50:00 PM,40.920,34.351,,,,,
72,05/23/19 03:55:00 PM,41.531,33.953,,,,,
73,05/23/19 04:00:00 PM,41.972,32.838,,,,,
74,05/23/19 04:05:00 PM,41.268,33.371,,,,,
75,05/23/19 04:10:00 PM,41.123,32.555,,,,,
76,05/23/19 04:15:00 PM,40.228,33.663,,,,,
77,05/23/19 04:20:00 PM,38.868,35.205,,,,,
78,05/23/19 04:25:00 PM,37.124,39.523,,,,,
79,05/23/19 04:30:00 PM,36.227,40.683,,,,,
80,05/23/19 04:35:00 PM,35.689,42.175,,,,,
81,05/23/19 04:40:00 PM,35.049,43.779,,,,,
82,05/23/19 04:45:00 PM,34.387,45.234,,,,,
83,05/23/19 04:50:00 PM,34.019,46.151,,,,,
84,05/23/19 04:55:00 PM,33.730,46.546,,,,,
85,05/23/19 05:00:00 PM,33.704,46.576,,,,,
86,05/23/19 05:05:00 PM,33.365,47.095,,,,,
87,05/23/19 05:10:00 PM,32.924,48.059,,,,,
88,05/23/19 05:15:00 PM,32.510,49.478,,,,,
89,05/23/19 05:20:00 PM,32.304,51.012,,,,,
90,05/23/19 05:25:00 PM,31.996,51.490,,,,,
91,05/23/19 05:30:00 PM,31.868,51.796,,,,,
92,05/23/19 05:35:00 PM,31.561,51.658,,,,,
93,05/23/19 05:40:00 PM,31.306,52.752,,,,,
94,05/23/19 05:45:00 PM,31.204,52.577,,,,,
95,05/23/19 05:50:00 PM,31.128,52.535,,,,,
96,05/23/19 05:55:00 PM,31.026,53.292,,,,,
97,05/23/19 06:00:00 PM,30.925,53.246,,,,,
98,05/23/19 06:05:00 PM,30.748,52.740,,,,,
99,05/23/19 06:10:00 PM,30.495,52.770,,,,,
100,05/23/19 06:15:00 PM,30.293,52.614,,,,,
101,05/23/19 06:20:00 PM,30.117,53.870,,,,,
102,05/23/19 06:25:00 PM,29.966,54.487,,,,,
103,05/23/19 06:30:00 PM,29.765,55.984,,,,,
104,05/23/19 06:35:00 PM,29.640,55.617,,,,,
105,05/23/19 06:40:00 PM,29.490,56.198,,,,,
106,05/23/19 06:45:00 PM,29.340,57.092,,,,,
107,05/23/19 06:50:00 PM,29.165,57.319,,,,,
108,05/23/19 06:55:00 PM,29.015,57.643,,,,,
109,05/23/19 07:00:00 PM,28.866,57.652,,,,,
110,05/23/19 07:05:00 PM,28.742,58.544,,,,,
111,05/23/19 07:10:00 PM,28.617,59.276,,,,,
112,05/23/19 07:15:00 PM,28.493,59.756,,,,,
113,05/23/19 07:20:00 PM,28.394,60.022,,,,,
114,05/23/19 07:25:00 PM,28.295,59.850,,,,,
115,05/23/19 07:30:00 PM,28.147,60.108,,,,,
116,05/23/19 07:35:00 PM,28.023,60.834,,,,,
117,05/23/19 07:40:00 PM,27.899,61.094,,,,,
118,05/23/19 07:45:00 PM,27.751,61.318,,,,,
119,05/23/19 07:50:00 PM,27.604,62.715,,,,,
120,05/23/19 07:55:00 PM,27.481,62.510,,,,,
121,05/23/19 08:00:00 PM,27.358,63.136,,,,,
122,05/23/19 08:05:00 PM,27.259,63.305,,,,,
123,05/23/19 08:10:00 PM,27.136,63.591,,,,,
124,05/23/19 08:15:00 PM,27.014,63.724,,,,,
125,05/23/19 08:20:00 PM,26.916,64.717,,,,,
126,05/23/19 08:25:00 PM,26.818,65.006,,,,,
127,05/23/19 08:30:00 PM,26.671,64.951,,,,,
128,05/23/19 08:35:00 PM,26.573,66.302,,,,,
129,05/23/19 08:40:00 PM,26.475,66.164,,,,,
130,05/23/19 08:45:00 PM,26.378,67.176,,,,,
131,05/23/19 08:50:00 PM,26.280,67.673,,,,,
132,05/23/19 08:55:00 PM,26.207,67.961,,,,,
133,05/23/19 09:00:00 PM,26.085,68.361,,,,,
134,05/23/19 09:05:00 PM,25.987,69.064,,,,,
135,05/23/19 09:10:00 PM,25.866,68.892,,,,,
136,05/23/19 09:15:00 PM,25.793,69.866,,,,,
137,05/23/19 09:20:00 PM,25.647,70.824,,,,,
138,05/23/19 09:25:00 PM,25.550,71.400,,,,,
139,05/23/19 09:30:00 PM,25.453,71.827,,,,,
140,05/23/19 09:35:00 PM,25.355,72.430,,,,,
141,05/23/19 09:40:00 PM,25.258,72.500,,,,,
142,05/23/19 09:45:00 PM,25.137,73.155,,,,,
143,05/23/19 09:50:00 PM,25.040,73.431,,,,,
144,05/23/19 09:55:00 PM,24.919,73.761,,,,,
