"installation","plot_id","invaded","location","date","collection_method","species","life_stage","count","drag_time","notes"
"wes","i-1","y","NW",20190403,"trap","A. americanum","nymph",1,NA,NA
"wes","i-1","y","NE",20190403,"trap","A. americanum","nymph",4,NA,NA
"wes","i-1","y","SW",20190403,"trap","A. americanum","nymph",3,NA,NA
"wes","i-1","y","SE",20190403,"trap","A. americanum","nymph",5,NA,NA
"wes","i-1","y","SE",20190403,"trap","A. americanum","adult",1,NA,NA
"wes","i-1","y","extra",20190403,"extra","A. americanum","nymph",1,NA,NA
"wes","i-1","y","extra",20190403,"extra","A. americanum","adult",2,NA,NA
"brown","i-1","y","NW",20190405,"trap",NA,NA,0,NA,NA
"brown","i-1","y","NE",20190405,"trap","A. americanum","nymph",1,NA,NA
"brown","i-1","y","SW",20190405,"trap","A. americanum","nymph",1,NA,NA
"brown","i-1","y","SW",20190405,"trap","A. americanum","adult",1,NA,NA
"brown","i-1","y","SE",20190405,"trap",NA,NA,0,NA,NA
"silversprings","i-1","y","NW",20190405,"trap","D. variabilis","adult",1,NA,NA
"silversprings","i-1","y","NW",20190405,"trap","I. scapularis","adult",1,NA,NA
"silversprings","i-1","y","NE",20190405,"trap","A. americanum","nymph",2,NA,NA
"silversprings","i-1","y","SW",20190405,"trap","D. variabilis","adult",1,NA,NA
"silversprings","i-1","y","SE",20190405,"trap",NA,NA,0,NA,NA
"avonpark","i-1","y","NW",20190411,"trap",NA,NA,0,NA,NA
"avonpark","i-1","y","NE",20190411,"trap",NA,NA,0,NA,NA
"avonpark","i-1","y","SW",20190411,"trap",NA,NA,0,NA,NA
"avonpark","i-1","y","SE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","NW",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","NE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","SW",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","SE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","NW",20190411,"trap","D. variabilis","adult",1,NA,NA
"peaceriver","i-2","y","NE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","SW",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","SE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","NW",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","NE",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","SW",20190411,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","SE",20190411,"trap",NA,NA,0,NA,NA
"hancock","i-1","y","NW",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-1","y","NE",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-1","y","SW",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-1","y","SE",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-2","y","NW",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-2","y","NE",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-2","y","SW",20190418,"trap",NA,NA,0,NA,NA
"hancock","i-2","y","SE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","NW",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","NE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","SW",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-1","y","SE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","NW",20190418,"trap","D. variabilis","adult",2,NA,NA
"peaceriver","i-2","y","NE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","SW",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-2","y","SE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","NW",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","NE",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","SW",20190418,"trap",NA,NA,0,NA,NA
"peaceriver","i-3","y","SE",20190418,"trap",NA,NA,0,NA,NA
"munson","i-1","y","NW",20190501,"trap",NA,NA,0,NA,NA
"munson","i-1","y","NE",20190501,"trap","A. americanum","adult",2,NA,NA
"munson","i-1","y","NE",20190501,"trap","D. variabilis","adult",1,NA,NA
"munson","i-1","y","S",20190501,"trap","A. americanum","nymph",1,NA,NA
"munson","i-1","y","S",20190501,"trap","A. americanum","adult",1,NA,NA
"munson","i-1","y","S",20190501,"trap","A. maculatum","adult",1,NA,NA
"munson","i-1","y","SE",20190501,"trap","A. americanum","adult",2,NA,NA
"riversedge","i-1","y","NW",20190501,"trap","A. americanum","adult",1,NA,NA
"riversedge","i-1","y","NW",20190501,"trap","A. maculatum","adult",1,NA,NA
"riversedge","i-1","y","NE",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-1","y","SW",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-1","y","SE",20190501,"trap","A. americanum","adult",1,NA,NA
"riversedge","i-1","y","SE",20190501,"trap","A. maculatum","adult",1,NA,NA
"riversedge","i-1","y","SE",20190501,"trap","R. sanguineus","adult",1,NA,NA
"riversedge","i-2","y","NW",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-2","y","NE",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-2","y","SW",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-2","y","SE",20190501,"trap","A. americanum","adult",1,NA,NA
"riversedge","i-3","y","NW",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-3","y","NE",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-3","y","SW",20190501,"trap",NA,NA,0,NA,NA
"riversedge","i-3","y","SE",20190501,"trap",NA,NA,0,NA,NA
"wes","i-2","y","NW",20190424,"trap",NA,NA,0,NA,NA
"wes","i-2","y","NE",20190424,"trap",NA,NA,0,NA,NA
"wes","i-2","y","SW",20190424,"trap","A. americanum","adult",1,NA,NA
"wes","i-2","y","SE",20190424,"trap",NA,NA,0,NA,NA
"seay","i-1","y","NW",20190424,"trap","A. americanum","nymph",1,NA,NA
"seay","i-1","y","NE",20190424,"trap",NA,NA,0,NA,NA
"seay","i-1","y","SW",20190424,"trap",NA,NA,0,NA,NA
