installation,plot_id,status,camera_number,sd_card,camera_out,camera_in,position_from_center,notes
wes,i1,invaded,28,28-1,20190403,20190423,S,
wes,i1,invaded,6,1-Jun,20190403,20190423,N,
wes,i2,invaded,28,28-2,20190423,20190514,NW,moved from i1
wes,i2,invaded,6,2-Jun,20190423,20190514,S,moved from i1
wes,i3,invaded,28,28-3,20190514,20190523,S,moved from i2
wes,i3,invaded,6,3-Jun,20190514,20190523,N,moved from i2
wes,n1,native,4,1-Apr,20190423,20190514,W,switched to 4-2 on 5/14
wes,n1,native,4,2-Apr,20190514,20190523,W,
wes,n1,native,8,1-Aug,20190423,20190514,S,switched to 8-2 on 5/14
wes,n1,native,8,2-Aug,20190514,20190523,S,
brown,n1,native,101,101-1,20190405,20190425,S,
brown,n1,native,21,21-1,20190405,20190425,N,
brown,i1,invaded,102,102-1,20190405,20190425,E,
brown,i1,invaded,34,34-1,20190405,20190425,W,
brown,n2,native,101,101-2,20190425,20190521,W,"moved from n1, checked good for battery and memory on 5/17"
brown,n2,native,21,21-2,20190425,20190521,N,"moved from n1, checked good for battery and memory on 5/17"
brown,i2,invaded,102,102-2,20190425,20190521,NE,"moved from i1, checked good for battery and memory on 5/17"
brown,i2,invaded,34,34-2,20190425,20190521,W,"moved from i1, checked good for battery and memory on 5/17"
brown,n3,native,108,108-2,20190517,20190521,N,transferred from avp
brown,n3,native,9,2-Sep,20190517,20190521,S,transferred from avp
brown,i3,invaded,112,112-2,20190517,20190521,N,transferred from hancock n1
brown,i3,invaded,14,14-2,20190517,20190521,S,transferred from hancock n1
seay,n1,native,104,104-1,20190408,20190423,SE,
seay,n1,native,25,25-1,20190408,20190423,NW,
seay,n1,native,25,25-2,20190423,20190514,NW,
seay,i1,invaded,103,103-1,20190408,20190423,SE,need to check when 103-1 was switched to 103-2
seay,i1,invaded,103,103-2,20190423,20190514,SE,
seay,i1,invaded,33,33-1,20190408,20190423,NW,need to check when 33-1 was switched to 33-2
seay,i1,invaded,33,33-2,20190423,20190514,NW,
seay,n2,native,104,104-3,20190514,20190523,SW,moved from n1
seay,n2,native,25,25-3,20190514,20190523,NE,moved from n1
seay,i2,invaded,103,103-3,20190514,20190523,N,moved from i1
seay,i2,invaded,33,33-3,20190514,20190523,SE,moved from i1
avonpark,i1,invaded,108,108-1,20190411,20190507,W,
avonpark,i1,invaded,9,1-Sep,20190411,20190507,SE,
avonpark,n1,native,107,107-1,20190411,20190507,SE,
avonpark,n1,native,37,37-1,20190411,20190507,NW,
peaceriver,i1,invaded,109,109-1,20190411,20190508,W,
peaceriver,i1,invaded,22,22-1,20190411,20190508,S,
peaceriver,i2,invaded,27,27-1,20190411,20190508,N,
peaceriver,i2,invaded,110,110-1,20190411,20190508,SW,
peaceriver,i3,invaded,111,111-1,20190411,20190508,NE,
peaceriver,i3,invaded,10,1-Oct,20190411,20190508,S,
hancock,i1,invaded,12,1-Dec,20190417,20190508,SW,
hancock,i1,invaded,7,1-Jul,20190417,20190508,E,
hancock,i2,invaded,2,1-Feb,20190417,20190508,SW,
hancock,i2,invaded,5,1-May,20190417,20190508,SE,
hancock,n1,native,112,112-1,20190417,20190508,W,
hancock,n1,native,14,14-1,20190417,20190508,E,
silversprings,i1,invaded,105,105-1,20190426,20190522,S,
silversprings,i1,invaded,15,15-1,20190426,20190522,N,
silversprings,n1,native,23,23-1,20190426,20190517,S,"CAMERA DIED, SWITCHED OUT ON 5/17 WITH REPLACEMENT"
silversprings,n1,native,107,107-2,20190517,20190522,S,"replace 23, 107 came from avp"
silversprings,n1,native,106,106-1,20190426,20190522,NW,
munson,n1,native,35,35-1,20190501,20190606,E,
munson,i1,invaded,20,20-1,20190501,20190606,NW,
riversedge,n1,native,114,114-1,20190501,20190606,S,"taylor's camera, WAS T6 CHANGED TO 114 TO AVOID CHARACTER ERRORS"
riversedge,n1,native,42,42-1,20190501,20190606,NE,
riversedge,i2,invaded,113,113-1,20190501,20190606,W,"taylor's camera, WAS T4 CHANGED TO 113 TO AVOID CHARACTER ERRORS"
riversedge,i1,invaded,38,38-1,20190501,20190606,NE, 
