installation,plot_id,status,camera_number,sd_card,raw_number_photos,camera_out,camera_in,first_photo,last_photo,cut_off_date_time,machined_deer_total,machined_cow_total,machined_turkey_total,machined_pig_total,machined_raccoon_total,machined_fox_total,raw_deer_total,raw_cow_total,raw_turkey_total,raw_pig_total,raw_raccoon_total,raw_fox_total,cutoff_deer_total,cutoff_cow_total,cutoff_turkey_total,cutoff_pig_total,cutoff_raccoon_total,cutoff_fox_total,notes
hancock,i2,invaded,2,2-1,28302,20190417,20190508,4/17/2019 11:23,4/27/2019 16:53,4/27/2019 16:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FULL
seay,i1,invaded,33,33-1,18871,20190408,20190423,4/8/2019 17:16,4/23/2019 13:41,4/23/2019 13:41,3,0,2,0,0,0,11,0,6,0,0,0,11,0,6,0,0,0,need to check when 33-1 was switched to 33-2
hancock,i2,invaded,5,5-1,17382,20190417,20190508,4/17/2019 11:21,4/27/2019 17:55,4/27/2019 17:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FULL/FAIL
peaceriver,i1,invaded,22,22-1,16505,20190411,20190508,4/11/2019 14:06,5/8/2019 15:06,5/8/2019 15:06,6,0,0,0,0,0,79,0,0,0,0,0,79,0,0,0,0,0,no native pair
wes,i3,invaded,6,6-3,15098,20190514,20190912,5/14/2019 12:28,7/6/2019 20:03,7/6/2019 20:03,3,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,"moved from i2, FULL/FAIL, trimming pair (4-2) native to just 53 days to account for equal sampling"
riversedge,i2,invaded,113,113-1,12738,20190501,20190606,5/1/2019 15:28,5/4/2019 11:58,5/4/2019 11:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"taylor's camera, WAS T4 CHANGED TO 113 TO AVOID CHARACTER ERRORS, FULL MAYBE?"
riversedge,i1,invaded,38,38-1,12612,20190501,20190606,5/1/2019 14:18,5/2/2019 6:48,5/2/2019 6:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL AFTER ONE DAY/FULL?
seay,i1,invaded,33,33-2,11030,20190423,20190514,4/23/2019 13:42,5/14/2019 14:13,5/14/2019 13:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
seay,i1,invaded,103,103-1,7617,20190408,20190423,4/8/2019 17:18,4/20/2019 13:31,4/20/2019 13:31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"need to check when 103-1 was switched to 103-2, FULL"
peaceriver,i1,invaded,109,109-1,7557,20190411,20190508,4/11/2019 14:17,4/21/2019 14:06,4/21/2019 14:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FULL, no native pair"
seay,i1,invaded,103,103-2,4019,20190423,20190514,4/23/2019 16:01,5/14/2019 14:12,5/14/2019 13:51,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA
avonpark,i1,invaded,108,108-1,3714,20190411,20190507,4/11/2019 11:40,5/7/2019 15:37,5/7/2019 15:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
hancock,i1,invaded,7,7-1,3296,20190417,20190508,4/17/2019 11:22,5/8/2019 10:01,5/8/2019 10:01,0,59,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,no native pair
wes,i1,invaded,6,6-1,2742,20190403,20190423,4/3/2019 13:24,4/23/2019 11:47,4/23/2019 11:47,0,0,0,0,0,0,42,0,0,0,0,0,42,0,0,0,0,0,no native pair over the same time period; 42 raw pics of one deer over 25 minute period
peaceriver,i2,invaded,27,27-1,2610,20190411,20190508,4/11/2019 14:08,5/8/2019 17:08,5/8/2019 17:08,2,0,0,0,0,0,18,0,0,0,0,3,18,0,0,0,0,3,no native pair
hancock,i1,invaded,12,12-1,1563,20190417,20190508,4/17/2019 11:51,5/8/2019 10:01,5/8/2019 10:01,0,47,0,0,0,0,0,111,0,0,0,0,0,111,0,0,0,0,no native pair
brown,i2,invaded,34,34-2,1404,20190425,20190521,4/25/2019 15:23,5/21/2019 11:58,5/21/2019 7:34,7,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,"moved from i1, checked good for battery and memory on 5/17"
