"record_id","stem_id","installation","plot_id","date","cluster","tag","species","dbh","health","canopy","distance","azimuth","height","char","notes","scientific_name","functional_group","Genus","Species","Status","functional_group__1"
1,1,"blanding","c1",20170425,1,"41","PIPA",22.3,1,"d",3.95,12,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
2,2,"blanding","c1",20170425,2,"42","PIPA",24.5,1,"d",7,27,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
3,3,"blanding","c1",20170425,3,"43","PIPA",17.9,1,"d",7.2,269,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
4,4,"blanding","bland03",20170427,4,"44","PIPA",27.3,1,"d",6.95,65,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
5,5,"blanding","bland03",20170427,5,"45","PIPA",17.3,1,"d",6,79,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
6,6,"blanding","bland03",20170427,6,"46","PIPA",16.2,1,"d",7.3,85,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
7,7,"blanding","bland03",20170427,7,"47","PIPA",10.1,1,"i",2.65,167,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
8,8,"blanding","bland03",20170427,8,"48","PIPA",9.4,1,"i",5.45,165,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
9,9,"blanding","bland03",20170427,9,"49","PIPA",16.2,1,"d",4.1,199,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
10,10,"blanding","bland03",20170427,10,"50","QULA",7.5,1,"i",7.15,195,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
11,11,"blanding","bland03",20170427,10,NA,"QULA",5.7,1,"i",7.15,195,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
12,12,"blanding","bland03",20170427,11,"51","QULA",20.6,2,"c",7.15,231,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
13,13,"blanding","bland03",20170427,12,"52","PIPA",20.9,1,"d",6,251,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
14,14,"blanding","bland03",20170427,13,"53","QULA",10.9,2,"i",6.1,275,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
15,15,"blanding","bland03",20170427,14,"54","QULA",17.6,2,"c",7.05,317,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
16,16,"blanding","bland03",20170427,15,"55","QULA",23.7,1,"d",6.45,343,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
17,17,"blanding","bland03",20170427,16,"56","PIPA",16.9,1,"d",6.15,7,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
18,18,"blanding","bland03",20170427,17,"57","QULA",13,1,"c",2.55,321,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
19,19,"blanding","bland03",20170427,18,"58","PIPA",10.1,2,"i",2.3,311,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
20,20,"blanding","bland02",20170428,19,"59","PIPA",38.8,1,"d",4,265,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
21,21,"blanding","bland02",20170428,20,"60","PIPA",11.4,1,"i",2.85,55,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
22,22,"blanding","bland02",20170428,21,"61","PIPA",14,1,"i",6.1,63,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
23,23,"avonpark","a1",20170627,22,"1331","PIEL",25.4,1,"d",6.4,10,NA,NA,NA,"Pinus elliottii","tree","Pinus","elliottii","native","tree"
24,24,"avonpark","a1",20170627,23,"1337","PIEL",26.4,1,"d",6.5,162,NA,NA,NA,"Pinus elliottii","tree","Pinus","elliottii","native","tree"
25,25,"blanding","d1",20170621,24,"1198","QULA",4,1,"u",4.45,340,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
26,26,"blanding","d1",20170621,25,"1282","QULA",3.4,2,"u",6.45,344,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
27,27,"blanding","d1",20170621,26,"1283","QULA",3.8,2,"u",9.2,343,2.9,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
28,28,"blanding","d1",20170621,27,"1284","QULA",12.5,2,"c",11.3,348,5.8,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
29,29,"blanding","d1",20170621,28,"1200","QULA",11.6,1,"c",4.9,16,8.2,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
30,30,"blanding","d1",20170621,29,"1213","QULA",14.9,1,"c",5.2,20,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
31,31,"blanding","d1",20170621,30,"1211","QULA",7,1,"i",11.7,12,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
32,32,"blanding","d1",20170621,31,"1201","QULA",3.9,2,"u",7.3,17,4.5,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
33,33,"blanding","d1",20170621,32,"1210","QULA",3.9,2,"u",12.3,18,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
