"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249225)"
2017/04/07,10:17:30,20.61
2017/04/07,10:17:31,20.61
2017/04/07,10:17:32,20.61
2017/04/07,10:17:33,20.61
2017/04/07,10:17:34,20.27
2017/04/07,10:17:35,19.93
2017/04/07,10:17:36,19.93
2017/04/07,10:17:37,19.93
2017/04/07,10:17:38,19.60
2017/04/07,10:17:39,19.60
2017/04/07,10:17:40,19.26
2017/04/07,10:17:41,19.93
2017/04/07,10:17:42,19.93
2017/04/07,10:17:43,19.60
2017/04/07,10:17:44,19.60
2017/04/07,10:17:45,19.26
2017/04/07,10:17:46,19.26
2017/04/07,10:17:47,18.92
2017/04/07,10:17:48,18.92
2017/04/07,10:17:49,18.58
2017/04/07,10:17:50,19.60
2017/04/07,10:17:51,19.93
2017/04/07,10:17:52,18.58
2017/04/07,10:17:53,18.58
2017/04/07,10:17:54,18.92
2017/04/07,10:17:55,19.26
2017/04/07,10:17:56,19.26
2017/04/07,10:17:57,19.93
2017/04/07,10:17:58,19.93
2017/04/07,10:17:59,19.60
2017/04/07,10:18:00,19.60
2017/04/07,10:18:01,19.60
2017/04/07,10:18:02,19.60
2017/04/07,10:18:03,19.60
2017/04/07,10:18:04,19.60
2017/04/07,10:18:05,19.93
2017/04/07,10:18:06,19.60
2017/04/07,10:18:07,19.60
2017/04/07,10:18:08,19.60
2017/04/07,10:18:09,19.26
2017/04/07,10:18:10,19.26
2017/04/07,10:18:11,19.26
2017/04/07,10:18:12,19.26
2017/04/07,10:18:13,18.92
2017/04/07,10:18:14,18.92
2017/04/07,10:18:15,18.92
2017/04/07,10:18:16,18.92
2017/04/07,10:18:17,18.92
2017/04/07,10:18:18,18.92
2017/04/07,10:18:19,18.92
2017/04/07,10:18:20,18.92
2017/04/07,10:18:21,18.92
2017/04/07,10:18:22,18.92
2017/04/07,10:18:23,19.26
2017/04/07,10:18:24,19.60
2017/04/07,10:18:25,21.62
2017/04/07,10:18:26,22.63
2017/04/07,10:18:27,22.63
2017/04/07,10:18:28,22.29
2017/04/07,10:18:29,21.96
2017/04/07,10:18:30,21.62
2017/04/07,10:18:31,21.62
2017/04/07,10:18:32,21.28
2017/04/07,10:18:33,21.28
2017/04/07,10:18:34,21.28
2017/04/07,10:18:35,21.28
2017/04/07,10:18:36,22.63
2017/04/07,10:18:37,22.29
2017/04/07,10:18:38,21.96
2017/04/07,10:18:39,21.96
2017/04/07,10:18:40,21.96
2017/04/07,10:18:41,21.96
2017/04/07,10:18:42,21.62
2017/04/07,10:18:43,21.28
2017/04/07,10:18:44,20.95
2017/04/07,10:18:45,20.95
2017/04/07,10:18:46,20.61
2017/04/07,10:18:47,20.27
2017/04/07,10:18:48,20.27
2017/04/07,10:18:49,19.93
2017/04/07,10:18:50,19.93
2017/04/07,10:18:51,19.93
2017/04/07,10:18:52,19.93
2017/04/07,10:18:53,19.60
2017/04/07,10:18:54,19.60
2017/04/07,10:18:55,19.60
2017/04/07,10:18:56,19.93
2017/04/07,10:18:57,19.93
2017/04/07,10:18:58,19.93
2017/04/07,10:18:59,19.93
2017/04/07,10:19:00,20.27
2017/04/07,10:19:01,20.27
2017/04/07,10:19:02,20.27
2017/04/07,10:19:03,20.61
2017/04/07,10:19:04,20.61
2017/04/07,10:19:05,20.27
2017/04/07,10:19:06,19.93
2017/04/07,10:19:07,19.60
2017/04/07,10:19:08,18.92
2017/04/07,10:19:09,18.58
2017/04/07,10:19:10,18.58
2017/04/07,10:19:11,18.58
2017/04/07,10:19:12,18.58
2017/04/07,10:19:13,18.58
2017/04/07,10:19:14,18.58
2017/04/07,10:19:15,18.58
2017/04/07,10:19:16,18.25
2017/04/07,10:19:17,18.25
2017/04/07,10:19:18,18.25
2017/04/07,10:19:19,18.25
2017/04/07,10:19:20,18.25
2017/04/07,10:19:21,18.25
2017/04/07,10:19:22,18.25
2017/04/07,10:19:23,18.25
2017/04/07,10:19:24,18.25
2017/04/07,10:19:25,18.58
2017/04/07,10:19:26,18.92
2017/04/07,10:19:27,19.26
2017/04/07,10:19:28,19.26
2017/04/07,10:19:29,19.26
2017/04/07,10:19:30,19.26
2017/04/07,10:19:31,19.26
2017/04/07,10:19:32,18.92
2017/04/07,10:19:33,18.92
2017/04/07,10:19:34,18.92
2017/04/07,10:19:35,18.58
2017/04/07,10:19:36,18.25
2017/04/07,10:19:37,18.25
2017/04/07,10:19:38,18.25
2017/04/07,10:19:39,18.25
2017/04/07,10:19:40,17.91
2017/04/07,10:19:41,17.91
2017/04/07,10:19:42,17.57
2017/04/07,10:19:43,17.57
2017/04/07,10:19:44,17.57
2017/04/07,10:19:45,17.57
2017/04/07,10:19:46,17.91
2017/04/07,10:19:47,17.91
2017/04/07,10:19:48,17.91
2017/04/07,10:19:49,17.91
2017/04/07,10:19:50,18.25
2017/04/07,10:19:51,18.25
2017/04/07,10:19:52,18.25
2017/04/07,10:19:53,17.91
2017/04/07,10:19:54,18.25
2017/04/07,10:19:55,18.25
2017/04/07,10:19:56,18.25
2017/04/07,10:19:57,18.25
2017/04/07,10:19:58,18.25
2017/04/07,10:19:59,18.58
2017/04/07,10:20:00,18.25
2017/04/07,10:20:01,18.58
2017/04/07,10:20:02,18.58
2017/04/07,10:20:03,18.58
2017/04/07,10:20:04,18.58
2017/04/07,10:20:05,18.92
2017/04/07,10:20:06,19.26
2017/04/07,10:20:07,19.26
2017/04/07,10:20:08,19.26
2017/04/07,10:20:09,18.58
2017/04/07,10:20:10,18.25
2017/04/07,10:20:11,18.58
2017/04/07,10:20:12,18.58
2017/04/07,10:20:13,18.92
2017/04/07,10:20:14,18.58
2017/04/07,10:20:15,18.58
2017/04/07,10:20:16,18.58
2017/04/07,10:20:17,18.58
2017/04/07,10:20:18,18.58
2017/04/07,10:20:19,18.58
2017/04/07,10:20:20,18.58
2017/04/07,10:20:21,18.92
2017/04/07,10:20:22,18.92
2017/04/07,10:20:23,19.26
2017/04/07,10:20:24,19.60
2017/04/07,10:20:25,19.60
2017/04/07,10:20:26,19.60
2017/04/07,10:20:27,19.60
2017/04/07,10:20:28,19.60
2017/04/07,10:20:29,19.93
2017/04/07,10:20:30,19.93
2017/04/07,10:20:31,20.27
2017/04/07,10:20:32,20.27
2017/04/07,10:20:33,20.27
2017/04/07,10:20:34,19.93
2017/04/07,10:20:35,19.60
2017/04/07,10:20:36,19.26
2017/04/07,10:20:37,18.58
2017/04/07,10:20:38,18.25
2017/04/07,10:20:39,17.91
2017/04/07,10:20:40,17.57
2017/04/07,10:20:41,17.23
2017/04/07,10:20:42,17.23
2017/04/07,10:20:43,17.23
2017/04/07,10:20:44,17.23
2017/04/07,10:20:45,17.23
2017/04/07,10:20:46,17.23
2017/04/07,10:20:47,17.57
2017/04/07,10:20:48,17.57
2017/04/07,10:20:49,17.57
2017/04/07,10:20:50,17.57
2017/04/07,10:20:51,17.57
2017/04/07,10:20:52,17.57
2017/04/07,10:20:53,17.57
2017/04/07,10:20:54,17.91
2017/04/07,10:20:55,17.91
2017/04/07,10:20:56,17.91
2017/04/07,10:20:57,17.91
2017/04/07,10:20:58,18.25
2017/04/07,10:20:59,18.25
2017/04/07,10:21:00,17.91
2017/04/07,10:21:01,17.91
2017/04/07,10:21:02,17.91
2017/04/07,10:21:03,17.91
2017/04/07,10:21:04,17.91
2017/04/07,10:21:05,17.57
2017/04/07,10:21:06,17.91
2017/04/07,10:21:07,17.91
2017/04/07,10:21:08,17.91
2017/04/07,10:21:09,18.25
2017/04/07,10:21:10,18.58
2017/04/07,10:21:11,18.58
2017/04/07,10:21:12,18.58
2017/04/07,10:21:13,18.58
2017/04/07,10:21:14,18.58
2017/04/07,10:21:15,18.58
2017/04/07,10:21:16,18.25
2017/04/07,10:21:17,18.25
2017/04/07,10:21:18,18.25
2017/04/07,10:21:19,18.25
2017/04/07,10:21:20,18.58
2017/04/07,10:21:21,18.92
2017/04/07,10:21:22,18.92
2017/04/07,10:21:23,18.92
2017/04/07,10:21:24,18.58
2017/04/07,10:21:25,18.58
2017/04/07,10:21:26,18.25
2017/04/07,10:21:27,18.25
2017/04/07,10:21:28,18.25
2017/04/07,10:21:29,18.25
2017/04/07,10:21:30,18.25
2017/04/07,10:21:31,17.91
2017/04/07,10:21:32,18.25
2017/04/07,10:21:33,18.25
2017/04/07,10:21:34,18.58
2017/04/07,10:21:35,18.58
2017/04/07,10:21:36,18.58
2017/04/07,10:21:37,18.58
2017/04/07,10:21:38,18.58
2017/04/07,10:21:39,18.25
2017/04/07,10:21:40,18.25
2017/04/07,10:21:41,18.25
2017/04/07,10:21:42,17.91
2017/04/07,10:21:43,17.91
2017/04/07,10:21:44,17.91
2017/04/07,10:21:45,18.25
2017/04/07,10:21:46,18.25
2017/04/07,10:21:47,18.58
2017/04/07,10:21:48,18.58
2017/04/07,10:21:49,18.92
2017/04/07,10:21:50,18.92
2017/04/07,10:21:51,18.92
2017/04/07,10:21:52,18.92
2017/04/07,10:21:53,18.58
2017/04/07,10:21:54,18.25
2017/04/07,10:21:55,18.25
2017/04/07,10:21:56,18.25
2017/04/07,10:21:57,17.91
2017/04/07,10:21:58,18.25
2017/04/07,10:21:59,18.58
2017/04/07,10:22:00,18.58
2017/04/07,10:22:01,18.92
2017/04/07,10:22:02,18.92
2017/04/07,10:22:03,18.58
2017/04/07,10:22:04,18.25
2017/04/07,10:22:05,18.25
2017/04/07,10:22:06,18.25
2017/04/07,10:22:07,18.25
2017/04/07,10:22:08,18.25
2017/04/07,10:22:09,17.91
2017/04/07,10:22:10,17.91
2017/04/07,10:22:11,17.91
2017/04/07,10:22:12,17.91
2017/04/07,10:22:13,17.91
