"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249220)"
2017/04/07,10:22:17,20.27
2017/04/07,10:22:18,20.27
2017/04/07,10:22:19,20.27
2017/04/07,10:22:20,19.93
2017/04/07,10:22:21,19.93
2017/04/07,10:22:22,19.93
2017/04/07,10:22:23,19.93
2017/04/07,10:22:24,19.60
2017/04/07,10:22:25,19.60
2017/04/07,10:22:26,19.60
2017/04/07,10:22:27,18.92
2017/04/07,10:22:28,18.92
2017/04/07,10:22:29,18.92
2017/04/07,10:22:30,19.26
2017/04/07,10:22:31,19.26
2017/04/07,10:22:32,19.60
2017/04/07,10:22:33,19.26
2017/04/07,10:22:34,19.60
2017/04/07,10:22:35,19.93
2017/04/07,10:22:36,20.27
2017/04/07,10:22:37,23.98
2017/04/07,10:22:38,27.67
2017/04/07,10:22:39,28.67
2017/04/07,10:22:40,28.67
2017/04/07,10:22:41,29.34
2017/04/07,10:22:42,25.32
2017/04/07,10:22:43,22.29
2017/04/07,10:22:44,20.27
2017/04/07,10:22:45,19.60
2017/04/07,10:22:46,20.27
2017/04/07,10:22:47,20.27
2017/04/07,10:22:48,19.26
2017/04/07,10:22:49,19.26
2017/04/07,10:22:50,19.26
2017/04/07,10:22:51,19.93
2017/04/07,10:22:52,19.93
2017/04/07,10:22:53,19.60
2017/04/07,10:22:54,19.60
2017/04/07,10:22:55,19.93
2017/04/07,10:22:56,19.93
2017/04/07,10:22:57,19.93
2017/04/07,10:22:58,19.60
2017/04/07,10:22:59,19.93
2017/04/07,10:23:00,19.93
2017/04/07,10:23:01,19.60
2017/04/07,10:23:02,19.60
2017/04/07,10:23:03,19.60
2017/04/07,10:23:04,19.60
2017/04/07,10:23:05,19.93
2017/04/07,10:23:06,19.93
2017/04/07,10:23:07,19.93
2017/04/07,10:23:08,19.93
2017/04/07,10:23:09,19.60
2017/04/07,10:23:10,19.60
2017/04/07,10:23:11,19.93
2017/04/07,10:23:12,19.60
2017/04/07,10:23:13,19.60
2017/04/07,10:23:14,19.60
2017/04/07,10:23:15,19.60
2017/04/07,10:23:16,19.60
2017/04/07,10:23:17,19.60
2017/04/07,10:23:18,19.60
2017/04/07,10:23:19,19.60
2017/04/07,10:23:20,19.60
2017/04/07,10:23:21,19.60
2017/04/07,10:23:22,19.60
2017/04/07,10:23:23,19.60
2017/04/07,10:23:24,19.93
2017/04/07,10:23:25,19.93
2017/04/07,10:23:26,19.93
2017/04/07,10:23:27,19.93
2017/04/07,10:23:28,19.93
2017/04/07,10:23:29,19.93
2017/04/07,10:23:30,19.93
2017/04/07,10:23:31,19.93
2017/04/07,10:23:32,19.93
2017/04/07,10:23:33,19.93
2017/04/07,10:23:34,19.93
2017/04/07,10:23:35,19.93
2017/04/07,10:23:36,19.93
2017/04/07,10:23:37,19.93
2017/04/07,10:23:38,20.27
2017/04/07,10:23:39,19.60
2017/04/07,10:23:40,19.26
2017/04/07,10:23:41,18.92
2017/04/07,10:23:42,19.26
2017/04/07,10:23:43,20.61
2017/04/07,10:23:44,22.97
2017/04/07,10:23:45,27.00
2017/04/07,10:23:46,44.62
2017/04/07,10:23:47,85.14
2017/04/07,10:23:48,239.28
2017/04/07,10:23:49,366.02
2017/04/07,10:23:50,550.65
2017/04/07,10:23:51,749.58
2017/04/07,10:23:52,812.49
2017/04/07,10:23:53,831.78
2017/04/07,10:23:54,803.54
2017/04/07,10:23:55,823.79
2017/04/07,10:23:56,872.63
2017/04/07,10:23:57,758.09
2017/04/07,10:23:58,693.01
2017/04/07,10:23:59,678.81
2017/04/07,10:24:00,822.45
2017/04/07,10:24:01,886.45
2017/04/07,10:24:02,907.78
2017/04/07,10:24:03,899.65
2017/04/07,10:24:04,851.15
2017/04/07,10:24:05,764.98
2017/04/07,10:24:06,690.43
2017/04/07,10:24:07,629.36
2017/04/07,10:24:08,593.61
2017/04/07,10:24:09,575.46
2017/04/07,10:24:10,586.92
2017/04/07,10:24:11,579.28
2017/04/07,10:24:12,566.55
2017/04/07,10:24:13,556.38
2017/04/07,10:24:14,533.16
2017/04/07,10:24:15,530.29
2017/04/07,10:24:16,514.37
2017/04/07,10:24:17,476.51
2017/04/07,10:24:18,455.15
2017/04/07,10:24:19,447.81
2017/04/07,10:24:20,437.28
2017/04/07,10:24:21,427.70
2017/04/07,10:24:22,403.04
2017/04/07,10:24:23,359.24
2017/04/07,10:24:24,336.58
2017/04/07,10:24:25,310.58
2017/04/07,10:24:26,290.96
2017/04/07,10:24:27,271.21
2017/04/07,10:24:28,244.30
2017/04/07,10:24:29,217.42
2017/04/07,10:24:30,200.50
2017/04/07,10:24:31,181.51
2017/04/07,10:24:32,172.69
2017/04/07,10:24:33,166.25
2017/04/07,10:24:34,156.79
2017/04/07,10:24:35,150.04
2017/04/07,10:24:36,144.66
2017/04/07,10:24:37,142.98
2017/04/07,10:24:38,140.30
2017/04/07,10:24:39,132.94
2017/04/07,10:24:40,121.62
2017/04/07,10:24:41,118.97
2017/04/07,10:24:42,114.33
2017/04/07,10:24:43,107.41
2017/04/07,10:24:44,100.84
2017/04/07,10:24:45,96.25
2017/04/07,10:24:46,91.67
2017/04/07,10:24:47,89.39
2017/04/07,10:24:48,90.69
2017/04/07,10:24:49,92.00
2017/04/07,10:24:50,92.33
2017/04/07,10:24:51,91.67
2017/04/07,10:24:52,89.71
2017/04/07,10:24:53,86.45
2017/04/07,10:24:54,81.56
2017/04/07,10:24:55,77.00
2017/04/07,10:24:56,71.78
2017/04/07,10:24:57,71.46
2017/04/07,10:24:58,69.50
2017/04/07,10:24:59,69.18
2017/04/07,10:25:00,66.24
2017/04/07,10:25:01,62.98
2017/04/07,10:25:02,59.39
2017/04/07,10:25:03,56.44
2017/04/07,10:25:04,52.18
2017/04/07,10:25:05,48.24
2017/04/07,10:25:06,47.25
2017/04/07,10:25:07,49.23
2017/04/07,10:25:08,51.85
2017/04/07,10:25:09,54.15
2017/04/07,10:25:10,51.85
2017/04/07,10:25:11,48.24
2017/04/07,10:25:12,44.95
2017/04/07,10:25:13,42.30
2017/04/07,10:25:14,41.97
2017/04/07,10:25:15,42.97
2017/04/07,10:25:16,42.97
2017/04/07,10:25:17,41.64
2017/04/07,10:25:18,39.66
2017/04/07,10:25:19,37.34
2017/04/07,10:25:20,37.00
2017/04/07,10:25:21,34.68
2017/04/07,10:25:22,55.13
2017/04/07,10:25:23,32.35
2017/04/07,10:25:24,32.35
2017/04/07,10:25:25,34.01
2017/04/07,10:25:26,35.34
2017/04/07,10:25:27,35.34
2017/04/07,10:25:28,36.67
2017/04/07,10:25:29,38.00
2017/04/07,10:25:30,38.66
2017/04/07,10:25:31,39.99
2017/04/07,10:25:32,40.98
2017/04/07,10:25:33,41.31
2017/04/07,10:25:34,41.31
2017/04/07,10:25:35,42.64
2017/04/07,10:25:36,46.26
2017/04/07,10:25:37,47.58
2017/04/07,10:25:38,48.24
2017/04/07,10:25:39,48.24
2017/04/07,10:25:40,47.25
2017/04/07,10:25:41,46.59
2017/04/07,10:25:42,48.90
2017/04/07,10:25:43,49.23
2017/04/07,10:25:44,48.57
2017/04/07,10:25:45,47.91
2017/04/07,10:25:46,47.25
2017/04/07,10:25:47,46.92
2017/04/07,10:25:48,46.26
2017/04/07,10:25:49,45.61
2017/04/07,10:25:50,44.95
2017/04/07,10:25:51,44.62
2017/04/07,10:25:52,44.62
2017/04/07,10:25:53,44.62
2017/04/07,10:25:54,45.28
2017/04/07,10:25:55,46.92
2017/04/07,10:25:56,49.88
2017/04/07,10:25:57,51.85
2017/04/07,10:25:58,52.51
